release_set_id,packet_id,locale,field,chars,estimated_px,max_line_px,max_word_px,bound_px,lines,max_lines,expansion_vs_en,issues,source
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,title,23,218.52,218.52,86.04,360.0,1,1,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,scanner,58,455.36,455.36,76.48,460.0,1,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,terminal,82,633.0,520.5,89.1,520.0,2,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,audio,60,536.76,536.76,98.28,620.0,1,2,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,in_game_wiki,125,929.4,585.9,98.7,620.0,2,5,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,external_site,129,1057.28,662.4,102.72,680.0,2,4,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,en_US,field_note,90,651.56,501.76,74.2,560.0,2,3,1.0,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,title,19,187.2,187.2,95.04,360.0,1,1,0.857,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,scanner,53,427.2,427.2,84.48,460.0,1,2,0.938,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS,P421_RAN_AEGIR_PUBLIC_DISTANCE_BAND,ru_RU,terminal,74,604.5,496.2,108.3,520.0,2,2,0.955,,C:/hades/Hecton8/Docs/Lore/AppliedContent/packets/RS085_CELESTIAL_EPHEMERIS_PUBLIC_BANDS.packets.json
