"channel_name","channel_profile_url","country_candidates","source_games","source_segments","surfaces_seen","raw_occurrences","max_public_metric_seen","recommended_segment","pitch_angle","personalized_pitch_stub","risk_notes","contact_route","verification_status","next_action"
"CohhCarnage","https://www.letsplayindex.com/channels/13912-cohhcarnage","United States","Barotrauma; Forever Skies; Pacific Drive; Raft; Satisfactory; Sons of the Forest; Subnautica; Subnautica Below Zero; The Forest; The Long Dark","abyss_pressure_horror; direct_underwater_survival; factory_engineering_systems; hardcore_survival; hostile_survival; machine_survival_anomaly; ocean_survival_crafting; vehicle_base_survival","latest_letsplay; most_lp_views; review_channels","17","488000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Kage848","https://www.letsplayindex.com/channels/13250-kage848","UNKNOWN","Forever Skies; Pacific Drive; Raft; Satisfactory; Sons of the Forest; Space Engineers; Subnautica; Subnautica Below Zero; The Forest; The Long Dark","direct_underwater_survival; engineering_base_systems; factory_engineering_systems; hardcore_survival; hostile_survival; machine_survival_anomaly; ocean_survival_crafting; vehicle_base_survival","latest_letsplay; most_lp_views","16","506000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Hirnsturz","https://www.letsplayindex.com/channels/15367-hirnsturz","Germany","Abiotic Factor; Barotrauma; Forever Skies; Raft; Satisfactory; Sons of the Forest; Space Engineers; Subnautica; Subnautica Below Zero; The Forest; The Long Dark","abyss_pressure_horror; direct_underwater_survival; engineering_base_systems; facility_survival_systems; factory_engineering_systems; hardcore_survival; hostile_survival; ocean_survival_crafting; vehicle_base_survival","latest_letsplay; most_lp_views","13","157000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Dr. Incompetent","https://www.letsplayindex.com/channels/402549-dr-incompetent","United States","Abiotic Factor; Pacific Drive; Satisfactory; Space Engineers; Subnautica; Subnautica Below Zero; The Forest; The Long Dark","direct_underwater_survival; engineering_base_systems; facility_survival_systems; factory_engineering_systems; hardcore_survival; hostile_survival; machine_survival_anomaly","latest_letsplay; most_lp_views; review_channels","12","50000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Insym VODS","https://www.letsplayindex.com/channels/895821-insym-vods","UNKNOWN","Abiotic Factor; Barotrauma; Raft; Sons of the Forest; Subnautica; Subnautica Below Zero; The Forest","abyss_pressure_horror; direct_underwater_survival; facility_survival_systems; hostile_survival; ocean_survival_crafting","latest_letsplay; most_lp_views","11","70329","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"SquirrelPlus","https://www.letsplayindex.com/channels/39762-squirrelplus","United Kingdom","Raft; Satisfactory; Sons of the Forest; Space Engineers; Subnautica; Subnautica Below Zero; The Forest; The Long Dark","direct_underwater_survival; engineering_base_systems; factory_engineering_systems; hardcore_survival; hostile_survival; ocean_survival_crafting","latest_letsplay; most_lp_views","11","50400","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Dad's Gaming Addiction","https://www.letsplayindex.com/channels/15261-dads-gaming-addiction","UNKNOWN","Barotrauma; Forever Skies; Raft; Satisfactory; Sons of the Forest; Subnautica; Subnautica Below Zero; The Long Dark","abyss_pressure_horror; direct_underwater_survival; factory_engineering_systems; hardcore_survival; hostile_survival; ocean_survival_crafting; vehicle_base_survival","latest_letsplay; most_lp_views; review_channels","11","49900","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Jade PG","https://www.letsplayindex.com/channels/15592-jade-pg","United Kingdom","Raft; Satisfactory; Sons of the Forest; Space Engineers; Subnautica; Subnautica Below Zero; The Forest; The Long Dark","direct_underwater_survival; engineering_base_systems; factory_engineering_systems; hardcore_survival; hostile_survival; ocean_survival_crafting","latest_letsplay; most_lp_views","10","197000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"BB Steam Review","https://www.letsplayindex.com/channels/1442998-bb-steam-review","Denmark","Barotrauma; Forever Skies; Pacific Drive; Raft; Sons of the Forest; Subnautica; Subnautica Below Zero; The Forest; The Long Dark","abyss_pressure_horror; direct_underwater_survival; hardcore_survival; hostile_survival; machine_survival_anomaly; ocean_survival_crafting; vehicle_base_survival","review_channels","9","18100","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"LetsPlay","https://www.letsplayindex.com/channels/18004-letsplay","United States","Barotrauma; Raft; Satisfactory; Sons of the Forest; The Forest; The Long Dark","abyss_pressure_horror; factory_engineering_systems; hardcore_survival; hostile_survival; ocean_survival_crafting","latest_letsplay; most_lp_views","8","3490000","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"KeysJore","https://www.letsplayindex.com/channels/13473-keysjore","Switzerland","Abiotic Factor; Pacific Drive; Raft; Sons of the Forest; Subnautica; The Forest","direct_underwater_survival; facility_survival_systems; hostile_survival; machine_survival_anomaly; ocean_survival_crafting","latest_letsplay; most_lp_views","8","1420000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Worth A Buy","https://www.letsplayindex.com/channels/20855-worth-a-buy","United Kingdom","Barotrauma; Raft; Satisfactory; Sons of the Forest; Space Engineers; Subnautica; The Forest; The Long Dark","abyss_pressure_horror; direct_underwater_survival; engineering_base_systems; factory_engineering_systems; hardcore_survival; hostile_survival; ocean_survival_crafting","review_channels","8","317000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"AldemarHD","https://www.letsplayindex.com/channels/18273-aldemarhd","Germany","Barotrauma; Pacific Drive; Raft; Satisfactory; Subnautica; The Long Dark","abyss_pressure_horror; direct_underwater_survival; factory_engineering_systems; hardcore_survival; machine_survival_anomaly; ocean_survival_crafting","latest_letsplay; most_lp_views","8","94300","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Michael J. Gets The Job Done","https://www.letsplayindex.com/channels/141598-michael-j-gets-the-job-done","Germany","Pacific Drive; Raft; Sons of the Forest; Subnautica; Subnautica Below Zero; The Forest","direct_underwater_survival; hostile_survival; machine_survival_anomaly; ocean_survival_crafting","latest_letsplay; most_lp_views","8","93837","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"STAF_52","https://www.letsplayindex.com/channels/19115-staf-52","France","Forever Skies; Pacific Drive; Subnautica; Subnautica Below Zero; The Forest; The Long Dark","direct_underwater_survival; hardcore_survival; hostile_survival; machine_survival_anomaly; vehicle_base_survival","latest_letsplay; most_lp_views","8","36500","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Zvergy","https://www.letsplayindex.com/channels/16605-zvergy","Germany","Forever Skies; Raft; Satisfactory; Sons of the Forest; Space Engineers; Subnautica","direct_underwater_survival; engineering_base_systems; factory_engineering_systems; hostile_survival; ocean_survival_crafting; vehicle_base_survival","latest_letsplay; most_lp_views","8","33700","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Edes Lets Plays","https://www.letsplayindex.com/channels/18724-edes-lets-plays","Germany","Forever Skies; Raft; Satisfactory; Sons of the Forest; Subnautica","direct_underwater_survival; factory_engineering_systems; hostile_survival; ocean_survival_crafting; vehicle_base_survival","latest_letsplay; most_lp_views","8","31646","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Neyreyan","https://www.letsplayindex.com/channels/130582-neyreyan","Romania","Abiotic Factor; Barotrauma; Pacific Drive; Sons of the Forest; The Long Dark","abyss_pressure_horror; facility_survival_systems; hardcore_survival; hostile_survival; machine_survival_anomaly","latest_letsplay; most_lp_views; review_channels","8","9460","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Zombyra","https://www.letsplayindex.com/channels/26331-zombyra","Germany","Forever Skies; Pacific Drive; Raft; Subnautica; Subnautica Below Zero; The Forest","direct_underwater_survival; hostile_survival; machine_survival_anomaly; ocean_survival_crafting; vehicle_base_survival","latest_letsplay; most_lp_views","8","9320","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Nerdzeitalter","https://www.letsplayindex.com/channels/1093413-nerdzeitalter","Germany","Forever Skies; Pacific Drive; Satisfactory; Space Engineers","engineering_base_systems; factory_engineering_systems; machine_survival_anomaly; vehicle_base_survival","latest_letsplay; most_lp_views","8","3840","engineering_base_systems","Machines, habitats, resource routing, and survival infrastructure.","Your audience values systems and construction. HECTON-8 should be pitched as habitat/base survival where pumps, oxygen, power, salvage, and pressure-rated machinery visibly matter.","Do not pitch before base/tool systems are visible; engineering audiences punish decorative fake systems.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"El Ruobuob","https://www.letsplayindex.com/channels/980629-el-ruobuob","France","Barotrauma; Forever Skies; Satisfactory; Space Engineers","abyss_pressure_horror; engineering_base_systems; factory_engineering_systems; vehicle_base_survival","latest_letsplay; most_lp_views","8","3452","abyss_horror_pressure","Abyssal horror, instruments, isolation, and hostile depth.","Your audience responds to horror/abyss tension. HECTON-8 should be pitched through instruments, sound, pressure, and black-water dread rather than creature spam or jump scares.","Needs a strong atmospheric demo; weak survival grind will underperform with horror viewers.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"PlayStation Planet","https://www.letsplayindex.com/channels/141358-playstation-planet","Croatia","Forever Skies; Pacific Drive; Sons of the Forest; The Long Dark","hardcore_survival; hostile_survival; machine_survival_anomaly; vehicle_base_survival","latest_letsplay; most_lp_views","7","71100","engineering_base_systems","Machines, habitats, resource routing, and survival infrastructure.","Your audience values systems and construction. HECTON-8 should be pitched as habitat/base survival where pumps, oxygen, power, salvage, and pressure-rated machinery visibly matter.","Do not pitch before base/tool systems are visible; engineering audiences punish decorative fake systems.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Benny Harvey","https://www.letsplayindex.com/channels/145301-benny-harvey","United Kingdom","Forever Skies; Pacific Drive; Sons of the Forest; The Long Dark","hardcore_survival; hostile_survival; machine_survival_anomaly; vehicle_base_survival","latest_letsplay; most_lp_views","7","52419","engineering_base_systems","Machines, habitats, resource routing, and survival infrastructure.","Your audience values systems and construction. HECTON-8 should be pitched as habitat/base survival where pumps, oxygen, power, salvage, and pressure-rated machinery visibly matter.","Do not pitch before base/tool systems are visible; engineering audiences punish decorative fake systems.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"HelyaLP","https://www.letsplayindex.com/channels/217605-helyalp","Germany","Forever Skies; Pacific Drive; Raft; Sons of the Forest; Subnautica Below Zero","direct_underwater_survival; hostile_survival; machine_survival_anomaly; ocean_survival_crafting; vehicle_base_survival","latest_letsplay; most_lp_views","7","30935","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"-Players Level-","https://www.letsplayindex.com/channels/157867-players-level","Germany","Satisfactory; Sons of the Forest; Space Engineers; The Long Dark","engineering_base_systems; factory_engineering_systems; hardcore_survival; hostile_survival","latest_letsplay; most_lp_views","7","11632","engineering_base_systems","Machines, habitats, resource routing, and survival infrastructure.","Your audience values systems and construction. HECTON-8 should be pitched as habitat/base survival where pumps, oxygen, power, salvage, and pressure-rated machinery visibly matter.","Do not pitch before base/tool systems are visible; engineering audiences punish decorative fake systems.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"SpielbaerLP","https://www.letsplayindex.com/channels/20439-spielbaerlp","Germany","Raft; Satisfactory; Sons of the Forest; Subnautica; Subnautica Below Zero; The Forest; The Long Dark","direct_underwater_survival; factory_engineering_systems; hardcore_survival; hostile_survival; ocean_survival_crafting","most_lp_views","7","4541","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"BigVladGaming","https://www.letsplayindex.com/channels/2837023-bigvladgaming","UNKNOWN","Abiotic Factor; Forever Skies; Satisfactory; Sons of the Forest","facility_survival_systems; factory_engineering_systems; hostile_survival; vehicle_base_survival","latest_letsplay; most_lp_views","7","3627","engineering_base_systems","Machines, habitats, resource routing, and survival infrastructure.","Your audience values systems and construction. HECTON-8 should be pitched as habitat/base survival where pumps, oxygen, power, salvage, and pressure-rated machinery visibly matter.","Do not pitch before base/tool systems are visible; engineering audiences punish decorative fake systems.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"NOOBLETS","https://www.letsplayindex.com/channels/18328-nooblets","United Kingdom","Forever Skies; Raft; Sons of the Forest; Space Engineers; The Forest","engineering_base_systems; hostile_survival; ocean_survival_crafting; vehicle_base_survival","latest_letsplay; most_lp_views; review_channels","6","454000","engineering_base_systems","Machines, habitats, resource routing, and survival infrastructure.","Your audience values systems and construction. HECTON-8 should be pitched as habitat/base survival where pumps, oxygen, power, salvage, and pressure-rated machinery visibly matter.","Do not pitch before base/tool systems are visible; engineering audiences punish decorative fake systems.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Farket","https://www.letsplayindex.com/channels/79141-farket","Australia","Sons of the Forest; Subnautica; Subnautica Below Zero; The Forest","direct_underwater_survival; hostile_survival","latest_letsplay; most_lp_views; review_channels","6","430000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Games4Kickz","https://www.letsplayindex.com/channels/15219-games4kickz","Ireland","Raft; Satisfactory; Subnautica; Subnautica Below Zero; The Forest","direct_underwater_survival; factory_engineering_systems; hostile_survival; ocean_survival_crafting","latest_letsplay; most_lp_views","6","117000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
"Kokoplays MB","https://www.letsplayindex.com/channels/19081-kokoplays-mb","Slovenia","Barotrauma; Satisfactory; Subnautica; The Long Dark","abyss_pressure_horror; direct_underwater_survival; factory_engineering_systems; hardcore_survival","latest_letsplay; most_lp_views","6","113000","direct_underwater_survival","Underwater survival audience already proven.","Your channel has already touched Subnautica/underwater survival. HECTON-8 should be pitched through a distinct single-player pressure/salvage identity.","May compare directly to Subnautica; send only when screenshots clearly differentiate NASA-punk machinery and black-water pressure.","UNKNOWN_VERIFY_FROM_CREATOR_PAGE","RAW_PUBLIC_INDEX_NOT_CONTACT_READY","Verify current channel activity, exact YouTube/Twitch URL, public business contact, language, brand safety, and whether HECTON-8 has a matching real asset."
