"priority","family","asset_path","blocker_type","static_evidence","likely_owner_packet","required_readback","forbidden_shortcut","proof_required","status"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/albedo___family.coral.branching.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralBranching_1428.mat[_BaseMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralBranching_1457.mat[_BaseMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat[_BaseMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/detail___family.coral.branching.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralBranching_1428.mat[_DetailMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralBranching_1457.mat[_DetailMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat[_DetailMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/mask___family.coral.branching.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralBranching_1428.mat[_MaskMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralBranching_1457.mat[_MaskMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat[_MaskMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/normal___family.coral.branching.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralBranching_1428.mat[_NormalMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralBranching_1457.mat[_NormalMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat[_NormalMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/albedo___family.coral.brittle.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=2; material_slots=Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralBrittle_1457.mat[_BaseMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat[_BaseMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/detail___family.coral.brittle.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=2; material_slots=Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralBrittle_1457.mat[_DetailMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat[_DetailMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/mask___family.coral.brittle.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=2; material_slots=Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralBrittle_1457.mat[_MaskMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat[_MaskMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/normal___family.coral.brittle.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=packed_mask_source; material_count=2; material_slots=Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralBrittle_1457.mat[_NormalMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat[_NormalMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_brittle.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/albedo___family.coral.low.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralLow_1428.mat[_BaseMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralLow_1457.mat[_BaseMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat[_BaseMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
"P0","flora_coral_fauna","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.low/detail___family.coral.low.png","flora_coral_kelp_proxy_material_contamination","TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL P0; disposition=CANDIDATE_BLOCKED_BY_MATERIAL_PROOF; role=bio_material_source; material_count=3; material_slots=Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_PhoticCoralLow_1428.mat[_DetailMap];Assets/_Project/Art/Materials/World/Photic1457/MAT_H8_PhoticCoralLow_1457.mat[_DetailMap];Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat[_DetailMap]; active_scene=Assets/_Project/Scenes/02_HECTON_WORLD.unity; proxy_materials=Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_low.mat; blocker=Proxy/placeholder material reaches route candidates or active scene.","taskslocal/asset_system_20260605/ASSET_OWNER_24_PRODUCT_FACE_MATERIAL_REPAIR_PACKET.md","Unity readback plus final non-proxy material replacement/proof.","No WorldProceduralProxy visible route placement, no proxy as low-tier fallback, no final binding without organic channel semantics and LOD/silhouette proof.","Unity material readback, texture import readback where maps change, material family/channel manifest, h8_1475 proof packet screenshots, Frame Debugger or RenderGraph/Stats evidence, Console, memory/VRAM evidence.","PENDING UNITY READBACK"
