term_key,en_US,ar_SA,de_DE,es_ES,fr_FR,he_IL,id_ID,ja_JP,ko_KR,nl_NL,pl_PL,pt_BR,ru_RU,uk_UA,zh_CN,lock_policy,notes
TERM_000,HECTON-8,[AR] HECTON-8,[DE] HECTON-8,[ES] HECTON-8,[FR] HECTON-8,[HE] HECTON-8,[ID] HECTON-8,[JA] HECTON-8,[KO] HECTON-8,[NL] HECTON-8,[PL] HECTON-8,[PT] HECTON-8,HECTON-8,[UK] HECTON-8,[ZH] HECTON-8,STRICT_LOCK,Preserve tone and jargon
TERM_001,Aegir,[AR] Aegir,[DE] Aegir,[ES] Aegir,[FR] Aegir,[HE] Aegir,[ID] Aegir,[JA] Aegir,[KO] Aegir,[NL] Aegir,[PL] Aegir,[PT] Aegir,Эгир,[UK] Aegir,[ZH] Aegir,STRICT_LOCK,Preserve tone and jargon
TERM_002,Deep Reach,[AR] Deep Reach,[DE] Deep Reach,[ES] Deep Reach,[FR] Deep Reach,[HE] Deep Reach,[ID] Deep Reach,[JA] Deep Reach,[KO] Deep Reach,[NL] Deep Reach,[PL] Deep Reach,[PT] Deep Reach,Дип Рич,[UK] Deep Reach,[ZH] Deep Reach,STRICT_LOCK,Preserve tone and jargon
TERM_003,Black Keel,[AR] Black Keel,[DE] Black Keel,[ES] Black Keel,[FR] Black Keel,[HE] Black Keel,[ID] Black Keel,[JA] Black Keel,[KO] Black Keel,[NL] Black Keel,[PL] Black Keel,[PT] Black Keel,Черный Киль,[UK] Black Keel,[ZH] Black Keel,STRICT_LOCK,Preserve tone and jargon
TERM_004,Marauder,[AR] Marauder,[DE] Marauder,[ES] Marauder,[FR] Marauder,[HE] Marauder,[ID] Marauder,[JA] Marauder,[KO] Marauder,[NL] Marauder,[PL] Marauder,[PT] Marauder,Мародер,[UK] Marauder,[ZH] Marauder,STRICT_LOCK,Preserve tone and jargon
TERM_005,Atlas-6,[AR] Atlas-6,[DE] Atlas-6,[ES] Atlas-6,[FR] Atlas-6,[HE] Atlas-6,[ID] Atlas-6,[JA] Atlas-6,[KO] Atlas-6,[NL] Atlas-6,[PL] Atlas-6,[PT] Atlas-6,Атлас-6,[UK] Atlas-6,[ZH] Atlas-6,STRICT_LOCK,Preserve tone and jargon
TERM_006,Blue Debt,[AR] Blue Debt,[DE] Blue Debt,[ES] Blue Debt,[FR] Blue Debt,[HE] Blue Debt,[ID] Blue Debt,[JA] Blue Debt,[KO] Blue Debt,[NL] Blue Debt,[PL] Blue Debt,[PT] Blue Debt,Синий Долг,[UK] Blue Debt,[ZH] Blue Debt,STRICT_LOCK,Preserve tone and jargon
TERM_007,Barnard Yards,[AR] Barnard Yards,[DE] Barnard Yards,[ES] Barnard Yards,[FR] Barnard Yards,[HE] Barnard Yards,[ID] Barnard Yards,[JA] Barnard Yards,[KO] Barnard Yards,[NL] Barnard Yards,[PL] Barnard Yards,[PT] Barnard Yards,Верфи Барнарда,[UK] Barnard Yards,[ZH] Barnard Yards,STRICT_LOCK,Preserve tone and jargon
TERM_008,Relay Spine,[AR] Relay Spine,[DE] Relay Spine,[ES] Relay Spine,[FR] Relay Spine,[HE] Relay Spine,[ID] Relay Spine,[JA] Relay Spine,[KO] Relay Spine,[NL] Relay Spine,[PL] Relay Spine,[PT] Relay Spine,Релейный Хребет,[UK] Relay Spine,[ZH] Relay Spine,STRICT_LOCK,Preserve tone and jargon
TERM_009,Seed Program,[AR] Seed Program,[DE] Seed Program,[ES] Seed Program,[FR] Seed Program,[HE] Seed Program,[ID] Seed Program,[JA] Seed Program,[KO] Seed Program,[NL] Seed Program,[PL] Seed Program,[PT] Seed Program,Программа Посева,[UK] Seed Program,[ZH] Seed Program,STRICT_LOCK,Preserve tone and jargon
TERM_010,salvage carrier,[AR] salvage carrier,[DE] salvage carrier,[ES] salvage carrier,[FR] salvage carrier,[HE] salvage carrier,[ID] salvage carrier,[JA] salvage carrier,[KO] salvage carrier,[NL] salvage carrier,[PL] salvage carrier,[PT] salvage carrier,носитель-сборщик,[UK] salvage carrier,[ZH] salvage carrier,STRICT_LOCK,Preserve tone and jargon
TERM_011,dead claim,[AR] dead claim,[DE] dead claim,[ES] dead claim,[FR] dead claim,[HE] dead claim,[ID] dead claim,[JA] dead claim,[KO] dead claim,[NL] dead claim,[PL] dead claim,[PT] dead claim,мертвая заявка,[UK] dead claim,[ZH] dead claim,STRICT_LOCK,Preserve tone and jargon
TERM_012,custody grade,[AR] custody grade,[DE] custody grade,[ES] custody grade,[FR] custody grade,[HE] custody grade,[ID] custody grade,[JA] custody grade,[KO] custody grade,[NL] custody grade,[PL] custody grade,[PT] custody grade,уровень сохранности,[UK] custody grade,[ZH] custody grade,STRICT_LOCK,Preserve tone and jargon
TERM_013,material retention,[AR] material retention,[DE] material retention,[ES] material retention,[FR] material retention,[HE] material retention,[ID] material retention,[JA] material retention,[KO] material retention,[NL] material retention,[PL] material retention,[PT] material retention,удержание материалов,[UK] material retention,[ZH] material retention,STRICT_LOCK,Preserve tone and jargon
TERM_014,calibration drift,[AR] calibration drift,[DE] calibration drift,[ES] calibration drift,[FR] calibration drift,[HE] calibration drift,[ID] calibration drift,[JA] calibration drift,[KO] calibration drift,[NL] calibration drift,[PL] calibration drift,[PT] calibration drift,дрейф калибровки,[UK] calibration drift,[ZH] calibration drift,STRICT_LOCK,Preserve tone and jargon
