# profile,depthMin,depthMax,sanityMin,sanityMax,bilateralScale,historyScale,sharpenFloor,grainScale,vignetteScale,chromaScale,overkillScale
# Fallback reconstruction profiles for non-unified visor mode.
# Sanity is 1 - player stress. Lower sanity means harder pressure/failure presentation.
surface_reconstruct_clear,0,80,0.66,1,0.92,0.82,0.18,0.80,0.72,0.70,0.18
surface_reconstruct_dirty,0,80,0.28,0.66,1.00,0.68,0.24,1.00,0.92,1.00,0.32
surface_reconstruct_failure,0,80,0,0.28,1.08,0.46,0.30,1.18,1.12,1.20,0.48
midwater_reconstruct_clear,80,420,0.66,1,0.98,0.76,0.24,0.96,0.92,0.88,0.36
midwater_reconstruct_dirty,80,420,0.28,0.66,1.08,0.58,0.32,1.16,1.08,1.14,0.55
midwater_reconstruct_failure,80,420,0,0.28,1.18,0.34,0.38,1.34,1.24,1.30,0.72
abyss_reconstruct_readable,420,1400,0.66,1,1.06,0.60,0.32,1.16,1.08,1.04,0.58
abyss_reconstruct_pressure,420,1400,0.28,0.66,1.18,0.42,0.42,1.35,1.28,1.28,0.78
abyss_reconstruct_failure,420,1400,0,0.28,1.30,0.22,0.50,1.52,1.45,1.45,0.92
blackbox_reconstruct_depth,1400,6000,0,1,1.26,0.28,0.48,1.45,1.42,1.32,0.86
