GateID,Segment,OwnerLane,ResponsibleFiles,Gate,RequiredProof,PassCondition,Status,MissingProof,QualityScalingNote
FH-001,Boot,Unity owner,"GameBootstrapper.cs; FIRST_20_MINUTES_VERTICAL_SLICE_CONTRACT.md",New game reaches selected world route,"Console plus play clip from New Game through world load","No route-blocking console errors; player spawns in selected route, not dev sandbox",PENDING_UNITY_PROOF,"No Unity run in this audit","Quality does not change scene flow"
FH-002,Safe anchor,World/Gameplay,"FirstHourDirector.cs; world.md; gameplay.md",Damaged safe anchor is real route start,"Gameplay capture of spawn area and route exit","Safe oxygen state, readable instruments, industrial shelter, no hidden dev grants",PENDING_UNITY_PROOF,"No spawn capture; no route-state proof","Low keeps shelter readability; high adds material detail"
FH-003,First exit visual,World/Water/Rendering,"TASTE.md; VISION_LOCKS.md; water.md; world.md",Surface/photic exit is bright and beautiful,"Compact-equivalent and high/normal screenshots plus clip","0-100 m open water is readable, attractive, not dark by default",PENDING_UNITY_PROOF,"No visual capture in audit","GlobalQualityWeight scales richness, not beauty floor"
FH-004,Sky/celestial,World/Presentation,"TASTE.md; VISION_LOCKS.md; world.md",Sky/Aegir/moons where visible meet floor,"Gameplay screenshot from first exit with sky/celestial context where route exposes it","Aegir/moons/sky read as textured premium bodies, not muddy scribbles",PENDING_UNITY_PROOF,"No capture in audit","Low preserves scale/color; ultra adds atmosphere"
FH-005,Photic rest,Gameplay/AI,"gameplay.md; creatures.md; HectonDirectorAI.cs",Player can pause to look at beauty,"Timed play capture at first exit/rest pocket","Local low-threat window exists; O2 still matters if submerged",PENDING_UNITY_PROOF,"No pacing run","Quality may alter fauna density only"
FH-006,Oxygen readout,Survival/UI,"survival.md; HectonSurvivalSystem.cs; SurvivalHUDController.cs",Oxygen is readable and route-relevant,"HUD capture during submerged swim","O2 drain/refill/warnings visible and usable on compact",PENDING_UNITY_PROOF,"Static source only; no HUD proof","Presentation scales; O2 truth unchanged"
FH-007,Oxygen death,Survival,"survival.md; HectonSurvivalSystem.cs",Neglecting oxygen can kill,"Intentional no-return swim test","Death cause is oxygen; death record exists; player understands failure",PENDING_UNITY_PROOF,"No death test","No tier changes death eligibility"
FH-008,Pressure/depth,Survival/World,"survival.md; water.md; HectonSurvivalSystem.cs",Depth/pressure creates fair route pressure,"Depth crossing capture and survival state logs","Warnings before critical; medium-depth pressure is readable",PENDING_UNITY_PROOF,"No route depth test","Visual warning richness scales only"
FH-009,Copper static chain,Inventory/Crafting,"Recipe_CopperWire.asset; Data_Copper.asset; Comp_CopperWire.asset",Copper recipe data points to valid static assets,"Static YAML inspection","Recipe result is Comp_CopperWire; ingredient is Data_Copper; no scan gate",STATIC_VERIFIED,"Runtime craft still unproven","Item ids/recipe truth unchanged"
FH-010,Copper node reachability,World/Tools/Inventory,"ResourceNodeTemplate_CopperVein.asset; ResourceNode.cs",Copper node is reachable and harvestable,"Route capture harvesting authored node","Node exists in route at reachable depth; required tool is available",PENDING_UNITY_PROOF,"Static blocker: template requires tool class 2 and min depth 40 m","Node visuals scale; required tool truth unchanged"
FH-011,Starter tool,Tools/Gameplay,"ResourceNode.cs; tools.md; gameplay.md",Starter interaction can acquire first resource,"Gameplay clip of tool/resource interaction","No console grant; interaction uses authored equipment or valid fallback",PENDING_UNITY_PROOF,"Starter tool not proven for copper","Tool effect presentation scales only"
FH-012,Inventory receive,Inventory,"PlayerInventory.cs; InventoryGrid.cs; InventoryEvents.cs",Collected resource enters grid inventory,"Capture inventory before/after collection plus event/log","Data_Copper or chosen starter item appears in grid with correct quantity",PENDING_UNITY_PROOF,"No route inventory proof","UI richness scales; item identity unchanged"
FH-013,Quest activation,Quest/Gameplay,"Quest_CopperSample.asset; FirstHourDirector.cs",First resource need activates correctly,"Route capture crossing first-hour trigger","quest_copper_sample activates from first_hour_exit_lifepod or documented replacement",PENDING_UNITY_PROOF,"Trigger not observed in Unity","Quest truth unchanged"
FH-014,Quest completion,Quest/Inventory,"Quest_CopperSample.asset; FirstHourDirector.cs; PlayerInventory.cs",Quest completes from real item,"Capture after item acquisition","Quest completes on Data_Copper after inventory event or save sync",PENDING_UNITY_PROOF,"Static completionId verified; runtime event unproven","Presentation only scales"
FH-015,Fabricator reachability,Crafting/Power,"Fabricator.cs; Recipe_CopperWire.asset",Powered fabricator or equivalent route action is reachable,"Gameplay clip interacting with route fabricator/repair/build station","Station has power and accepts player inventory",PENDING_UNITY_PROOF,"No route object/power proof","VFX/panel richness scales only"
FH-016,Craft output,Crafting/Inventory,"Fabricator.cs; Recipe_CopperWire.asset; PlayerInventory.cs",Craft consumes resource and outputs result,"Before/after inventory capture and craft event","Data_Copper decrements; Comp_CopperWire appears; progress completes",PENDING_UNITY_PROOF,"No craft run","Recipe truth unchanged"
FH-017,Route improvement,Gameplay/Construction,"gameplay.md; construction.md; Fabricator.cs",Craft/repair/build changes safety or capability,"Capture of changed route state","Player gains concrete route safety/capability, not only generic item count",PENDING_UNITY_PROOF,"No route-state result proof","Quality affects feedback only"
FH-018,Fair danger setup,AI/Creatures/Combat,"creatures.md; combat.md; HectonDirectorAI.cs",Danger is cued before close threat,"Clip showing audio/sonar/silhouette/evidence before contact","Player gets readable avoid/retreat/fight decision",PENDING_UNITY_PROOF,"No encounter capture","Entity count/cue richness scales; cause unchanged"
FH-019,Small threat combat,Combat/Creatures,"combat.md; creatures.md; CreatureDamageManager.cs",Small threat can be fought with cost,"Gameplay clip if small threat is selected","Hit cause, tool boundary, damage feedback, and cost are readable",PENDING_UNITY_PROOF,"No selected small threat proof","Decals/VFX scale; damage packet unchanged"
FH-020,Large threat evasion,AI/Creatures/Sonar,"creatures.md; sonar.md; HectonDirectorAI.cs",Large threat is better evaded/distracted,"Gameplay clip of evasion/distraction route","Threat changes route/O2/noise decision; not simple DPS target",PENDING_UNITY_PROOF,"No large-threat route proof","Presentation density scales only"
FH-021,Sonar usability,Sonar/UI,"sonar.md; TopographicalSonarSynthesizer.cs; SonarGridOverlay.cs",Sonar/map useful but not omniscient,"Sensor UI capture during route","Bearing/confidence/staleness/cost visible; no perfect hidden truth",PENDING_UNITY_PROOF,"No sensor capture","Ray count/visual richness scales; sensed truth unchanged"
FH-022,Active ping risk,Sonar/AI/Audio,"sonar.md; AUD_Acoustic_Sonar_Occlusion_Sensory_Simulation.txt; HectonDirectorAI.cs",Active sonar has reaction/cost,"Ping test near fauna/danger","Ping creates useful return and possible creature/system reaction",PENDING_UNITY_PROOF,"No ping reaction proof","Ping cost/reaction truth unchanged"
FH-023,Death drop,Inventory/Survival,"PlayerInventory.cs; HectonSurvivalSystem.cs; InventoryDeathPenaltyRuleDTO.cs",Death drops resources like Minecraft/Subnautica,"Intentional death with carried resources","Non-retained resources drop at death location or cache; evidence is recoverable",PENDING_UNITY_PROOF,"Static drop routes seen; no runtime proof","Drop policy unchanged by quality"
FH-024,Tool retention,Inventory/Tools,"PlayerInventory.cs; PlayerInventoryManager.cs",Core tools retained after ordinary death,"Intentional death with equipped tool","Core/equipped tool remains unless authored special case says otherwise",PENDING_UNITY_PROOF,"Tool retention not proven in route","Tool truth unchanged"
FH-025,Respawn anchor,Survival/Gameplay,"HectonSurvivalSystem.cs; gameplay.md",Death respawns at base/safe anchor,"Intentional death and recovery capture","Player returns to base/safe anchor without unavoidable death loop",PENDING_UNITY_PROOF,"No respawn proof","Recovery presentation scales only"
FH-026,Save roundtrip,Save/Persistence,"SaveBinaryStorage.cs; FirstHourDirector.cs; PlayerInventory.cs",Save/load preserves route state,"Save directory diff and reload capture","Position, inventory, quest, crafted result, depleted node, hazard state restore",PENDING_UNITY_PROOF,"Static storage only; no diff","Save identity unchanged"
