domain,risk_group,row_count,source_matrix,sample_paths,first_owner_packet,next_action,not_proof_of,evidence_boundary
audio,LONG_GT10S,98,AUDIO_FILE_TECHNICAL_PROPERTIES_20260605.csv,Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3; Assets/_Project/Audio/Atmos 1 Loop.wav; Assets/_Project/Audio/Atmos 1.wav; Assets/_Project/Audio/Atmos 2 Loop.wav; Assets/_Project/Audio/Atmos 2.wav,ASSET_OWNER_23_AUDIO_SOURCE_TECHNICAL_REMEDIATION_PACKET.md,Classify long beds/player loops/music/ambient before import policy or bank residency work.,runtime mix or import proof,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
audio,MULTICHANNEL_SHORT_OR_PLAYER,19,AUDIO_FILE_TECHNICAL_PROPERTIES_20260605.csv,Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3; Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav; Assets/_Project/Audio/Footsteps/Sand/sand step  (1).wav; Assets/_Project/Audio/Footsteps/Sand/sand step  (2).wav; Assets/_Project/Audio/Footsteps/Sand/sand step  (3).wav,ASSET_OWNER_23_AUDIO_SOURCE_TECHNICAL_REMEDIATION_PACKET.md,Resolve mono/stereo policy and Unity import readback for sfx/ui/player_loop rows.,runtime audio behavior,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
audio,ABOVE_22K_SFX_UI,35,AUDIO_FILE_TECHNICAL_PROPERTIES_20260605.csv,Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg; Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (2).ogg; Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (3).ogg; Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (4).ogg; Assets/_Project/Audio/Footsteps/Metal/metal step (1).wav,ASSET_OWNER_23_AUDIO_SOURCE_TECHNICAL_REMEDIATION_PACKET.md,Review source-rate against SFX/UI policy before import edits.,Unity import settings,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
audio,ABOVE_44K_MUSIC_AMBIENT,11,AUDIO_FILE_TECHNICAL_PROPERTIES_20260605.csv,Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3; Assets/_Project/Audio/Atmos 1 Loop.wav; Assets/_Project/Audio/Atmos 1.wav; Assets/_Project/Audio/Atmos 2 Loop.wav; Assets/_Project/Audio/Atmos 2.wav,ASSET_OWNER_23_AUDIO_SOURCE_TECHNICAL_REMEDIATION_PACKET.md,Review source-rate against music/ambient target before import edits.,Unity import settings,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
audio,DIRECT_PREFAB_AUDIO_REFS,24,AUDIO_DIRECT_REF_DETAIL_20260605.csv,NO_PATH; NO_PATH; NO_PATH; NO_PATH; NO_PATH,ASSET_OWNER_08_AUDIO_DIRECT_REF_UNWIRING_PACKET.md,Map each remaining direct ref to owner/load/release or retained exception and Unity-read prior ambient/splash ref removal before prefab edits.,prefab lifecycle proof,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
texture,STATIC_META_STREAMING_MIPS_OFF_WORLD_RISK,37,TEXTURE_FILE_TECHNICAL_PROPERTIES_20260605.csv,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/Aegir_storms.png; Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds.png; Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png; Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png; Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_bump.png,ASSET_OWNER_21_TEXTURE_STREAMING_MIP_STATIC_RISK_PACKET.md,Run Unity importer readback and route-specific mip/streaming decision before material promotion.,Unity importer readback,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
texture,HERO_SCALE_PIXELS,12,TEXTURE_FILE_TECHNICAL_PROPERTIES_20260605.csv,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/Aegir_storms.png; Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds.png; Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png; Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/clouds0_diff.png; Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_bump.png,ASSET_OWNER_21_TEXTURE_STREAMING_MIP_STATIC_RISK_PACKET.md,"Check hero-scale texture roles against route visibility, compression, memory, and screenshot proof.",VRAM residency proof,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
texture,SOURCE_GT8MB,11,TEXTURE_FILE_TECHNICAL_PROPERTIES_20260605.csv,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/Clouds/GASgIANT/clouds0_diff.png; Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock012_2K-JPG_NormalGL.jpg; Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock037_2K-JPG_NormalGL.jpg; Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_NormalGL.jpg; Assets/_Project/Art/TEXTURES/clouds0_diff.png,ASSET_OWNER_21_TEXTURE_STREAMING_MIP_STATIC_RISK_PACKET.md,Review heavy source files before import or Addressables grouping.,imported texture memory,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
texture,STATIC_META_SRGB_RISK_FOR_NONCOLOR_NAME,2,TEXTURE_FILE_TECHNICAL_PROPERTIES_20260605.csv,Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/surface_norm.png; Assets/_Project/Art/TEXTURES/Detali/soft_plume_noise_-_kakoy_to_seryy_nu_norm.png,ASSET_OWNER_21_TEXTURE_STREAMING_MIP_STATIC_RISK_PACKET.md,Confirm noncolor texture import role through Unity readback before binding.,material correctness,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
texture,ACTIVE_ROUTE_TEXTURE_BLOCKERS,109,TEXTURE_ACTIVE_ROUTE_BLOCKER_DETAIL_20260605.csv,NO_PATH; NO_PATH; NO_PATH; NO_PATH; NO_PATH,ASSET_OWNER_09_TEXTURE_MATERIAL_IMPORT_BLOCKERS_PACKET.md,Keep active-route texture blockers assigned before import/material edits.,active renderer proof,STATIC_ROW_SUMMARY_NOT_RUNTIME_OR_VISUAL_PROOF
