pattern,path,count
TODO,Docs\Lore\AppliedContent\packets\P010_PAYLOAD_WINDOW.json,2
TODO,Docs\Lore\AppliedContent\packets\RS004_AEGIR_SYSTEM_HECTON8_ECOLOGY.packets.json,2
TODO,Docs\Lore\AppliedContent\packets\RS005_CARRIER_ESCAPE_DEEP_REACH_PRESSURE.packets.json,2
TODO,Docs\Lore\AppliedContent\packets\RS006_HUMANITY_TRANSIT_SEED_LOGISTICS.packets.json,4
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS010_PRESSURE_MACHINERY_RETURN_ROUTE.packets.json,60
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS011_COMM_TARIFF_GRAFFITI_MASKS.packets.json,420
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS012_PLAYER_LIABILITY_ESCAPE.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS013_COLONY_ATLAS_MAINTENANCE.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS014_COLONY_RETURN_WINDOWS.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS015_HUMAN_DOMAINS_ROUTE_ECONOMY.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS016_AEGIR_SYSTEM_MOON_LADDER.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS017_HECTON8_GEOLOGY_RESOURCE_ECOLOGY.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS018_CARRIER_DEBT_CLAIM_AUTHORITY.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS019_HECTON8_PHYSICAL_ATLAS_DEPTH_BANDS.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS020_ATLAS_ENDING_AGENCY_DOSSIER.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS021_INTERSTELLAR_TRANSIT_ROUTE_HISTORY.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS022_DEEP_REACH_SIGNOFF_CHAIN.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS023_FIRST_TOOL_CHAIN_SURVIVAL_GATE.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS024_RESOURCE_RECIPE_TAXONOMY.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS025_HUMAN_LAW_PUBLIC_MEMORY.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS026_ATLAS_PUBLIC_AUTHORITY_CLASSIFICATION.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS027_FALSE_EXIT_RETURN_PRESSURE.packets.json,390
draft native pass phrase,Docs\Lore\AppliedContent\packets\RS028_REPLAY_CONTRACT_DOSSIER_RULES.packets.json,390
