"target","target_path_or_token","reference_scan_method","static_hits_summary","risk_class","decision","future_owner_action","forbidden_action","proof_required"
"Item_Titanium legacy root","Assets/_Project/Prefabs/Item_Titanium.prefab","Path plus file stem plus object name plus meta GUID 64bf1bfdf2fc079449f22ccd9187776e scan across Assets Packages ProjectSettings Docs/Reports Docs/Tasks Docs/AgentLogs Tools","Prefab exists; meta GUID only self under scoped Assets/Packages/ProjectSettings/Docs/Tools scan; path is hardcoded by ConstructionBootstrapAuthoring and product-face validators; object name expected by ScanIntelValidator scene search; reports classify duplicate legacy root.","product_face_legacy_resource_root","QUARANTINE_CANDIDATE_PENDING_REFERENCE_PROOF","Unity owner must prove scene/bootstrap/editor references, then either relink to canonical TitaniumScrap source or quarantine outside production routes with backup and meta handling.","Delete move quarantine or relink from this static packet; carry unresolved material GUID; create duplicate titanium item truth.","Prefab reference scan by GUID/path/object name; Data_TitaniumScrap and ScannableTarget preservation proof; Product-Face gate; generated asset audit fail-on-error; screenshot only if retained player-visible."
"Item_Titanium material route","31321ba15b8f8eb4c954353edc038b1d","GUID scan in product-face prefab YAML and prior reports; package-cache meta lookup for Lit.mat","Item_Titanium uses material GUID at line 73; GUID resolves to package-cache URP Lit.mat meta under .codexbuild, not project-owned material source; prior 1870/1881/1885 mark unresolved/default carry-forward rejected.","package_default_material_on_legacy_resource","RETAIN_AND_CANONICAL_RELINK_REQUIRED","If Item_Titanium is retained, replace with canonical TitaniumScrap material/mesh source and preserve Data_TitaniumScrap plus scan refs.","Carry package/default Lit.mat material into a retained product-face prefab.","Project-owned MAT/TX role manifest; albedo normal packed MRAO import proof; prefab YAML after relink; screenshot proof if retained."
"Item_Titanium data truth","Assets/_Project/Data/Items/Resources/Raw/Data_TitaniumScrap.asset","Prefab itemData GUID plus data asset stableId scan","Item_Titanium itemData points to GUID e5817766c5653214f8db9a6161026a98; Data_TitaniumScrap asset has m_Name Data_TitaniumScrap, legacyItemName Titanium Scrap, stableId Data_TitaniumScrap; ScannableTarget entryId resource.titanium_fragment exists.","canonical_data_truth_must_be_preserved","RETAIN_AND_CANONICAL_RELINK_REQUIRED","Preserve Data_TitaniumScrap and scan route if retained; if quarantined, prove no production object needs the scannable titanium fragment route.","Invent Data_Titanium or duplicate item identity; break scanner/pickup data refs.","GUID resolution proof; item registry/DataMonolith bake proof later if runtime claim is made."
"STRUCTURES legacy aggregate","Assets/_Project/Prefabs/STRUCTURES.prefab","Path plus file stem plus object name plus meta GUID fe67818ec2cf8f74684ab2f6ef6711ee scan across Assets Packages ProjectSettings Docs/Reports Docs/Tasks Docs/AgentLogs Tools","Prefab exists; meta GUID only self in scoped scan; file contains root STRUCTURES and child Item_Titanium; separate STRUCTURES 1.prefab also exists; reports classify aggregate uncertainty.","legacy_aggregate_root","QUARANTINE_CANDIDATE_PENDING_REFERENCE_PROOF","Unity owner must prove no production references, then quarantine aggregate or relink child to canonical TitaniumScrap source through owned prefab route.","Delete move or quarantine without proof; keep aggregate as a product route with primitive child.","GUID/path/object reference scan including STRUCTURES 1; child prefab/data route proof; Product-Face gate; audit fail-on-error."
"STRUCTURES child primitive","Assets/_Project/Prefabs/STRUCTURES.prefab child Item_Titanium","Scoped prefab YAML scan for m_Name m_Mesh m_Materials collider tokens","STRUCTURES child Item_Titanium uses built-in cube m_Mesh fileID 10202, material GUID 31321ba15b8f8eb4c954353edc038b1d, non-trigger BoxCollider size 1/1/1.","primitive_child_default_material_leak","RETAIN_AND_CANONICAL_RELINK_REQUIRED","If aggregate is retained, delegate to canonical TitaniumScrap source prefab or remove from production route only after reference proof.","Retain primitive cube child; retain unresolved/package/default material; use aggregate as independent quality truth.","Prefab YAML after relink/quarantine; material source proof; collider/proxy split proof if retained."
"Buildings Cube root","Assets/_Project/Prefabs/Buildings/Cube.prefab","Path plus Buildings/Cube token plus file stem plus meta GUID 68067bbdb13059f4b80ecc380f14ce7d scan across Assets Packages ProjectSettings Docs/Reports Docs/Tasks Docs/AgentLogs Tools","Prefab exists; GUID is referenced by Assets/MapMagic/Map_Graph/Old tries/Terrain.asset; reports classify raw placeholder unless construction owner proves pressure-rated source.","legacy_building_placeholder_with_asset_reference","DELETE_FORBIDDEN_WITHOUT_UNITY_OWNER","Unity owner must classify MapMagic Old tries reference as active or obsolete. If active, replace with pressure-rated construction/module source. If obsolete, quarantine only with scoped proof and backup.","Delete move quarantine or relink before MapMagic/construction owner proves reference state.","GUID reference proof; MapMagic graph ownership decision; prefab backup; Product-Face gate; screenshot if retained player-visible."
"Buildings Cube visual route","Assets/_Project/Prefabs/Buildings/Cube.prefab","Scoped prefab YAML scan for m_Name m_Mesh m_Materials; prior report cross-check","Cube uses built-in cube m_Mesh fileID 10202 and has material slot with no project-owned pressure-rated module source proof; production texture manifest has historical material reference but no current Unity acceptance.","raw_cube_visual_placeholder","RETAIN_AND_CANONICAL_RELINK_REQUIRED","If retained, relink to pressure-rated construction/module mesh with metal/concrete/paint/wetness normal/MRAO and VIS/COL split.","Ship raw cube as building/module source; treat old texture manifest row as visual acceptance.","Mesh/material/texture role proof; collider proxy proof; compact/high screenshots; generated asset audit fail-on-error."
"Tool_Propulsion_Held package Lit route","Assets/_Project/Prefabs/Tools/Held/Tool_Propulsion_Held.prefab","GUID 31321ba15b8f8eb4c954353edc038b1d plus Lit.mat/package-cache scan","Tool_Propulsion_Held uses built-in cube and material GUID 31321ba15b8f8eb4c954353edc038b1d; 1880 resolves it to package-cache URP Lit.mat; product-face tool body material route is rejected until project-owned source exists.","package_default_material_on_product_face_tool","RETAIN_AND_CANONICAL_RELINK_REQUIRED","Future tool owner must replace held propulsion body with project-owned tool material/mesh source before acceptance; relink held/world propulsion family together.","Accept package-cache Lit.mat, placeholder, debug, trial, or flat-color material as tool body source.","Held/world prefab YAML scan; texture role/import proof; first-person and world pickup screenshots; profiler only if render/runtime path changes."
"Transport product-face default material cluster","Assets/_Project/Prefabs/Transport/*.prefab using 31321ba15b8f8eb4c954353edc038b1d","GUID scan over transport prefabs","CargoSled, MicroSub, Exosuit_Frame, and ScoutGlider transport prefabs use material GUID 31321ba15b8f8eb4c954353edc038b1d; outside direct legacy-root scope but same default/package material poison for product-face relink.","package_default_material_on_product_face_transport","RETAIN_AND_CANONICAL_RELINK_REQUIRED","Transport owner must replace with project-owned hull/frame/glass/rubber material source during transport relink.","Treat transport default material as unrelated if transport remains player-visible.","Transport material role manifest; anchor preservation; Product-Face gate; screenshots if retained."
"Player product-face default material cluster","Assets/_Project/Prefabs/Player.prefab using 31321ba15b8f8eb4c954353edc038b1d","GUID scan over Player.prefab","Player.prefab has multiple renderer material slots using GUID 31321ba15b8f8eb4c954353edc038b1d; outside legacy-root decision but same product-face default material poison.","package_default_material_on_product_face_player","RETAIN_AND_CANONICAL_RELINK_REQUIRED","Player visual owner must replace with project-owned suit/visor/glove/fins material source and preserve anchors.","Use default/package material on retained player body/suit visuals.","Player anchor snapshot comparison; material role proof; compact/high first-person and external screenshots."
"Package-cache Lit.mat source"," .codexbuild/ShallowsBakeProject_20260514_030549/Library/PackageCache/com.unity.render-pipelines.universal@580a03820d50/Runtime/Materials/Lit.mat.meta","Meta lookup for GUID 31321ba15b8f8eb4c954353edc038b1d under .codexbuild PackageCache","GUID 31321ba15b8f8eb4c954353edc038b1d resolves to URP package-cache Lit.mat meta in .codexbuild, not an Assets/_Project production material asset.","package_cache_default_material_source","DELETE_FORBIDDEN_WITHOUT_UNITY_OWNER","Use only as diagnostic resolution evidence. Replace product-face references with project-owned material assets in Unity owner slots.","Mutate package-cache material; copy blindly into product route; claim default Lit as production material proof.","Project-owned replacement material paths and imports; no remaining product-face references to this GUID."
"Report-only historical/default mentions","Docs/Reports/Batch18 and Docs/Archive mentions of Item_Titanium STRUCTURES Buildings/Cube default material placeholder quarantine","Static rg over named reports plus broad scoped docs","Many report/task/archive hits mention these risks; report-only mentions are evidence history, not active production references. Current active source hits still include validators/editor scripts and MapMagic Old tries Terrain.asset.","report_only_or_historical_artifact","MISSING_STATIC_EVIDENCE","Future owner must separate active Assets references from report/archive/task mentions before any quarantine/delete decision.","Use old logs or report-only mentions as proof of active or inactive runtime reference.","Fresh scoped rg command output saved in handoff; Unity reference search if deletion/quarantine is attempted."
