source_id,blocked_factory,current_or_expected_runtime_prefab,required_asset_path_convention,mesh_silhouette_scale,texture_material_identity,collider_proxy_split,lod_hlod_minimum,manifest_proof_required,existing_source_candidate_static_result,cube_cylinder_sphere_fallback_prohibited_reason,low_middle_high_ultra_consequences,status
Power_Reactor,PowerGridPrefabFactory,Assets/Prefabs/Construction/Power/PFB_Reactor_Core.prefab,Assets/_Project/Prefabs/Construction/Power/Sources/PFB_PWR_Reactor_Core_Source.prefab plus Assets/_Project/Art/Meshes/Construction/Power/MESH_PWR_Reactor_Core_LOD0.asset..LOD2.asset and Assets/_Project/Art/Materials/Construction/Power/MAT_PWR_Reactor_Core.mat,"Pressure-rated reactor skid, roughly 2.2m x 1.4m x 1.6m; thick hull, service ribs, coolant loops, shielded core window, breaker handle, bolt/weld scale witnesses","Dark pressure metal, heat-stained shielding, warning paint, emissive core mask; TX_PWR_Reactor_Core_Albedo/Normal/MRAO/Emission with MRAO channel semantics declared","VIS_* mesh children only; COL_Reactor_Base boxes/capsules and interaction trigger; no visual MeshCollider; BreakerMetadata handle transforms preserved","LOD0/1/2 plus HLOD shell; dithered LOD fade and stable power-socket anchors","MANIFEST_PWR_Reactor_Core plus validation, material import, LOD/collider, flat/final/wire/compact/high captures, primitive scan, source provenance","Expected source folder Assets/_Project/Prefabs/Construction/Power/Sources is missing. No reactor source mesh found by static search. Related data/scripts only: ReactorCoreProfile and recipe assets, not visual source.","A cube hull plus cylinder core cannot show pressure shielding, service access, hazard identity, or expensive reactor face; stronger lighting would expose placeholder geometry","Low keeps readable hull/core/breaker silhouette with 1-chamfer edges; Middle adds cables/labels; High adds wetness/heat/corrosion detail; Ultra adds dense bolts/secondary hoses/emissive dirt without changing power truth",BLOCKED_NO_REAL_SOURCE
Power_RTG,PowerGridPrefabFactory,Assets/Prefabs/Construction/Power/PFB_RTG_Cask.prefab,Assets/_Project/Prefabs/Construction/Power/Sources/PFB_PWR_RTG_Cask_Source.prefab plus MESH_PWR_RTG_Cask_LOD0..LOD2 and MAT_PWR_RTG_Cask,"Compact horizontal isotope cask about 1.2m long, finned heat sink, shielding bands, capped ends, carry lugs, warning tags","Brushed/dark alloy, radiation ceramic caps, oxidized heat fins, small amber emission; channel-packed MRAO with AO in cavities","COL_RTG_Cask capsule/boxes; VIS_RTG_* separate; no LOD0 MeshCollider; simple hazard trigger if needed","LOD0/1/2 and HLOD silhouette preserving cask+fins","Manifest, validation, material import, LOD/collider, flat/final/wire, compact/high captures, no primitive GUID scan","Power source folder missing. RtgDecayMathTests and RtgGeneratorContracts exist, but no visual source path was found.","A cylinder with cube fins reads as debug isotope barrel, not a pressure-rated radioactive power source","Low preserves cask/fins and radiation tags; Middle adds wear bands; High adds heat staining and finer fin bevels; Ultra adds dense fasteners and decal grime only",BLOCKED_NO_REAL_SOURCE
Power_Battery,PowerGridPrefabFactory,Assets/Prefabs/Construction/Power/PFB_Battery_Bank.prefab,Assets/_Project/Prefabs/Construction/Power/Sources/PFB_PWR_Battery_Bank_Source.prefab plus MESH_PWR_Battery_Bank_LOD0..LOD2 and MAT_PWR_Battery_Bank,"1.6m service battery bank, tray cradle, 3-6 removable cells, bus bars, latch rails, cable glands, status ports","Rubberized casing, ceramic insulators, copper bus bars, worn labels, subtle charge LEDs; MRAO plus emission mask","COL_Battery_Cradle boxes and per-cell coarse boxes; PhysicalBatteryCompartment anchors if used; no visual mesh collision","LOD0/1/2; HLOD keeps cradle/cell read at distance","Manifest with cell/socket metadata, validation, import report, render proof, primitive scan","No power visual source folder. BatteryCell data, BatteryCharger scripts, and battery UI sprite exist; none are source meshes.","Stacked cubes cannot prove removable cell identity, bus bars, terminals, or expensive equipment face","Low keeps cradle/cells/terminals; Middle adds labels and bus bars; High adds material breakup/cables; Ultra adds cell seams, grime, micro bolts",BLOCKED_NO_REAL_SOURCE
Power_Relay,PowerGridPrefabFactory,Assets/Prefabs/Construction/Power/PFB_Relay_Node.prefab,Assets/_Project/Prefabs/Construction/Power/Sources/PFB_PWR_Relay_Node_Source.prefab plus MESH_PWR_Relay_Node_LOD0..LOD2 and MAT_PWR_Relay_Node,"0.9m six-port relay hub, armored cube/hex body, socket collars, cable strain reliefs, clamps, status lens","Painted industrial alloy, rubber sockets, copper/ceramic contacts, amber/cyan tiny status emission; packed MRAO","COL_Relay_Core box plus socket trigger capsules; stable port transforms; no visual MeshCollider","LOD0/1/2 and HLOD; port silhouettes survive LOD2","Manifest with six-port list, validation, material/texture report, compact/high captures, primitive scan","Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab exists but is proxy-class, not acceptable as final source. FamilyProfile_power_service_junction exists as data only.","Cube hub with cube ports is exactly the blocked analytic fallback and fails route-power readability","Low keeps core and six sockets; Middle adds socket collars; High adds cable/label/wetness; Ultra adds exposed contacts and dense decals",BLOCKED_PROXY_ONLY_CANDIDATE
Power_Breaker,PowerGridPrefabFactory,Assets/Prefabs/Construction/Power/PFB_Breaker_Toggle.prefab,Assets/_Project/Prefabs/Construction/Power/Sources/PFB_PWR_Breaker_Toggle_Source.prefab plus MESH_PWR_Breaker_Toggle_LOD0..LOD2 and MAT_PWR_Breaker_Toggle,"Wall/floor breaker panel about 0.8m x 1.1m, hinged lever, guarded throw arc, label plate, bolts, insulated backing","Scratched painted backplate, rubberized lever grip, ceramic insulator, warning paint, contact scorch marks; MRAO with AO/scorch/emission mask","COL_Breaker_Backplate box plus interaction trigger; BreakerMetadata handle transform/axis is required; visual mesh separate","LOD0/1/2; LOD2 preserves lever state silhouette","Manifest with breaker axis/handle proof, validation, material import, interaction/collider report, captures","No breaker visual source found. BreakerMetadata and PowerBreakerRuntime code exist only as runtime metadata support.","A cube panel and cube lever cannot support believable switch affordance or handle-axis proof","Low keeps backplate/lever/guard readable; Middle adds labels/scorch; High adds bevels/gaskets; Ultra adds dense screw/wear detail",BLOCKED_NO_REAL_SOURCE
Power_Junction,PowerGridPrefabFactory,Assets/Prefabs/Construction/Power/PFB_Junction_SixPort.prefab,Assets/_Project/Prefabs/Construction/Power/Sources/PFB_PWR_Junction_SixPort_Source.prefab plus MESH_PWR_Junction_SixPort_LOD0..LOD2 and MAT_PWR_Junction_SixPort,"Six-port cable junction, 0.8-1.0m body, radial sockets, removable cap, clamp ears, cable strain relief","Pressure metal shell, rubber gaskets, exposed copper/ceramic contact hints, paint wear around ports; MRAO and label/decal atlas","COL_Junction_Core sphere/box plus socket triggers; VIS separate; stable port transforms","LOD0/1/2 and HLOD; socket arrangement preserved","Manifest with port count, validation, material import, LOD/collider, compact/high captures","Data junction templates/buildables exist, but no power source visual folder or junction source mesh found.","Sphere/cube junction fallback destroys cable-route identity and cannot prove socket ownership","Low preserves six-port silhouette; Middle adds gaskets; High adds cable anchors/wetness; Ultra adds cap seams, bolts, exposed contacts",BLOCKED_NO_REAL_SOURCE
Resource_TitaniumScrap,ResourceWorldBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_TitaniumScrap.prefab,Assets/_Project/Prefabs/Resources/Sources/PFB_RES_TitaniumScrap_Source.prefab plus Assets/_Project/Art/Meshes/Resources/MESH_RES_TitaniumScrap_LOD0..LOD2.asset and MAT_RES_TitaniumScrap,"Hand pickup 0.25-0.45m; bent cut plate fragments, torn fastener holes, layered metal thickness, asymmetrical silhouette","Brushed/torn titanium alloy, salt scratches, exposed edges, low rust, wetness; Albedo/Normal/MRAO with metallic high and roughness varied","COL_TitaniumScrap simple convex/box cluster or trigger; WorldItemProxy remains dumb; no smart pickup logic in mesh","LOD0/1/2; HLOD/icon silhouette for resource proxy registry","Manifest, item hash link to Data_TitaniumScrap, validation, material import, LOD/collider, flat/final/wire captures","Current PFB_Resource_TitaniumScrap.prefab exists but 1860 classified ResourceWorldBootstrapAuthoring as primitive blocker. Data_TitaniumScrap.asset exists. No real source mesh/proof found.","Cube scrap is abstract currency and fails salvage weight; texture cannot hide box silhouette","Low keeps bent plate silhouette; Middle adds bolts/cut edges; High adds layered damage/wetness; Ultra adds micro scratches and multiple fragment variants",BLOCKED_PRIMITIVE_CURRENT
Resource_CopperOre,ResourceWorldBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_CopperOre.prefab,Assets/_Project/Prefabs/Resources/Sources/PFB_RES_CopperOre_Source.prefab plus MESH_RES_CopperOre_LOD0..LOD2 and MAT_RES_CopperOre,"0.25-0.35m mineral chunk; fractured nugget with vein planes, not perfect cube; multiple lumpy chips acceptable if authored","Oxidized copper/green-blue patina, darker host rock, metallic vein glints; packed MRAO with metallic veins only","COL_CopperOre low-poly convex hull/trigger; visual separate; no runtime mesh collider cooking","LOD0/1/2; HLOD resource silhouette","Manifest with explicit CopperOre pickup to Data_Copper.asset binding, validation, material import, proof captures","PFB_Resource_CopperOre.prefab exists. ResourceWorldBootstrapAuthoring loads Data_Copper.asset and names the visible pickup CopperOre. No missing item asset is proven; future source manifest must record the alias. No source mesh/proof found.","Cube ore looks like debug voxel, not mined material","Low preserves fractured silhouette and copper color; Middle adds host-rock variation; High adds vein normal detail; Ultra adds mineral inclusions and wet patina",BLOCKED_PRIMITIVE_CURRENT_ALIAS_MANIFEST_REQUIRED
Resource_SilicaShards,ResourceWorldBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab,Assets/_Project/Prefabs/Resources/Sources/PFB_RES_SilicaShards_Source.prefab plus MESH_RES_SilicaShards_LOD0..LOD2 and MAT_RES_SilicaShards,"0.18-0.32m cluster of sharp translucent shards, varied blade heights, broken crystalline planes","Pale glassy silica, translucent/opaque mix via material policy, chipped white edges, AO in shard roots; MRAO plus optional height/opacity mask if shader supports","COL_SilicaShards coarse convex/trigger avoiding thin shard collision; no visual MeshCollider","LOD0/1/2; LOD2 keeps jagged shard cluster silhouette","Manifest, Data_SilicaShards link, validation, material/import proof, compact/high captures","PFB_Resource_SilicaShards.prefab and Data_SilicaShards.asset exist; current prefab from sphere primitive route. No real source mesh/proof found.","Sphere fallback contradicts shard identity and removes fracture read","Low keeps jagged cluster shape; Middle adds shard count/material edges; High adds normal/glass response; Ultra adds tiny chips and richer roughness variation",BLOCKED_PRIMITIVE_CURRENT
Resource_FiberKelp,ResourceWorldBootstrapAuthoring,Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_FiberKelp.prefab,Assets/_Project/Prefabs/Resources/Sources/PFB_RES_FiberKelp_Bundle_Source.prefab plus MESH_RES_FiberKelp_LOD0..LOD2 and MAT_RES_FiberKelp,"0.35-0.65m harvested kelp fiber bundle, strapped ribbons, ragged wet fronds, roots/cut ends visible","Wet fibrous green-brown kelp, translucent edges, biofilm, cut pale fibers; vertex colors can carry sway/biolum/AO/stability if reused from flora","COL_FiberKelp trigger capsule/box only; no per-frond collision; visual separate","LOD0/1/2; HLOD/instanced proxy silhouette; alpha clip not blend on compact","Manifest, Data_FiberKelp link, flora source provenance if reused, vertex color contract, material proof, captures","Generated kelp sources exist under Assets/_Project/Art/Generated/Flora/BioForge/Shallows/Kelp and baked kelp prefabs exist, but 1858 says no manifests/named proof; candidate only.","Capsule fallback reads as pill, not harvested biological fiber","Low keeps ragged bundle silhouette; Middle adds frond/cut variation; High adds wet translucency and strand normals; Ultra adds dense fibers and biofilm detail",CANDIDATE_SOURCE_PENDING_MANIFEST_PROOF
