release_set,packet_id,route_moment,first_20_relevance,evidence_object,unlock_condition,spoiler_level,surfaces,player_decision_changed,canon_sources,localization_risk,implementation_note
RS110,P410_CAPSULE_SEAL_SWEAT,Deep Descent Trigger,high,Damaged console related to Capsule Seal Condensation Log,Player encounters capsule seal condensation log sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS110,P411_BLACK_KEEL_DEAD_CLAIM_HANDSHAKE,Deep Descent Trigger,high,Damaged console related to Black Keel Dead Claim Handshake,Player encounters black keel dead claim handshake sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS110,P412_SHALLOW_ANNEX_P63_FIRST_PUMP,Deep Descent Trigger,high,Damaged console related to Shallow Annex P-63 Initial Pump,Player encounters shallow annex p-63 initial pump sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS110,P413_PRESSURE_DOOR_MANUAL_BYPASS,Deep Descent Trigger,high,Damaged console related to Pressure Door Manual Bypass,Player encounters pressure door manual bypass sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS110,P414_OXYGEN_RESERVE_DIRTY_MARGIN,Deep Descent Trigger,high,Damaged console related to Oxygen Reserve Dirty Margin,Player encounters oxygen reserve dirty margin sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS110,P415_FIRST_SCAN_FALSE_CLEAN_LANGUAGE,Deep Descent Trigger,high,Damaged console related to Initial Scan: False Clean Language,Player encounters initial scan: false clean language sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS110,P416_ROUTE_BEACON_SALT_CORROSION,Deep Descent Trigger,high,Damaged console related to Route Beacon Salt Corrosion,Player encounters route beacon salt corrosion sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS110,P417_MARAUDER_RECOVERY_NOTE_01,Deep Descent Trigger,high,Damaged console related to Marauder Recovery Note 01,Player encounters marauder recovery note 01 sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS110,P418_BARNARD_YARDS_PROCEDURE_TRACE,Deep Descent Trigger,high,Damaged console related to Barnard Yards Procedure Trace,Player encounters barnard yards procedure trace sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
RS110,P419_BLUE_DEBT_SAMPLE_BAG_WARNING,Deep Descent Trigger,high,Damaged console related to Blue Debt Sample Bag Warning,Player encounters blue debt sample bag warning sector,medium,"pda, terminal, wall_scratch",Re-evaluates trust in corporate routing versus physical markers.,"Lore_Bible.md, Canon_Locks.md","High jargon density, risk of idiom mistranslation.",Ensure UI fits the text without scrolling glitches.
