"path","class","role_candidate","disposition","width","height","size_mb","srgb","mipmaps","streaming_mips","risk_notes"
"Assets/_Project/Art/TEXTURES/Weather/TX_FogLUT_BiolumeBloom.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","32","1","0","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching.v2/albedo___family.coral.branching.v2.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.488","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching.v2/detail___family.coral.branching.v2.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.541","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching.v2/mask___family.coral.branching.v2.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.441","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching.v2/normal___family.coral.branching.v2.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.407","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/albedo___family.coral.branching.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.822","1","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/detail___family.coral.branching.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","9.108","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/mask___family.coral.branching.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.415","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/normal___family.coral.branching.png","flora_coral_fauna","packed_mask_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","2048","2048","6.767","0","1","0","streaming_mips_disabled"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/albedo___family.coral.brittle.png","flora_coral_fauna","bio_material_source","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF","1024","1024","2.448","1","1","0","streaming_mips_disabled"
