step_id,domain,action,files_or_scene_paths,dependencies,proof_required,rejection_condition
1816_STEP_01_SOURCE_SYNC,OFFLINE_PREP,"Read this packet, 1806 route CSV, 1808 Aegir matrix, 1809 biota CSV, and 1810 proof checklist; do not promote static evidence to runtime proof.","Docs/Reports/Batch18/1816_SURFACE_ROUTE_UNITY_SLOT_PACKET.md; Docs/Reports/Batch18/1806_SURFACE_ROUTE_ACTION_MANIFEST.csv; Docs/Reports/Batch18/1808_AEGIR_SKY_BINDING_MATRIX.csv; Docs/Reports/Batch18/1809_PHOTIC_SHALLOWS_BIOTA_MANIFEST.csv; Docs/Reports/Batch18/1810_SURFACE_ROUTE_CAPTURE_CHECKLIST.csv","None","STATIC_DOC packet review only; all runtime proof stays PENDING UNITY SLOT.","Reject if any static path, YAML row, old screenshot, or report prose is treated as current runtime proof."
1816_STEP_02_UNITY_BASELINE,UNITY_OWNER,"Open the route only when Unity slot, build, and CPU gates pass; record console and baseline state before edits.","Assets/_Project/Scenes/02_HECTON_WORLD.unity; Main Camera; Player","1816_STEP_01_SOURCE_SYNC","PENDING UNITY SLOT: current console state, baseline screenshot, slot start/stop notes.","Reject if Unity/profiler/build is run in parallel with another owner or if baseline state is not recorded before edits."
1816_STEP_03_ACTIVE_SCENE_SURVEY,UNITY_OWNER,"Inspect active scene references from 1806 and classify active, candidate-only, rejected, and stale objects before changes.","Route_Anchor; Route_Frontier; Node_Copper_A; Scrap_A; Forward_Fabricator; Fabrication_Outpost; Resource_FieldSources; Starter_ReefField; H8_SURFACE_COASTAL_ISLAND_1428; H8_SURFACE_SHORE_FOAM_1428; SURFACE_FOAM_RIBBON_1428_*; HectonCelestialEngine","1816_STEP_02_UNITY_BASELINE","PENDING UNITY SLOT: Inspector/material binding notes and screenshot of current active scene route.","Reject if inactive or disabled candidates are cited as active proof."
1816_STEP_04_AEGIR_ACTIVE_PATH,UNITY_OWNER,"Prove or fix active sky/Aegir route before using sky screenshots; verify skybox, Aegir renderer, clouds, moons, and sun disc.","Mat_HectonSky.mat; H8_SURFACE_AEGIR_GAS_GIANT_REAL_1428; MAT_AegirGasGiant_Impostor_1428.mat; H8_SURFACE_CLOUD_DECK_LOW_1428; H8_SURFACE_CLOUD_DECK_HIGH_1428; H8_SURFACE_MOON_KHEPRI_REAL_1428; H8_SURFACE_MOON_THALOS_REAL_1428","1816_STEP_03_ACTIVE_SCENE_SURVEY; 1808_AEGIR_SKY_BINDING_MATRIX.csv","PENDING UNITY SLOT: 1810_PROOF_02 screenshot plus Frame Debugger/material binding proof.","Reject if disabled H8_AEGIR_SKY_BACKDROP_1428, inactive SURFACE_GAS_GIANT_1428, or noir sky cards are used as proof or cover."
1816_STEP_05_OCEAN_ROUTE,UNITY_OWNER,"Inspect Ocean_Crest and first-party ocean material candidates; establish premium water surface without blind Crest camera enable.","Assets/_Project/Prefabs/Ocean_Crest.prefab; Assets/_Project/Art/Materials/MAT_H8_SurfaceCrestOcean_1428.mat; Assets/_Project/Art/TEXTURES/TX_H8_SurfaceWaterNormals_1428.asset; Assets/_Project/Art/Materials/World/MAT_H8SurfaceOceanRead_1428.mat","1816_STEP_03_ACTIVE_SCENE_SURVEY; 1816_STEP_04_AEGIR_ACTIVE_PATH","PENDING UNITY SLOT: surface ocean screenshot, water material/pass Frame Debugger, profiler/GC artifact if modified.","Reject flat broad blue water, blind Crest realtime depth/foam camera enable, third-party package mutation, or unmeasured expensive water path."
1816_STEP_06_SHORELINE_PENDING_1807,OFFLINE_PREP_AND_UNITY_OWNER,"Mark shoreline offline bake spec PENDING_1807; inspect only existing foam and wet-edge candidates until a valid bake spec exists.","Docs/Reports/Batch18/1807_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md missing; H8_SURFACE_SHORE_FOAM_1428; SURFACE_FOAM_RIBBON_1428_*; MAT_H8_SurfaceFoamRibbons_1428.mat; H8_ShorelineFoamRibbon_1428.shader","1816_STEP_05_OCEAN_ROUTE","PENDING_1807 plus PENDING UNITY SLOT: waterline close-up and foam material/pass proof for existing candidates.","Reject if the future owner waits indefinitely for 1807, invents shoreline bake details, or accepts flat-color foam."
1816_STEP_07_COAST_WET_BASALT,UNITY_OWNER,"Establish coast, wet basalt, foam contact, sediment, and rock dressing without grey procedural read.","H8_SURFACE_COASTAL_ISLAND_1428; MAT_H8SurfaceWetBasaltReal_1428.mat; MAT_SurfaceIslandWetBasalt_1428.mat; TX_H8SurfaceBasaltWetSediment_1428.asset; TX_SurfaceBasaltWetStrata_1428.asset; Assets/_Project/Prefabs/Nature/Rocks/ProceduralFinals","1816_STEP_06_SHORELINE_PENDING_1807","PENDING UNITY SLOT: 1810_PROOF_04 close coast screenshot, material binding proof, batches/SetPass/VRAM notes if dressed.","Reject smooth noise terrain, grey blockout, untextured basalt, route-hidden coast, or excessive dressing without metrics."
1816_STEP_08_PHOTIC_ENTRY,UNITY_OWNER,"Apply 0-5 m and 5-20 m biota intent around Route_Anchor and Starter_ReefField while keeping first descent readable.","Route_Anchor; Starter_ReefField; Assets/_Project/Prefabs/Nature/Flora/Baked; MAT_family_kelp_canopy; MAT_family_coral_low; MAT_family_kelp_tall; MAT_family_coral_branching","1816_STEP_07_COAST_WET_BASALT; 1809_PHOTIC_SHALLOWS_BIOTA_MANIFEST.csv","PENDING UNITY SLOT: 1810_PROOF_05 5-20 m capture and scatter/instancing profiler/GC proof if runtime scatter is touched.","Reject empty blue entry, random rim clutter, unreadable grass, or biota that blocks route/return cues."
1816_STEP_09_RESOURCE_BOWL,UNITY_OWNER,"Apply 20-45 m resource-bowl biota rules so Copper_A and Scrap_A remain visible through authored shelter and landmarks.","Node_Copper_A; Scrap_A; Starter_ReefField_Core rows from 1809; family_kelp_patch_dense; family_coral_massive; family_coral_plate","1816_STEP_08_PHOTIC_ENTRY","PENDING UNITY SLOT: resource-pocket screenshot showing Copper_A and Scrap_A readability plus route return cue.","Reject if resource readability is blocked, route becomes a kelp maze, or scatter is uniform noise."
1816_STEP_10_LOWER_PHOTIC,UNITY_OWNER,"Establish 30-100 m photic route, lower silhouettes, biolum bead intent, and forward/return readability without abyss/noir treatment.","Route_Frontier; 30-100 m rows from 1809; WaterOpticsRuntime.cs; HectonWaterOpticsTelemetryFeature.cs; HectonDeferredCausticsFeature.cs; Hecton_HUD_AcousticRadarOverlay.shader","1816_STEP_09_RESOURCE_BOWL","PENDING UNITY SLOT: 1810_PROOF_06 paired route screenshots and optics/render profiler/GC proof if features are changed.","Reject fog/darkness cover, unreadable instruments, ultra-only route cues, or random biolum noise."
