source_file,line,map_type,packet_id,packet_known,expected_packet_hash_hex,supplied_packet_hash,primary_component,primary_field,primary_hook_known,secondary_component,secondary_field,secondary_hook_known,existing_candidate_paths,missing_referenced_paths,status
Docs/Lore/AppliedContent/binding_maps/061_runtime_binding_map.csv,2,061_runtime_binding_map.csv,P301_RESOURCE_YIELD_ROW_CONTRACT,yes,0x4AE2AC6C,0x4AE2AC6C,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/061_runtime_binding_map.csv,3,061_runtime_binding_map.csv,P302_STACK_LIMIT_ROW_CONTRACT,yes,0x2866E81D,0x2866E81D,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/061_runtime_binding_map.csv,4,061_runtime_binding_map.csv,P303_ESCAPE_RECIPE_COST_ROW_CONTRACT,yes,0x88B450B6,0x88B450B6,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/061_runtime_binding_map.csv,5,061_runtime_binding_map.csv,P304_CONTRACT_RISK_REWARD_ROW_CONTRACT,yes,0x72F9D14F,0x72F9D14F,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/061_runtime_binding_map.csv,6,061_runtime_binding_map.csv,P305_ENDING_PAYOUT_ROW_CONTRACT,yes,0x185BE10C,0x185BE10C,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/061_scene_binding_targets.csv,2,061_scene_binding_targets.csv,P301_RESOURCE_YIELD_ROW_CONTRACT,yes,0x4AE2AC6C,0x4AE2AC6C,NarrativeDiscovery,appliedLorePacketHash,yes,,,n/a,2,,OK
Docs/Lore/AppliedContent/binding_maps/061_scene_binding_targets.csv,3,061_scene_binding_targets.csv,P302_STACK_LIMIT_ROW_CONTRACT,yes,0x2866E81D,0x2866E81D,NarrativeDiscovery,appliedLorePacketHash,yes,,,n/a,2,,OK
Docs/Lore/AppliedContent/binding_maps/061_scene_binding_targets.csv,4,061_scene_binding_targets.csv,P303_ESCAPE_RECIPE_COST_ROW_CONTRACT,yes,0x88B450B6,0x88B450B6,NarrativeDiscovery,appliedLorePacketHash,yes,,,n/a,2,,OK
Docs/Lore/AppliedContent/binding_maps/061_scene_binding_targets.csv,5,061_scene_binding_targets.csv,P304_CONTRACT_RISK_REWARD_ROW_CONTRACT,yes,0x72F9D14F,0x72F9D14F,NarrativeDiscovery,appliedLorePacketHash,yes,,,n/a,2,,OK
Docs/Lore/AppliedContent/binding_maps/061_scene_binding_targets.csv,6,061_scene_binding_targets.csv,P305_ENDING_PAYOUT_ROW_CONTRACT,yes,0x185BE10C,0x185BE10C,NarrativeDiscovery,appliedLorePacketHash,yes,,,n/a,2,,OK
Docs/Lore/AppliedContent/binding_maps/062_runtime_binding_map.csv,2,062_runtime_binding_map.csv,P306_PDA_CODEX_STATE_PROOF_CARD,yes,0x6C53EF40,0x6C53EF40,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/062_runtime_binding_map.csv,3,062_runtime_binding_map.csv,P307_SCANNER_STAGE_BINDING_PROOF_CARD,yes,0xC76523D1,0xC76523D1,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/062_runtime_binding_map.csv,4,062_runtime_binding_map.csv,P308_TERMINAL_SLOT_PROOF_CARD,yes,0x6893462E,0x6893462E,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/062_runtime_binding_map.csv,5,062_runtime_binding_map.csv,P309_DOSSIER_ENDING_RECORD_PROOF_CARD,yes,0xBF2F2649,0xBF2F2649,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/062_runtime_binding_map.csv,6,062_runtime_binding_map.csv,P310_LOCALIZED_OVERFLOW_PROOF_CARD,yes,0x7573DC1E,0x7573DC1E,NarrativeDiscovery,appliedLorePacketHash,yes,MessageTerminal,appliedLorePacketHash,yes,0,,OK
Docs/Lore/AppliedContent/binding_maps/062_scene_binding_targets.csv,2,062_scene_binding_targets.csv,P306_PDA_CODEX_STATE_PROOF_CARD,yes,0x6C53EF40,0x6C53EF40,NarrativeDiscovery,appliedLorePacketHash,yes,,,n/a,2,,OK
Docs/Lore/AppliedContent/binding_maps/062_scene_binding_targets.csv,3,062_scene_binding_targets.csv,P307_SCANNER_STAGE_BINDING_PROOF_CARD,yes,0xC76523D1,0xC76523D1,NarrativeDiscovery,appliedLorePacketHash,yes,,,n/a,2,,OK
Docs/Lore/AppliedContent/binding_maps/062_scene_binding_targets.csv,4,062_scene_binding_targets.csv,P308_TERMINAL_SLOT_PROOF_CARD,yes,0x6893462E,0x6893462E,NarrativeDiscovery,appliedLorePacketHash,yes,,,n/a,2,,OK
Docs/Lore/AppliedContent/binding_maps/062_scene_binding_targets.csv,5,062_scene_binding_targets.csv,P309_DOSSIER_ENDING_RECORD_PROOF_CARD,yes,0xBF2F2649,0xBF2F2649,NarrativeDiscovery,appliedLorePacketHash,yes,,,n/a,2,,OK
