file,line,callback,call_chain,pattern,classification,risk,no_edit_proof
"Assets/_Project/Scripts/Audio/Synthesis/DynamicMusic/DynamicMusicGranularSynthesizer.cs",775,"OnAudioFilterRead","callback entry","Unity managed audio callback remains in runtime source","YELLOW_MANAGED_TRANSFER_BRIDGE_RELEASE_BLOCKED","Release audio cannot claim native/DSP-clean output from static source alone.","rg OnAudioFilterRead"
"Assets/_Project/Scripts/Audio/Synthesis/DynamicMusic/DynamicMusicGranularSynthesizer.cs",785,"OnAudioFilterRead","callback body","Volatile writes `_lastAudioChannels` from audio thread","CALLBACK_STATE_MUTATION","Audio callback mutates owner-side scheduling/request state.","rg Volatile.Write"
"Assets/_Project/Scripts/Audio/Synthesis/DynamicMusic/DynamicMusicGranularSynthesizer.cs",786,"OnAudioFilterRead","callback body","Volatile writes `_lastAudioRequestSamples` from audio thread","CALLBACK_STATE_MUTATION","Audio callback influences producer scheduling size.","rg Volatile.Write"
"Assets/_Project/Scripts/Audio/Synthesis/DynamicMusic/DynamicMusicGranularSynthesizer.cs",802,"OnAudioFilterRead -> TryResolvePublishedAudioThreadCopyBuffer","callback direct callee","Resolves local `NativeArray<float>` copy buffer from callback","TRANSFER_BRIDGE_REVIEW","No obvious allocation token, but native/managed callback endpoint still lacks runtime proof.","rg TryResolvePublishedAudioThreadCopyBuffer"
"Assets/_Project/Scripts/Audio/Synthesis/DynamicMusic/DynamicMusicGranularSynthesizer.cs",812,"OnAudioFilterRead","callback body","Pins managed Unity `float[]` callback buffer","MANAGED_CALLBACK_TRANSFER","Static no-allocation shape, but still Unity managed callback path.","rg fixed"
"Assets/_Project/Scripts/Audio/Synthesis/DynamicMusic/DynamicMusicGranularSynthesizer.cs",814,"OnAudioFilterRead","callback body","`UnsafeUtility.MemCpy` from native copy buffer into managed callback data","TRANSFER_BRIDGE_REVIEW","Transfer shim only; release acceptance needs native bridge/DSP profiler proof.","rg UnsafeUtility.MemCpy"
"Assets/_Project/Scripts/Audio/Synthesis/DynamicMusic/DynamicMusicGranularSynthesizer.cs",2268,"OnAudioFilterRead -> ZeroManagedAudioBuffer","direct callee","Manual zero loop over managed callback array","SAFE_STATIC_ZERO_FILL","No allocation token in static source; used for underrun/invalid host silence.","rg ZeroManagedAudioBuffer"
"Assets/_Project/Scripts/Audio/Synthesis/VocalBankPlaybackRuntime.cs",421,"OnAudioFilterRead","callback entry","Unity managed audio callback remains in runtime source","RED_MANAGED_CALLBACK_DECODE_RELEASE_BLOCKED","Callback does more than transfer: it acquires views, decodes, times, and writes telemetry.","rg OnAudioFilterRead"
"Assets/_Project/Scripts/Audio/Synthesis/VocalBankPlaybackRuntime.cs",435,"OnAudioFilterRead","callback body","`Interlocked.Increment(ref _audioCallbackInFlight)`","CALLBACK_LIFETIME_COORDINATION","Callback participates in teardown/bank mutation coordination.","rg _audioCallbackInFlight"
"Assets/_Project/Scripts/Audio/Synthesis/VocalBankPlaybackRuntime.cs",441,"OnAudioFilterRead -> TryAcquireAudioCallbackViews","callback direct callee","Acquires callback views before decoding","CALLBACK_DATAVAULT_VIEW_ACQUIRE","DataVault view/guard acquisition is in the managed callback path.","rg TryAcquireAudioCallbackViews"
"Assets/_Project/Scripts/Audio/Synthesis/VocalBankPlaybackRuntime.cs",526,"TryAcquireAudioCallbackViews -> TryAcquireLockedView","direct callee","Acquires state/codec/telemetry/counters/waveform/bank views with mutation guard","CALLBACK_MUTATION_GUARD","Audio callback locks and reads/writes shared runtime state.","rg TryAcquireLockedView"
"Assets/_Project/Scripts/Audio/Synthesis/VocalBankPlaybackRuntime.cs",459,"OnAudioFilterRead -> WriteVocalFault","callback direct callee","Writes fault counters/telemetry on bank miss","CALLBACK_TELEMETRY_WRITE","Telemetry mutation happens from callback on failure path.","rg WriteVocalFault"
"Assets/_Project/Scripts/Audio/Synthesis/VocalBankPlaybackRuntime.cs",463,"OnAudioFilterRead","callback body","`Stopwatch.GetTimestamp()` before decode","CALLBACK_TIMING_WORK","Timing work is in managed callback, not owner/producer phase.","rg Stopwatch"
"Assets/_Project/Scripts/Audio/Synthesis/VocalBankPlaybackRuntime.cs",464,"OnAudioFilterRead","callback body","Pins managed Unity `float[]` output","MANAGED_CALLBACK_DECODE","Callback pins managed array then decodes into it.","rg fixed"
"Assets/_Project/Scripts/Audio/Synthesis/VocalBankPlaybackRuntime.cs",466,"OnAudioFilterRead","callback body","Raw pointers resolved from DataVault `NativeArray` views","CALLBACK_POINTER_RESOLUTION","Native pointer resolution happens in the managed callback path.","rg NativeArrayUnsafeUtility"
