gap_id,family_or_route,slot_or_shader,current_contract_status,required_contract,blocked_reason,evidence_path,evidence_line_or_row,unity_owner_requirement
PF2008-C001,AI_UberNoir_ARM_ProductFace_Use,_ArmMap/_MaskMap/_MetallicGlossMap,BLOCKED_CHANNEL_CONTRACT,Exact shader slot and RGBA semantics per ProductFace material family,ARM mask and packed filenames are hints only; Batch19 1906 did not locate ProductFace truth,Docs/Reports/Batch19/1906_SHADER_CHANNEL_CONTRACT_MATRIX.csv,AI_UberNoir_ARM row,Declare contract before any ProductFace binding or reject as donor
PF2008-C002,ResourceMineral_Route,resource pickup material shader,BLOCKED_CHANNEL_CONTRACT,Per-mineral albedo normal and packed mask order with AO roughness metallic semantics stated,Resource mineral pickup shader route not locked by 1906,Docs/Reports/Batch19/1906_SHADER_CHANNEL_CONTRACT_MATRIX.csv,ResourceMineral_Route row,Choose shader ABI and write ProductFace texture manifest rows before import
PF2008-C003,ProductFaceResourceOrganics,organic pickup material shader,BLOCKED_CHANNEL_CONTRACT,Organic material family must state if ProceduralBio ORM applies or define a new channel contract,Organic pickup source cannot inherit bio/environment assumptions,Docs/Reports/Batch19/1906_PBR_CHANNEL_DERIVATION_QA.md,ProductFace resource source findings,Declare organic shader and packed map semantics before relink
PF2008-C004,TitaniumScrap_Route,scrap material shader,BLOCKED_CHANNEL_CONTRACT,TitaniumScrap must resolve MRAO/PackedMask/material family and preserve Data_TitaniumScrap,Scrap route has legacy Item_Titanium alias and flat shell material debt,Docs/Reports/Batch18/1897_TITANIUM_CANONICAL_RESOURCE_ROUTE_MATRIX.csv,TitaniumScrap and Item_Titanium rows,Canonicalize first then bind only after explicit channel contract
PF2008-C005,TransportHullRubberTrim_Route,transport hull rubber trim material shader,BLOCKED_CHANNEL_CONTRACT,Separate hull rubber trim channels with roughness metallic AO and damage/emission policy,Transport material route not locked; default package material debt exists,Docs/Reports/Batch19/1906_SHADER_CHANNEL_CONTRACT_MATRIX.csv,TransportHullRubberTrim_Route row,Author transport material family manifest before relink
PF2008-C006,TransportGlass_Route,transport glass material shader,BLOCKED_CHANNEL_CONTRACT,Glass transparency dirt scratch salt condensation/reflection semantics if used,SuitVisor contract is not a generic transport glass donor,Docs/Reports/Batch19/1906_SHADER_CHANNEL_CONTRACT_MATRIX.csv,TransportGlass_Route row,Declare transport glass contract and import expectations
PF2008-C007,PlayerSuitBodyTrim_Route,suit body trim material shader,BLOCKED_CHANNEL_CONTRACT,Body and trim packed masks must define metallic roughness/smoothness AO emission or wear channels,Only SuitVisor mask contract is static verified; body/trim route is not,Docs/Reports/Batch19/1906_SHADER_CHANNEL_CONTRACT_MATRIX.csv,PlayerSuitBodyTrim_Route row,Declare suit body/trim shader and texture stack before Player prefab relink
PF2008-C008,ToolScreenDiegetic,_ToolScreenTex plus declared unused slots,PARTIAL_CONTRACT_GAP,_ToolScreenTex RGB live display signal and alpha policy; unused _BaseMap/_MainTex/_EmissionMap must be removed or documented,1906 states screen signal contract while blocking unsampled declared slots,Docs/Reports/Batch19/1906_SHADER_CHANNEL_CONTRACT_MATRIX.csv,ToolScreenDiegetic row,Validate shader sampling before importing screen/emission textures
PF2008-C009,FoamRibbon_RGB,foam ribbon alpha or packed route,BLOCKED_CHANNEL_CONTRACT,If ProductFace-visible route uses foam ribbon textures then RGB/A semantics and source package must be stated,Environment/water route contracts are not ProductFace body PBR donors,Docs/Reports/Batch19/1906_SHADER_CHANNEL_CONTRACT_MATRIX.csv,FoamRibbon_RGB row,Keep as environment-owned unless a ProductFace owner records a separate contract
PF2008-C010,PhoticShallowsWaterClarity,water clarity texture set,BLOCKED_SOURCE_AND_CONTRACT,Source package and channel semantics required before ProductFace-adjacent validation,1906 flagged missing source package; water route cannot become ProductFace texture truth by proximity,Docs/Reports/Batch19/1906_SHADER_CHANNEL_CONTRACT_MATRIX.csv,PhoticShallowsWaterClarity row,Resolve under water/environment owner; do not use as ProductFace material donor
PF2008-C011,Generic_ORM_MRAO_ARM_Naming,all packed maps,CONVENTION_CONFLICT,Shader-specific manifest must state slot sRGB flag compression and RGBA meanings before import,Authority files and tools contain different generic pack orders; filename-only derivation is unsafe,AGENTS and Batch19 1906 plus MaterialAudit.py and TextureAuditAndBakeDirector_SHINOBU_361.py,static source comparison,Block import or relink until the ProductFace material manifest names the exact shader contract
