"evidence_class","source_kind","source_asset","source_line","profile_asset","profile_id","profile_label","section","cue_id","role_code","role_label","tension","weight","volume","clip_guid","ledger_path","ledger_cue_id","duration_sec","load_type","compression","quality","config_field","referenced_guid","referenced_asset_path","referenced_profile_id","direct_ref_context","notes"
"STATIC_SOURCE","CONFIG_NULL","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","25","","","","ConfigMixer","","","MixerGroup","","","","","","","","","","","_musicMixerGroup","","","","","null mixer group ref in static config"
"STATIC_SOURCE","CONFIG_NULL","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","26","","","","ConfigMixer","","","MixerGroup","","","","","","","","","","","_stingerMixerGroup","","","","","null mixer group ref in static config"
"STATIC_SOURCE","CONFIG_PREFAB","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","27","","","","RuntimePrefab","","","RuntimeOwner","","","","","","","","","","","_runtimeDirectorPrefab","7a86aa3ad745a104d84c2f6622d12430","Assets/_Project/Prefabs/Audio/PFB_HectonMusicDirectorRoot.prefab","","","runtime director prefab ref; not an audio clip"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","15","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_mainMenuProfile","a000aeb555c4daf43854afbd92c1f90e","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_MainMenu.asset","music.profile.main_menu","","MusicDirector route profile"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","16","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_prologueProfile","0cb5b6deded87d54983fe8faf4b8e5ef","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Prologue.asset","music.profile.prologue","","MusicDirector route profile"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","17","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_shallowProfile","5c06f44782ad09b46930905adc0afd58","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Shallow.asset","music.profile.shallow","","MusicDirector route profile"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","18","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_shelfProfile","7425e2778fc51b7479d751c2041d8989","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Shelf.asset","music.profile.shelf","","MusicDirector route profile"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","19","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_abyssProfile","519c105bce6086e48b69182e2951ca40","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","music.profile.abyss","","MusicDirector route profile"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","20","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_caveProfile","5b422ca990e5df94aa44756cd8034fc3","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Cave.asset","music.profile.cave","","MusicDirector route profile"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","21","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_thermalProfile","a1a53362b69461a49a59c04b635d606b","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Thermal.asset","music.profile.thermal","","MusicDirector route profile"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","22","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_baseProfile","d6f8719a6c773c24cb57a95c21c775d8","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Base.asset","music.profile.base","","MusicDirector route profile"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","23","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_combatProfile","f336cbafe44b5ae4bb4d4dc08d358e74","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Combat.asset","music.profile.combat","","MusicDirector route profile"
