release_set,packet_id,import_target,surface,owner_route,required_runtime_id,required_static_source,blocked_by,proof_needed,notes
RS124,P476,Database,Terminal UI,LoreMaster,ID_0,SourceFile.md,None,Yes,Pending
RS116,P451,Database,Terminal UI,LoreMaster,ID_1,SourceFile.md,None,Yes,Pending
RS113,P441,Database,Terminal UI,LoreMaster,ID_2,SourceFile.md,None,Yes,Pending
RS123,P500,Database,Terminal UI,LoreMaster,ID_3,SourceFile.md,None,Yes,Pending
RS117,P507,Database,Terminal UI,LoreMaster,ID_4,SourceFile.md,None,Yes,Pending
RS114,P443,Database,Terminal UI,LoreMaster,ID_5,SourceFile.md,None,Yes,Pending
RS114,P494,Database,Terminal UI,LoreMaster,ID_6,SourceFile.md,None,Yes,Pending
RS117,P512,Database,Terminal UI,LoreMaster,ID_7,SourceFile.md,None,Yes,Pending
RS120,P519,Database,Terminal UI,LoreMaster,ID_8,SourceFile.md,None,Yes,Pending
RS116,P526,Database,Terminal UI,LoreMaster,ID_9,SourceFile.md,None,Yes,Pending
RS118,P554,Database,Terminal UI,LoreMaster,ID_10,SourceFile.md,None,Yes,Pending
RS115,P473,Database,Terminal UI,LoreMaster,ID_11,SourceFile.md,None,Yes,Pending
RS119,P469,Database,Terminal UI,LoreMaster,ID_12,SourceFile.md,None,Yes,Pending
RS121,P470,Database,Terminal UI,LoreMaster,ID_13,SourceFile.md,None,Yes,Pending
RS119,P556,Database,Terminal UI,LoreMaster,ID_14,SourceFile.md,None,Yes,Pending
RS120,P446,Database,Terminal UI,LoreMaster,ID_15,SourceFile.md,None,Yes,Pending
RS122,P518,Database,Terminal UI,LoreMaster,ID_16,SourceFile.md,None,Yes,Pending
RS113,P529,Database,Terminal UI,LoreMaster,ID_17,SourceFile.md,None,Yes,Pending
RS121,P460,Database,Terminal UI,LoreMaster,ID_18,SourceFile.md,None,Yes,Pending
RS116,P480,Database,Terminal UI,LoreMaster,ID_19,SourceFile.md,None,Yes,Pending
RS121,P558,Database,Terminal UI,LoreMaster,ID_20,SourceFile.md,None,Yes,Pending
RS119,P483,Database,Terminal UI,LoreMaster,ID_21,SourceFile.md,None,Yes,Pending
RS120,P470,Database,Terminal UI,LoreMaster,ID_22,SourceFile.md,None,Yes,Pending
RS121,P497,Database,Terminal UI,LoreMaster,ID_23,SourceFile.md,None,Yes,Pending
RS124,P457,Database,Terminal UI,LoreMaster,ID_24,SourceFile.md,None,Yes,Pending
RS116,P446,Database,Terminal UI,LoreMaster,ID_25,SourceFile.md,None,Yes,Pending
RS119,P512,Database,Terminal UI,LoreMaster,ID_26,SourceFile.md,None,Yes,Pending
RS115,P473,Database,Terminal UI,LoreMaster,ID_27,SourceFile.md,None,Yes,Pending
RS120,P474,Database,Terminal UI,LoreMaster,ID_28,SourceFile.md,None,Yes,Pending
RS117,P514,Database,Terminal UI,LoreMaster,ID_29,SourceFile.md,None,Yes,Pending
RS120,P555,Database,Terminal UI,LoreMaster,ID_30,SourceFile.md,None,Yes,Pending
RS119,P477,Database,Terminal UI,LoreMaster,ID_31,SourceFile.md,None,Yes,Pending
RS114,P557,Database,Terminal UI,LoreMaster,ID_32,SourceFile.md,None,Yes,Pending
RS114,P498,Database,Terminal UI,LoreMaster,ID_33,SourceFile.md,None,Yes,Pending
RS113,P499,Database,Terminal UI,LoreMaster,ID_34,SourceFile.md,None,Yes,Pending
RS123,P506,Database,Terminal UI,LoreMaster,ID_35,SourceFile.md,None,Yes,Pending
RS116,P523,Database,Terminal UI,LoreMaster,ID_36,SourceFile.md,None,Yes,Pending
RS117,P526,Database,Terminal UI,LoreMaster,ID_37,SourceFile.md,None,Yes,Pending
RS120,P494,Database,Terminal UI,LoreMaster,ID_38,SourceFile.md,None,Yes,Pending
RS117,P510,Database,Terminal UI,LoreMaster,ID_39,SourceFile.md,None,Yes,Pending
RS124,P507,Database,Terminal UI,LoreMaster,ID_40,SourceFile.md,None,Yes,Pending
RS114,P523,Database,Terminal UI,LoreMaster,ID_41,SourceFile.md,None,Yes,Pending
RS116,P526,Database,Terminal UI,LoreMaster,ID_42,SourceFile.md,None,Yes,Pending
RS118,P550,Database,Terminal UI,LoreMaster,ID_43,SourceFile.md,None,Yes,Pending
RS115,P515,Database,Terminal UI,LoreMaster,ID_44,SourceFile.md,None,Yes,Pending
RS120,P491,Database,Terminal UI,LoreMaster,ID_45,SourceFile.md,None,Yes,Pending
RS113,P542,Database,Terminal UI,LoreMaster,ID_46,SourceFile.md,None,Yes,Pending
RS116,P513,Database,Terminal UI,LoreMaster,ID_47,SourceFile.md,None,Yes,Pending
RS122,P553,Database,Terminal UI,LoreMaster,ID_48,SourceFile.md,None,Yes,Pending
RS119,P519,Database,Terminal UI,LoreMaster,ID_49,SourceFile.md,None,Yes,Pending
RS119,P536,Database,Terminal UI,LoreMaster,ID_50,SourceFile.md,None,Yes,Pending
RS123,P504,Database,Terminal UI,LoreMaster,ID_51,SourceFile.md,None,Yes,Pending
RS123,P556,Database,Terminal UI,LoreMaster,ID_52,SourceFile.md,None,Yes,Pending
RS122,P531,Database,Terminal UI,LoreMaster,ID_53,SourceFile.md,None,Yes,Pending
RS120,P541,Database,Terminal UI,LoreMaster,ID_54,SourceFile.md,None,Yes,Pending
RS120,P473,Database,Terminal UI,LoreMaster,ID_55,SourceFile.md,None,Yes,Pending
RS115,P494,Database,Terminal UI,LoreMaster,ID_56,SourceFile.md,None,Yes,Pending
RS119,P534,Database,Terminal UI,LoreMaster,ID_57,SourceFile.md,None,Yes,Pending
RS120,P442,Database,Terminal UI,LoreMaster,ID_58,SourceFile.md,None,Yes,Pending
RS122,P490,Database,Terminal UI,LoreMaster,ID_59,SourceFile.md,None,Yes,Pending
RS121,P454,Database,Terminal UI,LoreMaster,ID_60,SourceFile.md,None,Yes,Pending
RS117,P467,Database,Terminal UI,LoreMaster,ID_61,SourceFile.md,None,Yes,Pending
RS115,P499,Database,Terminal UI,LoreMaster,ID_62,SourceFile.md,None,Yes,Pending
RS115,P545,Database,Terminal UI,LoreMaster,ID_63,SourceFile.md,None,Yes,Pending
RS116,P531,Database,Terminal UI,LoreMaster,ID_64,SourceFile.md,None,Yes,Pending
RS123,P469,Database,Terminal UI,LoreMaster,ID_65,SourceFile.md,None,Yes,Pending
RS118,P469,Database,Terminal UI,LoreMaster,ID_66,SourceFile.md,None,Yes,Pending
RS124,P510,Database,Terminal UI,LoreMaster,ID_67,SourceFile.md,None,Yes,Pending
RS122,P552,Database,Terminal UI,LoreMaster,ID_68,SourceFile.md,None,Yes,Pending
RS113,P496,Database,Terminal UI,LoreMaster,ID_69,SourceFile.md,None,Yes,Pending
RS117,P462,Database,Terminal UI,LoreMaster,ID_70,SourceFile.md,None,Yes,Pending
RS118,P518,Database,Terminal UI,LoreMaster,ID_71,SourceFile.md,None,Yes,Pending
RS120,P473,Database,Terminal UI,LoreMaster,ID_72,SourceFile.md,None,Yes,Pending
RS117,P526,Database,Terminal UI,LoreMaster,ID_73,SourceFile.md,None,Yes,Pending
RS118,P553,Database,Terminal UI,LoreMaster,ID_74,SourceFile.md,None,Yes,Pending
RS122,P512,Database,Terminal UI,LoreMaster,ID_75,SourceFile.md,None,Yes,Pending
RS115,P468,Database,Terminal UI,LoreMaster,ID_76,SourceFile.md,None,Yes,Pending
RS115,P558,Database,Terminal UI,LoreMaster,ID_77,SourceFile.md,None,Yes,Pending
RS117,P525,Database,Terminal UI,LoreMaster,ID_78,SourceFile.md,None,Yes,Pending
RS116,P512,Database,Terminal UI,LoreMaster,ID_79,SourceFile.md,None,Yes,Pending
RS124,P522,Database,Terminal UI,LoreMaster,ID_80,SourceFile.md,None,Yes,Pending
RS114,P472,Database,Terminal UI,LoreMaster,ID_81,SourceFile.md,None,Yes,Pending
RS120,P444,Database,Terminal UI,LoreMaster,ID_82,SourceFile.md,None,Yes,Pending
RS114,P499,Database,Terminal UI,LoreMaster,ID_83,SourceFile.md,None,Yes,Pending
RS123,P492,Database,Terminal UI,LoreMaster,ID_84,SourceFile.md,None,Yes,Pending
RS122,P552,Database,Terminal UI,LoreMaster,ID_85,SourceFile.md,None,Yes,Pending
RS120,P453,Database,Terminal UI,LoreMaster,ID_86,SourceFile.md,None,Yes,Pending
RS117,P493,Database,Terminal UI,LoreMaster,ID_87,SourceFile.md,None,Yes,Pending
RS116,P508,Database,Terminal UI,LoreMaster,ID_88,SourceFile.md,None,Yes,Pending
RS118,P505,Database,Terminal UI,LoreMaster,ID_89,SourceFile.md,None,Yes,Pending
RS124,P532,Database,Terminal UI,LoreMaster,ID_90,SourceFile.md,None,Yes,Pending
RS120,P447,Database,Terminal UI,LoreMaster,ID_91,SourceFile.md,None,Yes,Pending
RS119,P458,Database,Terminal UI,LoreMaster,ID_92,SourceFile.md,None,Yes,Pending
RS119,P528,Database,Terminal UI,LoreMaster,ID_93,SourceFile.md,None,Yes,Pending
RS118,P522,Database,Terminal UI,LoreMaster,ID_94,SourceFile.md,None,Yes,Pending
RS115,P455,Database,Terminal UI,LoreMaster,ID_95,SourceFile.md,None,Yes,Pending
RS115,P493,Database,Terminal UI,LoreMaster,ID_96,SourceFile.md,None,Yes,Pending
RS121,P493,Database,Terminal UI,LoreMaster,ID_97,SourceFile.md,None,Yes,Pending
RS121,P464,Database,Terminal UI,LoreMaster,ID_98,SourceFile.md,None,Yes,Pending
RS113,P441,Database,Terminal UI,LoreMaster,ID_99,SourceFile.md,None,Yes,Pending
RS122,P468,Database,Terminal UI,LoreMaster,ID_100,SourceFile.md,None,Yes,Pending
RS115,P558,Database,Terminal UI,LoreMaster,ID_101,SourceFile.md,None,Yes,Pending
RS117,P525,Database,Terminal UI,LoreMaster,ID_102,SourceFile.md,None,Yes,Pending
RS117,P504,Database,Terminal UI,LoreMaster,ID_103,SourceFile.md,None,Yes,Pending
RS114,P472,Database,Terminal UI,LoreMaster,ID_104,SourceFile.md,None,Yes,Pending
RS117,P550,Database,Terminal UI,LoreMaster,ID_105,SourceFile.md,None,Yes,Pending
RS119,P488,Database,Terminal UI,LoreMaster,ID_106,SourceFile.md,None,Yes,Pending
RS121,P493,Database,Terminal UI,LoreMaster,ID_107,SourceFile.md,None,Yes,Pending
RS121,P534,Database,Terminal UI,LoreMaster,ID_108,SourceFile.md,None,Yes,Pending
RS113,P528,Database,Terminal UI,LoreMaster,ID_109,SourceFile.md,None,Yes,Pending
RS114,P500,Database,Terminal UI,LoreMaster,ID_110,SourceFile.md,None,Yes,Pending
RS113,P465,Database,Terminal UI,LoreMaster,ID_111,SourceFile.md,None,Yes,Pending
RS117,P509,Database,Terminal UI,LoreMaster,ID_112,SourceFile.md,None,Yes,Pending
RS113,P523,Database,Terminal UI,LoreMaster,ID_113,SourceFile.md,None,Yes,Pending
RS115,P504,Database,Terminal UI,LoreMaster,ID_114,SourceFile.md,None,Yes,Pending
