packet_id,packet_hash_hex,packet_hash_decimal,authoring_component,serialized_field,primary_target_candidates,secondary_target_candidates,unity_safe_action,notes
P001_CRASH_SHELF,0xBBDE0731,3151890225,NarrativeDiscovery,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_field__field.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_safe__shelter.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Debris_WreckField.prefab; Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Pocket_Safe.prefab","Manual Unity API/editor pass: assign NarrativeDiscovery on the actual crash shell or first shelter prop, then assign 0xBBDE0731.","First-hour capsule/shelter truth must be spatial and physical, not a generic codex unlock."
P002_BLACK_KEEL_CONTACT,0x29404F82,692080514,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_BeaconDeployer_World.prefab; Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab","Manual Unity API/editor pass: bind an existing terminal/uplink object or place a small signal panel near the first buoy, then assign 0x29404F82.","Black Keel contact should arrive as a machine handshake with debt tone, not narrator exposition."
P003_BARNARD_MARK,0xE1A514C7,3785692359,NarrativeDiscovery,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__scrap.prefab","Assets/_Project/Prefabs/Items/Tools/Item_Tool_Repair_World.prefab; Assets/_Project/Prefabs/Items/Tools/Item_Tool_SalvageSampler_World.prefab","Manual Unity API/editor pass: assign NarrativeDiscovery to a Barnard-stamped object only after the prop is visually marked.","Player origin hook needs a visible stamp/scratch, not abstract domain text."
P004_BLUE_DEBT,0x6F61C092,1868677266,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__cache.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__mound.prefab","Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_SilicaShards.prefab; Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_HydrocarbonResin.prefab","Use Unity API/editor pass to add or update ScannableFragment on a blue-debt/resource sample prop, then assign 0x6F61C092.","Material value must be read through scan/sample pressure, not loot sparkle."
P005_REPAIR_SCAR,0xC4EDBEBA,3303915194,ScannableFragment,appliedLoreHalfPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar__strip.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar__pump.prefab","Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_service_scar.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_service_scar.asset","Use Unity API/editor pass to add or update ScannableFragment on a repair scar proxy, then assign 0xC4EDBEBA.","Half-scan is enough for first Atlas repair logic hint; full scan can be added later."
P006_DEAD_CLAIM_CACHE,0x796A7B58,2037021528,NarrativeDiscovery,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_resource__cache.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_debris_scatter__crate.prefab","Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Pocket_Resource.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_resource.asset","Manual Unity API/editor pass: assign NarrativeDiscovery to the actual dead-claim cache object, then assign 0x796A7B58.","Claim cache should change route risk and replay seed texture, not become free loot."
P007_BRINE_STAIR,0xB8462357,3091604311,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard__vent.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_pocket_hazard.prefab","Assets/_Project/Prefabs/WorldSupport/Final/PFB_Support_Pocket_Hazard.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_pocket_hazard.asset","Use Unity API/editor pass to add or update ScannableFragment on the brine/vent descent marker, then assign 0xB8462357.","Brine route must read as physical descent geometry and hazard, not a map label."
P008_EVACUATION_HOLD,0xBC39FDD7,3157917143,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_cluster_medium__corridor.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_module_single__breach.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Module_Corridor.prefab; Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_ClusterMedium.prefab","Manual Unity API/editor pass: bind an existing manifest terminal or place one in the evacuation hold, then assign 0xBC39FDD7.","Evacuation evidence should be a logistics failure, not a floating journal."
P009_BOTTOM_FACTORY,0x1444CE45,340053573,ScannableFragment,appliedLoreFinalPacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__tower.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_ruin_megastructure__stack.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_Megastructure.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_ruin_megastructure.asset","Use Unity API/editor pass to add or update ScannableFragment on bottom-factory megastructure threshold geometry, then assign 0x1444CE45.","Never place this in shallow routes; it is bottom-zone classification."
P010_PAYLOAD_WINDOW,0x2F1F093E,790563134,MessageTerminal,appliedLorePacketHash,"Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__relay.prefab; Assets/_Project/Prefabs/WorldProceduralProxy/PFB_family_route_power__node.prefab","Assets/_Project/Prefabs/Construction/Final/PFB_Module_CurrentTurbine.prefab; Assets/_Project/Data/World/ProceduralFamilies/ProceduralFamily_family_route_power.asset","Manual Unity API/editor pass: bind a payload relay console or late carrier channel object, then assign 0x2F1F093E.","Payload-window content belongs to false-exit/payload routing, not early salvage."
