"QueueId","Priority","RouteMoment","VrefScope","SourceCandidates","SourceStatus","BlockingGap","OwnerRoute","NextAction","RequiredProof","RejectIf","LowConsequence","MiddleConsequence","HighUltraConsequence","Status"
"VSPQ-01","P0","Surface sky Aegir coast first-viewport signal","VREF-03; VREF-05; VREF-15","CleanupPass AegirCloud source maps; sky_aegir_cloud_contact_sheet; visual hero source coverage row VHSC-01","SOURCE_ONLY_STATIC_IMAGE_QA","Aegir/sky/cloud active slots unproven; current diagnostic screenshot reads pasted and toy-like","ASSET_OWNER_14; ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_36; ASSET_OWNER_37","Run no-mutation sky/Aegir/cloud material slot readback, then promote only role-correct source maps through import/material owner","Slot readback; import role; bright surface screenshot; Frame Debugger; memory; no-mutation proof packet; anti-false-proof gate","Aegir remains smeared pasted transparent sphere; coast/sky is dark, muddy, or used to hide weak geometry","Compressed role-correct maps with readable Aegir silhouette; no ugly low mode","Route-owned layered sky after slot proof","Longer residency and richer Aegir/cloud layering only after render/memory proof","PENDING_UNITY_SLOT_AND_VISUAL_PROOF"
"VSPQ-02","P0","Waterline foam contact and wet edge","VREF-04; VREF-11; VREF-13","CleanupPass foam albedo/detail-normal sources; FoamContact source role queue; visual hero source coverage row VHSC-02","SOURCE_ONLY_WITH_REJECTED_LEGACY_ACTIVE_ROUTE","Rejected foam remains serialized-reachable; cleanup packed masks blocked by channel semantics; Crest slots unproven","ASSET_OWNER_11; ASSET_OWNER_20; ASSET_OWNER_27; ASSET_OWNER_36; ASSET_OWNER_37","Classify source role, rebuild or reject packed masks, route foam/caustic source generation if needed, then prove Crest/ocean contact material slots before screenshot acceptance","Crest/ocean readback; channel proof; shoreline 1-3m gameplay-height screenshot; Stats; Frame Debugger; VRAM; anti-false-proof gate","Old turquoise pool-foam sheet remains active; material clone/wrapper is used; edge is hidden by haze or darkness","Readable wet edge with compressed maps and no flat fallback","Route-owned foam/contact stack after proof","Richer micro-breakup, wetness, and shimmer only after measured proof","PENDING_CONTACT_CHANNEL_AND_CREST_PROOF"
"VSPQ-03","P0","Photic terrain PBR and shallow route floor","VREF-02; VREF-10; VREF-11; VREF-12","Batch31 photic seabed and shell sand candidates; terrain_geology_contact_sheet; visual hero source coverage row VHSC-03","SOURCE_ONLY_MASK_SEMANTICS_BLOCKED","MRAO/ARM channel semantics unresolved; generated terrain sources may contain baked-light seams; receiver proof absent","ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_36; ASSET_OWNER_37","Resolve channel semantics, create role-correct terrain material path, then prove receiver slots and route screenshot","Clean PBR channel pack; material receiver readback; seam/tile proof; photic screenshot; memory proof; anti-false-proof gate","Terrain is flat, blurry, muddy, noisy, or below Subnautica floor; generated map imported as final without proof","Material identity and caustic impression preserved through cheap receiver path","Route-owned terrain stack after channel proof","Detail normals, decals, wetness masks, and longer mip residency only after proof","PENDING_CHANNEL_AND_TERRAIN_RECEIVER_PROOF"
"VSPQ-04","P0","Visible proxy placeholder purge","VREF-07; VREF-10; VREF-12; VREF-15","WorldProceduralProxy material blockers; material file technical properties; mesh prefab source folder matrix","STATIC_SOURCE_CONTAMINATION_REACHABLE","WorldProceduralProxy flora/coral/kelp materials are active-world reachable; final material and LOD proof absent","ASSET_OWNER_12; ASSET_OWNER_22; ASSET_OWNER_36; ASSET_OWNER_37","Replace visible proxy route with final material family only after Unity readback identifies exact renderers and prefab/scene ownership","Renderer/material readback; final material import proof; LOD/VAT/static fallback; route screenshot; Stats; anti-false-proof gate","Proxy material appears in visible route or proof screenshot; density is used to hide bad terrain/water","Fewer proven silhouettes rather than proxy density","Final family material route with conservative density","Extended LOD residency and near-field dressing only after proof","PENDING_PROXY_PURGE_AND_FINAL_MATERIAL_PROOF"
"VSPQ-05","P1","Kelp forest flora and coral density","VREF-06; VREF-07; VREF-10","Imported flora/coral texture stacks; flora_coral_fauna_contact_sheet; underwater VFX source packet references","CANDIDATE_SOURCE_STATIC_IMAGE_QA","Candidate stacks exist but import roles, alpha/dither path, LOD, and route composition are unproven","ASSET_OWNER_12; ASSET_OWNER_22; ASSET_OWNER_27; ASSET_OWNER_36; ASSET_OWNER_37","Promote only continuous organic families with proven materials, no detached bulbs, and route-density screenshot","Material/import readback; dither/alpha path; LOD/VAT/static fallback; route screenshot; memory; anti-false-proof gate","Detached organic seams, flat candy-gradient material, hard LOD pops, or proxy family remains visible","Keep sparse proven silhouettes and readable route anchors","Controlled final-family density after proof","High/ultra spend on denser near-field flora and richer material detail only after Stats/memory proof","PENDING_FLORA_CORAL_MATERIAL_AND_LOD_PROOF"
"VSPQ-06","P1","HUD oxygen and cockpit/product-face readability","VREF-09; VREF-14","ui/OXYGEN.png candidate; oxygen-tank.png mask risk; UI sprite route table; product-face target tables","CANDIDATE_UI_SOURCE_STATIC_ONLY","Detailed oxygen source not proven bound; black silhouette can be misused; cockpit product-face materials remain unproven","ASSET_OWNER_17; ASSET_OWNER_24; ASSET_OWNER_25; ASSET_OWNER_36; ASSET_OWNER_37","Prove sprite import, atlas binding, HUD state binding, and cockpit/product-face material readback before visual acceptance","Sprite import readback; SpriteAtlas proof; HUD/cockpit binding; compact screenshot; 0 B/frame UI proof; anti-false-proof gate","Black mask is accepted as final icon; HUD is decorative overlay with no decision state; cockpit reads primitive","Readable oxygen state and compact-safe icon first","Atlas-bound HUD with clean product-face material route","Higher atlas/detail residency and cockpit wear only after UI/material proof","PENDING_ATLAS_HUD_AND_PRODUCT_FACE_PROOF"
"VSPQ-07","P1","Deep bioluminescent route and marine-snow mood","VREF-06; VREF-14","Biolum route decision; VFX DataVault repair anchor map; VFX source packet references; flora_coral_fauna_contact_sheet; visual hero source coverage row VHSC-06","SOURCE_DECISION_PENDING_RUNTIME_PROOF","Biolum black-box decision is static only; MarineSnow runtime scratch remains debt; deep route source coverage is insufficient","ASSET_OWNER_12; ASSET_OWNER_16; ASSET_OWNER_27; ASSET_OWNER_36; ASSET_OWNER_37","Separate black-box telemetry proof from visible deep-route art, route VFX DataVault anchors before source touch, then prove biolum material/VFX route with readable silhouettes","VFX DataVault source-context review; material/VFX readback; compile/import proof for VFX owners; deterministic dump artifact if touched; deep route screenshot; Stats; memory; anti-false-proof gate","Darkness hides empty geometry; biolum reads sparse noise; telemetry route is confused with art acceptance","Preserve silhouette hierarchy and color anchors without black crush","Controlled biolum and marine-snow layers after source proof","Ultra density only via continuous GlobalQualityWeight and measured memory/frame proof","PENDING_DEEP_ROUTE_VFX_AND_TELEMETRY_PROOF"
"VSPQ-08","P1","Capsule/base medium-depth product route scale","VREF-01; VREF-08; VREF-14","Product-face material P0 table; product-face prefab P0 table; terrain geology sources; visual hero source coverage row VHSC-07","TARGET_TABLE_ONLY_STATIC","Prefab primitive replacement, material repair, collider/LOD, water proof, terrain context, and route dressing remain blocked","ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_24; ASSET_OWNER_25; ASSET_OWNER_27; ASSET_OWNER_36; ASSET_OWNER_37","Repair visible product-face materials and primitive meshes only after readback, then capture route scale with water/terrain context","Prefab/material readback; authored mesh/material proof; water/terrain context proof; collider/LOD proof; route screenshot; Console; Stats; anti-false-proof gate","Capsule/base reads as primitive toy object; empty route dressing surrounds it; mesh/collider proof absent","Keep scale readable and reject primitive proxies","Final material and mesh route after proof","Decals, wetness, wear, and richer dressing only after material/LOD/memory proof","PENDING_PRODUCT_FACE_MESH_MATERIAL_ROUTE_PROOF"
"VSPQ-09","P1","Water ceiling shimmer and underwater receiver response","VREF-11; VREF-13","Crest/ocean material refs; water foam caustic contact sheet; terrain geology receiver candidates; visual hero source coverage row VHSC-08","CANDIDATE_SOURCE_STATIC_ONLY","Active Crest slots, underwater water ceiling, caustic receiver, and material response are not proven","ASSET_OWNER_20; ASSET_OWNER_16; ASSET_OWNER_27; ASSET_OWNER_36; ASSET_OWNER_37","Prove active Crest/material slots, caustic source route, and receiver response before accepting any underwater surface-ceiling screenshot","Crest slot readback; underwater screenshot; caustic/contact proof; Frame Debugger; Stats; memory; anti-false-proof gate","Surface ceiling is absent flat or hidden; caustic cue is cheap plane; Crest slot is cloned or wrong","Preserve shimmer impression without flat fallback","Route-owned water/receiver proof before acceptance","Layered shimmer/detail only after render/memory proof","PENDING_WATER_CEILING_AND_RECEIVER_PROOF"
"VSPQ-10","P2","Generated source-pack boundary and import authority","All VREF surface and photic categories","Docs/GeneratedAssets/AssetSystem_20260605; Batch31 LocalPBR; Gemini source packs; generated source inventory","SOURCE_ONLY_NOT_IMPORT_READY","Docs-generated sources have no Unity import, material binding, Addressables, VRAM, or route screenshot proof","ASSET_OWNER_02; ASSET_OWNER_09; ASSET_OWNER_15; ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_36; ASSET_OWNER_37","Treat generated packs as authoring inputs only; promote through import role, material readback, Addressables ownership, and screenshots","Authoring owner decision; import role matrix; material readback; Addressables ownership; screenshots; memory proof; anti-false-proof gate","Contact sheet or source pack is treated as final route art; import skips owner/channel proof","Use only as reference for compressed role-correct maps","Promote only after route-owned import proof","High/ultra overdetail only after full route proof","SOURCE_ONLY_BOUNDARY_ENFORCED"
