"rank","spend_first","target_material_asset","why_it_matters_to_current_visual_floor","intended_unity_use","exact_output_type","english_prompt","negative_prompt","aspect_tiling_requirement","qa_command","acceptance_criteria","rejection_criteria","fallback_if_gemini_output_fails","retry_policy","evidence_basis"
"1","YES","TX_B21_WetBasaltShoreline_Albedo_20260604","Current wet basalt 1429 is statically rejected and surface/coast terrain, triplanar rock, and wetness blockers remain open. Clean wet basalt is a first-route coastline floor dependency.","Source albedo for later terrain/triplanar shoreline material family. Normal, MRAO, wetness, foam/contact masks must be derived or generated separately before Unity import.","Seamless square 4096 albedo/base-color source, sRGB intent, material source only, not a full PBR stack.","Create ONE seamless square tileable PBR albedo texture for a premium Unity URP ocean survival game. Subject: natural wet basalt shoreline on an alien ocean moon, volcanic black-gray basalt with salt-water erosion, chipped fracture planes, pores, stratified cracks, subtle teal mineral staining, pale salt residue in crevices, tiny sediment caught in cracks, and believable wet shoreline material breakup. This is base color only. Use orthographic top-down material view, even neutral bright photic daylight, no baked light, no cast shadows, no perspective, no horizon, no object silhouette, no text, no logo, no UI. Make the pattern reusable with no large hero cracks or obvious repeated plates. Output one image only.","visible seams, mismatched edges, baked highlights, baked shadows, directional cast shadow, lighting gradient, perspective, horizon, cliff scene, object render, labels, text, logo, UI, watermark, frame, crayon marks, procedural scribbles, low-resolution bands, JPEG mush, blurry detail, flat plastic sheen, repeated obvious tiling, giant hero shapes, black noir darkness, cartoon, painterly, low-poly, generic noise, smooth blob rock, chrome wetness, uniform glossy overlay, dirty mud replacing material truth","4096x4096 preferred. Square, seamless, tileable on all edges. Orthographic top-down. No directional lighting.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_WetBasaltShoreline_Albedo_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_WetBasaltShoreline_Albedo_20260604","PASS_STATIC or REVIEW with no hard seam, no clipped albedo, no baked lighting, no text/UI, no perspective, no obvious 3x3 repetition, basalt readable in bright photic daylight. Must be suitable for later height/normal/MRAO/wetness derivation.","Any hard seam, band mismatch, crushed black or white clipping, baked specular or shadow, giant repeated rock plates, scenic cliff/photo perspective, dark/noir cover-up, or albedo-only production claim.","Use existing 1429 only as source/reference or small masked decal input. Do not import. Move spend to rank 2/3 if two focused attempts fail.","Primary attempt plus 1 retry. Because rank 1 is top-3, a second retry is allowed only if the failed cause is precise and prompt-fixable.","1429 manifest STATIC_REJECTED; 2017 adversarial review; 2016 material triage; 2005 shoreline material contract."
"2","YES","TX_B21_ShoreFoamSaltContact_Mask_20260604","Foam/waterline contact is a visible surface blocker. Fake-first mask can improve waterline without fluid simulation, but current foam/material contracts are blocked.","Source RGBA mask for shoreline foam, salt residue, wet edge breakup, and later waterline/foam shader or decal route. Presentation only, not water truth.","Seamless square 2048 or 4096 RGBA mask source, linear intent. R long foam/contact, G cross-flow breakup, B lace/bubble/sediment breakup, A reserved confidence/caustic receiver only if owner accepts.","Create ONE seamless square tileable RGBA foam and shoreline contact mask source for natural wet basalt at a bright alien ocean shoreline. Subject: clean photic-shallow shoreline contact, thin white sea foam lace, translucent micro bubbles, tide-sheared strands, broken foam cells, wet edge breakup, salt and sediment contact residue, and natural foam interaction with rough wet basalt cracks. This is source data for a Unity URP material, not a scenic wave photo. Orthographic top-down material mask view, no perspective, no horizon, no object silhouette, no text, no logo, no UI, no baked lighting. Channel intent: Red long foam strand/contact strength, Green cross-flow wet edge breakup, Blue foam lace bubbles and sediment interruption, Alpha optional confidence only. Output one image only.","visible seams, flat white strips, opaque snow foam, dirty storm foam default, wave photo, perspective, horizon, object render, labels, text, logo, UI, watermark, baked light, cast shadow, black muddy contact band, repeated bubble stamps, low-resolution mush, cartoon, painterly, generic noise, foam used to hide weak rock art","2048x2048 minimum, 4096x4096 preferred. Square, seamless, tileable. Orthographic top-down mask/source view.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_ShoreFoamSaltContact_Mask_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_ShoreFoamSaltContact_Mask_20260604","No hard seams in 2x2 or 3x3, sparse natural foam lace, channel regions visually separable, no opaque full-white strip, no scenic perspective, no text/UI, usable for later packing.","Opaque white ribbon, storm grime default, perspective wave scene, black cover-up, obvious repeated bubble stamps, nonseparable channels, alpha transparency dependency without shader route.","Use procedural/noise shoreline mask or existing Batch20 prompt pack as lower-cost source. Do not simulate foam or import failed mask.","Primary attempt plus 1 retry. Rank 2 top-3 can get a second retry only for clear seam or channel failure.","Wet basalt QA checklist; water bible fake-first; 2016 waterline wetness blocker; 2009 WTR foam rows."
"3","YES","TX_B21_PhoticSeabedSubstrate_AlbedoHeightSource_20260604","Open photic shallows need readable substrate, not empty blue water or placeholder terrain. Terrain material blockers remain open.","Source for photic seabed terrain blend: albedo plus height-like relief reference for later normal, roughness, AO, and terrain control derivation.","Seamless square 4096 albedo/height-like material source. Base color with physically useful relief cues, not final normal/MRAO.","Create ONE seamless square tileable PBR material source for a bright photic shallow seabed substrate in a premium Unity URP ocean survival game. Subject: pale gray black basalt chips, volcanic sand, shell fragments, silt seams, small reef limestone pieces, soft sediment pockets, and subtle teal mineral traces. It must read as beautiful shallow seafloor material in clear daylight, not beige mud and not generic sand. Include height-like material detail useful for later normal and AO derivation, but no baked directional lighting. Orthographic top-down, no perspective, no horizon, no objects, no text, no logo, no UI. Output one image only.","visible seams, mismatched edges, baked highlights, baked shadows, directional lighting, perspective, horizon, object render, labels, text, logo, UI, watermark, beige one-note sand, brown mud, random noise, black noir cover-up, blue fog dependency, blurry mush, repeated shell stamps, cartoon, painterly, low-poly","4096x4096 preferred. Square, seamless, tileable on all edges. Orthographic top-down albedo/height-like source.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_PhoticSeabedSubstrate_AlbedoHeightSource_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_PhoticSeabedSubstrate_AlbedoHeightSource_20260604","Seam-free material read, bright photic substrate, clear basalt/sand/shell/silt breakup, no baked light, enough relief information for downstream normal/AO, no obvious repetition at 3x3.","Generic beige/brown mud, dark seabed, flat noise, perspective beach photo, repeated shells, baked light, poor material identity, any text/logo/UI.","Use existing terrain/cobble source packages and defer Gemini spend to coral/Aegir. Keep failed output as reference only if no artifacts/text.","Primary attempt plus 1 retry. Rank 3 top-3 can get a second retry only for clear seam or baked-light failure.","VISION_LOCKS photic floor; world/water bibles; 2016 terrain blocker; 2009 GEO terrain rows."
"4","YES","TX_B21_ShallowBranchingCoral_AlbedoHeightSource_20260604","Shallows are allowed to be colorful and alien. Coral material debt remains open, and primitive/proxy coral cannot meet the photic route floor.","Source material for branching coral family. Later owner derives normal, roughness, AO, sparse emissive mask, and binds to geometry-backed coral, not flat decals.","Seamless square 4096 albedo plus height-like source for calcified branching coral; not a full PBR stack.","Create ONE seamless square tileable PBR material source for shallow alien branching coral in a bright photic reef. Subject: calcified coral surface with porous cups, growth rings, chipped pale cyan and pearl mineral edges, muted coral-violet tissue stains, small sediment in pores, broken tip wear, and cavity cues for branch intersections. It must be realistic premium Unity URP material source, colorful but not candy, alien but physically believable. Orthographic top-down material view, no whole coral object render, no perspective, no horizon, no text, no logo, no UI, no baked shadows, no directional highlights. Output one image only.","visible seams, perspective coral object, whole branch silhouette, candy reef colors, random neon, painterly aquarium art, smooth tube coral, plastic material, baked shadows, labels, text, logo, UI, watermark, black noir coloration, blurry mush, low-poly, repeated obvious pores","4096x4096 preferred. Square, seamless, tileable. Orthographic top-down material source.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_ShallowBranchingCoral_AlbedoHeightSource_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_ShallowBranchingCoral_AlbedoHeightSource_20260604","Seam-free, no object framing, pore/cup/chipped edge material identity, photic daylight color, no baked light, no random glow, usable for normal/AO/roughness derivation.","Whole coral object render, candy colors, neon noise, flat tubes, baked shadows, repeated pore stamps, dark/noir reef, alpha-card dependency.","Use 2004 coral source package and existing procedural coral material contracts; defer Gemini to Aegir/cloud if repeated coral failures occur.","Primary attempt plus 1 retry only.","2004 texture/channel contracts; 2004 coral matrix; 2016 coral material blocker; VISION_LOCKS shallow alien biota."
"5","YES","TX_B21_AegirCloudBands_AlbedoSource_20260604","Sky/Aegir material slots are top blockers. Aegir can be blue/purple, but must not look like sine stripes, muddy gradient, or low-res placeholder art.","Source panel for Aegir cloud-band albedo/storm hierarchy. Later celestial/render owner maps it and derives storm masks, limb/haze, and shader integration.","Seamless square 4096 cloud-band albedo source panel, sRGB intent, horizontal and vertical tiling preferred for shader reuse. Not final planet render.","Create ONE seamless square tileable atmospheric cloud-band source texture for Aegir, a huge methane-rich blue and blue-purple gas giant seen above a bright alien ocean. This is a source panel for a Unity URP celestial shader, not a final planet disc. Include believable large cloud bands, sheared ribbons, storm eddies, soft turbulent strata, cyan, deep blue, indigo, pale violet, and muted gray-white cloud structures. The band hierarchy must remain readable when mapped onto a distant giant planet. No terminator, no stars, no space background, no labels, no text, no logo, no UI, no black surface darkness, no sine stripes. Output one image only.","sine stripes, muddy blue-purple gradient, random noise bands, flat pale disc, transparent sticker, whole planet render, hard terminator, black space, stars, labels, text, logo, UI, watermark, cartoon planet, crayon texture, stock NASA copy, low-resolution blur, one-note purple, visible seams","4096x4096 preferred. Square source panel. Seamless tileable on all edges if possible; at minimum horizontal wrap must be clean. No planet disc.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_AegirCloudBands_AlbedoSource_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_AegirCloudBands_AlbedoSource_20260604","No hard seams, strong macro/meso/micro cloud hierarchy, controlled blue/purple methane look, no disc/stars/terminator/text, readable downsampled to 2048, no muddy grade.","Sine stripes, random Perlin noise, whole planet beauty render, hard shadow/terminator, one-note gradient, sticker edge, stars/text/UI.","Use Batch20 sky prompt pack and procedural shader masks as reference only. Do not accept old procedural Aegir if screenshot/crop fails.","Primary attempt plus 1 retry only.","2016 sky blockers; 2002 sky/Aegir null source evidence; 2009 SKY rows; celestial/rendering bibles."
"6","NO","TX_B21_SurfaceCloudDeck_CloudCoverageSource_20260604","HectonSky and cloud overlay refs are unresolved. Bright surface clouds support sky readability and Aegir integration without dark/noir cover.","Source for sky cloud atlas/coverage. Later route owner derives alpha/coverage masks and binds to sky/cloud material slots.","Seamless square 4096 cloud color/coverage source panel, sRGB intent, alpha-mask-friendly contrast. Not final skybox.","Create ONE seamless square tileable bright surface cloud deck source texture for HECTON-8. Subject: layered white and pale gray coastal clouds above an alien ocean, soft cyan sky scatter gaps, wispy edges, distant cloud depth, feathered coverage, and clean bright daylight. This is a source panel for later cloud atlas and coverage mask derivation, not a panorama and not a final skybox. Orthographic/source-panel view, no horizon, no sun disc, no planet baked in, no stars, no text, no logo, no UI, no dark storm-only sky. Output one image only.","stock cloud collage, dark noir sky, storm darkness default, flat white blobs, hard card rectangles, visible seams, baked sun glare, horizon panorama, planet baked into texture, stars, text, logo, UI, watermark, muddy gradient, one-note blue, fantasy aquarium sky","4096x4096 preferred. Square, seamless, tileable source panel. Soft cloud edges; no scenic panorama.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_SurfaceCloudDeck_CloudCoverageSource_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_SurfaceCloudDeck_CloudCoverageSource_20260604","Soft cloud coverage, bright readable surface mood, no text/UI, no hard card edge, no baked planet/sun, usable for alpha/coverage derivation.","Dark sky, stock collage, hard rectangles, perspective/horizon composition, one-note cloud mush, stars/text/UI.","Use procedural cloud coverage and Batch20 sky prompts as reference until shader/source route owner can bind real cloud atlas.","Primary attempt plus 1 retry only after top 5 have primary results.","2016 HectonSky blockers; Batch20 sky prompt pack; atmosphere/rendering bibles."
"7","NO","TX_B21_CausticParticleLookup_Mask_20260604","Photic shallows need premium light/particle cues, but water bible rejects global expensive simulation. A small source lookup supports a cheap visual fake.","Source mask/LUT for shallow caustic breakup, underwater particle/silt sparkle confidence, or flipbook derivation. Presentation only.","Seamless square 2048 linear grayscale or RGBA mask/LUT source. Not albedo, not final caustic render.","Create ONE seamless square tileable linear mask source for bright shallow underwater caustic and suspended particle breakup in a premium Unity URP ocean survival game. Subject: clean photic daylight caustic lace, soft refracted streaks, subtle silt sparkle distribution, broken nonuniform bands, and water-column micro variation. This is source data for a cheap shader/particle lookup, not a scenic underwater render. Orthographic top-down/source-panel view, no perspective, no horizon, no objects, no text, no logo, no UI, no baked shadows. Keep it subtle and shader-friendly. Output one image only.","global abyss caustics, dramatic god ray render, perspective underwater scene, fish, diver, terrain, text, logo, UI, baked shadows, opaque white pattern, noisy glitter everywhere, repeated hard cells, black/noir darkness, bloom glare, low-resolution mush, cartoon, painterly","2048x2048 minimum. Square, seamless, tileable. Linear mask/LUT intent. No scene composition.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_CausticParticleLookup_Mask_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_CausticParticleLookup_Mask_20260604","Seam-free subtle mask, no scenic render, no text/UI, usable as low-cost lookup, sparse enough not to flatten route readability.","Scene render, global abyss caustics, opaque bright pattern, noisy glitter, hard repeated cells, perspective/horizon, any fish/diver/object.","Use ALU caustic approximation and existing particle atlases. Do not spend more than one retry because this is lower rank.","Primary attempt plus 1 retry only after top 5 have primary results.","water bible caustic rules; rendering fake-first; 2009 WTR caustic rows."
"8","NO","TX_B21_KelpBladeHoldfast_AlbedoHeightSource_20260604","Photic kelp/flora routes need authored material identity and dry-land leakage must be prevented. This supports shallow ecology after higher blockers.","Source for kelp blade fiber and holdfast material derivation. Later owner separates blade/root channels if needed.","Seamless square 4096 albedo plus height-like organic source. Not alpha-card final, not full PBR stack.","Create ONE seamless square tileable PBR material source for photic-zone kelp blade and holdfast tissue in a premium Unity URP ocean survival game. Subject: tough wet olive-teal kelp fibers, lengthwise ribs, torn blade edge grain, darker holdfast root pads, sand abrasion, small cavities, subtle salt and mineral speckles, and restrained cyan biological traces. It must support geometry-backed kelp, not flat alpha-card fields. Orthographic top-down material source, no whole plant object, no perspective, no horizon, no text, no logo, no UI, no baked lighting. Output one image only.","flat ribbon, alpha-card dependency, whole kelp object render, muddy dark mass, random neon glow, candy colors, perspective, horizon, labels, text, logo, UI, baked shadows, blurry mush, plastic wetness, repeated obvious stripes","4096x4096 preferred. Square, seamless, tileable. Orthographic top-down organic material source.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_KelpBladeHoldfast_AlbedoHeightSource_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_KelpBladeHoldfast_AlbedoHeightSource_20260604","Kelp tissue readable, root/blade cues present, no whole-object perspective, no random glow, no alpha-card-only identity, useful for normal/AO/roughness derivation.","Flat ribbon wallpaper, object render, dark mush, neon noise, baked lighting, text/UI, impossible material truth.","Use 2004 kelp source package and existing procedural materials as reference only. Defer if coral/terrain blockers still lack candidates.","Primary attempt plus 1 retry only after top 5 have primary results.","2004 kelp matrix and texture contracts; world/ecology photic route lock."
"9","NO","TX_B21_ScannerRubberGlassToolMaterial_AlbedoHeightSource_20260604","Scanner is product-face instrument debt, but current surface/photic blockers outrank it. Include only after top visual route sources are attempted.","Source material for scanner/tool casing: rubber, glass, graphite polymer, cyan instrument accents. Later prop owner derives masks and applies to actual scanner mesh.","Seamless square 2048/4096 albedo plus height-like product-face material source. Not UI, not decal text, not final tool material.","Create ONE seamless square tileable material source for a pressure-rated handheld scanner in a hard sci-fi underwater survival game. Subject: graphite rubber grip fields, scratched smoky glass sensor lens surface, dark sealed polymer casing, satin titanium small bevels, cyan phosphor instrument accents, amber inactive locator enamel, salt dust in gasket seams, fine micro scratches, and wet use wear. No letters, no numbers, no labels, no logos, no fake UI. Orthographic top-down material source, no object render, no perspective, no horizon, no baked lighting. Output one image only.","readable text, numbers, labels, logos, fake UI screen, object render, perspective scanner, clean sci-fi plastic, black mush, glossy toy rubber, random grunge, baked highlights, labels, text, logo, UI, watermark, low-resolution blur, cartoon, painterly","2048x2048 minimum, 4096x4096 if budget remains. Square, seamless, tileable. Orthographic material source.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_ScannerRubberGlassToolMaterial_AlbedoHeightSource_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_ScannerRubberGlassToolMaterial_AlbedoHeightSource_20260604","Material zones distinct, no readable text/UI, rubber/glass/polymer identity clear, no baked lighting, useful for normal/MRAO/decal derivation.","Any text, numbers, UI glyphs, object render, generic plastic, black mush, unreadable material zones, baked light.","Use TextureGeneratorWorkpack product-face seeds or existing tool material references; do not spend repeated Gemini attempts while surface blockers remain.","Primary attempt plus 1 retry only after ranks 1-8 have primary results or user redirects.","Batch18 scanner primitive debt; product-face prompt index rows; tools/UI taste."
"10","NO","TX_B21_ResourceOrePickupMineral_AlbedoHeightSource_20260604","Resource pickups as cubes/planes damage salvage economy credibility. Lower priority than surface blockers but useful for future pickup art source.","Source material for ore/resource pickup chunks: mineral veins, host rock, crystal pockets. Later owner binds to real pickup meshes with collider split.","Seamless square 2048/4096 albedo plus height-like mineral/host-rock source. Not final ore mesh, not full PBR stack.","Create ONE seamless square tileable PBR material source for HECTON-8 resource pickup chunks. Subject: irregular basalt host rock with copper and silver mineral veins, pearly mineral crust, opal flecks, turquoise deposits, small amber crystalline inclusions, chipped fracture edges, wet translucent mineral faces, and pale sediment caught in cavities. The material must read as discoverable physical resource, not abstract colored currency. Orthographic top-down material source, no object render, no perspective, no horizon, no text, no logo, no UI, no baked lighting. Output one image only.","colored currency dots, game icon sheet, object render, cube rock, perspective, labels, text, logo, UI, watermark, baked shadows, black mud, random neon, glitter wallpaper, full metallic rock, low-resolution mush, cartoon, painterly, low-poly","2048x2048 minimum, 4096x4096 if budget remains. Square, seamless, tileable. Orthographic material source.","python Tools/GeminiTextureIntakeAudit.py --project-root . --root Docs/GeneratedAssets/Gemini/Outputs/Batch21/TX_B21_ResourceOrePickupMineral_AlbedoHeightSource_20260604.png --out-dir Docs/GeneratedAssets/Gemini/QA/Batch21/TX_B21_ResourceOrePickupMineral_AlbedoHeightSource_20260604","Host rock and ore pockets readable, no abstract currency, no text/UI, no baked light, metallic regions localized only to real ore, usable for normal/MRAO derivation.","Full metallic rock, colored-dot currency, icon sheet, cube/object render, text/UI, baked shadow, random neon, muddy unreadable material.","Use existing resource material refs and generate mesh-first source later. Do not retry until first-route visual queue is consumed.","Primary attempt plus 1 retry only after ranks 1-9 have primary results or user redirects.","Batch18 resource pickup primitive debt; inventory/resource physical credibility; 2009 ProductFace/resource rows."
