"object","material","shader","texture","active-state","proof-state","risk"
"RenderSettings skybox","Mat_HectonSky.mat","Hecton_AlienSky_Master.shader","MainCloudTex Sky/oblaka!.png; StarTex Sky/bo2.png; unresolved cloud GUIDs 97dacc0c8637b304f9451ecd290acffb and 161f2ad7f77e8bf408b29aa7e3d29966","active scene skybox material","STATIC_SOURCE","Active skybox route but cloud bindings include unresolved GUIDs; no runtime visual or Frame Debugger proof."
"H8_ATMOSPHERE_CELESTIAL_OWNERS_1428 / HectonCelestialEngine","Mat_HectonSky.mat","Hecton_AlienSky_Master.shader","_skyMaterial binds Mat_HectonSky","GameObject active; MonoBehaviour enabled","STATIC_SOURCE","Owner appears to drive sky and Aegir references; runtime material property state not proven."
"H8_SURFACE_AEGIR_GAS_GIANT_REAL_1428","MAT_AegirGasGiant_Impostor_1428.mat","H8_AegirGasGiantImpostor_1428.shader","clouds0_diff.png; Aegir_storms.png; Sky/oblakajip.png","GameObject active; renderer enabled","STATIC_SOURCE","Likely active Aegir body; no visual proof; shader quality weight not statically proven."
"H8_SURFACE_AEGIR_GAS_GIANT_REAL_1428 / ObserverRelativeCelestialBody","MAT_AegirGasGiant_Impostor_1428.mat","H8_AegirGasGiantImpostor_1428.shader","same Aegir material textures","component enabled; player observer and body renderer bound","STATIC_SOURCE","Confirms observer-relative placement path statically; runtime camera-relative result not proven."
"H8_AEGIR_SKY_BACKDROP_1428","MAT_AegirSky_Master.mat","Hecton_AegirSky.shader","Aegir_storms.png","GameObject active; MeshRenderer disabled","STATIC_SOURCE","Candidate only; not active visual proof despite quality-weight shader support."
"SURFACE_GAS_GIANT_1428","MAT_SurfaceGasGiant_1428.mat","unresolved shader GUID 650dd9526735d5b46b79224bc6e94025","TX_H8SurfaceGasGiantStormBands_1428.asset","GameObject inactive; renderer disabled","STATIC_SOURCE","Stale/disabled candidate; cannot be used as active Aegir proof."
"H8_SURFACE_SKY_CARD_1428","MAT_H8SurfaceSkyCard_1428.mat","unresolved shader GUID 650dd9526735d5b46b79224bc6e94025","TX_H8SurfaceSkyNoirGradient_1428.asset","GameObject inactive; renderer disabled","STATIC_SOURCE","Inactive noir gradient route; must not be activated as surface cover-up."
"SURFACE_SKY_NOIR_BACKDROP_1428","unknown","unknown","unknown","GameObject inactive","STATIC_SOURCE","Stale noir route; not active proof."
"SURFACE_SKY_DOME_NOIR_1428","MAT_SurfaceSkyDomeNoir_1428.mat","unresolved shader GUID 650dd9526735d5b46b79224bc6e94025","unknown","GameObject inactive","STATIC_SOURCE","Stale noir dome; not surface acceptance proof."
"H8_SURFACE_CLOUD_DECK_LOW_1428","MAT_H8SurfaceCloudDeck_1428.mat","Hecton_SurfaceCloudDeck_1428.shader","Sky/oblaka!.png","GameObject active; renderer enabled","STATIC_SOURCE","Active transparent card; overdraw and visual edge quality unproven."
"H8_SURFACE_CLOUD_DECK_HIGH_1428","MAT_H8SurfaceCloudDeck_1428.mat","Hecton_SurfaceCloudDeck_1428.shader","Sky/oblaka!.png","GameObject active; renderer enabled","STATIC_SOURCE","Active transparent card; overdraw and visual edge quality unproven."
"CloudDeck_Left_Horizon_1428","MAT_AtmosphericCloudSheet_1428.mat","H8_AtmosphericCloudSheet_1428.shader","Sky/oblakajip.png","GameObject active; renderer enabled","STATIC_SOURCE","Active transparent card; needs horizon capture and overdraw proof."
"CloudDeck_Mid_Shear_1428","MAT_AtmosphericCloudSheet_1428.mat","H8_AtmosphericCloudSheet_1428.shader","Sky/oblakajip.png","GameObject active; renderer enabled","STATIC_SOURCE","Active transparent card; needs horizon capture and overdraw proof."
"H8_SURFACE_CLOUD_PANORAMA_1428","MAT_SurfaceCloudPanorama_1428.mat","H8_SurfaceCloudPanorama_1428.shader","Sky/clod1.png; Sky/clod2.png","GameObject inactive; renderer enabled","STATIC_SOURCE","Candidate only; inactive object prevents active-path claim."
"H8_SURFACE_MOON_KHEPRI_REAL_1428","MAT_CelestialMoon_Khepri.mat","Hecton_CelestialMoon.shader","Rock031_1K-JPG_Color.jpg","GameObject active; renderer enabled","STATIC_SOURCE","Moon uses terrain basalt color texture; no runtime readability proof."
"H8_SURFACE_MOON_THALOS_REAL_1428","MAT_CelestialMoon_Thalos.mat","Hecton_CelestialMoon.shader","Rock031_1K-JPG_Color.jpg","GameObject active; renderer enabled","STATIC_SOURCE","Moon uses terrain basalt color texture; no runtime readability proof."
"SURFACE_MOON_A_1428","MAT_SurfaceMoonCold_1428.mat","unresolved shader GUID 650dd9526735d5b46b79224bc6e94025","_BaseMap null; _MainTex null","GameObject active; renderer enabled","STATIC_SOURCE","Flat-color active moon card; needs capture proof or removal from active surface composition."
"SURFACE_MOON_B_1428","MAT_SurfaceMoonCold_1428.mat","unresolved shader GUID 650dd9526735d5b46b79224bc6e94025","_BaseMap null; _MainTex null","GameObject active; renderer enabled","STATIC_SOURCE","Flat-color active moon card; needs capture proof or removal from active surface composition."
