proof_order,proof_gate,stage,owner_files_or_artifacts,status,required_evidence,pass_condition,do_not_run_in_2024_scope,depends_on,residual_risk
1,STATIC_PATHS,static,"2024_first20_route_targets.csv; source paths listed there",VERIFIED_EXISTING,"All referenced VERIFIED_EXISTING paths resolve; CANDIDATE/BLOCKED targets explicitly marked","No invented owner files or IDs in implementation brief",true,none,"Static path presence does not prove Unity import or runtime wiring"
2,COPPER_VEIN_GATE_STATIC,static,"ResourceNodeTemplate_CopperVein.asset; ContentSanityValidator.cs",VERIFIED_EXISTING,"CopperVein remains requiredToolClass Drill and first route uses separate copper source","No starter route patch touches CopperVein gate",true,RT-003,"A later implementer could still weaken CopperVein unless this gate is enforced"
3,SCANNER_STARTER_CONFLICT_STATIC,static,"Player.prefab; ToolLoadoutProvisioner.cs; Quest_FirstHour_CraftScanner.asset",BLOCKED,"Functional starter scanner decision recorded before route edits","Scanner is either not functional at start or no longer the crafted route endpoint",true,RT-001,"Current static evidence shows conflict, not resolved route"
4,CRAFT_AUTHORITY_STATIC,static,"RecipeData assets; Data/Economy/Crafting_Costs.csv; Fabricator/Economy code",BLOCKED,"Crafting owner declares active runtime authority and sync route-critical costs","CopperWire and Scanner ingredient truth is identical on active surfaces",true,RT-002,"Patching one surface can create invisible runtime mismatch"
5,RESOURCE_SOURCE_STATIC,static,"WorldRuntimeBootstrapAuthoring.cs; ResourceNodeTemplate directory; starter zone data",BLOCKED,"Deterministic Data_TitaniumScrap, Data_Copper, and Comp_SensorPackage sources are bound to first route","Route-critical materials do not rely on CopperVein, random-only drops, or unavailable tools",true,RT-004;RT-005;RT-006,"Scene placement still unproven until Unity"
6,QUEST_SPINE_STATIC,static,"QuestData assets; FirstHourDirector.cs; Quest_Graph.json",BLOCKED,"QuestData and FirstHourDirector express same titanium/copper/scanner route; JSON regenerated after assets","No JSON-only route patch; critical item fields protect route-critical losses",true,RT-008,"Quest activation still needs PlayMode proof"
7,OXYGEN_STATIC,static,"Standard_Suit_V1.asset; HectonSurvivalSystem.cs; Data_EmergencyO2Canister.asset; OxygenPlant.cs; OxygenBubble.cs",VERIFIED_EXISTING,"Oxygen drain/refill/death/save surfaces exist and support placements are selected","Route has readable oxygen support while oxygen death remains possible",true,RT-009;RT-010,"Support placement and timing are not proven statically"
8,RESPAWN_STATIC,static,"PlayerDeathReconciliationBridge.cs; ShinobuRespawnReconciliationRuntime.cs; PlayerInventory_SoaQuery.cs; LootMagnetSystem.cs",VERIFIED_EXISTING,"Death request, respawn owner, item drop signal, and cache recovery paths exist","Critical item loss cannot softlock route by static rule/config",true,RT-012,"Base/medbay target and actual item drops require PlayMode"
9,SAVE_STATIC,static,"SaveData.cs; SaveBinaryPayloadCodec.cs; SaveBinaryStorage.cs; QuestManager.cs; PlayerInventory.cs",VERIFIED_EXISTING,"Inventory, world depletion, quest, player stats/death fields are serialized and loaded","Route proof harness has exact state fields to inspect",true,RT-013,"Serializer presence is not route roundtrip proof"
10,UNITY_IMPORT,future_unity,"Unity Console",CANDIDATE,"Unity import after implementation with no route-blocking errors","No compiler/import errors in touched route systems",false,proofs_1_to_9,"Agent 2024 did not run Unity"
11,PLAYMODE_RESOURCE_ROUTE,future_unity,"PlayMode route run; console log; route capture",CANDIDATE,"Exit lifepod, reach first route, collect titanium/copper/sensor package, craft copper wire, craft or activate scanner","No unreachable ingredient, no unavailable tool, no scanner starter contradiction",false,proofs_10,"Needs real scene and player run"
12,PLAYMODE_OXYGEN_HAZARD,future_unity,"PlayMode run; survival telemetry; clip",CANDIDATE,"Careful player survives via surface/route support; careless player can die from oxygen or avoidable threat","Oxygen is fair, readable, and lethal if ignored",false,proofs_10_11,"Tuning may be too safe or too punishing"
13,PLAYMODE_DEATH_DROP_RESPAWN,future_unity,"PlayMode death run; inventory/loot cache telemetry; respawn telemetry",CANDIDATE,"Die after obtaining route-critical items; respawn at safe anchor/base; recover or respawn critical path items","Death penalty works without softlock",false,proofs_11_12,"Death cache saturation or medbay selection can fail only at runtime"
14,SAVE_LOAD_ROUTE_ROUNDTRIP,future_unity,"Save directory diff; reload notes; route state checklist",CANDIDATE,"Save after scanner route progress, reload, inspect position/inventory/quests/depletion/scans/death record","Reload preserves route state and does not duplicate or lose critical items",false,proofs_11_13,"Existing smoke testers are not route-specific"
15,VISUAL_CAPTURE,future_unity,"Screenshot and short clip from real route",CANDIDATE,"Bright photic/surface-adjacent route shows premium water, sky/Aegir/moon context where visible, coastline/terrain, biota, industrial traces","Visual floor meets TASTE and route contract without darkness hiding weak art",false,proofs_10_11,"Static docs cannot prove visual quality"
16,PERF_GC_MEMORY,future_unity,"Profiler capture; GC allocation report; memory/VRAM snapshot",CANDIDATE,"60 second route capture after implementation","No hot allocation route regression; suspicious systems over 0.1 ms are investigated",false,proofs_11_15,"Performance proof can only follow real route execution"
17,BLACK_BOX_DUMP,future_unity,"Route telemetry ring or crash/NaN dump artifact",CANDIDATE,"Route-critical systems expose last-state telemetry for failures","No 'unknown crash' gap for oxygen/resource/quest/death/save route",false,proofs_11_16,"Existing systems vary in telemetry coverage"
