"RouteId","Priority","Target","AssetOrConfig","PrimaryOwnerPackets","SourceEvidence","RequiredRuntimeProof","RejectIf","LowConsequence","MiddleConsequence","HighConsequence","UltraConsequence","Status"
"AUDROUTE-01","P0","MusicDirector mixer routing","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","ASSET_OWNER_10; ASSET_OWNER_19; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 1; AUDIO_PROFILE_ROUTE_MATRIX MusicDirectorConfig_Global; audio_remediation_matrix P0 mixer rows","Unity config readback; mixer or DSP route proof; Console clean; runtime MusicDirector capture","Null mixer refs remain unexplained or static profile refs are treated as mix proof","No extra music breadth; preserve breath warnings UI and player cues first","Normal profile breadth withheld until route ownership closes","Prefetch breadth and stinger layering withheld until route ownership closes","Dense music or stinger layering withheld until route ownership closes","PENDING_VERIFICATION"
"AUDROUTE-02","P0","Underwater Ambient direct refs","Assets/_Project/Audio/Underwater Ambient.wav","ASSET_OWNER_08; ASSET_OWNER_23; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 2; AUDIO_DIRECT_REF_DETAIL lines 137 and 239; audio_remediation_matrix P0 rows","Prefab readback; owner load release or exception ledger; runtime playback proof; 0 B/frame proof; listening notes","Long bed remains unmanaged direct prefab ref or masks warning/player cues","Keep only critical route ambience and protect warning/player cues","Classify before broader ambient work","Add transition polish only after lifecycle proof","Extra ambience layering cannot depend on unmanaged prefab refs","PENDING_VERIFICATION"
"AUDROUTE-03","P0","Dive splash direct refs","Assets/_Project/Audio/Movement/dive_splash.wav","ASSET_OWNER_08; ASSET_OWNER_23; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 3; AUDIO_DIRECT_REF_DETAIL lines 1066 and 1067; audio_remediation_matrix P0 rows","Prefab readback; duplicate-ref disposition; owner route; runtime playback proof; 0 B/frame proof","Duplicate direct refs remain unexplained or playback allocates","Short player SFX must stay low-latency and owned","Direct refs classified before broader SFX pass","Add stronger water-entry layering only after playback proof","No extra water-entry layering without owner route","PENDING_VERIFICATION"
"AUDROUTE-04","P0","Player breath loop","Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3","ASSET_OWNER_23; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 4; waveform peak -0.16 dBFS RMS -14.03 dBFS","Listening pass in suit route; import readback; player-loop exception proof; runtime 0 B/frame proof","Loop is too hot loops badly streams as generic SFX or masks warnings","Breath loop must preserve warnings and oxygen state","Use controlled player-loop route after import proof","Add richer suit-body detail after ducking proof","High-detail body loop allowed only without masking warning hierarchy","PENDING_VERIFICATION"
"AUDROUTE-05","P0","Suit interior loop","Assets/_Project/Audio/inside suit sounds (too loud).wav","ASSET_OWNER_23; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 5; filename marks loudness debt","Listening pass in first-exit and shallow route; import readback; ducking proof","Still too loud or treated as generic ambient/SFX without owner route","Keep player-body bed minimal","Admit loop only after ducking and route proof","Add interior texture after warning audibility proof","Richer suit interior bed only if cue priority remains intact","PENDING_VERIFICATION"
"AUDROUTE-06","P1","Swimming surface loop","Assets/_Project/Audio/Movement/swimming -onwater.wav","ASSET_OWNER_23; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 6; quiet sparse motion loop","Listening pass; latency/start proof; import exception decision","Start jitter inaudible movement feedback or streaming generic SFX","Motion feedback must remain immediate and cheap","Admit loop after latency proof","Layer water motion detail after playback proof","Extra swim detail only without memory or GC regression","PENDING_VERIFICATION"
"AUDROUTE-07","P1","Dense ambient bed","Assets/_Project/Audio/Atmos 1 Loop.wav","ASSET_OWNER_23; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 7; long ambient RMS -17.88 dBFS","Listening pass; active-bank limit; warning ducking proof; memory proof","Masks warnings dominates first exit/shallow or lacks active-bank owner","Keep ambience sparse and silence-biased","Use one owned ambient bank after proof","Add environmental richness after cue priority proof","Dense ambience only with active-bank and ducking proof","PENDING_VERIFICATION"
"AUDROUTE-08","P1","Low steady ambience","Assets/_Project/Audio/spaceship sounds - ambient.mp3","ASSET_OWNER_23; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 8; lower RMS -26.47 dBFS","Listening pass; import readback; active-bank owner proof","Unclear route identity poor import quality or no release owner","Keep as candidate only","Admit after route identity proof","Use as subtle layer after mix proof","Extra ambience layering only with release owner","PENDING_VERIFICATION"
"AUDROUTE-09","P1","Shelf loud long bed","Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg","ASSET_OWNER_10; ASSET_OWNER_23; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 9; MusicDirector shelf profile; RMS -11.05 dBFS","Runtime MusicDirector capture; listening notes; pause/window proof","Constant bed over-compressed loudness or masks player/system cues","Stream current context only and protect silence windows","Prefetch likely next context after memory and mix proof","Allow broader transitions after cadence proof","Dense mid-depth mix only after cue priority proof","PENDING_VERIFICATION"
"AUDROUTE-10","P1","Abyss long drone","Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg","ASSET_OWNER_10; ASSET_OWNER_23; ASSET_OWNER_28","AUDIO_LISTENING_PASS_QUEUE row 10; Abyss TenseLongTracks duration 372.96s","Runtime MusicDirector capture; tension and cadence proof; listening notes","Always-on drone or wrong tension outside abyss/deep route","Keep abyss music narrow and depth-gated","Add long-drone variety after gating proof","Widen tension transitions after route proof","Richer abyss layering only with stable cue priority","PENDING_VERIFICATION"
