"role_id","source_role","owner_domain","intended_shader_consumer","channel_semantics","target_source_format","current_static_evidence","source_gap_or_defect","reject_gate","compact_consequence","middle_consequence","high_consequence","ultra_consequence","required_proof","proof_status"
"SKY20_AEGIR_ALBEDO_CLOUD_BANDS","Aegir albedo and cloud-band color authority","Celestial/Rendering","MAT_AegirGasGiant_Impostor_1428 or route-approved successor","sRGB color; methane blue/purple cloud bands; no baked lighting; no PBR mask substitution","4096x2048 equirectangular or route-approved disc source; export can downscale per tier","Batch18 static reports reference clouds0_diff.png on active Aegir material; reviewed capture shows scale but weak read","Current capture reads pale/translucent and low-authority, not premium gas giant","Reject pale sticker disc, sine stripes, muddy blur, low-resolution smear, generic blue/purple gradient","Keep readable silhouette, band hierarchy, and scale with lower mip residency","Add clearer band breakup and storm cell read","Increase band detail and clean terminator/limb interaction","High-res residency and richer cloud depth; no new gameplay truth","Matched surface/Aegir capture plus Frame Debugger material texture binding","PENDING UNITY SLOT"
"SKY20_AEGIR_STORM_DENSITY_MASK","Aegir storm and cloud-density overlay mask","Celestial/Rendering","Aegir impostor shader storm/density slot if declared","linear grayscale or RGBA mask; density/storm cells; no baked lighting","4096x2048 linear mask source; BC4/BC7 import decision by Unity owner","Batch18 static reports reference Aegir_storms.png on active/candidate Aegir materials","Mask quality not proven in capture; storm structure not visually strong","Reject uniform noise, dirty smear, texture that flattens Aegir or hides band structure","Lower sharpness and fewer overlay layers while preserving storm read","Moderate density overlay and readable storm bands","Sharper storm mask and layered breakup","Additional storm variants and atmospheric richness through same route slots","Close Aegir shot proving storm detail and no smear","PENDING UNITY SLOT"
"SKY20_AEGIR_HAZE_LIMB_SOFTNESS","Aegir limb softness, rim atmosphere, and terminator falloff","Celestial/Atmosphere/Rendering","Aegir impostor shader limb/haze parameters or mask","linear radial falloff; atmosphere thickness; terminator softness; alpha is not hard cutout","2048 or 4096 radial/edge mask source if shader needs texture; otherwise authored scalar ramp","Capture shows hard/simple disc relationship and pale translucency","No strong limb/atmosphere integration visible","Reject hard disc edge, transparent sticker rim, halo disconnected from sun/sky direction","Simple soft edge and stable silhouette","Better limb falloff and terminator softness","Atmospheric rim tied to sun/sky relation","Richer haze depth and planet-shine softness without changing phase truth","Aegir close shot and Frame Debugger shader property proof","PENDING UNITY SLOT"
"SKY20_ATMOSPHERIC_OCCLUSION_MASK","Atmospheric horizon occlusion mask for Aegir and sky bodies","Atmosphere/Rendering","Sky/horizon veil pass or Aegir material occlusion slot","linear alpha/height or depth veil; occlusion comes from atmosphere/haze, not texture cut","1024x256 horizon ramp or route-owned mask; resolution scales by tier","User context states gas giant fixed behind horizon and should be occluded by atmosphere/haze","Current capture does not show convincing haze occlusion; Aegir appears pasted behind horizon","Reject direct cut through planet texture, opaque fog wall, haze that hides coastline/ocean","Coarse veil preserves coastline and Aegir scale","Smoother veil and cloud/horizon blending","Sharper depth-aware haze and pass order proof","Layered atmospheric occlusion with richer scattering feel","Horizon occlusion capture plus Frame Debugger pass order","PENDING UNITY SLOT"
"SKY20_SURFACE_CLOUD_PANORAMA_A","Surface cloud panorama color/luminance source","Atmosphere/Rendering","Mat_HectonSky or MAT_SurfaceCloudPanorama route","sRGB cloud body/color; seam-safe; lit/shadow cloud identity","4096x2048 panorama or 2048 square tile source depending shader slot","Batch18 reports list clod1.png/clod2.png and active cloud cards with oblakajip/oblaka textures","Current capture clouds are present but Aegir integration and cloud depth are weak","Reject flat white stock blobs, visible card edges, crushed/muddy horizon, generic gradient sky","One cloud layer with soft horizon and bright read","Add richer cloud breakup and movement source","Add layered depth and cloud shadow/veil interaction","Multiple authored cloud layers and high-res source variants","Surface horizon and cloud edge captures plus pass/overdraw proof","PENDING UNITY SLOT"
"SKY20_SURFACE_CLOUD_COVERAGE_MASK","Surface cloud coverage, alpha, and shadow-softness mask","Atmosphere/Rendering","Cloud panorama/card shader coverage or alpha slot","linear alpha/coverage; edge softness; optional cloud shadow mask if shader declares it","2048 or 4096 linear mask source","Batch18 active transparent cloud card risk requires proof","Mask role is not proven; cloud cards can expose hard alpha edges","Reject noisy grit, uniform alpha, hard card silhouettes, coverage that kills route visibility","Sparse soft coverage with no card read","Better edge softness and moderate cloud shadow read","Higher mask detail and horizon layering","Rich coverage variants and soft multi-layer cloud depth","Cloud edge close shot plus Frame Debugger transparent pass count","PENDING UNITY SLOT"
"SKY20_MOON_ALBEDO_SET","Moon albedo set per visible body","Celestial/Rendering","Hecton_CelestialMoon shader or successor","sRGB albedo per body; crater/ice/basalt/salt identity; no terrain donor if visible","2048 or 4096 square/equirect source per moon; downscale by tier","Batch18 reports flag Khepri/Thalos basalt texture and flat/null moon cards","Moon source roles unresolved; final frame may read placeholder","Reject flat grey ball, null texture disc, visible terrain texture reuse, debug card","Clear silhouette plus body-specific albedo at compact","Crater/terrain breakup visible","Sharper surface map and terminator support","High-res albedo variants and atmospheric context","Moon visibility shot for each active visible moon plus material binding proof","PENDING UNITY SLOT"
"SKY20_MOON_NORMAL_HEIGHT_SET","Moon normal and optional height relief set","Celestial/Rendering","Moon shader normal/height slot if declared","normal-map data; optional height linear; no baked lighting or plastic relief","BC5-suitable normal source; height optional separate linear mask","No explicit moon normal source proven in Batch18/20 static reports","Lack of relief risks flat disc look at visible scale","Reject noisy fake relief, baked shadows, normal that contradicts albedo craters","Optional off on compact if silhouette/albedo remain premium","Moderate crater relief if shader supports it","Sharper crater/rim normal response","Higher source residency and body-specific relief","Shader slot discovery plus moon close capture","SHADER_SLOT_DISCOVERY_REQUIRED"
"SKY20_MOON_PHASE_TERMINATOR_MASK","Moon phase, terminator, and occultation support mask","Celestial/Rendering","Moon phase/terminator shader slot or scalar ramp","linear ramp/mask; phase presentation only; does not own celestial truth","1024 or 2048 linear ramp/mask if needed","Celestial bible assigns phase truth to celestial owner, not texture swap","Phase visual source roles unresolved","Reject binary black cut, unmotivated crescent, phase texture that implies separate truth owner","Simple readable phase/silhouette","Smoother terminator and body identity","Cleaner planet-shine/phase relation","Atmospheric/occlusion polish without truth changes","Moon phase capture plus owner route note","PENDING UNITY SLOT"
"SKY20_DAY_GRADIENT_SKY_LUT","Bright surface day gradient and exposure anchor","Atmosphere/Lighting/Rendering","Skybox/day gradient LUT or material ramp","surface day gradient; horizon-to-zenith color; no one-note sci-fi grade","256x16, 512x32, or 1024x256 route LUT/ramp; format by shader","Root bibles require bright/readable surface, sky, Aegir, ocean, and coastline","Capture is bright but lacks premium Aegir integration; gradient must support haze/scale","Reject one-note blue, purple gradient identity, white wash, crushed surface, noir default","Clean bright readable gradient and route silhouettes","Better horizon color and cloud blend","Richer atmospheric color depth","Cinematic day gradient with subtle shafts/planet context","Surface day matched quality captures","PENDING UNITY SLOT"
