Name,Type,RA,Dec,Dist,AbsMagn,Radius,Quat.w,Quat.x,Quat.y,Quat.z
NGC 1077-2/NGC 1077B/MCG 7-6-68/ZWG 539.95,SBb,2.76720007,40.093299,171388274,-19.07,12463.208,0.840432,0.534431,0.0164455,0.088246
NGC 1000/MCG 7-6-48/ZWG 539.67/NPM1G +41.78,E0,2.64690011,41.4603005,140145941,-20.13,14269.0703,0.761034,0.552704,-0.274793,-0.199585
IC 275-1/5ZW309,E0,3.01530009,44.3503005,132235717,-18.31,5770.17432,0.760357,0.523453,-0.316721,-0.218042
IC 275-2,E0,3.01530002,44.3460997,132235713,-18.11,3844.73877,0.760351,0.523471,-0.3167,-0.218049
IC 275-3/NPM1G +44.59,E0,3.01610008,44.3505992,132235710,-19.01,3844.73877,0.760318,0.523442,-0.316799,-0.21809
IC 226/UGC 1922/MCG 5-6-46,S0,2.4625,28.2088994,145695367,-21.22,36025.2656,-0.628613,0.0998008,-0.739816,0.218078
IC 1735/6ZW63,S0,1.84749999,33.0918998,154433408,-19.94,11230.6846,-0.667449,0.227129,-0.706004,0.0669539
IC 1792/UGC 1781/MCG 6-6-15/ZWG 523.18,Sb,2.31689996,34.4616992,142322785,-21.07,22771.0332,0.814941,0.525963,0.126865,0.207701
NGC 816/ZWG 504.16/NPM1G +29.76/KUG 205+290,E0,2.13559998,29.2563993,149987733,-20.68,8725.77832,0.713275,0.644294,-0.204715,-0.184975
NGC 919/UGC 1894/MCG 4-6-39/ZWG 483.49,Sb,2.43780005,27.2113997,138214372,-20.3,24120.0645,0.82048,-0.263452,0.501069,0.0795976
IC 227/UGC 1932/MCG 5-6-48/ZWG 504.87,E0,2.46749997,28.1756016,139502082,-20.22,26376.625,0.754067,0.504057,0.245529,-0.342089
IC 1855,E0,2.81780006,13.4428001,168506254,-20.13,7352.21973,0.599609,0.714488,-0.231742,-0.276173
IC 1821-1/ZWG 439.20/NPM1G +13.98,S0,2.60690003,13.7805992,163876626,-20.97,14302.7959,0.847413,0.26588,0.449413,-0.0960615
IC 1821-2,S0,2.60720004,13.7796992,163876628,-18.77,7149.86523,0.610928,0.7784,-0.00828017,0.144193
IC 1890/MCG 3-9-4/ZWG 464.5/NPM1G +19.103,S0,3.16610002,19.2086008,138674269,-20.11,14118.8369,0.626953,0.68011,-0.264303,-0.27299
IC 1894/ZWG 464.6/NPM1G +19.105,S0,3.1735999,19.6072001,141924209,-20.16,10320.0879,0.629144,0.735498,0.0143653,0.251027
IC 1893,S0,3.17109992,19.6169004,130028207,-19.07,3783.41919,0.839607,0.491503,0.199337,0.117258
NGC 1384/MCG 3-10-3/ZWG 465.4,Sc,3.65360004,15.8194006,131959775,-20.1,17273.7305,0.875539,-0.130263,0.449868,-0.118665
IC 355/MCG 3-10-10/ZWG 465.10/IRAS 3509+1949,Sc,3.89610002,19.9742008,117273729,-19.75,8526.49023,0.603018,0.647019,-0.325465,-0.334378
IC 1977/UGC 2815/MCG 3-10-5/ZWG 465.7,SBb,3.6792,17.7408,133676719,-21.23,27219.7695,0.7092,-0.442146,0.525465,-0.159465
NGC 1254/MCG0-9-33/ZWG 390.32,S0,3.23969999,2.67780005,155077263,-20.65,18043.291,0.716598,0.636604,0.148871,-0.243024
IC 298/MCG0-9-15/ZWG 390.16/Arp 147,Irr,3.1883,1.31580001,129353695,-19.76,15050.8955,0.731924,0.0594671,0.53853,-0.413202
IC 298A/MCG0-9-16/UGCA 57/IRAS 3087+107,Irr,3.18860001,1.31329996,133860685,-20.13,13628.2803,0.562328,0.776027,0.163776,0.233981
IC 315/ZWG 416.6/NPM1G +3.132,S0,3.31920004,4.03919992,124141529,-20.67,12637.9688,0.749829,0.624378,0.203239,0.0812577
IC 322/ZWG 390.89/ZWG 416.8,E0,3.43330011,3.68029998,123344373,-20.26,16145.4502,0.518166,0.736717,-0.249935,-0.355366
IC 332/MCG0-10-4/ZWG 391.6/KARA 129,Sa,3.54360003,1.38310004,126287710,-20.81,16531.7637,0.767542,0.609816,0.192487,-0.0441842
IC 1918/ZWG 416.9/NPM1G +4.115,S0,3.43810002,4.54170003,126165071,-20.6,7339.95605,0.795294,-0.321361,0.459363,-0.230694
IC 1931/MCG0-9-87/ZWG 390.94,E0,3.48249993,1.75060001,126563651,-20.21,14725.9014,0.504108,0.743019,-0.247153,-0.364298
IC 1967/MCG0-10-8/ZWG 391.20/IRAS 3351+306,S0,3.6296999,3.27030006,129384349,-19.76,16936.4727,0.838395,0.489831,0.238987,-0.0066724
NGC 1431/UGC 2845/MCG0-10-17/ZWG 391.33,S0,3.74439999,2.83559998,125183960,-20.29,18205.7891,0.71466,-0.259401,0.543549,-0.355706
NGC 1462/MCG 1-10-10/ZWG 417.7,S0,3.83969993,6.97310001,110467253,-20.02,14462.2275,0.815338,0.554172,0.161894,-0.0436881
