priority,prefab_path,product_face_family,blocker_type,static_evidence,required_mesh_source,lod_collider_requirement,likely_owner_packet,forbidden_shortcut,proof_required,status
"P0","Assets/_Project/Prefabs/Player.prefab","Player.prefab","BUILTIN_PRIMITIVE_MESH_REF_17|NO_STATIC_LODGROUP_TOKEN|BLOCKOUT_OR_DEFAULT_MATERIAL_ROUTE_REPORTED","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=17; renderer_token_count=18; material_token_count=20; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF. ASSET_OWNER_18 reports blockout material and URP package default Lit.mat routes.","Authored or offline-generated player/suit visual mesh package; preserve prefab identity, scripts, pivots, hand/contact anchors, and route ownership.","LOD0/LOD1/LOD2 plus cull or documented hero exemption; no visual LOD0 MeshCollider; read back existing sphere/capsule contact truth and add COL_* proxies only if owner-approved.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Player/Suit product-face owner","Better material on primitive body; raw prefab YAML edit; runtime material clone; hiding with darkness, fog, visor overlay, or camera crop.","Unity Prefab Stage readback; renderer mesh refs; material refs; LODGroup state; collider/anchor readback; flat/final/wire/collider views; Console plus Frame Debugger/Stats route proof.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_BeaconDeployer_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=1; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. ASSET_OWNER_18 reports held tools use placeholder materials and/or built-in primitive IDs.","Authored/offline-generated close-camera beacon deployer mesh with grip, cartridge bay, placement head, latch detail, readable use wear.","LOD0/LOD1/LOD2 plus cull for >0.5 m; COL_* grip/contact proxy; preserve hand pose and placement anchor.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Cylinder/cube with tool texture; one generic held-tool mesh; runtime mesh generation; raw YAML edit.","Prefab readback; mesh/material/LOD/collider table; held close screenshot; flat-material silhouette rejection view; Console plus Stats/Frame Debugger.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_Builder_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated close-camera builder frame mesh with pressure-rated frame, projector face, fasteners, display/emissive mask, worn grip.","LOD0/LOD1/LOD2 plus cull; COL_* primitive/convex proxy separate from visual mesh; preserve hand pose and build target anchor.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Primitive blockout with better material; generic scanner/builder clone; material-only patch; raw YAML edit.","Prefab readback; material role proof; LOD/collider overlay; held close screenshot; route tool view; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_EnvAnalyzer_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=1; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE.","Authored/offline-generated environmental analyzer mesh with sensor face, sample vents, small screen, sealed casing, labels, and contact wear.","LOD0/LOD1/LOD2 plus cull; COL_* grip/contact proxy; preserve scan/readout anchors.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Cube/sphere sensor with texture; generic probe mesh; hiding weak silhouette with glow; raw YAML edit.","Prefab readback; renderer mesh path; material roles; LOD/collider proof; held analyzer screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_Flashlight_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated flashlight mesh with lens housing, pressure seal, battery cap, switch ridge, scratched glass, and readable beam owner anchors.","LOD0/LOD1/LOD2 plus cull; COL_* grip/contact proxy; preserve light origin and beam alignment.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Cylinder primitive with emissive lens; fake bloom to hide geometry; runtime material clone; raw YAML edit.","Prefab readback; light origin check; material/texture roles; LOD/collider overlay; held beam screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_HarpoonLauncher_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=1; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE.","Authored/offline-generated harpoon launcher mesh with barrel, pressure valve, tether spool, trigger guard, service seams, and wear marks.","LOD0/LOD1/LOD2 plus cull; COL_* grip/barrel proxy; preserve projectile/tether origin and hand pose.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Tube primitive with fins; generic weapon blockout; Unity Joint/tether shortcut; raw YAML edit.","Prefab readback; launch origin check; LOD/collider/material proof; held action screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_Knife_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=1; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE.","Authored/offline-generated dive knife mesh with asymmetric blade, bevels, grip wrap, latch, chipped edge, wet metal response, and readable tool silhouette.","LOD0/LOD1/LOD2 plus cull or small-tool exemption after readback; COL_* blade/grip proxy; preserve hit/contact anchor.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Flat primitive blade; alpha-card blade for close camera; material-only fix; raw YAML edit.","Prefab readback; flat-material silhouette view; collider contact view; material proof; held close screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_LaserCutter_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated laser cutter mesh with emitter nozzle, heat shielding, vents, grip, cable socket, labels, and scorched wear.","LOD0/LOD1/LOD2 plus cull; COL_* grip/nozzle proxy; preserve beam/cut origin and tool anchor.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Tube/cube cutter with glow; VFX hiding bad nozzle mesh; runtime mesh/material clone; raw YAML edit.","Prefab readback; beam origin check; material channel proof; LOD/collider overlay; held cutter screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_Propulsion_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated propulsion tool mesh with intake ring, impeller guard, thruster nozzle, handle cage, warning labels, and wet rubber/metal material split.","LOD0/LOD1/LOD2 plus cull; COL_* intake/handle proxy; preserve thrust origin and hand pose.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Cylinder fan primitive; particle wake as geometry cover; material-only patch; raw YAML edit.","Prefab readback; thrust origin check; material/LOD/collider proof; held propulsion screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
"P0","Assets/_Project/Prefabs/Tools/Held/Tool_Repair_Held.prefab","Tools/Held","BUILTIN_PRIMITIVE_MESH_REF|NO_STATIC_LODGROUP_TOKEN|PRODUCT_FACE_SCOPE","PREFAB_FILE_TECHNICAL_PROPERTIES: builtin_primitive_mesh_ref_count=1; renderer_token_count=1; material_token_count=2; policy_flags=NO_STATIC_LODGROUP_TOKEN|BUILTIN_PRIMITIVE_MESH_REF|PRODUCT_FACE_SCOPE. BoxCollider token exists but is not collider proof.","Authored/offline-generated repair tool mesh with welding tip, ceramic shield, hose socket, grip, status light, service labels, and worn metal.","LOD0/LOD1/LOD2 plus cull; COL_* grip/tip proxy; preserve repair beam/contact anchor.","ASSET_OWNER_25_PREFAB_PRIMITIVE_MESH_REPLACEMENT_PACKET.md + Tools held owner","Primitive wand with sparks; VFX-only repair identity; runtime material clone; raw YAML edit.","Prefab readback; repair origin check; material roles; LOD/collider overlay; held screenshot; Console plus Frame Debugger/Stats.","PENDING UNITY PREFAB READBACK"
