Path,Width,Height,ActualFormat,Compression,MipMap,EstimatedActualMB,Flags
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/albedo___family.kelp.canopy.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/sand/NORMAL.png",2048,1829,"BC5","Compressed",True,4.763,""
"Assets/Feel/MMTools/Tools/MMPrototypeTextures/Textures/MMProtoTextures/MMProtoTextures_RedSquares.png",1024,1024,"DXT1","Compressed",True,0.667,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.massive/albedo___family.coral.massive.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.plate/detail___family.coral.plate.png",2048,2048,"BC7","Compressed",True,5.333,""
"Packages/com.unity.inputsystem/InputSystem/Editor/Icons/InputSystemUIInputModule@64.png",64,64,"RGBA32","Uncompressed",False,0.016,"VRAM_CRIME_UNCOMPRESSED_OR_RGB_RGBA|NO_MIP"
"Assets/_Project/Art/Sprites/thunder.png",512,512,"BC7","Compressed",False,0.250,"NO_MIP"
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.canopy/detail___family.kelp.canopy.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/2rock/Rocks007_1K-JPG_NormalGL.jpg",1024,1024,"BC5","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/gravel/Gravel020_1K-JPG_Color.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/TOP1Rock028_2K-JPG_Color.jpg",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Terrain Textures/rocks/Rocks019_1K-JPG_AmbientOcclusion.jpg",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.branching/albedo___family.coral.branching.png",2048,2048,"BC7","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/normal___family.kelp.patch.dense.png",2048,2048,"BC5","Compressed",True,5.333,""
"Assets/_Project/Art/TEXTURES/Detali/Soft Plume Noise - second try.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.coral.brittle/mask___family.coral.brittle.png",1024,1024,"BC7","Compressed",True,1.333,""
"Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported/family.kelp.patch.dense/detail___family.kelp.patch.dense.png",2048,2048,"BC7","Compressed",True,5.333,""
