debt_id,domain,debt_class,count_or_scope,evidence_path,evidence_line_or_row,static_status,unity_owner_action,do_not_do
PF2008-D001,ProductFace prefabs,built_in_primitive_mesh,42 prefabs,Docs/Reports/Batch18/1892_PRODUCT_FACE_SINGLE_UNITY_OWNER_RUNBOOK.md,Static Starting Facts,STATIC INHERITED,Run ProductFace source generation and prefab quality gate in a single Unity owner slot,Do not treat source-authoring scripts as applied relinks
PF2008-D002,ProductFace material assignments,blocked_material_rows,55 of 61 rows,Docs/Reports/Batch19/1909_STATIC_VISUAL_DEBT_AUDIT_PROOF_MATRIX.md,line 17,STATIC INHERITED,Replace with owned ProductFace materials after manifest and import proof,Do not relink from filename resemblance
PF2008-D003,Package default materials,package_default_lit_rows,17 rows,Docs/Reports/Batch19/1909_STATIC_VISUAL_DEBT_AUDIT_PROOF_MATRIX.md,line 17,STATIC INHERITED,Replace assignment with owned ProductFace material package,Do not delete PackageCache or default Lit material assets
PF2008-D004,Tool materials,placeholder_tool_material_rows,23 rows,Docs/Reports/Batch19/1909_STATIC_VISUAL_DEBT_AUDIT_PROOF_MATRIX.md,line 17,STATIC INHERITED,Author ToolDecayLit albedo normal and PackedMaskV1 per tool family,Do not ship Mat_Tool_*_Placeholder rows
PF2008-D005,Resource materials,flat_resource_shell_rows,8 rows,Docs/Reports/Batch19/1909_STATIC_VISUAL_DEBT_AUDIT_PROOF_MATRIX.md,line 17,STATIC INHERITED,Author resource family materials and channel contracts,Do not recolor terrain flora or environment donor materials
PF2008-D006,Player suit materials,player_blockout_rows,6 rows,Docs/Reports/Batch19/1909_STATIC_VISUAL_DEBT_AUDIT_PROOF_MATRIX.md,line 17,STATIC INHERITED,Author suit body trim and visor material package,Do not ship MAT_PlayerSwimBlockout
PF2008-D007,Item_Titanium legacy alias,primitive_mesh_and_default_material,1 prefab with two direct debt facts,Assets/_Project/Prefabs/Item_Titanium.prefab,lines 47 and 73,STATIC SOURCE,Canonicalize or quarantine under TitaniumScrap route while preserving Data_TitaniumScrap,Do not create a new Data_Titanium truth route
PF2008-D008,Buildings/Cube route,primitive_mesh,1 prefab direct source fact,Assets/_Project/Prefabs/Buildings/Cube.prefab,line 43,STATIC SOURCE,Classify with MapMagic or construction owner before any action,Do not delete or replace blindly
PF2008-D009,World tool prefabs,primitive_meshes,12 prefabs,Assets/_Project/Prefabs/Items/Tools/Item_Tool_*_World.prefab,lines 46 or 47 per prefab,STATIC SOURCE,Relink held and world tool pairs together after tool source package proof,Do not split held/world visual identity
PF2008-D010,Static ProductFace route audit,current_route_drift,0 findings,Tools/ProductFaceStaticRouteAudit.py,stdout JSON,STATIC VERIFIED,Keep this audit in preflight and validation stack,Do not treat static route success as Unity or visual proof
PF2008-D011,ProductFace source authoring,mesh_sources_not_applied,34 possible source specs,Assets/_Project/Scripts/Editor/ProductFace*MeshSourceAuthoring.cs,12 tools 8 resources 4 transport 10 suit,STATIC SOURCE,Run source authoring only inside the later Unity owner slot,Do not mark generated meshes materials or relinks as complete from script presence
PF2008-D012,Channel contracts,blocked_or_conflicting_contracts,11 handoff gap rows,Docs/Reports/Batch20/2008_TEXTURE_CHANNEL_CONTRACT_GAPS.csv,all rows,STATIC HANDOFF,Resolve shader-specific slot and channel contracts before import and relink,Do not infer ORM MRAO ARM channels from filenames
