"tool_id","casing_candidate","rubber_grip_candidate","metal_nozzle_blade_candidate","glass_lens_screen_candidate","emissive_trim_candidate","labels_decals_candidate","wear_dirt_heat_residue_candidate","shader_candidates","texture_map_semantics","current_static_evidence","forbidden_assignments","global_quality_weight_consequence","future_unity_proof","status"
"Tool_BeaconDeployer","MISSING_SOURCE_REQUIRED; current Mat_Tool_BeaconDeployer_Placeholder has no textures","MISSING_SOURCE_REQUIRED","MISSING_SOURCE_REQUIRED for cartridge latch antenna spool emitter hardware","MISSING_SOURCE_REQUIRED for emitter lens","MISSING_SOURCE_REQUIRED for deployment diagnostics","MISSING_SOURCE_REQUIRED for warning/service decals","MISSING_SOURCE_REQUIRED for salt wear dirt residue","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; Hecton_ToolScreenDiegetic only if screen/readout exists","Base/albedo worn pressure casing; normal bevels grip ribs scratches; packed mask R metallic G AO B smoothness A emission; emission/lens mask; detail/wear/label masks","Held/world prefab MeshFilter uses built-in cube; held/world material resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_BeaconDeployer_Placeholder.mat; placeholder material binds no textures","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; raw flat color-only substitutes","0.0 keeps authored beacon/cartridge/antenna silhouette and packed masks; middle adds grime labels; high adds lens/wet metal response; 1.0 adds screws spool cable and emissive diagnostics only","Import material+texture assets; assign held/world slots; static prefab no-cube scan; held/world screenshots; Frame Debugger/profiler only before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_Builder","MISSING_SOURCE_REQUIRED; current Mat_Tool_Builder_Placeholder has no textures","MISSING_SOURCE_REQUIRED","MISSING_SOURCE_REQUIRED for projector fork feed slot heat vents","MISSING_SOURCE_REQUIRED for projector glass and status gauge","MISSING_SOURCE_REQUIRED for construction projection trim","MISSING_SOURCE_REQUIRED for construction warning/service decals","MISSING_SOURCE_REQUIRED for heat-darkened vents grime","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader; construction hologram materials are VFX support only","Base/albedo casing paint and wear; normal bevels vents grip ribs; packed mask R metallic G AO B smoothness A emission; emission projector/screen mask; detail/wear/label masks","Held/world prefab MeshFilter uses built-in cube; material resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_Builder_Placeholder.mat; no textures","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; raw flat color-only substitutes","0.0 keeps grip/projector/nozzle readable; middle adds labels grime; high adds bevel glass wetness; 1.0 adds panel seams projector glow without changing build truth","Import material+texture assets; assign held/world slots; prove build ray anchor material orientation; screenshots; profiler only if hologram/render path changes","MISSING_SOURCE_REQUIRED"
"Tool_EnvAnalyzer","MISSING_SOURCE_REQUIRED; current Mat_Tool_EnvAnalyzer_Placeholder has no textures","MISSING_SOURCE_REQUIRED","MISSING_SOURCE_REQUIRED for sensor head sample port lens cluster frame","MISSING_SOURCE_REQUIRED for sensor glass and small screen","MISSING_SOURCE_REQUIRED for diagnostic strip","MISSING_SOURCE_REQUIRED for analyzer labels","MISSING_SOURCE_REQUIRED for wet grime residue and sample staining","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","Base/albedo rugged casing; normal lens rings grip ribs scratches; packed mask R metallic G AO B smoothness A emission; emission diagnostic mask; detail/wear/label masks","Held/world prefab MeshFilter uses built-in cube; material resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_EnvAnalyzer_Placeholder.mat; no textures","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; raw flat color-only substitutes","0.0 keeps sensor head screen silhouette and packed masks; middle adds sample grime labels; high adds dirty glass condensation; 1.0 adds secondary lens detail without changing scan truth","Import material+texture assets; assign slots; prove scan/sample anchors; held/world screenshots; profiler only if screen/render path changes","MISSING_SOURCE_REQUIRED"
"Tool_Flashlight","MISSING_SOURCE_REQUIRED; current Mat_Tool_Flashlight_Placeholder has no textures","MISSING_SOURCE_REQUIRED for seals strap grip","MISSING_SOURCE_REQUIRED for anodized battery tube bezel fins","MISSING_SOURCE_REQUIRED for dirty pressure lens","MISSING_SOURCE_REQUIRED for lens/emitter mask","MISSING_SOURCE_REQUIRED for battery/service labels","MISSING_SOURCE_REQUIRED for scratches salt dirt heat on bezel","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; Assets/_Project/Art/Shaders/Hecton_FlashlightConeSilt.shader is beam support not body material","Base/albedo wet metal and label paint; normal lens scratches grip ribs bezel bevels; packed mask R metallic G AO B smoothness A emission; emission lens mask; detail/wear/label masks","Held/world prefab MeshFilter uses built-in cube; material resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_Flashlight_Placeholder.mat; no textures","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; raw flat color-only substitutes","0.0 keeps lens direction and body read; middle adds strap seals labels; high adds scratched glass wet metal; 1.0 adds micro scratches screws without changing light truth","Import material+texture assets; assign slots; prove beam/lens origin; held/world and dark-route screenshots; profiler/Frame Debugger required for beam acceptance","MISSING_SOURCE_REQUIRED"
"Tool_HarpoonLauncher","MISSING_SOURCE_REQUIRED; current Mat_Tool_HarpoonLauncher_Placeholder has no textures","MISSING_SOURCE_REQUIRED for stock/grip/cable rubber","MISSING_SOURCE_REQUIRED for barrel rail spool pressure tank harpoon tip","MISSING_SOURCE_REQUIRED for sight glass if authored","MISSING_SOURCE_REQUIRED for status trim","MISSING_SOURCE_REQUIRED for hazard labels","MISSING_SOURCE_REQUIRED for cable wear salt barrel scratches","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; Assets/_Project/Art/Shaders/Hecton_TetherLineStrip.shader is tether support not body material","Base/albedo dark metal hazard paint; normal barrel scratches grip/cable ribs; packed mask R metallic G AO B smoothness A emission; emission status mask; detail/wear/label masks","Held/world prefab MeshFilter uses built-in cube; material resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_HarpoonLauncher_Placeholder.mat; no textures; held references Hecton_TetherLineStrip shader for tracer/tether","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; raw flat color-only substitutes","0.0 keeps barrel/spool line-of-fire silhouette; middle adds cable labels; high adds bevel/wear response; 1.0 adds secondary cable rail/recoil presentation only","Import material+texture assets; assign slots; prove muzzle/tether anchors; held/world screenshots; profiler only if tether/render path changes","MISSING_SOURCE_REQUIRED"
"Tool_Knife","MISSING_SOURCE_REQUIRED; current Mat_Tool_Knife_Placeholder has no textures","MISSING_SOURCE_REQUIRED for wrapped grip","MISSING_SOURCE_REQUIRED for blade serration pry spine guard","MISSING_SOURCE_REQUIRED unless optional small inset indicator exists","MISSING_SOURCE_REQUIRED if powered edge indicator exists","MISSING_SOURCE_REQUIRED for maker/warning stamps","MISSING_SOURCE_REQUIRED for salt wear edge nicks biological residue","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader","Base/albedo brushed blade and grip wrap; normal edge nicks serrations wrap ribs; packed mask R metallic G AO B smoothness A emission; optional emission edge mask; detail/wear/label masks","Held/world prefab MeshFilter uses built-in cube; material resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_Knife_Placeholder.mat; no textures; FloraDataTemplate_KnifeMat is not a credible tool source","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; flora knife-name collision; raw flat color-only substitutes","0.0 keeps blade edge silhouette and readable grip; middle adds stamps grime; high adds wet edge response; 1.0 adds micro scratches and serration nicks without changing hit truth","Import material+texture assets; assign slots; prove blade sweep proxy; held/world screenshots; gameplay capture before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_LaserCutter","MISSING_SOURCE_REQUIRED; current Mat_Tool_LaserCutter_Placeholder has no textures","MISSING_SOURCE_REQUIRED","MISSING_SOURCE_REQUIRED for ceramic nozzle emitter heat fins power cell","MISSING_SOURCE_REQUIRED for safety shield/status display glass","MISSING_SOURCE_REQUIRED for cyan/amber emitter trim","MISSING_SOURCE_REQUIRED for warning labels","MISSING_SOURCE_REQUIRED for heat discoloration slag dirt","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader; Assets/_Project/Art/Shaders/Hecton_LaserCutRadianceDecal.shader and Assets/_Project/Art/Materials/VFX/MAT_ShinobuPlasmaBeamIndirect.mat are cut VFX support only","Base/albedo heat-stained casing; normal fins nozzle scratches grip ribs; packed mask R metallic G AO B smoothness A emission; emission emitter/status mask; detail/wear/label/heat masks","Held/world prefab MeshFilter uses built-in cube; material resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_LaserCutter_Placeholder.mat; no textures","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; raw flat color-only substitutes","0.0 keeps emitter/fins/beam origin readable; middle adds warning grime; high adds heat discoloration glass; 1.0 adds tiny vents and secondary glow only","Import material+texture assets; assign slots; prove emitter/beam anchors; held/world and cutting screenshots; profiler/Frame Debugger required for beam acceptance","MISSING_SOURCE_REQUIRED"
"Tool_Propulsion","MISSING_SOURCE_REQUIRED; current world Mat_Tool_Propulsion_Placeholder has no textures; held uses package Lit.mat","MISSING_SOURCE_REQUIRED for dual grips/seals","MISSING_SOURCE_REQUIRED for intake grille ducted nozzle cage fins","MISSING_SOURCE_REQUIRED if status lens/readout exists","MISSING_SOURCE_REQUIRED for thrust/status trim","MISSING_SOURCE_REQUIRED for hazard/service labels","MISSING_SOURCE_REQUIRED for scuffed nozzle salt grime","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; propulsion VFX/shaders must remain support only unless proven","Base/albedo wet dark metal and warning paint; normal grille fins grip ribs; packed mask R metallic G AO B smoothness A emission; emission status/thrust mask; detail/wear/label masks","Held/world prefab MeshFilter uses built-in cube; held material resolves to .codexbuild package-cache URP Lit.mat; world resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_Propulsion_Placeholder.mat; no textures","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; raw flat color-only substitutes","0.0 keeps intake/nozzle direction readable; middle adds grille labels; high adds wet bevels; 1.0 adds secondary intake spin/VFX only without force truth changes","Import material+texture assets; replace package Lit assignment; assign held/world slots; prove thrust/intake anchors; screenshots; profiler only if propulsion render/VFX changes","MISSING_SOURCE_REQUIRED"
"Tool_Repair","MISSING_SOURCE_REQUIRED; current Mat_Tool_Repair_Placeholder has no textures","MISSING_SOURCE_REQUIRED","MISSING_SOURCE_REQUIRED for welder nozzle heat shield cable battery patch feed","MISSING_SOURCE_REQUIRED for gauge/screen glass","MISSING_SOURCE_REQUIRED for amber/cyan indicators","MISSING_SOURCE_REQUIRED for repair labels","MISSING_SOURCE_REQUIRED for heat staining slag dirt","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","Base/albedo heat-stained casing; normal nozzle scratches grip ribs gauge bevel; packed mask R metallic G AO B smoothness A emission; emission gauge/indicator mask; detail/wear/label/heat masks","Held/world prefab MeshFilter uses built-in cube; material resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_Repair_Placeholder.mat; no textures","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; raw flat color-only substitutes","0.0 keeps nozzle/gauge readable; middle adds labels grime; high adds heat wear material response; 1.0 adds subtle slag glow and secondary hardware only","Import material+texture assets; assign slots; prove weld/nozzle anchors; repair target screenshots; profiler only if repair VFX/render path changes","MISSING_SOURCE_REQUIRED"
"Tool_SalvageSampler","MISSING_SOURCE_REQUIRED; current Mat_Tool_SalvageSampler_Placeholder has no textures","MISSING_SOURCE_REQUIRED","MISSING_SOURCE_REQUIRED for clamp jaws sensor fork cartridge slot","MISSING_SOURCE_REQUIRED for dirty sample tube/readout glass","MISSING_SOURCE_REQUIRED for status trim","MISSING_SOURCE_REQUIRED for sample cartridge labels","MISSING_SOURCE_REQUIRED for bio residue wet grime","Assets/_Project/Art/Shaders/Hecton_ToolDecayLit.shader; Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader if readout exists","Base/albedo stainless/polymer and residue; normal jaws tube scratches grip ribs; packed mask R metallic G AO B smoothness A emission; emission readout mask; detail/wear/label/bio-residue masks","Held/world prefab MeshFilter uses built-in cube; material resolves to Assets/_Project/Art/Materials/Tools/Mat_Tool_SalvageSampler_Placeholder.mat; no textures","Unity default material; package Lit.mat; Mat_Tool_*_Placeholder; Mat_ToolTrial_*; RuntimeFlatColor; RuntimeCheckerboardUnlit; Diagnostics/ErrorCube; raw flat color-only substitutes","0.0 keeps jaws/tube silhouette; middle adds residue labels; high adds wet glass response; 1.0 adds sample fluid detail only","Import material+texture assets; assign slots; prove sample contact proxy; held/world screenshots; capture before acceptance","MISSING_SOURCE_REQUIRED"
