writer,file_line,condition,color_density_value,owner_phase,risk,proof_needed
Scene RenderSettings,Assets/_Project/Scenes/02_HECTON_WORLD.unity:17-24,Scene load/default before runtime writers,"fog=1 fogColor={0.035,0.3,0.34,1} mode=Exp2 density=0.01 ambientSky={0.62,0.76,0.86} ambientEquator={0.42,0.58,0.58} ambientGround={0.24,0.25,0.21}",Unity scene initialization,"Green/teal swamp floor if runtime writers fail, are late, or proof camera captures before owner writes","Unity owner logs first 10 frames: fog enabled/mode/color/density/ambient after each writer"
HectonAtmosphereManager profile refs,Assets/_Project/Scenes/02_HECTON_WORLD.unity:90985-90992,Serialized manager setup,"day/night/underwater/eclipse profiles assigned; waterSurfaceY=14.02; useAutoUnderwaterDetection=0",Serialized runtime config,"False underwater labels possible because atmosphere state can stay surface while camera is below water","Log atmosphere state, external flag, auto flag, player depth, camera depth, resolved profile per capture"
HectonAtmosphereManager underwater gate,Assets/_Project/Scripts/HectonAtmosphereManager.cs:1737-1773,Every atmosphere state evaluation,"external flag true -> underwater; auto disabled -> false; otherwise movement/depth hysteresis",Atmosphere Tick before visuals,"With auto disabled, camera/player depth alone cannot select underwater atmosphere profile","Unity owner logs EvaluateUnderwater inputs and output on surface/0.5m/20m captures"
HectonAtmosphereManager public force API,Assets/_Project/Scripts/HectonAtmosphereManager.cs:2376-2390,External callers invoke APIs,"SetUnderwater(bool); SetWaterSurfaceLevel(float)",Cold/control API,"Unknown caller may force or fail to force underwater state; no static call graph proves live caller","Static grep caller list plus runtime log when SetUnderwater/SetWaterSurfaceLevel is called"
HectonAtmosphereManager biome fog influence,Assets/_Project/Scripts/HectonAtmosphereManager.cs:2136-2195,Application playing and biome influence available,"Primary/secondary biome AtmosphereProfile fogColor/fogDensity blend into current values",Atmosphere Tick,"Green biome profiles can feed current fog state; serialized profile values are not live proof","Log active matrix/biome profile name, primary/secondary fog values, blend255, resulting current fog"
HectonAtmosphereManager abyss shader globals,Assets/_Project/Scripts/HectonAtmosphereManager.cs:1897-1918 and 1921-1964,Pending abyss presentation dirty,"_H8AbyssAbsorptionColor, _H8AbyssAtmosphereParams(fogBoost/fogDetail/quality/depth), _CausticOffset",Atmosphere late-frame shader payload,"Shader fog/caustic globals may imply depth but do not set RenderSettings fog; can confuse visual proof if logged alone","Log globals plus RenderSettings final values and active underwater state in same frame"
HectonCelestialEngine surface fog writer,Assets/_Project/Scripts/HectonCelestialEngine.cs:3848-4017 and 4077-4128,Surface atmospheric lighting state valid,"FogColor=horizonFogColor after readable tint/floor; FogDensity clamped <=0.001; ambient Trilight floors; _DirectionalLightColor",Late-frame surface presentation after underwater visuals,"Can overwrite/restore surface fog after underwater writer if state gating/order is wrong; should be polish consumer not primary fog owner","Per-frame ordered log: Celestial before/after RenderSettings and UnderwaterVisuals.IsUnderwater"
HectonCelestialEngine surface fallback,Assets/_Project/Scripts/HectonCelestialEngine.cs:4183-4193,No weather override and atmosphere manager current density >0.0001,"Uses AtmosphereManager.CurrentFogDensity as base surface density",Late-frame surface presentation,"Can inherit green-biome current fog if AtmosphereManager remained surface/biome while camera is underwater","Log atmosphere current state/profile and Celestial computed fog before applying"
HectonCelestialEngine weather override,Assets/_Project/Scripts/HectonCelestialEngine.cs:7212-7264,Surface weather owner calls override,"SetSurfaceWeatherOverride(fogColor,fogDensity,ambientColor,...)",Surface weather control API,"Weather can be an unlogged fog writer/color source","Log calls and values; include weather profile name/source"
HectonUnderwaterVisuals surface readable floor,Assets/_Project/Scripts/HectonUnderwaterVisuals.cs:2899-2929,When not underwater in its visual tick,"If fog on: fogColor=ResolveSurfaceFogColor; fogDensity readable floor/ceiling; ambient floors",Visual tick / render callback,"Can make surface readable but still preserve green cast if surface source is green-biased","Log when branch runs, `ResolveSurfaceFogColor`, final fog density"
HectonUnderwaterVisuals underwater fog writer,Assets/_Project/Scripts/HectonUnderwaterVisuals.cs:2932-2987,Visual state underwater,"fogColor=ResolveUnderwaterFogColor blended toward surface near 0-3m; fogDensity floor near surface 0.012, at depth 0.0048, plus haze boosts",Visual tick / underwater presentation,"0-0.5m may over-blend to surface green; underwater density may still be transparent if other passes/geometry dominate or Crest copy overwrites material params","Log depth, lightFactor, turbidity, fogColor before/after surfaceBlend, targetDensity, cachedFogDensity"
HectonUnderwaterVisuals render callback enforcement,Assets/_Project/Scripts/HectonUnderwaterVisuals.cs:2989-3043,Per camera render callback,"Underwater camera: fog enabled exp2 density per camera; surface camera: surface fog or off",Camera render callback,"SceneView/GameView can diverge; false proof if capture uses different camera or callbacks inactive","Log camera name/type, runtimeVisualCallbacksActive, ShouldRenderUnderwaterFogForCamera, final RenderSettings"
HectonUnderwaterVisuals ambient/camera,Assets/_Project/Scripts/HectonUnderwaterVisuals.cs:3049-3105,Underwater visual branch,"Ambient Trilight from surface state blended with underwater ambient; mainCamera.backgroundColor=cachedUnderwaterFogColor",Visual tick / camera presentation,"Background may look surface/teal even if world geometry is not underwater; can mask false capture labels","Log camera clear flags/background and ambient mode/colors"
HectonUnderwaterVisuals underwater state resolver,Assets/_Project/Scripts/HectonUnderwaterVisuals.cs:7339-7388,Every visual state update,"camera/player visualDepth; exit=0.03; enter=0.08; forced depth=0.18; movement/submerged states",Visual owner state,"Can disagree with AtmosphereManager because AtmosphereManager auto detection is disabled in scene","Log both atmosphere state and visual state on same frame"
HectonUnderwaterVisuals profile fallback,Assets/_Project/Scripts/HectonUnderwaterVisuals.cs:7630-7746,No biome profile or profile transition,"Fallback ocean material diffuse {0,0.03,0.07}; shallow {0,0.15,0.12}; profile fogColor/depthFogDensity/turbidity if present",Visual profile resolution,"Green/teal shallow scatter and biome fog can cause swamp cast; high depthFogDensity profiles can over-thicken if live","Log active biome profile, scatterBase, scatterShallow, depthFogDensity, fogColor, turbidity"
HectonUnderwaterVisuals noir/water globals,Assets/_Project/Scripts/HectonUnderwaterVisuals.cs:6436-6508,Noir resolve globals update,"_HectonNoirFogStratification(waterLevel,1/span,abyssalDensityBoost,fogScatteringCoeff); _FogScatteringCoeff; water extinction runtime",Visual shader global sync,"Shader globals can make render pass disagree with RenderSettings; must log both","Frame Debugger plus log globals and RenderSettings after final camera render"
