"id","severity","evidence_class","artifact","line_or_count","finding","owner_signal","recommended_action"
"2018-F001","HIGH","STATIC_LOG","Docs/AgentLogs/UnityEditor_visual_audit_restart.log","line 175399","Unexpected transport error from import worker 0, code=10054, remote host forcibly closed connection.","Unity import/asset database owner; likely triggered after compile/import churn.","Steer active owners to stop new Unity writes and inspect editor state; do not kill worker from watcher."
"2018-F002","HIGH","STATIC_LOG","Docs/AgentLogs/UnityEditor_visual_audit_restart.log","lines 175376-175396","Script compilation requested, Bee returned ExitCode 4 for 1m36s then ExitCode 0 for 14s.","Script/asset change owner before import worker transport fault.","Do not launch another build; wait for owner to inspect compile console or fresh log delta."
"2018-F003","MEDIUM","STATIC_LOG","Docs/AgentLogs/UnityEditor_visual_audit_restart.log","counts: 814 Start importing, 206 Asset Pipeline Refresh","Heavy import churn in redirected editor log, concentrated around 02_HECTON_WORLD and Photic1428 materials near tail.","Visual/material owner, likely Batch20 visual pipeline work.","Batch scene/material saves; avoid repeated small writes while Unity is processing."
"2018-F004","MEDIUM","STATIC_LOG","%LOCALAPPDATA%/Unity/Editor/Editor.log","counts: 26 static_data.h8bin imports, 433 DataMonolith hits","Repeated Data Monolith import evidence in default Editor log tail.","Data bake/import watcher owner, not proven current.","Check whether static_data.h8bin is still being touched; do not claim active hang from stale default log."
"2018-F005","MEDIUM","STATIC_LOG","Docs/AgentLogs/UnityEditor_visual_audit_restart.log","7 occurrences near lines 19977-20228","Releasing render texture while still assigned as Camera.targetTexture, stack through MCPDynamicCode ExecuteCode.","MCP screenshot/capture owner.","Fix capture cleanup in MCP dynamic code before more screenshots; detach targetTexture before destroy."
"2018-F006","MEDIUM","STATIC_LOG","Logs/AssetImportWorker0.log; Logs/AssetImportWorker1.log","30 Shader Unsupported hits per worker","Simulation shaders have all subshaders removed in worker reloads.","Shader/package owner if these shaders are expected to render; otherwise package noise.","Triage separately; not an import hang trigger by itself."
"2018-F007","LOW","STATIC_LOG + STATIC_PROCESS","Logs/AssetImportWorker0.log; Logs/AssetImportWorker1.log","12 Package Manager connection warnings per worker","Package Manager cannot connect because workers run with -noUpm.","Expected AssetImportWorker command-line behavior.","Ignore unless main editor Package Manager fails outside worker context."
"2018-F008","LOW","STATIC_LOG","Docs/AgentLogs/UnityEditor_visual_audit_restart.log","line 175362","MCP-FOR-UNITY ended an orphaned session.","MCP session lifecycle.","Current MCP server process is running; note stale session cleanup only."
"2018-F009","LOW","STATIC_LOG","Docs/AgentLogs/UnityEditor_visual_audit_restart.log","line 20346","CancellationTokenSource double Dispose warning near Android ADB scan.","Unknown editor/plugin lifecycle owner.","Track recurrence; no steer unless repeated."
"2018-F010","MEDIUM","STATIC_PROCESS","Win32_Process query 2026-06-04 14:29 +04:00","Unity main, two AssetImportWorkers, shader compilers, UnwrapCL, ILPP still resident; no dotnet/csc/MSBuild/Bee process observed","Editor alive with stale helper risk.","Wait, do not interrupt; escalate only on fresh non-responsive process or repeated transport fault."
