path,extension,bytes,size_mb,folder_family,meta_present,is_readable_static,mesh_compression_static,import_animation_static,material_import_mode_static,global_scale_static,use_file_scale_static,generate_colliders_static,policy_flags,route_risk,evidence_class,status,evidence_boundary
Assets/_Project/_PROLOGUE_CONTENT/Models/ceiling_10.fbx,fbx,24108,0.023,unclassified_first_party,YES,0,0,1,0,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META,STATIC_CLASSIFICATION_ONLY,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Models/floor_05.fbx,fbx,95852,0.091,unclassified_first_party,YES,0,0,1,0,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META,STATIC_CLASSIFICATION_ONLY,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Models/floor_large_8x8.fbx,fbx,19948,0.019,unclassified_first_party,YES,0,0,1,0,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META,STATIC_CLASSIFICATION_ONLY,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Models/wall_01_2x3_a.fbx,fbx,65132,0.062,unclassified_first_party,YES,0,0,1,0,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META,STATIC_CLASSIFICATION_ONLY,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Models/wall_01_4x3_c.fbx,fbx,72492,0.069,unclassified_first_party,YES,0,0,1,0,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META,STATIC_CLASSIFICATION_ONLY,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Models/wall_01_4x3_door_02_wing.fbx,fbx,73788,0.070,unclassified_first_party,YES,0,0,1,0,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META,STATIC_CLASSIFICATION_ONLY,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Models/wall_04_3x6_d.fbx,fbx,45852,0.044,unclassified_first_party,YES,0,0,1,0,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META,STATIC_CLASSIFICATION_ONLY,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/Art/Materials/Meshy_AI_Alien_barnacles_clust_0301230506_texture.fbx,fbx,1997308,1.905,unclassified_first_party,YES,0,0,1,2,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META|MATERIAL_IMPORT_ROUTE_STATIC_META,STATIC_CLASSIFICATION_ONLY,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/Art/Models/Rocks/Rock 5/orig/River_Rock_FBX.fbx,fbx,113488,0.108,terrain_geology,YES,0,0,1,2,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META|MATERIAL_IMPORT_ROUTE_STATIC_META,FIRST20_ROUTE_READBACK_REQUIRED,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid.fbx,fbx,122512,0.117,terrain_geology,YES,0,0,1,2,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META|MATERIAL_IMPORT_ROUTE_STATIC_META,FIRST20_ROUTE_READBACK_REQUIRED,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/Art/Models/Rocks/Rock 7/SAMMPLE.fbx,fbx,2713536,2.588,terrain_geology,YES,0,0,1,2,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META|MATERIAL_IMPORT_ROUTE_STATIC_META,FIRST20_ROUTE_READBACK_REQUIRED,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Forest_Rock_Shelf_wgpqfjl_Mid.fbx,fbx,186624,0.178,terrain_geology,YES,0,0,1,2,1,1,0,MESH_COMPRESSION_OFF_OR_UNKNOWN_STATIC_META|IMPORT_ANIMATION_ON_STATIC_META|MATERIAL_IMPORT_ROUTE_STATIC_META,FIRST20_ROUTE_READBACK_REQUIRED,STATIC_SOURCE_META_SCAN,PENDING_VERIFICATION,MODEL_SOURCE_META_ONLY_NOT_IMPORT_OR_GEOMETRY_QUALITY_PROOF
