reference,file,target_asset,risk,required_future_action,evidence_class
raw_asset_exists,Assets/_Project/Data/Items/Resources/Raw/Data_Copper.asset,raw Data_Copper,Owner asset for route truth; must not be renamed or re-IDed,Keep stableId Data_Copper and GUID 7a9f752461931354e865d30b319c0f35,STATIC_SOURCE
raw_meta_guid,Assets/_Project/Data/Items/Resources/Raw/Data_Copper.asset.meta,raw Data_Copper,GUID churn would break active route references,Preserve meta GUID 7a9f752461931354e865d30b319c0f35,STATIC_SOURCE
legacy_asset_exists,Assets/_Project/Data/Items/Data_Copper.asset,legacy colliding Data_Copper,Duplicate stableId and m_Name contaminate item identity,Move/rename/quarantine or delete with meta only after reference proof,STATIC_SOURCE
legacy_meta_guid,Assets/_Project/Data/Items/Data_Copper.asset.meta,legacy colliding Data_Copper,GUID currently has no active route references but may be migration evidence,Preserve GUID if quarantining; delete asset and meta together only with rollback,STATIC_SOURCE
duplicate_stable_id,Assets/_Project/Data/Items/Resources/Raw/Data_Copper.asset,raw Data_Copper,Duplicate stableId under Data root,Post-patch stableId Data_Copper must remain only here,STATIC_SOURCE
duplicate_stable_id,Assets/_Project/Data/Items/Data_Copper.asset,legacy colliding Data_Copper,Duplicate stableId under Data root,Change legacy stableId to Data_CopperHullPlate_Legacy or delete asset/meta,STATIC_SOURCE
item_catalog_entry,Assets/_Project/Data/Items/ItemCatalog.asset,raw Data_Copper,Active catalog points to raw GUID; changing raw GUID breaks catalog,Leave catalog raw GUID unchanged; do not add legacy asset,STATIC_SOURCE
copper_pickup_item,Assets/_Project/Prefabs/Resources/Pickups/PFB_Resource_CopperOre.prefab,raw Data_Copper,Pickup route depends on raw GUID,Leave itemData raw GUID unchanged and verify pickup resolves raw descriptor,STATIC_SOURCE
player_prefab_reference,Assets/_Project/Prefabs/Player.prefab,raw Data_Copper,Starter/dev inventory data references raw copper; can fake route if used as proof,Do not use starter raw grant as acceptance; keep raw GUID unchanged,STATIC_SOURCE
copper_vein_yield,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_CopperVein.asset,raw Data_Copper,Copper route yield depends on raw GUID and requiredToolClass 2,Leave yield raw GUID unchanged; route tool proof remains separate blocker,STATIC_SOURCE
copper_vein_prefab,Assets/_Project/Data/Scavenging/ResourceNodes/ResourceNodeTemplate_CopperVein.asset,raw world prefab,Copper node loot pickup prefab uses raw world prefab GUID,Verify Unity validator accepts worldPrefab after identity patch,STATIC_SOURCE
copper_wire_ingredient,Assets/_Project/Data/Crafting/Recipes/Recipe_CopperWire.asset,raw Data_Copper,Copper Wire craft consumes raw GUID,Leave ingredient raw GUID unchanged and validate craft after patch,STATIC_SOURCE
battery_cell_ingredient,Assets/_Project/Data/Crafting/Recipes/Recipe_BatteryCell.asset,raw Data_Copper,Battery recipe consumes raw GUID,Leave ingredient raw GUID unchanged and validate recipe descriptor,STATIC_SOURCE
quest_completion_id,Assets/_Project/Data/Lore/Quests/Quest_CopperSample.asset,stableId Data_Copper,Quest completes by ID/hash not GUID; collision can complete wrong asset,Keep completionId Data_Copper but make raw asset the only owner,STATIC_SOURCE
first_hour_resource_id,Assets/_Project/Scripts/Gameplay/FirstHourDirector.cs,stableId Data_Copper,First resource pickup/save recovery hashes Data_Copper,Do not change constant; ensure catalog resolves raw owner,STATIC_SOURCE
h8_hash_constant,Assets/_Project/Scripts/Core/Generated/H8Hashes.cs,stableId Data_Copper,Generated hash is route/save identity,Do not regenerate to new raw ID for this patch,STATIC_SOURCE
economy_hash,Assets/_Project/Scripts/Economy/TradeMarauderRuntime.cs,stableId Data_Copper,Economy copper offer/demand hashes Data_Copper,Keep ID stable; validate raw descriptor after catalog cleanup,STATIC_SOURCE
meta_buff_starter_id,Assets/_Project/Scripts/Meta/MetaBuffInjector.cs,stableId Data_Copper,Meta/system route hashes Data_Copper,Keep ID stable; do not let legacy resolve,STATIC_SOURCE
scene_integrity_required_file,Assets/_Project/Editor/QA/SceneIntegrityValidator1627.cs,raw Data_Copper path,Validator expects raw path and stableId,Keep raw path/stableId unchanged; update only if future validator changes deliberately,STATIC_SOURCE
scene_integrity_guid_lookup,Assets/_Project/Editor/QA/SceneIntegrityValidator1627.cs,raw Data_Copper path,Validator computes raw GUID from path for recipe checks,Keep raw asset path unchanged,STATIC_SOURCE
biome_bootstrap_reference,Assets/_Project/Scripts/Editor/BiomeMatrixBootstrapAuthoring.cs,raw Data_Copper,Editor bootstrap loads raw path into biome profiles,Keep raw path stable; rerun only in future authoring slot,STATIC_SOURCE
barter_bootstrap_reference,Assets/_Project/Scripts/Editor/BarterBootstrapAuthoring.cs,raw Data_Copper,Editor bootstrap loads raw path into barter offers,Keep raw path stable,STATIC_SOURCE
resource_world_bootstrap_reference,Assets/_Project/Scripts/Editor/ResourceWorldBootstrapAuthoring.cs,raw Data_Copper,Editor bootstrap loads raw path into resource world,Keep raw path stable,STATIC_SOURCE
tool_loadout_dev_reference,Assets/_Project/Scripts/ToolLoadoutProvisioner.cs,raw Data_Copper,Dev helper can grant raw copper and fake route proof,Do not use dev grant as acceptance; no mutation for identity patch,STATIC_SOURCE
resource_plan_tectonic,Assets/_Project/Data/Biomes/ResourcePlans/ResourcePlan_TectonicSpine.asset,raw Data_Copper,World resource placement references raw GUID,Leave raw GUID unchanged and validate if DataMonolith rebakes,STATIC_SOURCE
resource_plan_sediment,Assets/_Project/Data/Biomes/ResourcePlans/ResourcePlan_SedimentDrift.asset,raw Data_Copper,World resource placement references raw GUID,Leave raw GUID unchanged,STATIC_SOURCE
resource_plan_granite,Assets/_Project/Data/Biomes/ResourcePlans/ResourcePlan_GraniteEscarpment.asset,raw Data_Copper,World resource placement references raw GUID,Leave raw GUID unchanged,STATIC_SOURCE
