speed_mps,SLEEK,INDUSTRIAL,BOXY,ALIEN,ARMORED_CRAWLER
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.000103,0.000529,0.00149,0.000138,0.001292
1.0,0.000824,0.004233,0.011922,0.001107,0.010334
1.5,0.002781,0.014285,0.040236,0.003738,0.034878
2.0,0.006592,0.033861,0.095374,0.00886,0.082674
2.5,0.012875,0.066135,0.186277,0.017304,0.161473
3.0,0.022248,0.114281,0.321886,0.029902,0.279025
3.5,0.035329,0.181475,0.511143,0.047484,0.443081
4.0,0.052737,0.270889,0.762989,0.070879,0.661393
4.5,0.075088,0.3857,1.086366,0.10092,0.941709
5.0,0.103001,0.529081,1.490213,0.138436,1.291782
5.5,0.137094,0.704207,1.983474,0.184258,1.719362
6.0,0.177986,0.914252,2.575089,0.239217,2.2322
6.5,0.226293,1.162391,3.273999,0.304144,2.838046
7.0,0.282635,1.451798,4.089145,0.379868,3.544651
7.5,0.347629,1.785648,5.02947,0.467221,4.359765
8.0,0.421893,2.167115,6.103914,0.567034,5.29114
8.5,0.506044,2.599374,7.321418,0.680136,6.346526
9.0,0.600702,3.0856,8.690924,0.807358,7.533674
9.5,0.706485,3.628966,10.221373,0.949532,8.860335
10.0,0.824009,4.232647,11.921707,1.107488,10.334258
10.5,0.953893,4.899818,13.800866,1.282055,11.963196
11.0,1.096756,5.633653,15.867792,1.474066,13.754898
11.5,1.253215,6.437327,18.131426,1.68435,15.717115
12.0,1.423887,7.314014,20.600709,1.913739,17.857598
12.5,1.609392,8.266889,23.284583,2.163062,20.184098
13.0,1.810348,9.299126,26.19199,2.43315,22.704366
13.5,2.027371,10.413899,29.331869,2.724835,25.426151
14.0,2.26108,11.614384,32.713163,3.038946,28.357205
14.5,2.512094,12.903754,36.344813,3.376314,31.505278
15.0,2.78103,14.285184,40.23576,3.737771,34.878122
15.5,3.068506,15.761849,44.394945,4.124145,38.483486
16.0,3.37514,17.336922,48.831311,4.536269,42.329122
16.5,3.701551,19.01358,53.553797,4.974973,46.42278
17.0,4.048356,20.794995,58.571345,5.441086,50.772211
17.5,4.416173,22.684343,63.892897,5.935441,55.385166
18.0,4.80562,24.684798,69.527393,6.458867,60.269395
18.5,5.217315,26.799534,75.483776,7.012196,65.432649
19.0,5.651877,29.031726,81.770986,7.596257,70.882678
19.5,6.109923,31.384549,88.397965,8.211882,76.627234
20.0,6.592071,33.861176,95.373653,8.859901,82.674067
20.5,7.09894,36.464783,102.706993,9.541144,89.030928
21.0,7.631146,39.198544,110.406925,10.256442,95.705567
21.5,8.189309,42.065634,118.482391,11.006627,102.705735
22.0,8.774047,45.069226,126.942333,11.792528,110.039183
22.5,9.385976,48.212495,135.79569,12.614976,117.713662
23.0,10.025716,51.498617,145.051405,13.474801,125.736921
23.5,10.693884,54.930764,154.718419,14.372835,134.116713
24.0,11.391099,58.512113,164.805673,15.309908,142.860788
24.5,12.117978,62.245837,175.322108,16.286851,151.976895
25.0,12.875139,66.13511,186.276667,17.304493,161.472787
25.5,13.6632,70.183108,197.678289,18.363667,171.356213
26.0,14.48278,74.393005,209.535916,19.465201,181.634925
26.5,15.334496,78.767975,221.85849,20.609928,192.316673
27.0,16.218967,83.311192,234.654952,21.798678,203.409207
27.5,17.13681,88.025832,247.934243,23.032281,214.920279
28.0,18.088643,92.915068,261.705305,24.311567,226.85764
28.5,19.075085,97.982076,275.977078,25.637368,239.229039
29.0,20.096753,103.230029,290.758504,27.010514,252.042227
29.5,21.154265,108.662103,306.058524,28.431836,265.304956
30.0,22.24824,114.281471,321.88608,29.902164,279.024976
30.5,23.379295,120.091308,338.250113,31.422329,293.210037
31.0,24.548049,126.094789,355.159563,32.993162,307.867891
31.5,25.755119,132.295087,372.623373,34.615493,323.006288
32.0,27.001123,138.695379,390.650484,36.290153,338.632978
32.5,28.28668,145.298837,409.249837,38.017972,354.755713
33.0,29.612407,152.108637,428.430372,39.799781,371.382243
33.5,30.978923,159.127953,448.201033,41.63641,388.520318
34.0,32.386845,166.35996,468.570759,43.528691,406.177691
34.5,33.836792,173.807832,489.548492,45.477454,424.36211
35.0,35.329381,181.474743,511.143173,47.483529,443.081327
35.0,35.329381,181.474743,511.143173,47.483529,443.081327
