Subject,StaticEvidence,SceneObjectStatus,PrefabRouteStatus,ConflictRisk,RequiredUnityReadback,NextOwner,Status
"scene_local_player_identity","02_HECTON_WORLD.unity lines 70213-70232 define scene-local GameObject fileID 1568927387 with m_Name Player, tag Player, m_IsActive 1, m_PrefabInstance 0, m_PrefabAsset 0; rg counts show one Player name and one Player tag in scene","Active scene-local Player object exists; runtime role not proven","Player.prefab asset exists but its GUID 1c4db7a430141e5408e01b6ce4ed19d7 has no targeted hits in 02_HECTON_WORLD.unity","Scene-local Player can become active player identity instead of production prefab route","Read active tagged Player path, prefab source, scene-local status, BootstrapState.CurrentPlayerObject, active scene name","Unity/runtime readback owner","PENDING_VERIFICATION"
"scene_shell_controller","02_HECTON_WORLD.unity lines 70248-70264 show enabled Hecton8.World.HectonWorldShellController1428 on the scene-local Player with movement speed fields and cameraRig 1505808849","Enabled shell component serialized on active scene-local Player; runtime dispatcher registration not proven","Production movement exists in Player.prefab only as static candidate","Duplicate or winning movement input camera authority if shell is active at runtime","Read enabled components, shell dispatcher lane, shell Tick registration, transform writes, camera writes, coexistence with HectonPlayerMovement","Unity/runtime readback owner","PENDING_VERIFICATION"
"scene_shell_cameraRig","02_HECTON_WORLD.unity lines 67070-67160 define active Main Camera transform 1505808849 and camera 1505808848; line 70260 binds shell cameraRig to 1505808849","Shell statically targets scene Main Camera transform; runtime camera write activity not proven","Player.prefab has separate camera and HUD camera route not proven in scene","Scene shell may own camera presentation or movement camera while production camera route is absent","Read active camera owner, camera stack, shell camera writes, HectonPlayerCameraRig registration, VISUAL_SYNC phase ownership","Unity/runtime readback owner","PENDING_VERIFICATION"
"production_player_prefab_asset","Player.prefab.meta line 2 gives GUID 1c4db7a430141e5408e01b6ce4ed19d7; targeted scene rg for this GUID returned no hits; Player.prefab lines 915-920 define active tagged Player root","No static scene instance of this prefab found by GUID; scene has separate active Player","Prefab route is production candidate but not active-route proof","Production prefab may be unused while scene-local shell Player is active","Read whether prefab is spawned by bootstrap, active root source, prefab instance id, runtime ownership chain","Unity/runtime readback owner","PENDING_VERIFICATION"
"player_interaction_prefab","Player.prefab lines 958-980 show enabled Hecton8.Interaction.PlayerInteraction with reachDistance 3.5, targetProbeInterval 0.1, interactableMask bits 8, playerCamera 2887721374667799330","No PlayerInteraction visible on scene-local Player YAML block 70213-70345","Enabled on production prefab candidate","Interact prompt and tool use may be absent if scene-local Player is active","Read active PlayerInteraction component, input snapshot source, prompt UI route, probe cadence, interaction target proof","Unity/runtime readback owner","PENDING_VERIFICATION"
"rigidbody_prefab","Player.prefab lines 981-1008 show root Rigidbody with gravity off, kinematic false, interpolate 1, constraints 112, collision detection 3","No Rigidbody visible on scene-local Player YAML block 70213-70345","Rigidbody exists on production prefab candidate","Scene shell may bypass production body and save/load position truth","Read active Rigidbody, motor owner, collision mode, force application owner, restored position source","Unity/runtime readback owner","PENDING_VERIFICATION"
"hecton_player_movement_prefab","Player.prefab lines 1008-1021 show enabled Hecton8.Gameplay.HectonPlayerMovement with playerCamera 198848781283951679 and waterSurfaceY 4900","No HectonPlayerMovement visible on scene-local Player YAML block 70213-70345","Enabled on production prefab candidate","Production movement may not run or may conflict with active shell movement","Read dispatcher phase, input source, movement truth owner, swim/walk state, shell coexistence","Unity/runtime readback owner","PENDING_VERIFICATION"
"prefab_main_camera_binding","Player.prefab lines 280-328 define active Main Camera with Transform 198848781283951679 and enabled Camera 2887721374667799330; PlayerInteraction points to camera component and HectonPlayerMovement points to camera transform","Scene shell uses scene Main Camera transform 1505808849 instead","Production prefab owns separate main camera route as asset-only candidate","Camera ownership may split between scene camera and prefab camera","Read active camera object, camera component state, player camera refs, camera presentation owner, no movement truth writes","Unity/runtime readback owner","PENDING_VERIFICATION"
"prefab_hud_visor_binding","Player.prefab lines 2890-2906 show enabled VisorHUDController with hudCamera 4738717749101629275 and referenceCamera 2887721374667799330; lines 3540-3705 show HUD_Render_Camera object active, camera component disabled, HectonSuitHUDExtensions enabled, SuitHUDPresentationController enabled","No production prefab HUD instance proven in scene by prefab GUID","Prefab HUD route exists but is asset-only static evidence","HUD route may be inactive, duplicated, or mismatched with scene shell camera","Read active HUD camera, visor controller, presentation controller, render texture, render mode, interactivity, active HUD owner","Unity/runtime readback owner","PENDING_VERIFICATION"
"hud_internal_secondary_overlay","HUD_Internal.prefab lines 14-19 show active HUD_Internal object; lines 35-46 show SuitHUDScreenCompositor; line 42 disabled; line 53 forceScreenSpaceOverlay 1; targeted search found HUD_Internal and forceScreenSpaceOverlay only in HUD_Internal.prefab","No scene hit in targeted search; active runtime clone not proven","Not bound in Player.prefab; standalone latent blocker","Secondary blocker if enabled or cloned into interactive gameplay HUD","Read active HUD_Internal instances, clone status, compositor enabled state, canvas render mode, interactivity, bridge classification","Unity/runtime readback owner","PENDING_VERIFICATION"
