priority,object,classification,scene_line,active,renderer_enabled,layer,mesh,material_guid,material_asset,position,scale,recommended_action,rollback,proof_required,key_reason
1,H8_DEPTH_LOW_SHELF_1428,shoreline_art_candidate_visible_slab,9861,1,1,0,"builtin cube 10202",b9e8da6f36ed4d9459efa10020f3397d,Assets/_Project/Art/Materials/MAT_H8WorldAbyssRidge_1428.mat,"x:0 y:-0.9 z:30","x:58 y:1.15 z:8","Disable MeshRenderer first; no deletion; if service needed move to proof-hidden/camera-excluded layer","Restore active=1 renderer=1 layer=0 material=b9e8da6f36ed4d9459efa10020f3397d pos={0,-0.9,30} scale={58,1.15,8}","Before/after 1472 0.5m, 1472 20-50m route, 1473 mainrt underwater; inspect live material binding","Best active geometry match for huge horizontal sheet; current material conflicts with Batch22 beige claim"
2,H8_WORLD_LOW_WATER_OCCLUSION_00_1428,waterline_service_mesh_occlusion_cheat,7798,1,1,0,"builtin cube 10202",09da3dc87b1df5945a9996378de36940,Assets/_Project/Art/Materials/World/MAT_WorldShell_1428.mat,"x:-7 y:-0.07 z:18.8","x:3.2 y:0.06 z:0.4","Disable/layer-filter with 01/02/03 as group after priority 1 proof","Restore active=1 renderer=1 layer=0 material=09da3dc87b1df5945a9996378de36940 pos={-7,-0.07,18.8} scale={3.2,0.06,0.4}","Waterline before/after capture; verify no exposed void","Active dark low-water strip can cause black/green banding"
3,H8_WORLD_LOW_WATER_OCCLUSION_01_1428,waterline_service_mesh_occlusion_cheat,43591,1,1,0,"builtin cube 10202",09da3dc87b1df5945a9996378de36940,Assets/_Project/Art/Materials/World/MAT_WorldShell_1428.mat,"x:-2.4 y:-0.07 z:21.199999","x:3.2 y:0.06 z:0.4","Disable/layer-filter with group; no deletion","Restore active=1 renderer=1 layer=0 material=09da3dc87b1df5945a9996378de36940 pos={-2.4,-0.07,21.199999} scale={3.2,0.06,0.4}","Waterline before/after capture; verify no exposed void","Active dark low-water strip can cause black/green banding"
4,H8_WORLD_LOW_WATER_OCCLUSION_02_1428,waterline_service_mesh_occlusion_cheat,16971,1,1,0,"builtin cube 10202",09da3dc87b1df5945a9996378de36940,Assets/_Project/Art/Materials/World/MAT_WorldShell_1428.mat,"x:2.1999998 y:-0.07 z:23.599998","x:3.2 y:0.06 z:0.4","Disable/layer-filter with group; no deletion","Restore active=1 renderer=1 layer=0 material=09da3dc87b1df5945a9996378de36940 pos={2.1999998,-0.07,23.599998} scale={3.2,0.06,0.4}","Waterline before/after capture; verify no exposed void","Active dark low-water strip can cause black/green banding"
5,H8_WORLD_LOW_WATER_OCCLUSION_03_1428,waterline_service_mesh_occlusion_cheat,57089,1,1,0,"builtin cube 10202",09da3dc87b1df5945a9996378de36940,Assets/_Project/Art/Materials/World/MAT_WorldShell_1428.mat,"x:6.7999997 y:-0.07 z:26","x:3.2 y:0.06 z:0.4","Disable/layer-filter with group; no deletion","Restore active=1 renderer=1 layer=0 material=09da3dc87b1df5945a9996378de36940 pos={6.7999997,-0.07,26} scale={3.2,0.06,0.4}","Waterline before/after capture; verify no exposed void","Active dark low-water strip can cause black/green banding"
6,H8_DEPTH_CEILING_OCCLUSION_1428,false_ceiling_occlusion_cheat,75100,1,1,0,"builtin cube 10202",f3e2d325400cdbb408f84e6acc9de027,Assets/_Project/Art/Materials/MAT_H8WorldDeepAbyss_1428.mat,"x:-4 y:7.8 z:25","x:70 y:1 z:8","Move to invisible occlusion layer or disable renderer; no deletion until replacement","Restore active=1 renderer=1 layer=0 material=f3e2d325400cdbb408f84e6acc9de027 pos={-4,7.8,25} scale={70,1,8}","Underwater route capture must remove false ceiling without exposing void","Large active overhead primitive slab"
7,NOIR_UPPER_PRESSURE_LID,false_ceiling_vignette_cheat,5028,1,1,0,"builtin cube 10202",1763ea6867c15774ea09e5c90cc8675b,Assets/_Project/Art/Materials/MAT_H8WorldPressureVignette_1428.mat,"x:0 y:8.6 z:5","x:38 y:0.25 z:30","Disable renderer proof; replace with post/fog/shader route if needed","Restore active=1 renderer=1 layer=0 material=1763ea6867c15774ea09e5c90cc8675b pos={0,8.6,5} scale={38,0.25,30}","Below-surface capture; verify no hard lid/sorting plane","Transparent horizontal lid can sort as visible slab"
8,NOIR_LEFT_VIGNETTE_SLAB,debug_vignette_side_slab,6788,1,1,0,"builtin cube 10202",1763ea6867c15774ea09e5c90cc8675b,Assets/_Project/Art/Materials/MAT_H8WorldPressureVignette_1428.mat,"x:-15.2 y:3.2 z:-2","x:0.3 y:7.5 z:15","Move to camera-excluded layer or replace with post route","Restore active=1 renderer=1 layer=0 material=1763ea6867c15774ea09e5c90cc8675b pos={-15.2,3.2,-2} scale={0.3,7.5,15}","Wide/oblique underwater capture; side slab must not intersect route","Visible side curtain primitive not final acceptable"
9,NOIR_RIGHT_VIGNETTE_SLAB,debug_vignette_side_slab,58411,1,1,0,"builtin cube 10202",1763ea6867c15774ea09e5c90cc8675b,Assets/_Project/Art/Materials/MAT_H8WorldPressureVignette_1428.mat,"x:12.2 y:3 z:-3","x:0.3 y:7 z:15","Move to camera-excluded layer or replace with post route","Restore active=1 renderer=1 layer=0 material=1763ea6867c15774ea09e5c90cc8675b pos={12.2,3,-3} scale={0.3,7,15}","Wide/oblique underwater capture; side slab must not intersect route","Visible side curtain primitive not final acceptable"
10,H8_SURFACE_LITTORAL_SHALLOW_SHELF_1430,shoreline_art_candidate_inactive_beige_risk,6580,0,1,0,"authored mesh 47b9b9c0227e3b342a9eec81e6547972",8af264cdc665d554e8d1e7f9f09c0e6d,Assets/_Project/Art/Materials/World/Photic1428/MAT_H8_SurfaceLittoralShelf_1430.mat,"x:0 y:0 z:0","x:1 y:1 z:1","Keep inactive; inspect before any reactivation","Restore active=0 renderer=1 layer=0 material=8af264cdc665d554e8d1e7f9f09c0e6d pos={0,0,0} scale={1,1,1}","Only if reactivated; prove no yellow sheet","Best beige material match but inactive in current YAML"
11,H8_UnderwaterSurfaceSheet_1455,waterline_service_mesh_inactive_sheet_risk,79002,0,0,0,"authored mesh 4ec3017efcf874d4380865d8123b20d4",89fde65af4519e947aa1b6868c9a83e0,Assets/_Project/Art/Materials/World/Photic1453/MAT_H8_UnderwaterSurfaceSheet_1455.mat,"x:0 y:0 z:0","x:1 y:1 z:1","Do not enable without underwater-only fade/layer proof","Restore active=0 renderer=0 layer=0 material=89fde65af4519e947aa1b6868c9a83e0 pos={0,0,0} scale={1,1,1}","Proof only if enabled","Name/material match sheet risk but static source says inactive"
12,Water_Mass_Far_1428,waterline_service_mesh_inactive_veil_risk,30047,0,1,0,"builtin cube 10202",95664054d4042ea43bc56a9827905e5b,Assets/_Project/Art/Materials/World/MAT_WorldReadableWaterVeil_1428.mat,"x:8 y:12 z:118","x:150 y:34 z:0.25","Keep inactive; replace with authored water volume/fog if needed","Restore active=0 renderer=1 layer=0 material=95664054d4042ea43bc56a9827905e5b pos={8,12,118} scale={150,34,0.25}","Proof only if reactivated","Huge inactive veil dangerous if reactivated"
13,Water_Mass_Mid_1428,waterline_service_mesh_inactive_veil_risk,56819,0,1,0,"builtin cube 10202",95664054d4042ea43bc56a9827905e5b,Assets/_Project/Art/Materials/World/MAT_WorldReadableWaterVeil_1428.mat,"x:0 y:10 z:58","x:135 y:28 z:0.25","Keep inactive; replace with authored water volume/fog if needed","Restore active=0 renderer=1 layer=0 material=95664054d4042ea43bc56a9827905e5b pos={0,10,58} scale={135,28,0.25}","Proof only if reactivated","Huge inactive veil dangerous if reactivated"
14,BLACK_WATER_PLANE,old_plane_proxy_debt,41158,0,0,0,"builtin plane 10209",c95e023c1f5a00249b78f03817870456,Assets/_Project/Art/RuntimeShell1428/H8_Shell_BlackWater_Teal.mat,"x:0 y:-0.23 z:45","x:26 y:1 z:26","Leave inactive; never reactivate as final product geometry","Restore active=0 renderer=0 layer=0 material=c95e023c1f5a00249b78f03817870456 pos={0,-0.23,45} scale={26,1,26}","Proof only if reactivated","Flat inactive plane; old placeholder risk"
