MarkerSurface,SourceOrOwner,MeshBinding,MaterialBinding,QuestOrTargetBinding,FirstRouteStatus,StaticProofStatus,RequiredProof
MissionMarkerSystem component,Assets/_Project/Scripts/Quest/MissionMarkerSystem.cs:16,None found in Scenes/Prefabs/Data,None found in Scenes/Prefabs/Data,Consumes active quest presentation through IQuestSystem,BLOCKED,No serialized component reference to script guid 98f551b622676294787aa78593c06504 found under Assets/_Project/Scenes Assets/_Project/Prefabs Assets/_Project/Data,Create or locate production owner; serialize component plus markerMesh and markerMaterial refs; capture prefab/scene diff and play proof
MissionMarkerSystem resource contract,Assets/_Project/Scripts/Quest/MissionMarkerSystem.cs:39,Serialized markerMesh required,Serialized markerMaterial required with enableInstancing,Not quest-specific,BLOCKED,EnsureRuntimeResources validates assigned resources and sets runtime refs null plus visible count zero when invalid,Bind authored non-placeholder mesh/material; prove mesh index count and material instancing in Unity slot
Quest arrival,Assets/_Project/Data/Lore/Quests/Quest_Arrival.asset:15,None,None,quest_arrival via FirstHourDirector.cs:711,BLOCKED,rg found questId only; no markerTargetId markerWorldPosition or markerHeightOffset serialized,Assign real marker target or explicit no-marker policy with route proof; otherwise marker invisibility is expected
Quest copper sample,Assets/_Project/Data/Lore/Quests/Quest_CopperSample.asset:15,None,None,quest_copper_sample via FirstHourDirector.cs:714,BLOCKED,rg found questId only; no markerTargetId markerWorldPosition or markerHeightOffset serialized,Assign discovered resource-zone marker or authored route target; do not reveal hidden item truth without sonar/discovery evidence
Quest first breath,Assets/_Project/Data/Lore/Quests/Quest_FirstBreath.asset:15,None,None,quest_first_breath via FirstHourDirector.cs:720,BLOCKED,rg found questId only; no markerTargetId markerWorldPosition or markerHeightOffset serialized,Assign safe descent/depth route target or explicit no-marker policy with gameplay proof
FirstHour exit lifepod quest,Assets/_Project/Data/Lore/Quests/Quest_FirstHour_ExitLifePod.asset:36,None,None,markerTargetId empty; markerWorldPosition zero; height 6,RELATED BLOCKED,Serialized marker fields exist but target is empty and position is zero,Assign target/position or mark not part of mission marker route
FirstHour collect titanium quest,Assets/_Project/Data/Lore/Quests/Quest_FirstHour_CollectTitanium.asset:36,None,None,markerTargetId empty; markerWorldPosition zero; height 6,RELATED BLOCKED,Serialized marker fields exist but target is empty and position is zero,Assign target/position or mark not part of mission marker route
FirstHour craft scanner quest,Assets/_Project/Data/Lore/Quests/Quest_FirstHour_CraftScanner.asset:37,None,None,markerTargetId empty; markerWorldPosition zero; height 6,RELATED BLOCKED,Serialized marker fields exist but target is empty and position is zero,Assign target/position or mark not part of mission marker route
Atlas signal quests,Quest_SignalDetected/Quest_SignalDecoded/Quest_CoreReached,Dependent on MissionMarkerSystem mesh,Dependent on MissionMarkerSystem material,markerTargetId atlas6_core; height 18,NOT FIRST ROUTE PARTIAL,Static quest target exists but renderer component/resource assignment not proven,Verify atlas read model target and MissionMarkerSystem rendering in Unity slot
HUD threat chevron asset,Assets/_Project/Art/Meshes/M_HUD_ThreatChevron.asset and Assets/_Project/Art/Materials/MAT_HUD_ThreatChevronInstanced.mat,M_HUD_ThreatChevron guid f842ecd7ee1f487fa7e631164e81fbea,MAT_HUD_ThreatChevronInstanced guid a8512bd7412f4b46903d53022b9a0c1e,None,PARTIAL,Assets exist; material has m_EnableInstancingVariants: 1; refs found in Suit_HUD_Canvas and scanner material only,May be candidate art only if product accepts it for mission markers; must be bound to MissionMarkerSystem and visually proven
Scanner marker surface,ScannerTool.cs and HectonScanMarkerSystem.cs,ScannerTool serialized scannerMarkerMesh,Tool_Scanner_Held.prefab scannerMarkerMaterial guid a8512bd7412f4b46903d53022b9a0c1e,Scan entry markers,OUT OF SCOPE PARTIAL,Separate scanner marker system; AddComponent path exists for scanner only,Do not count scanner marker proof as mission objective marker proof
Relay HUD marker,Assets/_Project/Prefabs/Suit_HUD_Canvas.prefab:3723 and RelayHUDRuntimeBootstrap.cs:41,HUD authored element,HUD authored element,Relay route HUD marker,OUT OF SCOPE PARTIAL,Authored RelayRouteMarker exists and runtime fabrication is disabled,Do not count relay marker as mission quest marker unless route data and quest assignment are explicitly connected
