"VrefId","SourceFile","Dimensions","PrimarySurface","OwnerPackets","RequiredFutureH8Artifact","VisualRequirement","RejectIf","Status"
"VREF-01","base.webp","480x270","underwater_base_capsule_readability","ASSET_OWNER_20; ASSET_OWNER_24; ASSET_OWNER_25; ASSET_OWNER_27; ASSET_OWNER_36","h8_1475_underwater_0_5m_route_game.png","Compact underwater base or capsule must read through clean shallow water with non-empty seabed route context.","Reject if base or capsule reads as toy geometry, water is flat, or seabed route is empty.","PENDING_VERIFICATION"
"VREF-02","beauty.webp","960x540","bright_shallow_arch_route","ASSET_OWNER_12; ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_24; ASSET_OWNER_36","h8_1475_photic_terrain_route_game.png","Shallow arch must combine bright water volume, warm terrain material contrast, and dense but readable dressing.","Reject if arch or terrain is blurry, water lacks depth, or dressing hides weak base art.","PENDING_VERIFICATION"
"VREF-03","BEST ILLUST - ON SURFACE...png","1375x768","surface_ocean_aegir_coast_primary_target","ASSET_OWNER_12; ASSET_OWNER_14; ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_24; ASSET_OWNER_36","h8_1475_surface_sky_aegir_ocean_hud_game.png","Surface target must show bright ocean, large Aegir, high-detail clouds, rich coast geometry, vegetation density, and white-water scale.","Reject if surface is dark or muddy, Aegir lacks premium bands or limb, or coast lacks material truth.","PENDING_VERIFICATION"
"VREF-04","CLIFFS AND WATER PREVIOUSLY...jpg","562x533","cliff_waterline_contact","ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_24; ASSET_OWNER_36","h8_1475_surface_shoreline_waterline_game.png","Cliff waterline must prove transparent water, wet edge, foam/contact breakup, and rock material scale.","Reject if water only sits beside rock, foam is decorative, or edge contact is hidden by darkness.","PENDING_VERIFICATION"
"VREF-05","CLIFFS SKY AND GAS GIANT PREVIOUSLY...jpg.jpg","714x496","prior_sky_aegir_cliff_look","ASSET_OWNER_14; ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_36","h8_1475_sky_aegir_slots_inspector.png","Prior sky target requires purple-blue Aegir scale, cloud/band detail, bright surface legibility, and cliff material identity.","Reject if gas giant is smeared or pasted, sky is gloomy, or cliff material is primitive.","PENDING_VERIFICATION"
"VREF-06","deep-bioluminescnce.jpg","1920x1200","deep_bioluminescent_route","ASSET_OWNER_12; ASSET_OWNER_16; ASSET_OWNER_27; ASSET_OWNER_36","h8_1475_underwater_20_50m_route_game.png","Deep route must use bioluminescent color separation, readable silhouettes, and density without black crush.","Reject if bioluminescence is sparse noise, darkness hides the route, or no readable silhouette hierarchy exists.","PENDING_VERIFICATION"
"VREF-07","forest_kelp.webp","480x270","kelp_forest_density","ASSET_OWNER_12; ASSET_OWNER_22; ASSET_OWNER_27; ASSET_OWNER_36","h8_1475_underwater_0_5m_route_game.png","Kelp forest must show vertical silhouettes, dense but navigable volume, and material motion discipline.","Reject if kelp is proxy material, floating or detached, or lacks LOD/VAT/static fallback proof.","PENDING_VERIFICATION"
"VREF-08","middle-water.webp","736x736","medium_depth_capsule_route","ASSET_OWNER_16; ASSET_OWNER_24; ASSET_OWNER_25; ASSET_OWNER_27; ASSET_OWNER_36","h8_1475_underwater_20_50m_route_game.png","Medium-depth route must prove capsule scale, geology/flora density, and clean blue-green water falloff.","Reject if capsule lacks material scale or geology/flora density is missing.","PENDING_VERIFICATION"
"VREF-09","nice_biome.webp","1520x800","cockpit_biome_read","ASSET_OWNER_17; ASSET_OWNER_20; ASSET_OWNER_25; ASSET_OWNER_27; ASSET_OWNER_36","h8_1475_pda_or_cockpit_hud_readable_game.png","Cockpit view must integrate readable instruments with dense photic route and player decision state.","Reject if HUD is flat or fake, cockpit frame is absent, or route has no decision state.","PENDING_VERIFICATION"
"VREF-10","shallows.webp","1200x675","shallow_terrain_readability","ASSET_OWNER_12; ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_27; ASSET_OWNER_36","h8_1475_photic_terrain_route_game.png","Shallows must show readable terrain shelves, caustic-light impression, color anchors, and sparse hero fauna cue.","Reject if seabed is flat or noisy, caustic cue absent, or fauna/dressing lacks route purpose.","PENDING_VERIFICATION"
