"Project","RestoreExit","BuildExit","WarningLines","ErrorLines","SummaryWarnings","SummaryErrors"
"AIToASE.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AmplifyImpostors.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AmplifyImpostors.Runtime.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AmplifyShaderEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Assembly-CSharp.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Assembly-CSharp-Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Assembly-CSharp-Editor-firstpass.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Assembly-CSharp-firstpass.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AstarPathfindingProject.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"AstarPathfindingProjectEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"BakeryEditorAssembly.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"BakeryRuntimeAssembly.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Crest.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Crest.Helpers.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Den.Tools.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Den.Tools.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\SPACE_ENGINE_RESEARCH\HectonSandboxAbyssalShelfStandaloneSmoke\HectonSandboxAbyssalShelfStandaloneSmoke.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Docs\DEPRECATED\Documentation_Bundles_2026-05-21_SANITIZED\SPACE_ENGINE_RESEARCH\SpaceEngineResearchSmokeTester.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"EasySave3.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"EasySave3Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"GPUInstancer.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"GPUInstancer.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Bootstrap.Contracts.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Core.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Input.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.Input.Generated.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.PlayModeTests.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.World.Contracts.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Hecton8.World.Dots.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"JBooth.MicroSplat.Core.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"JBooth.MicroSplat.Core.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Lofelt.NiceVibrations.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Lofelt.NiceVibrations.Demo.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Lofelt.NiceVibrations.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.MicroSplat.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.MicroSplat.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MapMagic.Settings.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MeshBakerCore.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MeshBakerEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.Authorizations.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.Cinemachine.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.HDRP.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.MMTools.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.NiceVibrations.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.PostProcessing.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.TextMeshPro.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Feedbacks.URP.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Tools.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"MoreMountains.Tools.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"PackageToolsEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"RealtimeCSG.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"ShapesEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"ShapesRuntime.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Sirenix.OdinInspector.Modules.UnityMathematics.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Tayx.Graphy.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Tayx.Graphy.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Technie.PhysicsCreator.Updater.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"TechniePhysicsCreator.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"TechniePhysicsCreatorEditor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Tools\RoslynAnalyzers\Hecton8.PlatformNeutralityAnalyzer\Hecton8.PlatformNeutralityAnalyzer.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Tools\SignalBusContractAuditCli\SignalBusContractAuditCli.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Unity.RenderPipelines.Core.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Unity.RenderPipelines.Universal.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Unity.RenderPipelines.Universal.Runtime.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"Unity.ShaderGraph.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"VolumetricLightBeam.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
"VolumetricLightBeam.Editor.csproj","0","0","0","0","    0 Warning(s)","    0 Error(s)"
