"blocker_id","category","severity","source_evidence","owner_route","blocked_by","required_next_proof","forbidden_closeout","status"
"B20-2012-001","Unity-slot visual proof","BLOCKING","2001 task file; UNITY_VISUAL_PROOF_CAPTURE_RUNBOOK_20260604.md; unity_visual_proof_capture_shotlist_20260604.csv","Single Unity owner","Current owner must hand over: Продолжить работу по логам","Baseline shotlist outside Assets plus Scene/Game matching pair","Static docs or old screenshots as visual acceptance","PENDING UNITY SLOT"
"B20-2012-002","static surface/shallow ledger","BLOCKING","2002 ledger: 342 primitive mesh refs, 137 product-face primitive refs, 45 null material slots, 13 findings","Unity slot; ProductFace relink; static validator","Runtime/editor proof absent","Active scene validator output, relink report, before/after captures, Frame Debugger/profiler","Calling static YAML proof runtime proof","STATIC VERIFIED / UNITY PROOF PENDING"
"B20-2012-003","placement rule repair","BLOCKING","2003 spec; 2003_RULE_MATRIX.csv 16 rows; dry depth 0 ambiguity","Placement rule owner; Unity/editor owner","No rule implementation or Unity validation in 2003","Rule diff, dry-land before/after, shallow before/after, profiler/overdraw if density changes","Delete kelp/rocks/coral or lower ecology floor","STATIC VERIFIED / IMPLEMENTATION PENDING"
"B20-2012-004","BioForge/Flora bake","HIGH","2004 package; 10 flora variants; 34 texture channel rows","BioForge/Flora editor owner","No source bitmaps; proxy/default material risks; dry-land gates unresolved","Bake manifest, source image provenance, channel validation, LOD/collider/family proof","Runtime generation, proxy primitive finals, alpha-blend card forests","STATIC PACKAGE COMPLETE / BAKE PENDING"
"B20-2012-005","GeologyForge bake","HIGH","2005 package; 10 rock variants; 8 texture rows; 10 collider/LOD rows","GeologyForge editor owner","Wet basalt material stack incomplete; placement rules unresolved; proxy primitive risk","Deterministic bake manifest, material contract proof, collider/LOD validation, shoreline captures","Primitive final rocks, random scatter, placeholder/default material fallback","STATIC PACKAGE COMPLETE / BAKE PENDING"
"B20-2012-006","sky/Aegir/moon/cloud validation","HIGH","SKY_AEGIR_MOONS_SOURCE_ROLE_PACKAGE_20260604.md; sky_aegir_moons_source_roles_20260604.csv; 2002 row B20-2002-006","Sky/Aegir source owner; Unity slot owner","Completed 2006 status/log not found; source slots need Unity proof","Long/crop/360 captures, source slot proof, haze/fog sanity","Darkened surface, flat gradients, placeholder circles","STATIC PACKAGE FOUND / UNITY PROOF PENDING"
"B20-2012-007","ocean/shoreline/waterline proof","BLOCKING","2007 packet; 16 route contracts; 15 risk rows","Ocean/render owner; Unity slot owner","No Unity/Frame Debugger/profiler proof","Waterline/shoreline captures, RenderGraph/Frame Debugger, profiler/GC/memory/VRAM proof","Physical sim before premium fake; Crest vendor mutation; flat blue water","STATIC PACKET COMPLETE / UNITY PROOF PENDING"
"B20-2012-008","ProductFace relink/contracts","BLOCKING","ProductFace manifest plan; 53 manifest draft rows; relink checklist; 2002 null material/primitive findings","ProductFace owner; Unity slot owner","Completed 2008 status/log not found; channel roles must be locked","Shader channel contract, validator output, material slot proof, relink report","Blind relink; filename-only channel inference; deletion without scoped proof","STATIC REPORT FOUND / RELINK PENDING"
"B20-2012-009","Gemini/manual generation","HIGH","2004 prompt packs; generated prompt files under Docs/GeneratedAssets/Gemini/Prompts/Batch20; wet basalt QA; sky source roles","Manual/Gemini generation owner","No generated candidate image files proven by 2012","Traceable candidate source files, prompt provenance, rejection notes","Claim images exist without files; copyrighted copying; dark/noir surface defaults","PENDING GENERATION"
"B20-2012-010","GlobalQualityWeight matrix","BLOCKING","2010 task file; quality/performance/vision locks; 2004/2005/2007 consequence notes","Quality/scalability owner; final Unity owner","Completed 2010 status/log not found","Continuous low/middle/high/ultra matrix with proof mapping","Binary quality switches; ugly compact mode; truth changes by quality","PENDING STATIC MATRIX"
"B20-2012-011","static validators","HIGH","2011 task file; 2002 rows B20-2002-008 and B20-2002-013; import churn audit","Static validator owner","Completed 2011 status/log not found","Read-only validator command outputs and active scene/source coverage","Destructive scripts; Assets mutation; treating static pass as runtime proof","PENDING VALIDATOR RUNBOOK"
"B20-2012-012","final Unity repair/recapture","BLOCKING","All Batch20 packets; shotlist; blocker register","Single final Unity owner","Depends on accepted source/bake/relink/placement/ocean/sky packets","Final shotlist, profiler/GC/Frame Debugger, unresolved blocker register","Simultaneous Unity control; proof-label inflation; lowering visual floor","PENDING"
