texture_path,guid,scope,priority_group,candidate_disposition,candidate_role,width,height,size_mb,srgb,mipmaps,streaming_mips,material_count,materials_and_slots,prefab_scene_user_count,prefab_scene_users,direct_prefab_scene_refs,active_build_scene_users,documented_main_handoff_scene_users,visible_route_candidate_users,proxy_placeholder_materials,evidence_class,unknown_or_blocker_notes
Assets/Crest/Crest/Textures/Caustics/Caustics_tex_color.png,24552fd937a31a842aa7ee1c2e14d89d,REFERENCED_TEXTURE,,,,,,,,,,1,Assets/_Project/Art/Materials/MAT_H8_SurfaceCrestOcean_1428.mat[_CausticsTexture],0,,,,,,,STATIC_SOURCE,
Assets/Crest/Crest/Textures/Foam2.png,02e417d5711139342884479f53dbecea,REFERENCED_TEXTURE,,,,,,,,,,1,Assets/_Project/Art/Materials/MAT_H8_SurfaceCrestOcean_1428.mat[_FoamTexture],0,,,,,,,STATIC_SOURCE,
Assets/Crest/Crest/Textures/foam.png,e330b3b94b6bdfb42ab2a9e1ca3a5efc,PRIORITY_TARGET;REFERENCED_TEXTURE,water_foam_rejected_support,,,,,,,,,1,Assets/_Project/Art/Materials/World/MAT_SurfaceSplashFoamDirty_1428.mat[_BaseMap],1,Assets/_Project/Scenes/02_HECTON_WORLD.unity,,Assets/_Project/Scenes/02_HECTON_WORLD.unity,Assets/_Project/Scenes/02_HECTON_WORLD.unity,Assets/_Project/Scenes/02_HECTON_WORLD.unity,,STATIC_SOURCE,
Assets/ScifiFacility/Textures/Base_normal.png,7d09e7c7fffa5a94eadbfb28633eaa1e,REFERENCED_TEXTURE,,,,,,,,,,1,Assets/_Project/Art/Materials/Construction/Mat_LeakWetSheen.mat[_BumpMap],0,,,,,,,STATIC_SOURCE,
Assets/ScifiFacility/Textures/WetGlass_normal.png,a116c6e469d15244ea70d6a8403f52d9,REFERENCED_TEXTURE,,,,,,,,,,1,Assets/_Project/Art/Materials/Construction/Mat_LeakWetSheen.mat[_Normal|_NormalMap],0,,,,,,,STATIC_SOURCE,
Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_AO.jpg,512b41f0ba0fbc849ad03cdfb72ff0e9,REFERENCED_TEXTURE,,UNASSIGNED_STATIC_SOURCE,unassigned_source,2048,2048,1.951,0,1,1,1,Assets/_Project/Art/Models/Rocks/Rock 6/rock6/rock_6.mat[_OcclusionMap],1,Assets/_Project/Art/Models/Rocks/Rock 6/Mossy_Forest_Rock_vimrfjsaw_Mid.prefab,,,,,,STATIC_SOURCE,runtime_visual_proof_pending
Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_BaseColor.jpg,df539ea4a198a6943a05337f410ac3e5,REFERENCED_TEXTURE,,UNASSIGNED_STATIC_SOURCE,unassigned_source,2048,2048,1.936,1,1,1,1,Assets/_Project/Art/Models/Rocks/Rock 6/rock6/rock_6.mat[_BaseMap|_MainTex],1,Assets/_Project/Art/Models/Rocks/Rock 6/Mossy_Forest_Rock_vimrfjsaw_Mid.prefab,,,,,,STATIC_SOURCE,runtime_visual_proof_pending
Assets/_Project/Art/Models/Rocks/Rock 6/rock6/Mossy_Forest_Rock_vimrfjsaw_Mid_2K_Normal.jpg,42b6301ed019ef24bb2f037432b1987d,REFERENCED_TEXTURE,,UNASSIGNED_STATIC_SOURCE,packed_mask_source,2048,2048,6.57,0,1,1,2,Assets/_Project/Art/Models/Rocks/Rock 6/rock6/rock_6.mat[_BumpMap];Assets/_Project/Art/Models/Rocks/Rock 7/Materials/2.mat[_BumpMap],2,Assets/_Project/Art/Models/Rocks/Rock 6/Mossy_Forest_Rock_vimrfjsaw_Mid.prefab;Assets/_Project/Art/Models/Rocks/Rock 7/SAMMPLE.prefab,,,,,,STATIC_SOURCE,runtime_visual_proof_pending
Assets/_Project/Art/Models/Rocks/Rock 7/Materials/2.jpg,632fb649277424d44b6c801627c46f4c,REFERENCED_TEXTURE,,UNASSIGNED_STATIC_SOURCE,unassigned_source,4000,4000,5.009,1,1,1,1,Assets/_Project/Art/Models/Rocks/Rock 7/Materials/2.mat[_BaseMap|_MainTex],1,Assets/_Project/Art/Models/Rocks/Rock 7/SAMMPLE.prefab,,,,,,STATIC_SOURCE,runtime_visual_proof_pending
Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock063_2K-JPG_AmbientOcclusion.jpg,afba236e73fc20f4faade5595aa5a7d3,REFERENCED_TEXTURE,,UNASSIGNED_STATIC_SOURCE,unassigned_source,2048,1024,1.201,0,1,1,1,Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat[_Mask_Map],0,,,,,,,STATIC_SOURCE,runtime_visual_proof_pending
Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock063_2K-JPG_Color.jpg,525a02d89cdb0a847bea49a4d2f2f206,REFERENCED_TEXTURE,,UNASSIGNED_STATIC_SOURCE,unassigned_source,2048,1024,3.277,1,1,1,1,Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat[_Base_Map],0,,,,,,,STATIC_SOURCE,runtime_visual_proof_pending
Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/Rock063_2K-JPG_NormalGL.jpg,eda6dbba80b15e944916a884f3b2accf,REFERENCED_TEXTURE,,UNASSIGNED_STATIC_SOURCE,packed_mask_source,2048,1024,3.266,0,1,1,1,Assets/_Project/Art/Models/Rocks/Rock_4_-_UNIVERSALNYY_VYBOR/UNIVERSALNYY_VYBOR_(TEKSTURY)/mat_Rock2.mat[_Normal_Map],0,,,,,,,STATIC_SOURCE,runtime_visual_proof_pending
