prompt_id,material_role,suitability,prompt,rejection_gate
1907-P01,foam_lace,ALBEDO_SOURCE;MASK_SOURCE,"Seamless square tileable PBR material source, orthographic top-down shoreline sea foam lace on dark wet volcanic rock contact, white and pale cyan foam filaments, irregular bubble clusters, broken edges, sediment caught in foam pockets, diffuse even lighting, no directional shadows, no perspective, no horizon, no text, no logo, no UI, no watermark, no baked highlights, premium bright surface readability, not muddy, not noir, Subnautica-level or better photic coastline clarity.","Reject opaque paint foam, repeated stamps, baked shadows, horizon, perspective, muddy grey, or non-tileable seams."
1907-P02,foam_ribbon_breakup,MASK_SOURCE,"Seamless square tileable source mask for shoreline foam ribbons, orthographic top-down, long strand flow in one direction with secondary cross-flow breakup, fine lace erosion, bubble pinholes, waterline edge variation, diffuse even light, no perspective, no horizon, no text/logo/UI/watermark, no cast shadows, no muddy/noir cover, designed for RGB channel extraction: R long strands, G cross-flow, B breakup.","Reject if strands are uniform bands, too opaque, non-tileable, or lack separable long/cross/breakup regions."
1907-P03,wet_basalt_albedo,ALBEDO_SOURCE,"Seamless square tileable PBR albedo material source, orthographic top-down alien wet basalt shoreline rock, black-grey volcanic stone, teal mineral staining, salt-water erosion, pores, cracks, fractured strata, small sediment deposits in cavities, base color only, diffuse even lighting, no shadows, no highlights, no perspective, no horizon, no text/logo/UI/watermark, bright readable surface material, not muddy, not noir.","Reject baked lighting, glossy highlights, flat noise, no scale, pure black crush, or missing wet mineral history."
1907-P04,wet_basalt_height,HEIGHT_SOURCE;ROUGHNESS_AO_DERIVATION,"Seamless square tileable height-like source for wet basalt shoreline, orthographic top-down, fractured volcanic ridges, pores, eroded cavities, chipped high edges, mineral crust relief, salt pits, sediment caught in cracks, grayscale-friendly relief, diffuse even light, no cast shadow, no perspective, no horizon, no text/logo/UI/watermark, no baked lighting, high material readability.","Reject if the map is a photograph/object render, has directional shadows, lacks usable relief, or becomes random noise."
1907-P05,salt_mineral_mask,MASK_SOURCE;ROUGHNESS_AO_DERIVATION,"Seamless square tileable mask source for shoreline salt and teal mineral deposits on wet basalt, orthographic top-down, sparse crust lines along cracks and cavities, tide residue, mineral speckles with real scale variation, diffuse even lighting, no perspective, no horizon, no text/logo/UI/watermark, no baked shadows, no muddy/noir grade, designed for mask extraction and roughness variation.","Reject uniform white crust, random snow noise, no cavity logic, baked lighting, or non-tileable seams."
1907-P06,waterline_grime,MASK_SOURCE,"Seamless square tileable vertical waterline grime source, orthographic top-down material strip logic, tide stain gradient, foam residue, algae and salt bands, sediment smears, wet edge breakup, premium bright coastline readability, diffuse even light, no perspective, no horizon, no text/logo/UI/watermark, no cast shadows, no muddy darkness, designed for channel packing.","Reject black smear, oil-only look, opaque dirt, or anything that hides the rock edge."
1907-P07,basalt_sediment,ALBEDO_SOURCE;ROUGHNESS_AO_DERIVATION,"Seamless square tileable PBR albedo source for basalt sediment transition, orthographic top-down, black volcanic sand mixed with grey silt and fine mineral grains, readable shallow route texture, subtle shell fragments, eroded basalt dust, diffuse even lighting, no shadows, no perspective/horizon/text/logo/UI/watermark, no baked highlights, no muddy/noir concealment.","Reject flat black sand, beige generic beach sand, blurry mud, or no traversal-scale grain."
1907-P08,black_sand_shell_fleck,ALBEDO_SOURCE;HEIGHT_SOURCE;ROUGHNESS_AO_DERIVATION,"Seamless square tileable photic shallow black sand and shell fleck material source, orthographic top-down, dark volcanic grains, pale shell chips, tiny mineral flecks, slight ripple relief, readable under clear shallow water, diffuse even light, no perspective, no horizon, no text/logo/UI/watermark, no cast shadows, no muddy grade.","Reject if flecks become sparkle noise, if the surface crushes to black, or if shell scale is implausible."
1907-P09,shallow_coral_rubble,ALBEDO_SOURCE;HEIGHT_SOURCE;MASK_SOURCE,"Seamless square tileable shallow coral rubble and calcified fragment source, orthographic top-down, alien but believable coral chips, worn calcium edges, basalt grains, small pink/teal/ivory mineralized fragments, diffuse even light, no baked shadows, no perspective, no horizon, no text/logo/UI/watermark, colorful photic readability, not aquarium candy, not muddy.","Reject random candy gravel, object piles with perspective, unreadable blur, or no height/mask derivation path."
1907-P10,photic_caustic_mask,MASK_SOURCE,"Seamless square tileable shallow photic caustic mask source, orthographic top-down abstract light interference pattern only, crisp but natural water-caustic lace, no background scene, no perspective, no horizon, no text/logo/UI/watermark, no cast shadows, no muddy/noir darkness, suitable for mask/flipbook derivation near justified shallow light.","Reject if it contains seafloor/albedo, baked scene lighting, high contrast that destroys material read, or non-tileable seams."
1907-P11,wet_dry_transition,MASK_SOURCE;ROUGHNESS_AO_DERIVATION,"Seamless square tileable wet-dry basalt transition source, orthographic top-down, vertical-ish gradient from saturated dark wet edge to drying grey-black basalt, salt/mineral crust in band, foam residue, cavity wetness, specular boost regions implied but not highlighted, diffuse even light, no perspective/horizon/text/logo/UI/watermark, no cast shadows, no muddy/noir cover.","Reject if it is just a black-to-white gradient, glossy highlight bake, or no material-specific breakup."
1907-P12,aegir_ocean_reference_panel,REFERENCE_ONLY,"Reference-only square panel for HECTON-8 surface color harmony, no import use: bright readable ocean surface color, pale cyan/green foam, wet black basalt, photic shallow clarity, distant blue-purple methane gas giant palette, clean atmospheric softness, cinematic realistic but not dark, no UI, no text, no logo, no watermark, no perspective horizon required if it compromises material extraction. This is a color/material reference, not a texture map.","Reject if treated as import material, if it becomes generic sci-fi gradient, or if it uses darkness to hide weak surface art."
