shot_id,scene_or_route,camera_context,depth_or_surface_state,required_visual_elements,required_quality_tier,proof_type,rejection_triggers,owner,blocking_dependency
1873_SHOT_01,02_HECTON_WORLD surface route,shoreline player-eye view toward open water,surface day,"ocean surface; coastline; wet rock; foam; Aegir or sky context; route cue; no dark cover",Low/Compact,PLAYER_CAPTURE,"muddy water; black surface; no foam/specular/readable shore; primitive visible",Future Unity proof owner,Source cleanup may still be pending but must be labeled
1873_SHOT_02,02_HECTON_WORLD surface route,low camera at coast looking along waterline,surface waterline,"wave normals; specular; refraction hint; foam contact; wetness; terrain visible through shallow water",Low/Compact,PLAYER_CAPTURE,"weak waterline; no refraction/foam; clipping; flat blue/dark fog",Future Unity proof owner,None
1873_SHOT_03,02_HECTON_WORLD photic route,just below surface looking toward shore and route landmark,0-20 m photic,"clear bright water; surface underside; route landmark; oxygen/instrument readability; authored biota if present",Low/Compact,PLAYER_CAPTURE,"generic blue fog; darkness hiding art; no route cue; unreadable HUD",Future Unity proof owner,None
1873_SHOT_04,02_HECTON_WORLD photic route,swim path through Starter_ReefField or current photic route,20-100 m photic,"colorful readable shallows; terrain silhouettes; return cue; non-primitive flora/fauna/debris",Middle,PLAYER_CAPTURE,"below Subnautica-level readability; sparse primitive scatter; fog cover",Future Unity proof owner,None
1873_SHOT_05,02_HECTON_WORLD depth transition,route camera at 200-400 m looking forward,200-400 m twilight,"twilight gradient; silhouettes; route structure; instrument readability; no empty black void",Middle,PLAYER_CAPTURE,"medium-depth unreadable; no return cue; empty black/mud; only UI navigation",Future Unity proof owner,Route access may need scene navigation
1873_SHOT_06,02_HECTON_WORLD sky route,surface camera angled to horizon and sky,surface day,"Aegir texture/cloud bands; moon readability where visible; cloud layers; clean sky gradient; ocean/coast context",Middle,PLAYER_CAPTURE,"crayon gas giant; flat/noisy sky; untextured moons; disabled candidate route claimed",Future Unity proof owner,Active sky path proof required
1873_SHOT_07,02_HECTON_WORLD sky route,surface camera aimed at moons/cloud deck,surface day or dusk,"moon material read; cloud deck depth; sky scale; no basalt-placeholder look in final frame",High,PLAYER_CAPTURE,"moons read as debug spheres/cards; flat cloud cards; muddy sky",Future Unity proof owner,Active sky path proof required
1873_SHOT_08,02_HECTON_WORLD weather state,same camera as SHOT_01,storm,"surface still readable; wave response; coastline route cue; storm as event pressure not cover",Middle,PLAYER_CAPTURE,"storm hides weak water/sky; black frame; no route cue; bloom/fog cover",Future Unity proof owner,Weather trigger availability
1873_SHOT_09,02_HECTON_WORLD night state,same camera as SHOT_06,night,"Aegir/moon/sky readability; water horizon; route/instrument cue; darkness belongs to event not default art",Middle,PLAYER_CAPTURE,"crushed surface; hidden bad art; unreadable sky/ocean; no route cue",Future Unity proof owner,Night state trigger availability
1873_SHOT_10,02_HECTON_WORLD eclipse state,same camera as SHOT_06,eclipse,"temporary eclipse readability; Aegir/moon relation; route silhouettes; waterline still identifiable",High,PLAYER_CAPTURE,"eclipse used as only acceptance shot; black/muddy surface; hidden Aegir/ocean",Future Unity proof owner,Eclipse state trigger availability
