"locale","page_path","packet_id","title","article_id","spoiler_level","status"
"en_US","external_site/en_US/P001_CRASH_SHELF.md","P001_CRASH_SHELF","Crash Shelf","hecton8.crash_shelf","","source_ready"
"en_US","external_site/en_US/P002_BLACK_KEEL_CONTACT.md","P002_BLACK_KEEL_CONTACT","Black Keel Contact","black_keel.contact","","source_ready"
"en_US","external_site/en_US/P003_BARNARD_MARK.md","P003_BARNARD_MARK","Barnard Mark","player.barnard_mark","","source_ready"
"en_US","external_site/en_US/P004_BLUE_DEBT.md","P004_BLUE_DEBT","Blue Debt","resource.blue_debt","","source_ready"
"en_US","external_site/en_US/P005_REPAIR_SCAR.md","P005_REPAIR_SCAR","Repair Scar","atlas.repair_scar","","source_ready"
"en_US","external_site/en_US/P006_DEAD_CLAIM_CACHE.md","P006_DEAD_CLAIM_CACHE","Dead Claim Cache","marauder.dead_claim_cache","","source_ready"
"en_US","external_site/en_US/P007_BRINE_STAIR.md","P007_BRINE_STAIR","Brine Stair","hecton8.brine_stair","","source_ready"
"en_US","external_site/en_US/P008_EVACUATION_HOLD.md","P008_EVACUATION_HOLD","Evacuation Hold","colony.evacuation_hold","","source_ready"
"en_US","external_site/en_US/P009_BOTTOM_FACTORY.md","P009_BOTTOM_FACTORY","Bottom Factory","atlas.bottom_factory","","source_ready"
"en_US","external_site/en_US/P010_PAYLOAD_WINDOW.md","P010_PAYLOAD_WINDOW","Payload Window","ending.payload_window","","source_ready"
"en_US","external_site/en_US/P011_DOMAIN_MARKS_2190.md","P011_DOMAIN_MARKS_2190","Domain Marks 2190","human.domain_marks_2190","","source_ready"
"en_US","external_site/en_US/P012_RELAY_SPINE.md","P012_RELAY_SPINE","Relay Spine","transit.relay_spine","","source_ready"
"en_US","external_site/en_US/P013_NEARLIGHT_SHIP_CLASSES.md","P013_NEARLIGHT_SHIP_CLASSES","Nearlight Ship Classes","ships.nearlight_classes","","source_ready"
"en_US","external_site/en_US/P014_AEGIR_ROUTE_WINDOW.md","P014_AEGIR_ROUTE_WINDOW","Aegir Route Window","aegir.route_window","","source_ready"
"en_US","external_site/en_US/P015_BLACK_KEEL_LEDGER.md","P015_BLACK_KEEL_LEDGER","Black Keel Ledger","ships.black_keel_ledger","","source_ready"
"en_US","external_site/en_US/P016_AEGIR_HOST_STAR.md","P016_AEGIR_HOST_STAR","Aegir Host Star","location.aegir.host_star","","source_ready"
"en_US","external_site/en_US/P017_AEGIR_MOON_LADDER.md","P017_AEGIR_MOON_LADDER","Aegir Moon Ladder","location.aegir.moon_ladder","","source_ready"
"en_US","external_site/en_US/P018_HECTON8_DROWNED_GEOLOGY.md","P018_HECTON8_DROWNED_GEOLOGY","Drowned Geology","location.hecton8.drowned_geology","","source_ready"
"en_US","external_site/en_US/P019_HECTON8_RESOURCE_STACK.md","P019_HECTON8_RESOURCE_STACK","Resource Stack","location.hecton8.resource_stack","","source_ready"
"en_US","external_site/en_US/P020_HECTON8_ECOLOGY_REGISTRY.md","P020_HECTON8_ECOLOGY_REGISTRY","Ecology Registry","location.hecton8.ecology_registry","","source_ready"
"en_US","external_site/en_US/P021_BLACK_KEEL_CUSTODY.md","P021_BLACK_KEEL_CUSTODY","Black Keel Custody","ships.black_keel_custody","","source_ready"
"en_US","external_site/en_US/P022_DROP_CAPSULE_DAMAGE.md","P022_DROP_CAPSULE_DAMAGE","Drop Capsule Damage","arrival.drop_capsule_damage","","source_ready"
"en_US","external_site/en_US/P023_DEEP_REACH_RETURN_CLAIM.md","P023_DEEP_REACH_RETURN_CLAIM","Deep Reach Return Claim","factions.deep_reach_return_claim","","source_ready"
"en_US","external_site/en_US/P024_FALSE_EXIT_MATERIAL.md","P024_FALSE_EXIT_MATERIAL","Material Exit","endings.false_exit_material","","source_ready"
"en_US","external_site/en_US/P025_PROFESSIONAL_MOTIVE.md","P025_PROFESSIONAL_MOTIVE","Professional Motive","player.professional_motive","","source_ready"
"en_US","external_site/en_US/P026_SIX_DOMAIN_LEDGER.md","P026_SIX_DOMAIN_LEDGER","Six Domain Ledger","humanity.six_domain_ledger","","source_ready"
"en_US","external_site/en_US/P027_BARNARD_YARDS_ORIGIN.md","P027_BARNARD_YARDS_ORIGIN","Barnard Yards Origin","player.barnard_yards_origin","","source_ready"
"en_US","external_site/en_US/P028_NO_FTL_TRANSIT_MATH.md","P028_NO_FTL_TRANSIT_MATH","No-FTL Transit Math","travel.no_ftl_transit_math","","source_ready"
"en_US","external_site/en_US/P029_SEED_SHIP_DOCTRINE.md","P029_SEED_SHIP_DOCTRINE","Seed Ship Doctrine","deep_reach.seed_ship_doctrine","","source_ready"
"en_US","external_site/en_US/P030_RELAY_CUSTODY_DEBT_CHAIN.md","P030_RELAY_CUSTODY_DEBT_CHAIN","Relay Custody Debt Chain","routes.relay_custody_debt_chain","","source_ready"
"en_US","external_site/en_US/P031_PHOTIC_SHELF_LIFE.md","P031_PHOTIC_SHELF_LIFE","Photic Shelf Life","hecton8.photic_shelf_life","","source_ready"
"en_US","external_site/en_US/P032_PRESSURE_LADDER_DEPTH_BANDS.md","P032_PRESSURE_LADDER_DEPTH_BANDS","Pressure Ladder","hecton8.pressure_ladder_depth_bands","","source_ready"
"en_US","external_site/en_US/P033_CABLE_REEF_SYMBIOSIS.md","P033_CABLE_REEF_SYMBIOSIS","Cable Reef Symbiosis","hecton8.cable_reef_symbiosis","","source_ready"
"en_US","external_site/en_US/P034_ABYSSAL_REPAIR_FAUNA.md","P034_ABYSSAL_REPAIR_FAUNA","Abyssal Repair Fauna","hecton8.abyssal_repair_fauna","","source_ready"
"en_US","external_site/en_US/P035_FACTORY_TEMPLE_THRESHOLD.md","P035_FACTORY_TEMPLE_THRESHOLD","Factory-Temple Threshold","atlas6.factory_temple_threshold","","source_ready"
"en_US","external_site/en_US/P036_RETURN_VECTOR_WINDOW.md","P036_RETURN_VECTOR_WINDOW","Return Vector Window","hecton8.return_vector_window","","source_ready"
"en_US","external_site/en_US/P037_COWARD_EXIT_CHAIN.md","P037_COWARD_EXIT_CHAIN","Coward Exit Chain","hecton8.coward_exit_chain","","source_ready"
"en_US","external_site/en_US/P038_MATERIAL_PAYOUT_LEDGER.md","P038_MATERIAL_PAYOUT_LEDGER","Material Payout Ledger","hecton8.material_payout_ledger","","source_ready"
"en_US","external_site/en_US/P039_DEEP_REACH_CLEANSE_ORDER.md","P039_DEEP_REACH_CLEANSE_ORDER","Deep Reach Cleanse Order","hecton8.deep_reach_cleanse_order","","source_ready"
"en_US","external_site/en_US/P040_ATLAS_FINAL_ARGUMENT.md","P040_ATLAS_FINAL_ARGUMENT","Atlas Final Argument","hecton8.atlas_final_argument","","source_ready"
"en_US","external_site/en_US/P041_WORKER_LOCKER_ROW.md","P041_WORKER_LOCKER_ROW","Worker Locker Row","hecton8.worker_locker_row","","source_ready"
"en_US","external_site/en_US/P042_PRESSURE_BUNK_ROUTINE.md","P042_PRESSURE_BUNK_ROUTINE","Pressure Bunk Routine","hecton8.pressure_bunk_routine","","source_ready"
"en_US","external_site/en_US/P043_SHIFT_BOARD_ROUTE_HOLDS.md","P043_SHIFT_BOARD_ROUTE_HOLDS","Shift Board Route Holds","hecton8.shift_board_route_holds","","source_ready"
"en_US","external_site/en_US/P044_MEDICAL_LOCK_DELAY.md","P044_MEDICAL_LOCK_DELAY","Medical Lock Delay","hecton8.medical_lock_delay","","source_ready"
"en_US","external_site/en_US/P045_BLACK_BOX_NAME_STACK.md","P045_BLACK_BOX_NAME_STACK","Black Box Name Stack","hecton8.black_box_name_stack","","source_ready"
"en_US","external_site/en_US/P046_PUMP_ROOM_HANDSHAKE.md","P046_PUMP_ROOM_HANDSHAKE","Pump Room Handshake","hecton8.pump_room_handshake","","source_ready"
"en_US","external_site/en_US/P047_HATCH_SEAL_LEDGER.md","P047_HATCH_SEAL_LEDGER","Hatch Seal Ledger","hecton8.hatch_seal_ledger","","source_ready"
"en_US","external_site/en_US/P048_CABLE_SPLICE_SCAR.md","P048_CABLE_SPLICE_SCAR","Cable Splice Scar","hecton8.cable_splice_scar","","source_ready"
"en_US","external_site/en_US/P049_SONAR_RETURN_ROUTE.md","P049_SONAR_RETURN_ROUTE","Sonar Return Route","hecton8.sonar_return_route","","source_ready"
"en_US","external_site/en_US/P050_SALVAGE_TOOL_CUSTODY.md","P050_SALVAGE_TOOL_CUSTODY","Salvage Tool Custody","hecton8.salvage_tool_custody","","source_ready"
"en_US","external_site/en_US/P051_LIGHT_DELAY_AUTHORITY.md","P051_LIGHT_DELAY_AUTHORITY","Light-Delay Authority","hecton8.light_delay_authority","","source_ready"
"en_US","external_site/en_US/P052_BLACK_KEEL_TARIFF_TABLE.md","P052_BLACK_KEEL_TARIFF_TABLE","Black Keel Tariff Table","hecton8.black_keel_tariff_table","","source_ready"
"en_US","external_site/en_US/P053_MARAUDER_GRAFFITI_MASKS.md","P053_MARAUDER_GRAFFITI_MASKS","Marauder Graffiti Masks","hecton8.marauder_graffiti_masks","","source_ready"
"en_US","external_site/en_US/P054_RELAY_QUEUE_DRIFT.md","P054_RELAY_QUEUE_DRIFT","Relay Queue Drift","hecton8.relay_queue_drift","","source_ready"
"en_US","external_site/en_US/P055_CORPORATE_RESPONSE_LEDGER.md","P055_CORPORATE_RESPONSE_LEDGER","Corporate Response Ledger","hecton8.corporate_response_ledger","","source_ready"
