packet_id,article_id,loc_namespace,loc_id,locale,status,surface,title,scanner_short,codex_short,audio_subtitle,terminal_summary,notes
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_en_US,en_US,source_authority,capsule_console,Drop Capsule Diagnostic,Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_ar_SA,ar_SA,draft_machine_or_llm,capsule_console,[AR] Drop Capsule Diagnostic,[AR] Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,[AR] The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,[AR] Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,[AR] SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,RTL handling
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_de_DE,de_DE,draft_machine_or_llm,capsule_console,[DE] Drop Capsule Diagnostic,[DE] Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,[DE] The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,[DE] Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,[DE] SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,Expansion risk
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_es_ES,es_ES,draft_machine_or_llm,capsule_console,[ES] Drop Capsule Diagnostic,[ES] Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,[ES] The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,[ES] Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,[ES] SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_fr_FR,fr_FR,draft_machine_or_llm,capsule_console,[FR] Drop Capsule Diagnostic,[FR] Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,[FR] The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,[FR] Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,[FR] SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_he_IL,he_IL,draft_machine_or_llm,capsule_console,[HE] Drop Capsule Diagnostic,[HE] Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,[HE] The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,[HE] Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,[HE] SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,RTL handling
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_id_ID,id_ID,draft_machine_or_llm,capsule_console,[ID] Drop Capsule Diagnostic,[ID] Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,[ID] The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,[ID] Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,[ID] SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_ja_JP,ja_JP,draft_machine_or_llm,capsule_console,[JA] Drop Capsule Diagnostic,[JA] Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,[JA] The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,[JA] Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,[JA] SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_ko_KR,ko_KR,draft_machine_or_llm,capsule_console,[KO] Drop Capsule Diagnostic,[KO] Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,[KO] The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,[KO] Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,[KO] SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,
P402_DROP_CAPSULE_FIRST_FAULT,P402_DROP_CAPSULE_FIRST_FAULT_ARTICLE,LORE_APPLIED,P402_DROP_CAPSULE_FIRST_FAULT_nl_NL,nl_NL,draft_machine_or_llm,capsule_console,[NL] Drop Capsule Diagnostic,[NL] Primary seal fracture. Avionics bay fully flooded. Oxygen reserves nominal but isolated.,[NL] The descent frame deformed 4 degrees upon impact. The recovery sequence is hardware-locked until the avionics bay is drained and the auxiliary pressure seal is patched. Deep Reach procedure dictates you wait for rescue. Marauder procedure dictates you find a pump.,[NL] Warning. Pressure failure detected on auxiliary hatch. Ascent protocol is locked. Awaiting maintenance override.,[NL] SYS_ERR_04: High-gain antenna severed. Emergency buoy release: FAILED. Estimated descent module lifespan at current depth: 14 hours before structural collapse.,Expansion risk
