"shader_or_material","source_path","slot_or_property","observed_semantics","accepted_channel_contract","missing_contract_piece","tool_family_impact","future_material_rule","status"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_ToolScreenTex","Declared as Tool Screen Texture; sampled once in frag; RGB feeds signal color; alpha is not read.","STATIC_SOURCE_ACCEPTED_MINIMAL: RGB is live tool-screen signal from render texture or fallback texture. No packed map semantics. Alpha has no accepted meaning.","Unity material assignment, RT content capture, fallback texture source, import proof, alpha policy, and screenshot acceptance.","Builder, EnvAnalyzer, LaserCutter, Repair, SalvageSampler, Scanner, and optional small readouts can use this only as display signal, not as body material source.","Bind real RT or authored fallback to _ToolScreenTex; prove readable text/state in Unity; do not author MRAO/ORM/ARM maps for this slot.","ACCEPTED_CHANNEL_CONTRACT_STATIC_MINIMAL"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_BaseMap","Declared and sampler exists, but frag never samples it.","No accepted live channel. Compatibility/alias property only in current source.","Shader sampling route or removal from contract; material role proof if kept.","Future tool screen authors must not treat _BaseMap as albedo for this shader.","Do not bind albedo or screen art to _BaseMap as proof until shader samples it and report updates contract.","BLOCKED_DECLARED_NOT_SAMPLED"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_MainTex","Declared and sampler exists, but frag never samples it.","No accepted live channel. Compatibility/alias property only in current source.","Shader sampling route or removal from contract; material role proof if kept.","ToolDiegeticDisplayController binds it, but the shader ignores it.","Do not promote _MainTex as screen channel evidence for ToolScreenDiegetic.","BLOCKED_DECLARED_NOT_SAMPLED"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_EmissionMap","Declared and sampler exists, but frag never samples it.","No accepted live channel. It is not an emissive glyph mask in this shader.","Sampled emission/glyph mask channel with documented RGB/A semantics, import proof, and material bindings.","No tool family may claim emissive glyph mask support from this declared slot.","Future glyph/emission mask must be sampled explicitly and tied to owner truth or authored screen art.","BLOCKED_DECLARED_NOT_SAMPLED"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_ToolFallback01, _FallbackTint, _Color","_ToolFallback01 blends sampled signal toward fallback tint; _Color tints nonfallback signal.","Scalar presentation contract accepted; not a texture channel and not gameplay truth.","Unity proof that fallback texture is authored, readable, and not placeholder/default emission.","All handheld tool screens may fail closed into fallback display only if fallback texture is production-authored.","Fallback must show useful failure state, not flat emissive rectangle or package/default placeholder.","ACCEPTED_SCALAR_CONTRACT_STATIC"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_ToolHeat01","Shader draws bottom heat bar and critical threshold uses heat > 0.9.","Scalar heat visualization accepted from owner signal, pending runtime proof.","Owner signal capture, Unity screen capture, and warning cadence proof.","LaserCutter, Repair, StunPistol, Builder, and heat-bearing tools can use this as presentation only.","Heat bar must match tool owner heat truth; shader must not invent heat state.","ACCEPTED_SCALAR_CONTRACT_STATIC"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_ToolBattery01","Shader draws top battery cell fill.","Scalar battery visualization accepted from owner signal, pending runtime proof.","Owner signal capture, Unity screen capture, and low-tier readability proof.","Battery/power-bearing handheld tools can use this as presentation only.","Battery bar must match tool owner power truth; color cannot be only signal for critical state.","ACCEPTED_SCALAR_CONTRACT_STATIC"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_ToolDistanceMeters, _ToolAmmoUnits","Shader declares these floats but does not read them. Controller writes them and also renders distance/ammo text into RT.","No shader-channel contract accepted for these floats. Text route via _ToolScreenTex is static-source observed only.","Runtime capture proving text presence and owner truth; shader use if future scalar effects are intended.","Distance/ammo can inform tool screen through the RT, not through current shader scalar effects.","Keep distance/ammo in owner-driven text/RT unless shader is updated and audited.","PARTIAL_SOURCE_STATIC"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","procedural scanline","Shader computes scanline only for fallback tint modulation.","Scanline effect is accepted as procedural fallback presentation, not texture proof.","Nonfallback scanline behavior, material readability capture, and profiler/Frame Debugger proof if claimed runtime.","All tool screens may use scanline only when it does not reduce legibility.","Scanlines must carry degraded instrument feel, not hide weak UI art.","ACCEPTED_EFFECT_STATIC_LIMITED"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_ToolVisualOverkill01, _ToolTypeHue01","Overkill gates grid, data sweep, and slight type tint; controller derives visual overkill from GlobalQualityWeight.","Continuous presentation scaling accepted in static source; no gameplay truth change.","Unity capture per quality lane and performance proof before visual acceptance.","High/Ultra can add secondary screen detail only after Low/Middle remain readable.","Use GlobalQualityWeight to scale cadence/detail continuously; never use binary low/high switches.","ACCEPTED_SCALING_CONTRACT_STATIC"
"Hecton_ToolScreenDiegetic shader","Assets/_Project/Art/Shaders/Hecton_ToolScreenDiegetic.shader","_ToolFault01, _ToolCriticalFlash01","Fault blends toward red and pulses; critical heat can invert/add flash.","Warning/fault presentation accepted as scalar shader response, pending owner/runtime proof.","Owner status route, warning cadence, accessibility/reduced flash path, Unity capture.","DepthFailed, Broken, Overheated, LowPower, Disabled states can be shown if source owner publishes them.","Warnings must be disciplined; red/flicker only for real fault/critical owner state.","ACCEPTED_WARNING_SCALAR_STATIC"
"ToolDiegeticDisplayController","Assets/_Project/Scripts/UI/Tools/ToolDiegeticDisplayController.cs","RT binding and text source","Creates/rents ToolScreen_RT_256, renders ToolUI camera, writes zero-GC TMP char buffers, binds texture to _ToolScreenTex and aliases.","STATIC_SOURCE_PARTIAL: RT is the current intended source for _ToolScreenTex. Text can show AMMO, HEAT, DST, BAT, status, SCAN, DECRYPT.","Unity component wiring, material assignment, render texture pool behavior, screenshot, profiler/GC proof.","Scanner/analyzer/repair/cutter/builder readouts have plausible owner-data carrier but not accepted runtime result.","Prefab screen renderer must use a material with ToolScreenDiegetic or approved successor and must prove physical screen size/readability.","PARTIAL_SOURCE_STATIC_PENDING_UNITY"
"ToolScreenDiegetic material usage","Assets/_Project/Art/Materials; Assets/_Project/Prefabs; Assets/_Project/Scenes","shader GUID 0eeb4e3c4a47c924eaa9056f9d429396","Static search found no material, prefab, asset, or scene reference to the shader GUID under Assets/_Project scoped art/prefab/scene paths.","No live assignment contract accepted.","At least one project-owned MAT_* using this shader, assigned to tool screen mesh slots, with texture/RT bindings and screenshot proof.","All tool families with visible screens remain blocked for product-face relink.","Create/assign project-owned material; reject package/default/placeholder/debug/flat emission routes.","BLOCKED_NO_MATERIAL_ASSIGNMENT_STATIC"
"Allowed premium effects","Future shader/material contract","scratch, grime, wetness, emissive glyph mask, depth readout, oxygen hint, sonar hint, packed screen mask","Current shader/source proves scanline, heat/battery bars, fault/critical pulse, grid/data sweep, scanner/decrypt text through RT. It does not prove scratch, grime, wetness, glyph mask, oxygen, sonar, or packed screen-mask channels.","Only proved effects above are accepted in static source. All listed premium effects beyond those remain blocked until sampled slots and owner data exist.","Sampled mask/normal/wetness/glyph slots with channel meanings; oxygen/sonar source owners; material import proof; handheld/cockpit captures.","Handheld tools and cockpit displays must stay readable and truthful; no fake flat emissive rectangles.","Future contract: _ToolScreenTex RGB signal; optional _ScreenWearMask R scratches G grime B salt/dirt A wetness; optional _GlyphMask A emission; optional normal/scratch map. Each must be sampled and documented before use.","BLOCKED_CHANNEL_CONTRACT_REQUIRED"
