"priority","texture_family","role","source_scope","srgb","texture_type","mipmaps","streaming_mips","standalone_format_target","compact_lane","middle_lane","high_lane","ultra_lane","proof_needed","blockers","disposition"
"P0","foam_contact","albedo","Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_FoamContact_CleanedSource_Albedo_20260605.png","true","Default","true","true","BC7 or platform equivalent","1024 max if visual floor holds; no cyan flat fallback","1024 route-owned material with detail support","2048 source bake allowed only if residency proof exists","2048 source plus richer detail/decal response after proof","Unity import settings, Crest/ocean slot readback, bright waterline screenshot, Stats/Frame Debugger","source-only; MRAO/RGBA still broad; no Crest material proof","SOURCE_ONLY_NOT_IMPORT_READY"
"P0","foam_contact","normal","Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_FoamContact_CleanedSource_DetailNormal_20260605.png","false","NormalMap","true","true","BC5","1024 normal with restrained strength","1024 route-owned normal","2048 source bake allowed after material proof","2048 source plus micro-breakup if waterline remains readable","Unity import normal type, compression, shader response, screenshot","source-only; no active material binding proof","SOURCE_ONLY_NOT_IMPORT_READY"
"P0","foam_contact","mrao_mask","Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_FoamContact_CleanedSource_MRAO_20260605.png","false","Default linear mask","true","true","BC7 or BC4/BC5 split only if shader demands","pack channels; no separate AO import","route-owned packed mask with documented G roughness/smoothness convention","richer wetness and AO variation only after channel proof","extra wet-edge breakup but same channel contract","Unity import linear proof, channel debug view, shader-slot proof","MRAO preview still harsh; channel convention must be documented","SOURCE_ONLY_NOT_IMPORT_READY"
"P0","foam_contact","rgba_contact_mask","Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_FoamContact_CleanedSource_MaskRGBA_20260605.png","false","Default linear mask","true","true","BC7 or BC4/BC5 split only if shader demands","use only if visible contact breakup survives mips","use as authored contact breakup after proof","allow tighter channel fields and detail masks","allow layered contact response without runtime texture generation","Unity import linear proof, channel debug view, material readback","wet/residue fields still too broad; no shader-slot response","SOURCE_ONLY_NOT_IMPORT_READY"
"P1","aegir_cloud","band_albedo","Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_AegirCloud_CleanedSource_BandAlbedo_20260605.png","true","Default","true","true","BC7","1024x512 or lower mip residency only if Aegir still premium","1024x512 route-owned sky material","2048x1024 source allowed after sky proof","2048x1024 plus atmosphere/detail layering after proof","Mat_HectonSky/Aegir slot readback, bright surface screenshot, import proof","source-only; no skybox/material proof","SOURCE_ONLY_NOT_IMPORT_READY"
"P1","aegir_cloud","storm_mask_rgba","Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_AegirCloud_CleanedSource_StormMaskRGBA_20260605.png","false","Default linear mask","true","true","BC7","lower mip only; must not turn Aegir into flat marble","route-owned storm/channel mask after shader proof","richer storm/channel detail after proof","layered storm masks if shader budget proves safe","Unity import linear proof, shader-channel response, surface screenshot","storm cells still blob-like; channel semantics unproven","SOURCE_ONLY_NOT_IMPORT_READY"
"P1","aegir_cloud","detail","Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_AegirCloud_CleanedSource_Detail_20260605.png","false","Default linear detail","true","true","BC7 or BC4 if single channel","shared detail only if surface view remains clean","route-owned high-cloud/detail support","extended detail residency after proof","richer atmosphere/detail layering after proof","Unity import proof, shader-slot readback, screenshot","source-only; no material proof","SOURCE_ONLY_NOT_IMPORT_READY"
"P1","wet_basalt_shell_sand","albedo","Assets/_Project/Art/TEXTURES/Terrain Textures and Docs/GeneratedAssets/Batch31_LocalPBR sources","true","Default","true","true","BC7","preserve wet rock/sand material identity; no blurry mud","route-owned PBR stack with tiling breakup","2048 key world materials and decals after proof","higher source bake/decal density only after memory proof","Unity terrain/material readback, tile seam preview, screenshot","multiple candidate sources; active terrain route unproven","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF"
"P1","wet_basalt_shell_sand","normal_mrao","Assets/_Project/Art/TEXTURES/Terrain Textures and Docs/GeneratedAssets/Batch31_LocalPBR sources","false","NormalMap or Default linear mask by role","true","true","BC5 normal; BC7 packed mask","baked AO in packed mask, conservative normal strength","route-owned normal/MRAO stack","richer detail normal and wetness masks after proof","extra detail/decal layers after proof","Import role proof, channel debug, terrain shader proof","source mix has baked-light/repetition risks","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF"
"P1","flora_coral","albedo","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported","true","Default","true","true","BC7","1024 family maps where possible; preserve organic material read","route-owned family material and LOD proof","longer LOD residency and detail maps after proof","denser near-field dressing after proof","Unity material readback, LOD/silhouette screenshot, import proof","streaming_mips often disabled; proxy materials active in world","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF"
"P1","flora_coral","normal_detail_mask","Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported","false","NormalMap or Default linear mask by role","true","true","BC5 normal; BC7 packed masks","shared detail and masks, no alpha-blend overdraw assumption","route-owned material proof","richer detail and dithered transitions after proof","higher density/detail only with Stats proof","Import role proof, material binding, LOD transition proof","streaming_mips often disabled; shader/material role unproven","CANDIDATE_BLOCKED_BY_MATERIAL_PROOF"
"P2","ui_oxygen","icon_albedo","Assets/_Project/Art/Sprites/ui/OXYGEN.png","true","Sprite","false","false","BC7 or sprite atlas platform target","legible at compact HUD scale","atlas-bound HUD icon after proof","higher atlas residency if needed for clarity","no extra visual noise; readability first","Sprite import/atlas proof, HUD screenshot","Suit_HUD_Canvas statically references oxygen-tank mask instead","CANDIDATE_BLOCKED_BY_UI_BINDING_PROOF"
"P2","ui_oxygen_mask","mask","Assets/_Project/Art/Sprites/oxygen-tank.png","false_if_mask_true_if_icon","Sprite or linear mask by assigned role","false","false","BC7 or single-channel atlas if mask route exists","use only if UI owner proves mask/tint role","mask/tint role after proof only","same role; no duplicate icon identity","same role; no duplicate icon identity","UI owner role proof, atlas proof, HUD screenshot","sampled as black silhouette/mask; not colored final icon","MASK_ONLY_UNLESS_PROVEN"
