"priority","domain","route_item","static_evidence","blocker","required_readback","required_visual_or_runtime_proof","reject_if","next_owner"
"P0","player_authority","active_scene_player_vs_production_prefab","ACTIVE_PLAYER_SCENE_CONFLICT_MAP reports scene-local Player with HectonWorldShellController1428 and production Player.prefab GUID not proven active","h8_1475 can capture shell camera instead of production player","Active Player path source scene prefab relation BootstrapState current player and enabled components","Walk swim camera HUD and interaction proof from production player route","Active player is scene-local shell duplicate null or unknown","Runtime owner 04 after runtime owner 05 gate"
"P0","movement_swim","HectonPlayerMovement locomotion route","Player.prefab has HectonPlayerMovement with DryGroundWalk SurfaceSwim UnderwaterSwim modes","Movement code existence does not prove active runtime route","Component enabled state current locomotion mode water sampling and player binding","Walk shoreline wade surface swim underwater swim ascend descend and no stuck state proof","Only shell transform movement is active or locomotion mode is unknown","Runtime owner 04"
"P0","input","direct shell input versus InputDispatcher","FORBIDDEN_RUNTIME_API_ROUTE_TRIAGE flags HectonWorldShellController1428 direct Keyboard Mouse and legacy Input","Direct input bypass can fake movement proof and device abstraction","InputDispatcher active runtime instance input owner direct input consumers and device matrix","Keyboard gamepad remap pause PDA and interaction input proof with no shell direct route","Keyboard.current Mouse.current or Input.GetKey shell is active control owner","Runtime owner 04"
"P0","hud_overlay","HUD_Internal and SuitHUD compositor","HUD_Internal.prefab has forceScreenSpaceOverlay 1 and SuitHUDScreenCompositor can force overlay in editor path","Interactive gameplay HUD can pass as flat overlay instead of diegetic visor route","HUD_Internal active state compositor enabled render mode forceScreenSpaceOverlay target canvas shared RT and player binding","Oxygen power hull depth prompt and visor readability in first-person captures","Interactive HUD is ScreenSpaceOverlay without approved bridge or player binding","Runtime owner 04 plus UI owner"
"P0","hud_projection","SuitHUDV4CanvasOverlay route","SuitHUDV4CanvasOverlay contains world-space projection paths and active overlay registry","Correct HUD route is unproven until Unity readback","TargetCanvas render mode projection source stencil runtime active active overlay count and render texture binding","Readable diegetic HUD over surface photic and medium-depth scenes with no text overlap","HUD is missing unreadable unbound or only editor preview","Runtime owner 04 plus UI owner"
"P0","interaction","PlayerInteraction and prompts","Player.prefab has PlayerInteraction but active scene player route is unresolved","First-20 route cannot prove gameplay if interaction prompt is unbound","PlayerInteraction enabled playerCamera cameraTransform interactable mask current hovered prompt cache and input signal source","Spam interact x20 hover prompt close range pickup or hatch interaction with 0 B proof later","Interaction belongs to inactive prefab or prompt is absent","Runtime owner 04"
"P0","foreground_tool_product_face","held tool and first-person foreground","VISUAL_REFERENCE_REJECTION direct review flags surface_haze foreground tool as blockout-looking","Landscape-only capture can hide failed player product face","Tools Held renderer materials meshes active hand/tool owner and product-face target table rows","First-person tool silhouette material and pose visible in h8_1475 screenshots","Tool is transparent blockout primitive null material or absent from capture","Asset owner 25 plus runtime owner 04"
"P1","player_audio_lifecycle","Player.prefab direct AudioClip refs","Asset P0 synthesis reports Player.prefab direct AudioClip refs without Addressables release proof","Audio lifecycle risk can leak or bypass owned routing","Direct AudioClip refs owner route Addressables key release path and DSP routing","No direct hot AudioSource shortcut and no unmanaged lifecycle leak proof later","Direct refs remain unclassified or are used as runtime shortcut","Asset owner 08 and audio owner"
"P0","h8_1475_manifest","proof packet metadata","H8_1475 shotlist requires manifest checksum Unity log and canonical screenshots","Raw MCP screenshots can be mistaken for acceptance","Proof folder manifest checksum copied log screenshot list editor state console summary and h8_1475 visual-reference comparison route","Canonical shots with active player HUD tool plus h8_1475_visual_reference_comparison.md from current template","No manifest no checksum no copied log missing comparison artifact or raw MCP-only images","Asset owner 36 plus owner 37"
"P0","visual_floor_crosscut","water shoreline terrain Aegir UI route","VISUAL_REFERENCE_REJECTION rejects latest surface frames against mandatory contact sheet","Visual proof can hide runtime blockers behind weak art or post effects","Scene material water sky terrain HUD product-face fields and mandatory visual-reference digest/template availability","h8_1475_visual_reference_comparison.md for surface shoreline photic medium-depth cockpit and UI shots","Rectangular slabs flat water acid terrain giant sphere only Aegir fog darkness camouflage or missing comparison artifact","Asset owners 11 14 16 20 24 25 36 37 plus runtime owner 04 when player HUD captures feed proof"
