"current_prefab","family_variant","current_defect","current_visible_role","rebuild_spec","required_source_assets","proof_owner"
"PFB_Debris_WreckField.prefab","family.debris.field.final.wreck_field","12 Unity built-in primitive mesh refs: 6 Cube, 3 Cylinder, 3 Capsule","Wreck-field carrier with hull chunks, pipe run, service plate, scavenger/perch silhouettes","Authored/generated wreck field with torn hull plates, ripped ribs, exposed pipes, salvage cuts, LOD0-2/HLOD, COL_WreckField proxy, salvage anchors","Real hull/debris/COL source meshes; ScifiFacility structural/pipe/detail meshes as kitbash support; WreckagePrefabFactory route only after source meshes exist","Construction final mesh owner plus integrator proof gate"
"PFB_Debris_ScrapCluster.prefab","family.debris.scatter.final.scrap_cluster","9 Unity built-in primitive mesh refs: 4 Cube, 2 Cylinder, 3 Capsule","Small scrap/salvage affordance cluster","Beveled scrap plates, cut pipes, cable glands, fasteners, readable salvage affordances, compact LOD2 silhouette","ScifiFacility props/tubes/control panels/decals; approved wreckage debris source meshes; no resource pickup prefabs","Construction final mesh owner plus integrator proof gate"
"PFB_Module_Pylon.prefab","family.route.power.final.pylon; Build_Utility_Pylon","1 Unity built-in primitive mesh ref: 1 Cylinder","Utility/power route pylon","Pressure base, clamp bands, insulators, cable sockets, service panels, bolts, stable power/socket metadata","ScifiFacility structural columns/trims/floors/props/tubes/lights; construction materials MAT_Module_Pylon or approved replacement","Construction final mesh owner plus integrator proof gate"
"PFB_Module_CurrentTurbine.prefab","family.route.power.final.current_turbine; Build_Current_Turbine","1 Unity built-in primitive mesh ref: 1 Cylinder","Current power generator, powerRating 18, priority 15","Shroud, rotor blades, hub, struts, cable anchors, service housing, optional visual-only cheap rotor motion","ScifiFacility structural rings/walls/trims/props/tubes/lights; construction materials MAT_Module_CurrentTurbine or approved replacement","Construction final mesh owner plus integrator proof gate"
"PFB_Ruin_ClusterMedium.prefab","family.ruin.cluster.medium.final.cluster_medium","16 Unity built-in primitive mesh refs: 9 Cube, 3 Cylinder, 3 Capsule, 1 Quad","Medium abandoned module cluster and route landmark","Broken module shells, torn sockets, corrosion, exposed frames, route gaps, HLOD-readable cluster silhouette","ScifiFacility walls/connectors/floors/ceilings/trims/scaffolds/decals; ruin seep material support","Construction final mesh owner plus integrator proof gate"
"PFB_Ruin_Megastructure.prefab","family.ruin.megastructure.final.megastructure","23 Unity built-in primitive mesh refs: 15 Cube, 2 Cylinder, 4 Capsule, 2 Quad","Large landmark silhouette with bridge/core/ring/proxy school markers","Landmark frame/core/ring/bridge package with internal voids, split HLOD clusters, impostor route, simple navigation collision","ScifiFacility walls/hull/viewing deck/connectors/scaffolds/rails/floors/ceilings/decals; HLOD mesh outputs","Construction final mesh owner plus integrator proof gate"
"PFB_Module_Foundation.prefab","family.ruin.module.single.final.foundation; Build_Foundation_Platform","9 Unity built-in primitive mesh refs: 9 Cube","Buildable/ruin foundation body with sockets and interior trigger","Pressure deck shell, floor ribs, bolted flanges, gasket bands, socket frames, underside bracing; preserve InteriorTrigger and Socket_*","ScifiFacility floors/borders/ducts/trims/walls; BaseModuleTemplate_Foundation data; MAT_Module_Foundation or approved replacement","Construction final mesh owner plus integrator proof gate"
"PFB_Module_Corridor.prefab","family.ruin.module.single.final.corridor; Build_Corridor_Straight","9 Unity built-in primitive mesh refs: 9 Cube","Buildable/ruin corridor body with sockets and interior trigger","Segmented pressure shell, reinforced ribs, gasket rings, socket collars, panel seams; preserve placement footprint and InteriorTrigger","ScifiFacility walls/connectors/ceilings/floors/trims/doors; BaseModuleTemplate_CorridorStraight data; MAT_Module_Corridor or approved replacement","Construction final mesh owner plus integrator proof gate"
"PFB_Module_ServicePump.prefab","family.service.scar.final.service_pump; Build_Service_Pump","1 Unity built-in primitive mesh ref: 1 Cube","Service scar pump/casing, powerRating -8, priority 20","Pump casing, intake/outflow ports, bolted panels, gauges/control face, pipe couplers, warning/emissive details","ScifiFacility props/tubes/control panels/lights/technical details; MAT_Module_ServicePump or approved replacement","Construction final mesh owner plus integrator proof gate"
"PFB_SargassumCollapseChunk.prefab","No scanned required family link","1 Unity built-in primitive mesh ref: 1 Cube","Collapse/debris chunk in Construction/Final","Either remove from Construction/Final ownership in scoped task or rebuild as authored non-primitive collapse chunk with LOD/collision/material proof","Approved sargassum/world collapse source mesh or newly authored non-primitive chunk; no WorldProceduralProxy primitive reuse","Construction/world integrator decision plus final mesh proof gate"
