locale,direction,field,total_required,present,missing,empty,draft_marker_hits,mojibake_hits,english_fallback_risk,script_mismatch_risk,static_over_bound_risk,max_chars,max_chars_packet
en_US,ltr,title,460,460,0,0,8,0,0,0,0,45,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
en_US,ltr,scanner,460,460,0,0,15,0,0,0,0,148,P048_CABLE_SPLICE_SCAR
en_US,ltr,terminal,460,460,0,0,16,0,0,0,1,248,P190_FALSE_PUBLIC_REPORT_PACKET
en_US,ltr,audio,460,460,0,0,13,0,0,0,0,132,P437_DEEP_REACH_SANITIZED_PACKET_TRANSCRIPT_SEED
en_US,ltr,in_game_wiki,460,460,0,0,13,0,0,0,0,505,P001_CRASH_SHELF
en_US,ltr,external_site,460,460,0,0,16,0,0,0,0,437,P456_SITE_HOME_LONGFORM_BRIEF
en_US,ltr,field_note,460,460,0,0,13,0,0,0,0,240,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
ru_RU,ltr,title,460,460,0,0,23,0,104,107,16,75,P248_P63_PUMP_ROOM_FIRST_REPAIR_TASK
ru_RU,ltr,scanner,460,460,0,0,34,0,80,80,1,182,P053_MARAUDER_GRAFFITI_MASKS
ru_RU,ltr,terminal,460,460,0,0,37,0,206,206,1,248,P190_FALSE_PUBLIC_REPORT_PACKET
ru_RU,ltr,audio,460,460,0,0,26,0,41,41,0,123,P246_BLACK_KEEL_APPROACH_AUDIO_PACKET
ru_RU,ltr,in_game_wiki,460,460,0,0,35,0,39,39,0,527,P001_CRASH_SHELF
ru_RU,ltr,external_site,460,460,0,0,34,0,36,36,0,410,P456_SITE_HOME_LONGFORM_BRIEF
ru_RU,ltr,field_note,460,460,0,0,30,0,64,64,0,235,P445_ENDING_PAYOUT_VALUE_DRAFT_ROWS
ja_JP,ltr,title,460,460,0,0,226,0,414,415,204,88,P378_PAYLOAD_PRESERVE_QUARANTINE_RECEIVER_PROTOCOL
ja_JP,ltr,scanner,460,460,0,0,400,0,414,414,5,191,P048_CABLE_SPLICE_SCAR
ja_JP,ltr,terminal,460,460,0,0,401,0,419,419,13,291,P190_FALSE_PUBLIC_REPORT_PACKET
ja_JP,ltr,audio,460,460,0,0,401,0,414,414,0,174,P346_AEGIR_PRIMARY_LIGHT_AND_RADIATION
ja_JP,ltr,in_game_wiki,460,460,0,0,400,0,414,414,0,388,P121_DOMAIN_CIVIC_CORPORATE_SPLIT
