path,material_name,bytes,folder_family,shader_guid,shader_path_static,texture_guid_ref_count,texture_guid_unique_count,empty_texture_slot_count,custom_render_queue,shader_keywords_static,policy_flags,route_risk,evidence_class,status,evidence_boundary
Assets/_Project/_Archive/Mat_Ocean.mat,Mat_Ocean,5154,water_ocean_contact,467e8ab7ae1cbd34eb9eb1ed2d558166,Assets/_Project/_Archive/HectonOcean.shader,2,2,14,-1,NONE,EMPTY_TEXTURE_SLOTS_STATIC|CREST_ROUTE_STATIC_TOKEN,FIRST20_ROUTE_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/Mat_HectonClouds.mat,Mat_HectonClouds,4044,sky_aegir_cloud,933532a4fcc9baf4fa0491de14d08ed7,NONE,2,1,12,3000,NONE,SHADER_GUID_UNRESOLVED_STATIC|EMPTY_TEXTURE_SLOTS_STATIC|CUSTOM_RENDER_QUEUE_STATIC,FIRST20_ROUTE_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/Mat_HectonSurface.mat,Mat_HectonSurface,4061,sky_aegir_cloud,933532a4fcc9baf4fa0491de14d08ed7,NONE,4,2,10,-1,NONE,SHADER_GUID_UNRESOLVED_STATIC|EMPTY_TEXTURE_SLOTS_STATIC,FIRST20_ROUTE_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
Assets/_Project/_PROLOGUE_CONTENT/Textures/Planets/pLANET/Materials/clouds0_diff.mat,clouds0_diff,3916,sky_aegir_cloud,933532a4fcc9baf4fa0491de14d08ed7,NONE,2,1,12,-1,NONE,SHADER_GUID_UNRESOLVED_STATIC|EMPTY_TEXTURE_SLOTS_STATIC,FIRST20_ROUTE_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
Assets/_Project/Art/Bootstrap/M_Bootstrap_Amber.mat,M_Bootstrap_Amber,1894,bootstrap_menu,650dd9526735d5b46b79224bc6e94025,NONE,0,0,2,-1,NONE,SHADER_GUID_UNRESOLVED_STATIC|NO_TEXTURE_GUIDS|EMPTY_TEXTURE_SLOTS_STATIC,MATERIAL_SLOT_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
Assets/_Project/Art/Bootstrap/M_Bootstrap_Backdrop.mat,M_Bootstrap_Backdrop,1905,bootstrap_menu,650dd9526735d5b46b79224bc6e94025,NONE,0,0,2,-1,NONE,SHADER_GUID_UNRESOLVED_STATIC|NO_TEXTURE_GUIDS|EMPTY_TEXTURE_SLOTS_STATIC,MATERIAL_SLOT_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
Assets/_Project/Art/Bootstrap/M_Bootstrap_Cyan.mat,M_Bootstrap_Cyan,1899,bootstrap_menu,650dd9526735d5b46b79224bc6e94025,NONE,0,0,2,-1,NONE,SHADER_GUID_UNRESOLVED_STATIC|NO_TEXTURE_GUIDS|EMPTY_TEXTURE_SLOTS_STATIC,MATERIAL_SLOT_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
Assets/_Project/Art/Bootstrap/M_Bootstrap_DimTeal.mat,M_Bootstrap_DimTeal,1915,bootstrap_menu,650dd9526735d5b46b79224bc6e94025,NONE,0,0,2,-1,NONE,SHADER_GUID_UNRESOLVED_STATIC|NO_TEXTURE_GUIDS|EMPTY_TEXTURE_SLOTS_STATIC,MATERIAL_SLOT_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
Assets/_Project/Art/Bootstrap/M_Bootstrap_Panel.mat,M_Bootstrap_Panel,1908,bootstrap_menu,650dd9526735d5b46b79224bc6e94025,NONE,0,0,2,-1,NONE,SHADER_GUID_UNRESOLVED_STATIC|NO_TEXTURE_GUIDS|EMPTY_TEXTURE_SLOTS_STATIC,MATERIAL_SLOT_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
Assets/_Project/Art/Materials/Celestial/MAT_AegirGasGiant_Impostor_1428.mat,MAT_AegirGasGiant_Impostor_1428,2048,sky_aegir_cloud,0661c64fe7dfd77469f3bd686cbc254e,Assets/_Project/Art/Shaders/H8_AegirGasGiantImpostor_1428.shader,3,3,0,-1,NONE,STATIC_NO_IMMEDIATE_FLAG,FIRST20_ROUTE_READBACK_REQUIRED,STATIC_YAML_SCAN,PENDING_VERIFICATION,MATERIAL_TEXT_ONLY_NOT_UNITY_BINDING_OR_VISUAL_PROOF
