"Priority","RouteOrProfile","CueFamily","RepresentativeAssets","StaticRefs","CurrentDisposition","EvidenceClass","BlockingRisk","OwnerNextAction","RejectionRule","LowTierConsequence","MiddleTierConsequence","HighTierConsequence","UltraTierConsequence"
"P0","MusicDirectorConfig_Global","Mixer routing","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","audio_profile_usage_20260605.csv rows CONFIG_NULL lines 25-26; AUDIO_ASSET_TAXONOMY MixerRoutingRisk","BLOCKED_NULL_MIXER_ROUTE","STATIC_SOURCE","Music and stinger outputs cannot be judged while _musicMixerGroup and _stingerMixerGroup are null or while an owned native/DSP bypass is undocumented.","MusicDirector owner assigns approved mixer groups through Unity after gate clearance or documents owned native/DSP bypass with phase, owner, proof target, and readback plan.","Null mixer route remains unexplained or mix behavior is inferred from static profile refs.","No extra music breadth; preserve breath, warnings, UI, and player cues first.","Normal profile breadth remains withheld until route ownership is closed.","Prefetch breadth and stinger layering remain withheld until route ownership is closed.","Dense music/stinger layering remains withheld until route ownership is closed."
"P0","Player.prefab direct clip route","Direct prefab AudioClip refs","Assets/_Project/Prefabs/Player.prefab; UI clips; footstep sets; Underwater Ambient.wav readback follow-up; dive_splash.wav readback follow-up","24 current DIRECT_PREFAB_AUDIO_REF rows; prior ambient/splash direct rows are source-cleared but pending Unity prefab readback; remediation P0/P1 rows","BLOCKED_DIRECT_PREFAB_AUDIO_REFS","STATIC_SOURCE","Direct serialized AudioClip refs do not prove owner, Addressables handle, release path, playback route, or hot-path allocation behavior.","Player/audio lifecycle owner classifies each remaining direct ref into short SFX or UI route and writes owner/load/release/playback route or scoped exception; prior ambient/splash removals need Unity readback.","Direct refs are treated as lifecycle proof or heavy/player-critical cues remain without route proof.","Only critical player and warning cues admitted; no decorative direct-ref expansion.","Classify every remaining direct ref before broader mix work.","Richer cue breadth waits for closed direct-ref ownership.","Extra layering cannot depend on unmanaged prefab refs."
"P0","music.profile.shallow","First-exit and photic shallow profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Shallow.asset; melkovodie_1_Vinyl Kelp Glow.ogg; stinger_dangerous_1_Iron_Teeth.ogg","CONFIG_PROFILE _shallowProfile; 16 PROFILE_CUE rows; repeated stinger refs","STATIC_REF_ONLY_BLOCKED_BY_ROUTE","STATIC_SOURCE","First-20 shallow route has static cue refs but no runtime gating, silence-window, mixer, or listening proof.","MusicDirector owner captures shallow profile transitions, silence windows, stinger cooldown, and cue audibility after mixer route is owned.","Bright surface/photic route is masked by constant bed or stingers trigger without event ownership.","Use minimal context music; player breath, warnings, and UI remain dominant.","Add shallow bed variety only after listening and routing proof.","Increase transitions and stinger variety after cooldown proof.","Use richer shallow palette only without changing cue ownership or masking critical cues."
"P1","music.profile.shelf","Shelf and medium-depth profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Shelf.asset; shelf_1_Abandoned Depths.ogg; shelf_2_Abandoned Depths (1).ogg","CONFIG_PROFILE _shelfProfile; 20 PROFILE_CUE rows; long beds >=300s","RISK_LONG_BED_PROFILE","AUDIO_WAVEFORM_QA","Shelf route has loud long beds; waveform review marks shelf_1 RMS -11.05 dBFS and static profile rows do not prove pause windows.","MusicDirector tuning owner performs listening pass and runtime capture for bed cadence, silence windows, transitions, and warning/player cue priority.","Long shelf bed becomes constant emotional blanket or masks player/system cues.","Stream only current context and protect silence windows.","Prefetch likely next context only after memory and mix proof.","Allow broader transitions after cadence proof.","Allow dense mid-depth mix only after cue priority proof."
"P1","music.profile.abyss","Abyss tension profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset; abyss_3_Deep Trench Drone.ogg; abyss_6_Deep Water Pressure Hum (1).ogg","CONFIG_PROFILE _abyssProfile; 25 PROFILE_CUE rows; 5 PROFILE_BLEED rows","RISK_TENSION_OWNERSHIP","AUDIO_WAVEFORM_QA","Abyss long drone has high peak and long duration; static tension rows do not prove correct depth/state ownership.","MusicDirector tuning owner proves abyss-only tension ownership, transition cadence, and non-masking of threats/warnings.","Abyss drone plays outside owned pressure route or becomes always-on tension.","Keep abyss music narrow and depth-gated.","Add long-drone variety only after gating proof.","Widen tension transitions after route proof.","Use richer abyss layering only with stable cue priority."
"P1","music.profile.cave","Cave pressure profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Cave.asset; cave_ambient_4_Sub-bass Pressure.ogg","CONFIG_PROFILE _caveProfile; 21 PROFILE_CUE rows; long bed >=300s","RISK_PRESSURE_BED_CADENCE","STATIC_SOURCE","Cave long pressure beds and repeated stingers need cadence proof so darkness/caves do not become continuous noise.","MusicDirector owner proves cave profile entry/exit, bed spacing, stinger cooldown, and warning audibility.","Cave route uses constant sub-bass blanket or repeated stingers mask gameplay cues.","Use one owned cave bed at a time.","Layer cave ambience only after cadence proof.","Add denser pressure transitions after mix proof.","Expand cave intensity only without changing cue truth."
"P1","music.profile.thermal","Thermal route profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Thermal.asset; abyss_termal_1_Steam-Drip Clatter.ogg; abyss_termal_2_Steam-Teeth Ritual.ogg","CONFIG_PROFILE _thermalProfile; 13 PROFILE_CUE rows; repeated discovery/danger/recovery stingers","STATIC_REF_ONLY_NEEDS_EVENT_GATE","STATIC_SOURCE","Thermal profile shares stingers with other profiles; event gate and route identity are unproven.","MusicDirector owner proves thermal profile trigger conditions, cooldowns, and route identity against ambient thermal SFX.","Thermal route sounds identical to generic abyss/cave or stingers fire without owner event.","Keep thermal profile sparse.","Add thermal long tracks after event gate proof.","Allow stronger thermal profile identity after listening proof.","Use richer thermal layering only with owned gate and cooldown."
"P1","music.profile.combat","Combat profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Combat.asset; being_attacked_1_Metallic Alarm Panic.ogg","CONFIG_PROFILE _combatProfile; 11 PROFILE_CUE rows; danger/recovery stinger reuse","RISK_WARNING_PRIORITY","STATIC_SOURCE","Combat profile can mask damage, oxygen, pressure, and tool warnings if music priority and ducking are not owned.","Combat/MusicDirector owner proves warning priority, ducking, tension entry/exit, and stinger cooldown.","Combat music masks gameplay truth cues or triggers without combat-state owner.","Keep combat music narrow and warning-first.","Add combat layers after warning audibility proof.","Increase combat cue variety after event ownership proof.","Use dense combat mix only with warning hierarchy unchanged."
"P1","music.profile.fallback","Fallback ambient profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset; ambient_dlinni_1_Sub-Bass Throb.ogg; stinger_hallucination_1_Beneath_the_Tide.ogg","CONFIG_PROFILE _fallbackProfile; 27 PROFILE_CUE rows; 5 PROFILE_BLEED rows; long beds >=300s","RISK_FALLBACK_MASKING","STATIC_SOURCE","Fallback profile has many long/short/stinger refs; fallback can become hidden always-on content if ownership is loose.","MusicDirector owner defines when fallback is legal, how it exits, and how it avoids masking first-20 route cues.","Fallback plays as a default blanket or hides route-specific profile defects.","Fallback stays minimal and silence-biased.","Use fallback only for controlled missing-route cases.","Add fallback variety only after legal trigger proof.","No dense fallback layering unless it proves non-interference."
"P2","music.profile.main_menu","Main menu profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_MainMenu.asset; main_menu_1_Sun_Under_Water.ogg","CONFIG_PROFILE _mainMenuProfile; 2 PROFILE_CUE rows","STATIC_REF_ONLY_NEEDS_ROUTE_PROOF","STATIC_SOURCE","Menu cue refs do not prove mixer route, memory residency, or transition into gameplay scene.","MusicDirector/menu owner proves menu music load, release, transition, and mixer route.","Menu music leaks into gameplay or uses unowned resident handles.","Keep menu bank narrow.","Allow normal menu pair after load/release proof.","Add transition polish after scene handoff proof.","Use higher-fidelity menu ambience only without changing ownership."
"P2","music.profile.prologue","Prologue profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Prologue.asset; prologue_1__Iron_Heavy_Rain.ogg","CONFIG_PROFILE _prologueProfile; 1 PROFILE_CUE row; 3 PROFILE_BLEED rows","STATIC_REF_ONLY_NEEDS_HANDOFF_PROOF","STATIC_SOURCE","Prologue has static cue and bleed refs but no handoff proof into main route profiles.","MusicDirector owner proves prologue entry/exit, bleed legality, and transition to shallow/shelf route.","Prologue bed persists into gameplay or bleed refs trigger wrong route context.","Use one prologue bed only.","Permit bleed only after handoff proof.","Add transition richness after profile handoff proof.","Use cinematic prologue mix only with explicit exit route."
"P2","music.profile.base","Base interior profile","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Base.asset; warm_base_lofi_1_Muffled Underwater Hum.ogg","CONFIG_PROFILE _baseProfile; 14 PROFILE_CUE rows","STATIC_REF_ONLY_NEEDS_INTERIOR_GATE","STATIC_SOURCE","Base profile refs do not prove interior gate, release route, or priority against alarms/power/oxygen cues.","Base/audio owner proves base-entry gate, alarm ducking, and exit to world profile.","Base music masks alarms or leaks outside base context.","Keep base profile sparse.","Add warm base palette after alarm priority proof.","Increase base ambience after route gate proof.","Use richer base layers only with alarm hierarchy preserved."
"P1","Repeated stinger library","Discovery, danger, recovery stingers","stinger_being_saved_3_First_Breath_Above.ogg; stinger_dangerous_1_Iron_Teeth.ogg; stinger_discovery_1_The_Sunken_Gate.ogg","11 repeated stinger GUID groups; counts 3-8 across profiles","RISK_REPEATED_STINGER_SPAM","STATIC_SOURCE","Reuse may be intentional but repeated dense stingers can erase profile identity and occupy warning space.","MusicDirector tuning owner marks reuse intentional or specializes replacements; proves cooldown, event owner, and priority.","Stingers repeat too often, mask warnings, or trigger without owner event.","Use smallest owned stinger set with strict cooldown.","Add profile-specific subset after listening proof.","Allow broader stinger set after cooldown proof.","Dense stinger palette only after priority proof."
