Domain,Proof Gate,Required Artifact,Required Evidence State,Reject If Missing Or Failed
sky/clouds,Compact screenshot,Docs/Reports/Batch20/Proof/SkyClouds_Compact.png,PLAYER-CAPTURE VERIFIED,"Reject black-crushed or muddy surface sky; reject static-only claim"
sky/clouds,High screenshot,Docs/Reports/Batch20/Proof/SkyClouds_High.png,PLAYER-CAPTURE VERIFIED,"Reject no visible cloud structure or no route lighting context"
sky/clouds,Render proof,Frame Debugger or RenderGraph capture naming sky/cloud pass,PROFILER VERIFIED,"Reject hidden blit/post stack or unbounded volumetric cost"
Aegir/moons,Compact screenshot,Docs/Reports/Batch20/Proof/AegirMoons_Compact.png,PLAYER-CAPTURE VERIFIED,"Reject low-res blobs, muddy sine bands, or unreadable moons"
Aegir/moons,High screenshot,Docs/Reports/Batch20/Proof/AegirMoons_High.png,PLAYER-CAPTURE VERIFIED,"Reject no texture/cloud-band improvement over compact"
Aegir/moons,Macro phase boundary,Phase model/cadence/consumer list/save note,STATIC VERIFIED or better,"Reject decorative celestial visuals with no route consequence"
ocean surface,Compact screenshot,Docs/Reports/Batch20/Proof/OceanSurface_Compact.png,PLAYER-CAPTURE VERIFIED,"Reject flat blue plane, black water, absent specular/foam/waterline"
ocean surface,High screenshot,Docs/Reports/Batch20/Proof/OceanSurface_High.png,PLAYER-CAPTURE VERIFIED,"Reject high tier that adds cost without visible water value"
ocean surface,Render/profiler proof,RenderGraph plus profiler marker for ocean surface/wake/depth pass,PROFILER VERIFIED,"Reject runtime pass without Frame Debugger/Profiler/GC proof"
shoreline foam/waterline,Compact screenshot,Docs/Reports/Batch20/Proof/ShorelineFoam_Compact.png,PLAYER-CAPTURE VERIFIED,"Reject foam hidden by darkness or no visible waterline contact"
shoreline foam/waterline,High screenshot,Docs/Reports/Batch20/Proof/ShorelineFoam_High.png,PLAYER-CAPTURE VERIFIED,"Reject no breakup/detail improvement or unstable shimmer"
shoreline foam/waterline,Telemetry and dump,300-frame ring with GlobalQualityWeight and dump trigger,PROFILER VERIFIED,"Reject no 300-frame telemetry or no deterministic dump path"
photic shallows 0-5m,Compact screenshot,Docs/Reports/Batch20/Proof/PhoticShallows_Compact.png,PLAYER-CAPTURE VERIFIED,"Reject aquarium haze, empty seabed, muddy fog, hidden terrain"
photic shallows 0-5m,High screenshot,Docs/Reports/Batch20/Proof/PhoticShallows_High.png,PLAYER-CAPTURE VERIFIED,"Reject high tier lacking richer biota/material/water response"
photic shallows 0-5m,Gameplay read statement,Route cue plus return-path readability note,PLAYMODE VERIFIED,"Reject screenshot with no player decision or route cue"
medium depth 20-50m,Compact screenshot,Docs/Reports/Batch20/Proof/MediumDepth_Compact.png,PLAYER-CAPTURE VERIFIED,"Reject black void, no silhouettes, no route landmark"
medium depth 20-50m,High screenshot,Docs/Reports/Batch20/Proof/MediumDepth_High.png,PLAYER-CAPTURE VERIFIED,"Reject density that destroys navigation or hazard readability"
medium depth 20-50m,Fog/water debug view,Fog/turbidity/visibility debug capture,EDITOR VERIFIED or better,"Reject fog used to hide weak assets"
coastline terrain/rocks,Compact screenshot,Docs/Reports/Batch20/Proof/CoastlineTerrain_Compact.png,PLAYER-CAPTURE VERIFIED,"Reject blocky toy cliffs, smooth noise, dark surface treatment"
coastline terrain/rocks,High screenshot,Docs/Reports/Batch20/Proof/CoastlineTerrain_High.png,PLAYER-CAPTURE VERIFIED,"Reject no strata/wetness/sediment/material breakup"
coastline terrain/rocks,LOD/collider proof,LOD cascade plus proxy/collider debug capture,EDITOR VERIFIED or better,"Reject LOD0 collider or LOD collapse removing route silhouette"
kelp/coral/flora,Compact screenshot,Docs/Reports/Batch20/Proof/Flora_Compact.png,PLAYER-CAPTURE VERIFIED,"Reject flat untextured cards, random glow, alpha-blend overdraw"
kelp/coral/flora,High screenshot,Docs/Reports/Batch20/Proof/Flora_High.png,PLAYER-CAPTURE VERIFIED,"Reject dense field that loses anchors, route edges, or material identity"
kelp/coral/flora,LOD/material validator,World procedural validator output for LODGroup/crossfade/material stack,EDITOR VERIFIED or STATIC VERIFIED,"Reject placeholder-only finals or missing 3 visible LODs"
ProductFace visible objects,Compact screenshot,Docs/Reports/Batch20/Proof/ProductFace_Compact.png,PLAYER-CAPTURE VERIFIED,"Reject primitive capsules/boxes, unreadable labels/instruments"
ProductFace visible objects,High screenshot,Docs/Reports/Batch20/Proof/ProductFace_High.png,PLAYER-CAPTURE VERIFIED,"Reject texture noise hiding bad mesh or no close-camera material truth"
ProductFace visible objects,Wire/material/collider proof,Wireframe/material mask/collider overlay capture,EDITOR VERIFIED or better,"Reject hero object without LOD/proxy/material proof"
screenshot/proof capture/telemetry,Proof packet index,Docs/Reports/Batch20/Proof/INDEX.md,STATIC VERIFIED,"Reject missing artifact paths or screenshots without evidence labels"
screenshot/proof capture/telemetry,Profiler packet,Unity Profiler GC/frame/memory captures for changed systems,PROFILER VERIFIED,"Reject exact runtime metrics not backed by capture"
screenshot/proof capture/telemetry,Black-box packet,Dump file plus manifest for 300-frame telemetry ring,PROFILER VERIFIED,"Reject critical system with no last-300-frame state"
all domains,GlobalQualityWeight scalar audit,Static scan proving continuous math over binary branches,STATIC VERIFIED,"Reject binary quality switches changing route/truth/DTO/save"
all domains,Three-pillar gate,Graphics plus optimization plus gameplay decision evidence,PLAYER-CAPTURE VERIFIED and PROFILER VERIFIED,"Reject beautiful-empty, fast-flat, or complex-but-bad-performing output"
