"target_prefab","current_defect","source_candidate","future_source_file_scope","future_asset_output_route","preserve_contract","validator_hook","abort_condition","proof_required","status"
"PFB_Debris_WreckField","12 visible Unity built-in primitive mesh refs: 6 Cube, 3 Cylinder, 3 Capsule","Real hull/debris/COL source under Assets/_Project/BakedGeometry/Wreckage or approved equivalent; ScifiFacility props/tubes may dress salvage only after provenance scan","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs; Assets/_Project/Editor/Assembly/WreckagePrefabFactory.cs","Keep Assets/_Project/Prefabs/Construction/Final/PFB_Debris_WreckField.prefab path; mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_WreckField_*_LOD*.asset; HLOD Assets/_Project/Art/Meshes/Construction/HLOD; materials Assets/_Project/Art/Materials/Construction; textures Assets/_Project/Art/Textures/Construction; proof Docs/Reports/GeneratedAssets/Construction/PFB_Debris_WreckField_PROOF.md","family.debris.field.final.wreck_field; salvage anchors; scanner metadata; VIS_HullCombined/VIS_DebrisScatter; COL_WreckField; no visible root MeshCollider","WorldProceduralFinalPrefabQualityGate.UsesUnityBuiltInPrimitiveMesh; ConstructionFinalPrefabValidator; WreckagePrefabFactory.ValidatePrefabContract; future GeneratedAssetProductionAudit","Abort if BakedGeometry/Wreckage remains empty, missing COL_* proxy, missing exterior/burned/debris material set, direct proxy/resource/primitive source, or visible built-in primitive mesh remains","Source provenance, visible primitive scan, material/SRP proof, LOD0/1/2 plus HLOD proof, collision proxy proof, salvage anchor proof, render/wireframe/collider screenshots, performance/memory estimate","BLOCKED_STATIC_SOURCE_PACKET"
"PFB_Debris_ScrapCluster","9 visible Unity built-in primitive mesh refs: 4 Cube, 2 Cylinder, 3 Capsule","ScifiFacility props/details/pipes/technical/tubes plus real wreck debris mesh set; WreckagePrefabFactory only if source classifies debris correctly","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs; Assets/_Project/Editor/Assembly/WreckagePrefabFactory.cs","Keep Assets/_Project/Prefabs/Construction/Final/PFB_Debris_ScrapCluster.prefab path; mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_ScrapCluster_*_LOD*.asset; shared scrap atlas/material; proof Docs/Reports/GeneratedAssets/Construction/PFB_Debris_ScrapCluster_PROOF.md","family.debris.scatter.final.scrap_cluster; salvage-readable affordances; simple COL_ScrapCluster; no random primitive pile silhouette","WorldProceduralFinalPrefabQualityGate.UsesUnityBuiltInPrimitiveMesh; ConstructionFinalPrefabValidator; optional WreckagePrefabFactory.ValidatePrefabContract","Abort if source is current Construction/Final primitive, resource pickup, WorldProceduralProxy, invisible support marker, or direct ScifiFacility prefab without sanitation","Source list, primitive scan, LOD/collision/material proof, shared atlas proof, compact readability screenshot, wireframe/collider capture","BLOCKED_STATIC_SOURCE_PACKET"
"PFB_Module_Pylon","1 visible Unity built-in Cylinder mesh ref","ScifiFacility structural walls/columns/rails/scaffolds/tubes/technical details; custom base clamp, insulators, cable sockets","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs","Keep Assets/_Project/Prefabs/Construction/Final/PFB_Module_Pylon.prefab path; mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_Pylon_*_LOD*.asset; materials/textures under Construction; proof Docs/Reports/GeneratedAssets/Construction/PFB_Module_Pylon_PROOF.md","family.route.power.final.pylon; Build_Utility_Pylon stableId; powerRating=0; powerPriority=40; PowerNode/placement metadata; stable cable Socket_* anchors; simple base/body collision","ConstructionFinalPrefabValidator socket/power/buildable checks; WorldProceduralFinalPrefabQualityGate primitive scan","Abort if pylon remains cylinder-like, cable sockets unnamed/unstable, power metadata changes, or direct PowerGridPrefabFactory analytic fallback is used","Primitive scan, source provenance, socket transform list, PowerNode/buildable diff, material/SRP proof, LOD/collision proof, render/wire/collider screenshots","BLOCKED_STATIC_SOURCE_PACKET"
"PFB_Module_CurrentTurbine","1 visible Unity built-in Cylinder mesh ref","ScifiFacility tubes/structural/ring-like parts/props plus custom shroud, rotor blades, hub, radial struts, rear service housing","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs","Keep Assets/_Project/Prefabs/Construction/Final/PFB_Module_CurrentTurbine.prefab path; mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_CurrentTurbine_*_LOD*.asset; proof Docs/Reports/GeneratedAssets/Construction/PFB_Module_CurrentTurbine_PROOF.md","family.route.power.final.current_turbine; Build_Current_Turbine stableId; powerRating=18; powerPriority=15; PowerNode; cable anchors; optional visual-only motion cannot own gameplay truth","ConstructionFinalPrefabValidator power/buildable/material/LOD checks; WorldProceduralFinalPrefabQualityGate primitive scan","Abort if runtime mesh deformation is introduced, motion affects gameplay truth, source is primitive/proxy, or power metadata changes","Primitive scan, source list, power metadata diff, LOD/HLOD proof, material/SRP proof, collision proof, visual-only motion proof if added, screenshots","BLOCKED_STATIC_SOURCE_PACKET"
"PFB_Ruin_ClusterMedium","16 visible primitive refs: 9 Cube, 3 Cylinder, 3 Capsule, 1 Quad","ScifiFacility walls/floors/ceilings/trims/rails/scaffolds plus authored broken sockets, corrosion, exposed frames","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs","Keep Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_ClusterMedium.prefab path; mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_RuinClusterMedium_*_LOD*.asset; HLOD required; proof Docs/Reports/GeneratedAssets/Construction/PFB_Ruin_ClusterMedium_PROOF.md","family.ruin.cluster.medium.final.cluster_medium; route landmark readability; ecological markers remain separate support nodes, not visible structure","ConstructionFinalPrefabValidator family/HLOD/source/material/collision checks; WorldProceduralFinalPrefabQualityGate primitive scan","Abort if fish/perch/school marker silhouettes are used as structural art, HLOD missing, proxy primitive source used, or route landmark read depends on fog/darkness","Primitive scan, source provenance, HLOD/impostor proof, route-distance screenshot, material/collision proof, compact/high readability captures","BLOCKED_STATIC_SOURCE_PACKET"
"PFB_Ruin_Megastructure","23 visible primitive refs: 15 Cube, 2 Cylinder, 4 Capsule, 2 Quad","ScifiFacility structural walls/floors/ceilings/trims/rails/scaffolds plus custom ring/core/bridge/frame source meshes","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs","Keep Assets/_Project/Prefabs/Construction/Final/PFB_Ruin_Megastructure.prefab path; mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_RuinMegastructure_*_LOD*.asset; HLOD Assets/_Project/Art/Meshes/Construction/HLOD; proof Docs/Reports/GeneratedAssets/Construction/PFB_Ruin_Megastructure_PROOF.md","family.ruin.megastructure.final.megastructure; landmark silhouette; navigational/occlusion collision proxy only; no per-detail collision","ConstructionFinalPrefabValidator HLOD/renderer/material/collision/source checks; WorldProceduralFinalPrefabQualityGate primitive scan","Abort if no HLOD/impostor route, scale hides weak art, collision uses visual MeshCollider, or source is proxy/primitive","Primitive scan, source list, HLOD cluster plan, collision proxy proof, material/SRP proof, far-distance readability screenshot, profiler pending label","BLOCKED_STATIC_SOURCE_PACKET"
"PFB_Module_Foundation","9 visible Unity built-in Cube mesh refs","ScifiFacility floor/floor borders/trims/walls plus custom pressure deck, flanges, underside bracing, socket frames","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs","Keep Assets/_Project/Prefabs/Construction/Final/PFB_Module_Foundation.prefab path; mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_Foundation_*_LOD*.asset; proof Docs/Reports/GeneratedAssets/Construction/PFB_Module_Foundation_PROOF.md","family.ruin.module.single.final.foundation; Build_Foundation_Platform stableId; powerRating=0; powerPriority=25; BaseModuleTemplate_Foundation proxy bounds; Socket_*; InteriorTrigger; ModuleMarker","ConstructionFinalPrefabValidator buildable/template/socket/interior/power checks; WorldProceduralFinalPrefabQualityGate primitive scan","Abort if socket transforms move without template proof, InteriorTrigger lost, prefab GUID replaced, foundation reads as flat plate/cube, or template truth changes","Primitive scan, buildable/template diff, socket list, InteriorTrigger assignment proof, LOD/material/collision proof, screenshots","BLOCKED_STATIC_SOURCE_PACKET"
"PFB_Module_Corridor","9 visible Unity built-in Cube mesh refs","ScifiFacility walls/ceiling/floor/trims/connectors plus custom pressure corridor shell, ribs, gasket rings, socket collars","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs","Keep Assets/_Project/Prefabs/Construction/Final/PFB_Module_Corridor.prefab path; mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_Corridor_*_LOD*.asset; proof Docs/Reports/GeneratedAssets/Construction/PFB_Module_Corridor_PROOF.md","family.ruin.module.single.final.corridor; Build_Corridor_Straight stableId; powerRating=-6; powerPriority=35; BaseModuleTemplate_CorridorStraight proxy bounds; Socket_Front/Socket_Back; InteriorTrigger","ConstructionFinalPrefabValidator buildable/template/socket/interior/collision checks; WorldProceduralFinalPrefabQualityGate primitive scan","Abort if corridor snap points move, InteriorTrigger lost, collision blocks interior access, prefab GUID replaced, or source is primitive/proxy","Primitive scan, template/buildable diff, socket/interior proof, material/SRP proof, LOD/collider proof, compact/high screenshots","BLOCKED_STATIC_SOURCE_PACKET"
"PFB_Module_ServicePump","1 visible Unity built-in Cube mesh ref","ScifiFacility props/details/controlpanels/pipes/technical/tubes/lights plus custom pump casing, intake/outflow ports, gauges, handles","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs","Keep Assets/_Project/Prefabs/Construction/Final/PFB_Module_ServicePump.prefab path; mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_ServicePump_*_LOD*.asset; proof Docs/Reports/GeneratedAssets/Construction/PFB_Module_ServicePump_PROOF.md","family.service.scar.final.service_pump; Build_Service_Pump stableId; powerRating=-8; powerPriority=20; powered/module metadata; service scar identity","ConstructionFinalPrefabValidator buildable/power/material/source/collision checks; WorldProceduralFinalPrefabQualityGate primitive scan","Abort if pump remains cube with material, power rating/priority changes, no intake/outflow affordance, or source is direct primitive prefab","Primitive scan, source list, power metadata diff, material/SRP proof, LOD/collision proof, render/wire/collider screenshots","BLOCKED_STATIC_SOURCE_PACKET"
"PFB_SargassumCollapseChunk","1 visible Unity built-in Cube mesh ref in Construction/Final; no scanned family link","First classify owner; if construction-owned use authored non-primitive collapsed organic/structural mass; if world/sargassum-owned move out through separate scoped asset task","Assets/_Project/Scripts/Editor/ConstructionFinalSourceSet.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabAssembler.cs; Assets/_Project/Scripts/Editor/ConstructionFinalPrefabValidator.cs; Assets/_Project/Scripts/Editor/ConstructionFinalProofWriter.cs; Assets/_Project/Scripts/Editor/WorldProceduralFinalPrefabQualityGate.cs; Assets/_Project/Scripts/World/SargassumGlobalDragManager.cs","Either keep path only after non-primitive proof or relocate through separate relink plan; if kept use mesh Assets/_Project/Art/Meshes/Construction/Final/MESH_Construction_SargassumCollapseChunk_*_LOD*.asset; proof Docs/Reports/GeneratedAssets/Construction/PFB_SargassumCollapseChunk_PROOF.md","No family link found in 1855 scan; preserve or explicitly replace SargassumGlobalDragManager fallback semantics; no primitive fallback assignment through OnValidate","ConstructionFinalPrefabValidator; WorldProceduralFinalPrefabQualityGate primitive scan; SargassumGlobalDragManager fallback guard","Abort if ownership is unresolved, OnValidate can relink primitive/unproven prefab, file is moved without relink proof, or it remains a cube chunk","Ownership decision, fallback guard proof, primitive scan, source/material/LOD/collision proof, relink proof if moved, screenshots if visible","BLOCKED_STATIC_SOURCE_PACKET"
