"queue_order","priority","target","asset_or_config","route_context","why_first","required_runtime_proof","reject_condition","status"
"1","P0","MusicDirector mixer routing","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","MusicDirector global config","Null _musicMixerGroup and _stingerMixerGroup block routing proof before musical taste can be judged","Unity config readback; mixer/DSP route proof; Console clean; runtime MusicDirector capture","Null mixer routes remain unexplained or no owned DSP/native bypass exists; runtime/listening proof missing","PENDING_VERIFICATION"
"2","P0","Underwater Ambient readback and mix proof","Assets/_Project/Audio/Underwater Ambient.wav","Prior Player.prefab direct refs at lines 137 and 239 are source-cleared in current working tree; duration 193s; Streaming Vorbis Q0.45","Long bed can still mask warnings or leak lifecycle ownership if retained through another route without proof","Prefab readback; owner/load/release or removal ledger; runtime playback or absence proof; 0 B/frame proof; listening notes","Unity readback still shows unmanaged prefab ref, Q0.45 retained without accepted policy, or ambience masks UI/warnings/player cues; runtime/listening proof missing","PENDING_VERIFICATION"
"3","P0","Dive splash readback and contact proof","Assets/_Project/Audio/Movement/dive_splash.wav","Prior Player.prefab direct refs at lines 1066 and 1067 are source-cleared in current working tree; 1.729s ADPCM","Water entry/exit contact cue needs owner/lifecycle classification or absence proof before broader SFX pass","Prefab readback; owner route or removal ledger; runtime playback or absence proof; 0 B/frame proof","Unity readback still shows unmanaged direct refs, replacement route is absent, playback allocates, or runtime/listening proof is missing","PENDING_VERIFICATION"
"4","P0","Player breath loop","Assets/_Project/Audio/Breathing/breathing breath in and out 1.mp3","Player_loop risk; waveform peak -0.16 dBFS RMS -14.03 dBFS","Hot transient player-loop candidate is too important to classify as generic SFX","Listening pass in suit route; import readback; player-loop exception proof; runtime 0 B/frame proof","Sounds too hot, loops badly, streams as generic SFX, or masks warnings; runtime/listening proof missing","PENDING_VERIFICATION"
"5","P0","Suit interior loop","Assets/_Project/Audio/Breathing/inside suit sounds (too loud).wav","Player_loop risk; filename marks loudness debt","Player-body bed can ruin first-person continuity if level/import policy is wrong","Listening pass in first-exit and shallow route; import readback; ducking proof","Still too loud or treated as generic ambient/SFX without owner route; runtime/listening proof missing","PENDING_VERIFICATION"
"6","P1","Swimming surface loop","Assets/_Project/Audio/Movement/swimming -onwater.wav","Player_loop risk; quiet sparse motion loop","Motion loop needs low-latency proof without wasting resident memory","Listening pass; latency/start proof; import exception decision","Start jitter, inaudible movement feedback, or streaming generic SFX; runtime/listening proof missing","PENDING_VERIFICATION"
"7","P1","Dense ambient bed","Assets/_Project/Audio/Atmos 1 Loop.wav","Long ambient; waveform RMS -17.88 dBFS","Dense ambience can hide route/warning/fauna audio if always active","Listening pass; active-bank limit; warning ducking proof; memory proof","Masks warnings, dominates first exit/shallow, or lacks active-bank owner; runtime/listening proof missing","PENDING_VERIFICATION"
"8","P1","Low steady ambience","Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3","Long ambience candidate; lower RMS -26.47 dBFS","May be usable but import quality and route role are unclear","Listening pass; import readback; active-bank owner proof","Unclear route identity, poor import quality, or no release owner; runtime/listening proof missing","PENDING_VERIFICATION"
"9","P1","Shelf loud long bed","Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg","MusicDirector profile cue; waveform RMS -11.05 dBFS","Loud first-route bed needs pause/window proof, not constant emotional blanket","Runtime MusicDirector capture; listening notes; pause/window proof","Constant bed, over-compressed loudness, or masks player/system cues; runtime/listening proof missing","PENDING_VERIFICATION"
"10","P1","Abyss long drone","Assets/_Project/Audio/Music for Game/abyss_3_Deep Trench Drone.ogg","MusicDirector Abyss TenseLongTracks; 372.96s","Long high-peak drone needs tension ownership and transition proof","Runtime MusicDirector capture; tension/cadence proof; listening notes","Always-on drone or wrong tension outside abyss/deep route; runtime/listening proof missing","PENDING_VERIFICATION"
"11","P1","Danger stinger","Assets/_Project/Audio/Music for Game/stinger_dangerous_1_Iron_Teeth.ogg","Repeated stinger risk; waveform RMS -14.48 dBFS","Stingers need cooldown/priority proof or they become noise spam","Runtime stinger cooldown proof; mix priority; listening notes","Repeats too often, masks warnings, or triggers without event ownership; runtime/listening proof missing","PENDING_VERIFICATION"
"12","P2","UI click","Assets/_Project/Audio/UI/click sound.wav","Small UI transient; waveform RMS -38.58 dBFS","Could be inaudible under ambient/music and needs instrument-face proof","HUD/menu listening pass; UI mix proof; runtime 0 B/frame proof","Inaudible, allocates, or is not routed through owned UI/audio path; runtime/listening proof missing","PENDING_VERIFICATION"
"13","P2","VO stub sanity","Assets/_Project/Audio/VO/Stubs/VOStub_Chen_Log01_EN.wav","Placeholder VO; waveform RMS -63.21 dBFS","Stub cannot set final VO loudness but should remain clearly placeholder-blocked","Import/readback only if VO owner touches it; localization/subtitle proof for final VO","Treated as final VO loudness or final localization proof","PLACEHOLDER_BLOCKED"
