"MatrixId","Priority","VrefScope","RouteMoment","StaticSourceEvidence","CandidateSources","BlockingGap","OwnerRoute","RequiredProof","RejectIf","LowConsequence","MiddleConsequence","HighConsequence","UltraConsequence","Status"
"VHSC-01","P0","VREF-03; VREF-05; VREF-15","Surface sky Aegir coast first-viewport signal","Mandatory references require bright ocean, large readable Aegir, premium cloud bands, coast material identity, and white-water scale","Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_AegirCloud_CleanedSource_BandAlbedo_20260605.png; TX_H8_AegirCloud_CleanedSource_Detail_20260605.png; sky_aegir_cloud_contact_sheet.png","Source pack is not imported; old active disc/sky slots still require Unity readback; storm mask is source-only","ASSET_OWNER_14; ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_36","Sky/Aegir material slot readback; import role proof; bright surface screenshot; Frame Debugger; memory proof","Aegir reads toy-like smeared pasted or unbound; sky/coast is dark or hides weak assets","Keep Aegir readable with compressed role-correct maps only","Route-owned layered sky material after slot proof","Extend cloud/detail residency after proof","Layer atmosphere and Aegir detail only after memory/render proof","PENDING_UNITY_SLOT_AND_VISUAL_PROOF"
"VHSC-02","P0","VREF-04; VREF-13","Cliff waterline contact and water ceiling","Mandatory references require transparent water, wet edge, foam/contact breakup, and water ceiling shimmer","Docs/GeneratedAssets/AssetSystem_20260605/CleanupPass_20260605/TX_H8_FoamContact_CleanedSource_Albedo_20260605.png; TX_H8_FoamContact_CleanedSource_DetailNormal_20260605.png; FoamContact_CleanupPass_ContactSheet_SOURCE_ONLY_20260605.png","Old foam sheet is rejected and serialized-reachable; cleanup MRAO/RGBA masks remain broad/blocky; Crest slots unproven","ASSET_OWNER_11; ASSET_OWNER_20; ASSET_OWNER_36","Crest/ocean material readback; foam/contact channel proof; shoreline screenshot; Stats/Frame Debugger; VRAM proof","Turquoise pool-foam sheet remains visible; waterline is hidden by darkness; Crest material is cloned or wrapped","No flat foam fallback; preserve readable wet edge","Route-owned foam/contact maps after slot proof","Add wet-edge breakup and specular detail after proof","Layer micro-breakup only after memory/render proof","PENDING_CONTACT_CHANNEL_AND_CREST_PROOF"
"VHSC-03","P0","VREF-02; VREF-10; VREF-11; VREF-12","Photic shallows terrain readability","Mandatory references require bright terrain shelves, sand/rock clarity, caustic impression, and color anchors","Docs/GeneratedAssets/Batch31_LocalPBR/Batch31_LocalPBR_contact_sheet.png; terrain_geology_contact_sheet.png; TX_B31_PhoticSeabedSubstrate_2102; TX_B31_PhoticShellSandSubstrate_2102; TX_B31_WetBasaltShoreline_1429","Batch31 masks have unresolved MRAO/ARM semantics; generated terrain sources can carry seams/baked highlights; terrain material receiver proof absent","ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_36","Clean PBR channel pack proof; terrain/material readback; seam/tile proof; photic route screenshot; memory proof","Seabed is flat blurry muddy noisy or below Subnautica floor; generated maps imported directly","Compressed material identity with no proxy texture fallback","Route-owned PBR stacks after channel proof","Add detail normals decals wetness masks after proof","Increase material layering only after VRAM/render proof","PENDING_CHANNEL_AND_TERRAIN_RECEIVER_PROOF"
"VHSC-04","P1","VREF-07; VREF-10; VREF-12","Kelp forest flora and coral density","Mandatory references require dense but navigable organic silhouettes and readable color anchors","Docs/AssetAudit/ContactSheets/flora_coral_fauna_contact_sheet.png; Assets/_Project/Art/TEXTURES/WorldProceduralFlora/Imported families","Candidate stacks exist but streaming mips and material import proof are blocked; WorldProceduralProxy route contamination remains a hard risk","ASSET_OWNER_12; ASSET_OWNER_22; ASSET_OWNER_27; ASSET_OWNER_36","Renderer/material readback; import roles; dither/alpha path; LOD/VAT/static fallback proof; route screenshot","Proxy material or detached organic surface appears in visible route; hard LOD pops or flat candy-gradient material read","Use fewer proven silhouettes rather than proxy density","Final family material route after proof","Extend LOD residency and detail maps after proof","Increase near-field density only after Stats and memory proof","PENDING_FINAL_MATERIAL_AND_LOD_PROOF"
"VHSC-05","P1","VREF-09; VREF-14","Cockpit HUD instrument readability","Mandatory references require readable instruments integrated with route state, not decorative overlay","Docs/AssetAudit/ContactSheets/ui_textures_contact_sheet.png; Assets/_Project/Art/Sprites/ui/OXYGEN.png; Assets/_Project/Art/Sprites/oxygen-tank.png","Detailed UI icon source is not proven bound; black oxygen-tank silhouette/mask can be misused; cockpit/material route proof absent","ASSET_OWNER_17; ASSET_OWNER_25; ASSET_OWNER_36","Sprite import readback; atlas proof; HUD/cockpit binding; compact-scale screenshot; 0 B/frame UI proof","Black silhouette is treated as final colored icon; HUD is flat fake clipped or not tied to decision state","HUD readability first; no decorative noise","Atlas-bound icon after binding/import proof","Higher atlas residency only if readability improves","Premium cockpit detail only after UI and material proof","PENDING_ATLAS_HUD_AND_COCKPIT_PROOF"
"VHSC-06","P1","VREF-06","Deep bioluminescent route","Mandatory reference requires bioluminescent color separation, readable silhouettes, and density without black crush","flora_coral_fauna_contact_sheet.png; VFX source packet references; generated source inventory","Current source coverage is not enough for final deep biolum fauna/VFX proof; darkness cannot hide sparse route content","ASSET_OWNER_12; ASSET_OWNER_16; ASSET_OWNER_27; ASSET_OWNER_36","Biolum material/VFX source proof; route screenshot; readable silhouette hierarchy; Stats/Frame Debugger; memory proof","Bioluminescence is sparse noise or darkness hides empty geometry","Keep silhouette hierarchy and readable color anchors","Admit controlled biolum layers after source proof","Add richer emissive/detail after proof","Dense biolum overkill only after frame/memory proof","PENDING_DEEP_ROUTE_SOURCE_AND_VFX_PROOF"
"VHSC-07","P1","VREF-01; VREF-08","Capsule/base medium-depth route scale","Mandatory references require capsule/base material scale, readable geology/flora density, and clean water falloff","product-face target tables; material P0 table; prefab P0 table; terrain_geology_contact_sheet.png","Product-face material/prefab primitive replacement and water proof remain blocked; static source coverage cannot prove final capsule look","ASSET_OWNER_24; ASSET_OWNER_25; ASSET_OWNER_27; ASSET_OWNER_36","Prefab/material readback; authored mesh/material proof; collider/LOD proof; route screenshot; Console and Stats","Capsule/base reads toy-like primitive or empty route dressing surrounds it","Keep scale readable and avoid primitive proxies","Final product-face material route after proof","Add decals/wetness/wear after proof","Capture-grade detail only after material/LOD/memory proof","PENDING_PRODUCT_FACE_AND_ROUTE_PROOF"
"VHSC-08","P1","VREF-11; VREF-13","Water ceiling surface shimmer","Mandatory references require visible surface ceiling shimmer and sand/rock clarity under water","Crest/ocean material refs; water_foam_caustic_contact_sheet.png; terrain_geology_contact_sheet.png","Static source sheets do not prove active Crest slots, water ceiling, caustic receiver, or material response","ASSET_OWNER_20; ASSET_OWNER_16; ASSET_OWNER_36","Crest slot readback; underwater route screenshot; caustic/contact proof; Frame Debugger; Stats","Water ceiling is absent flat or hidden; caustic cue is just a cheap plane","Preserve shimmer impression without flat fallback","Route-owned water/receiver proof before acceptance","Add richer surface response after proof","Layer shimmer/detail only after render/memory proof","PENDING_WATER_CEILING_PROOF"
"VHSC-09","P1","VREF-02; VREF-03; VREF-04; VREF-15","Coast cliff geology and shoreline scale","Mandatory references require coast/cliff geometry, wet rock scale, vegetation density, and water-contact readability","terrain_geology_contact_sheet.png; Batch31 wet basalt sources; ProceduralFinals geology prefabs in static matrices","Generated wet basalt can repeat; active terrain materials need receiver proof; prefab/material LOD proof absent","ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_22; ASSET_OWNER_36","Clean PBR proof; geology prefab readback; LOD/collider/material proof; shoreline screenshot; Stats","Coast is primitive blurry repeated or hidden by fog/darkness","Compressed maps and strong silhouette only","Route-owned cliffs after material/LOD proof","Longer LOD/mip residency and decals after proof","High-density shore dressing only after proof","PENDING_SHORELINE_GEOLOGY_PROOF"
"VHSC-10","P2","All VREF surface and photic categories","Generated source-pack boundary","Generated source packs exist under Docs and are source/reference only","Docs/GeneratedAssets/AssetSystem_20260605; Docs/GeneratedAssets/Batch31_LocalPBR; Docs/GeneratedAssets/Gemini","Docs-generated sources have no Unity import, material binding, Addressables, VRAM, or route screenshot proof","ASSET_OWNER_02; ASSET_OWNER_09; ASSET_OWNER_15; ASSET_OWNER_16; ASSET_OWNER_20; ASSET_OWNER_36","Authoring owner decision; import role matrix; material readback; Addressables ownership; screenshots; memory proof","Source pack or contact sheet is treated as final route art","Use only as reference for role-correct compressed maps","Promote only after route-owned import proof","Add detail after material proof","Use as overdetail only after full route proof","SOURCE_ONLY_NOT_IMPORT_READY"
