asset_or_family,route_owner,allowed_as_visual_reference,allowed_as_product_face_source,conditions,forbidden_use,risk_if_misused,status
sky/cloud/Aegir/moons,World/Celestial/Lighting,YES,NO,"Reference only for surface beauty floor, celestial scale, cloud softness, Aegir band detail, and moon readability. Product-face use requires owner approval, project-owned derivative textures, declared channels, import manifest, and visual proof.","Copying sky/cloud/Aegir/moon textures or materials into tools, pickups, vehicles, suit, HUD glass, or generic product-face atlases.","Weakens the signature surface/celestial route, creates derivative material identity, and risks muddy placeholder-looking product-face art.",HARD_EXCLUDED_AS_SOURCE
Crest ocean package materials/textures,Crest/Ocean/Water,YES,NO,"Reference only for ocean behavior, foam, caustic, normal, meniscus, and underwater curtain expectations. Crest assets remain package-owned.","Cloning, mutating, relinking, or sampling Crest Ocean.mat, Ocean-Underwater.mat, WaveNormals.png, Foam2.png, foam.png, caustics, OceanInputs, or Crest shaders for product-face materials.","Breaks third-party asset integrity, contaminates product-face ownership, and may create unsupported material clones or shader dependencies.",HARD_EXCLUDED_AS_SOURCE
first-party surface ocean/waterline/foam,World/Water/Rendering,YES,NO,"Reference only for bright readable ocean skin, waterline edge, foam breakup, wet basalt contact, specular response, and shallow clarity. Source use requires water owner approval and dedicated derivative manifest.","Using MAT_H8_SurfaceCrestOcean_1428, MAT_H8_SurfaceFoamRibbons_1428, MAT_H8SurfaceOceanRead_1428, MAT_H8SurfaceShoreFoam_1428, foam.png, TX_H8_SurfaceWaterNormals_1428, TX_SurfaceOceanInterference_1428, or long-swell assets as product-face texture donors.","Turns surface water pillars into a free texture heap and risks fake wetness on tools/vehicles that no longer matches material truth.",HARD_EXCLUDED_AS_SOURCE
basalt/terrain/rock textures,Terrain/World/Geology,YES,NO,"Reference only for wet rock, strata, sediment, fracture, gravel, mud, and shore geology. Product-face mineral variants require separate resource/material manifest and channel conversion.","Directly relinking pickups, tools, suit, or vehicles to Terrain Textures basalt/rock/gravel/mud/sand layers, MAT_H8TerrainLit_BasaltSediment_1428, MAT_H8SurfaceWetBasaltReal_1428, or TX_H8TerrainBasaltSediment_1428.","Steals terrain identity, can make resources read as ground swatches, and undermines terrain material ownership.",HARD_EXCLUDED_AS_SOURCE
kelp/coral/flora atlases,World/Ecosystem/Flora,YES,NO,"Reference only for biological color, normal detail, mask semantics, translucency, and growth logic. Organic product-face use requires category-specific derivative textures and channel manifest.","Directly using WorldProceduralFlora kelp/coral albedo/detail/mask/normal atlases or MAT_ProceduralBio_Shallows for resource pickups, tool grips, suit panels, or transport hulls.","Creates false ecology/material semantics and can turn product-face assets into generic reef-colored props.",HARD_EXCLUDED_AS_SOURCE
sargassum hidden input masks/materials,Water/Sargassum/CrestFacade,YES,NO,"Reference only for hidden Crest facade behavior and data-input ownership. They are masks/materials for ocean damping/oil/foam routes, not visible product-face art.","Using MAT_SargassumOilFilm, MAT_SargassumWaveDamping, MAT_SargassumFoamDamping, sargassum facade masks, or SargassumMicroFaunaBoids assets as product-face texture/material sources.","Exposes hidden input art, lies about water ownership, and risks visible primitive/data-carrier artifacts.",HARD_EXCLUDED_AS_SOURCE
depth/noir/fog/storm materials,World/Lighting/VFX/Weather,YES,NO,"Reference only for scoped depth, cave, interior, storm, eclipse, and pressure-event mood. Normal surface cannot use these to hide weak art.","Using MAT_NoirDepthFog, MAT_H8WorldDeepAbyss_1428, MAT_H8WorldDepthCurtain_1428, MAT_SurfaceStormWater_1428, MAT_SurfaceSplashFoamDirty_1428, MAT_SurfaceSkyDomeNoir_1428, or noir gradients to recolor product-face assets or hide unfinished surface visuals.","Normal surface becomes muddy/black, weak product-face work gets concealed, and visual proof is faked through darkness.",HARD_EXCLUDED_AS_SOURCE
visor glass droplet/runoff textures,Player/UI/Visor,YES,CONDITIONAL,"Allowed only inside visor/glass presentation route with SuitVisor or approved visor material contract. Reuse outside visor requires player/UI owner approval and derivative manifest.","Using visor droplet mask.png, visor runoff normal.png, Mat_Visor_Glass, MAT_VisorFluidDistortion, MAT_VisorUberPost, or visor trauma/decal materials as generic wetness on tools, pickups, vehicles, terrain, or ocean.","Collapses player instrument identity into generic wetness and can imply false visor/system state.",CONDITIONAL_ROUTE_LOCKED
weather fog LUTs,Atmosphere/Weather/Lighting,YES,NO,"Reference only for storm/depth/emergency readability and color grading behavior. Product-face source requires separate generated material maps, not LUT reuse.","Using TX_FogLUT_CyclonicSurge, TX_FogLUT_DeepStillness, TX_FogLUT_BiolumeBloom, or weather LUT colors as albedo/mask sources for product-face art.","Bakes grading into material identity and hides missing PBR source maps.",HARD_EXCLUDED_AS_SOURCE
surface/coastline celestial support materials,World/Surface/Lighting,YES,NO,"Reference only for surface route composition, sun/moon/celestial bounce, salt haze, emergency route cues, and horizon readability.","Reusing MAT_SurfaceHorizonSaltHaze_1428, MAT_SurfaceSunDisc_1428, MAT_SurfaceMoonCold_1428, MAT_SurfaceEmergencyAmber_1428, or similar route materials as product-face materials.","Breaks route readability ownership and creates product-face colors that imply nonexistent environmental state.",HARD_EXCLUDED_AS_SOURCE
