source_file,line,route_card_id,phase_id,depth_min_m,depth_max_m,primary_surface,primary_surface_mask,ending_pressure,packet_count,packet_ids,required_packet_count,required_packet_ids,unknown_packet_ids,unknown_required_packet_ids,status
Docs/Lore/AppliedContent/route_cards/061_route_cards.csv,2,RC335_RESOURCE_YIELD_ROW_CONTRACT,table_handoff_route,0,5600,terminal,4,none,1,P301_RESOURCE_YIELD_ROW_CONTRACT,2,P261_RESOURCE_YIELD_AUTHORING_ROWS;P171_RECIPE_TIER_PRESSURE_BANDS,,,OK
Docs/Lore/AppliedContent/route_cards/061_route_cards.csv,3,RC336_STACK_LIMIT_ROW_CONTRACT,table_handoff_route,0,5600,terminal,4,none,1,P302_STACK_LIMIT_ROW_CONTRACT,2,P262_INVENTORY_STACK_AUTHORING_ROWS;P173_BLUE_DEBT_SAMPLE_QUALITY,,,OK
Docs/Lore/AppliedContent/route_cards/061_route_cards.csv,4,RC337_ESCAPE_RECIPE_COST_ROW_CONTRACT,table_handoff_route,0,5600,terminal,4,partial_exit,1,P303_ESCAPE_RECIPE_COST_ROW_CONTRACT,2,P263_ESCAPE_RECIPE_AUTHORING_ROWS;P175_ESCAPE_COMPONENT_TUNING_RULES,,,OK
Docs/Lore/AppliedContent/route_cards/061_route_cards.csv,5,RC338_CONTRACT_RISK_REWARD_ROW_CONTRACT,table_handoff_route,0,5600,terminal,4,material_or_partial,1,P304_CONTRACT_RISK_REWARD_ROW_CONTRACT,3,P264_CONTRACT_RISK_REWARD_AUTHORING_ROWS;P241_LIEN_SEVERITY_SEED_CLASS;P242_STORM_WINDOW_RISK_CARD,,,OK
Docs/Lore/AppliedContent/route_cards/061_route_cards.csv,6,RC339_ENDING_PAYOUT_ROW_CONTRACT,table_handoff_route,0,5600,terminal,4,material_or_partial,1,P305_ENDING_PAYOUT_ROW_CONTRACT,2,P265_ENDING_PAYOUT_AUTHORING_ROWS;P270_ENDING_RECORD_UI_COPY,,,OK
Docs/Lore/AppliedContent/route_cards/062_route_cards.csv,2,RC340_PDA_CODEX_STATE_PROOF_CARD,runtime_ui_proof_route,0,5600,in_game_wiki,16,none,1,P306_PDA_CODEX_STATE_PROOF_CARD,2,P217_IN_GAME_WIKI_UNLOCK_TIER_RULES;P266_DOSSIER_START_SCREEN_COPY,,,OK
Docs/Lore/AppliedContent/route_cards/062_route_cards.csv,3,RC341_SCANNER_STAGE_BINDING_PROOF_CARD,runtime_ui_proof_route,0,5600,scanner,2,none,1,P307_SCANNER_STAGE_BINDING_PROOF_CARD,2,P269_ROUTE_WARNING_UI_COPY;P291_PHOTIC_MAT_CODEX_CARD,,,OK
Docs/Lore/AppliedContent/route_cards/062_route_cards.csv,4,RC342_TERMINAL_SLOT_PROOF_CARD,runtime_ui_proof_route,0,5600,terminal,4,none,1,P308_TERMINAL_SLOT_PROOF_CARD,2,P287_P63_PUMP_ROOM_WORK_ORDER;P218_AUDIO_TRANSCRIPT_CENSOR_RULES,,,OK
Docs/Lore/AppliedContent/route_cards/062_route_cards.csv,5,RC343_DOSSIER_ENDING_RECORD_PROOF_CARD,runtime_ui_proof_route,0,5600,in_game_wiki,16,truth,1,P309_DOSSIER_ENDING_RECORD_PROOF_CARD,2,P270_ENDING_RECORD_UI_COPY;P299_PAYLOAD_AUTHORITY_LAST_CHECK,,,OK
Docs/Lore/AppliedContent/route_cards/062_route_cards.csv,6,RC344_LOCALIZED_OVERFLOW_PROOF_CARD,runtime_ui_proof_route,0,5600,terminal,4,none,1,P310_LOCALIZED_OVERFLOW_PROOF_CARD,4,P276_RU_NATIVE_REVIEW_LOCK;P277_CJK_REVIEW_LOCK;P278_RTL_REVIEW_LOCK;P279_EUROPEAN_LANGUAGE_REVIEW_LOCK,,,OK
Docs/Lore/AppliedContent/route_cards/063_route_cards.csv,2,RC345_SITE_HOME_PAGE_COMPOSITION_LOCK,publication_composition_route,0,5600,external_site,32,none,1,P311_SITE_HOME_PAGE_COMPOSITION_LOCK,2,P281_HECTON8_SITE_OPENING_HOOK;P216_PUBLIC_SITE_ARTICLE_TIER_RULES,,,OK
Docs/Lore/AppliedContent/route_cards/063_route_cards.csv,3,RC346_SITE_AEGIR_SYSTEM_ART_COMPOSITION_LOCK,publication_composition_route,0,5600,external_site,32,none,1,P312_SITE_AEGIR_SYSTEM_ART_COMPOSITION_LOCK,2,P282_AEGIR_SITE_SYSTEM_MAP_COPY;P219_ART_BRIEF_RELEASE_GATE_RULES,,,OK
Docs/Lore/AppliedContent/route_cards/063_route_cards.csv,4,RC347_SITE_DEEP_REACH_EVIDENCE_COMPOSITION_LOCK,publication_composition_route,0,5600,external_site,32,truth,1,P313_SITE_DEEP_REACH_EVIDENCE_COMPOSITION_LOCK,2,P283_DEEP_REACH_SITE_ACCOUNTABILITY_COPY;P190_FALSE_PUBLIC_REPORT_PACKET,,,OK
Docs/Lore/AppliedContent/route_cards/063_route_cards.csv,5,RC348_SITE_ATLAS_SPOILER_COMPOSITION_LOCK,publication_composition_route,0,5600,external_site,32,truth,1,P314_SITE_ATLAS_SPOILER_COMPOSITION_LOCK,2,P284_ATLAS6_SITE_SPOILER_GATE_COPY;P180_WEBSITE_WIKI_SPOILER_TIERING,,,OK
Docs/Lore/AppliedContent/route_cards/063_route_cards.csv,6,RC349_SOCIAL_DEV_NOTE_COPY_LOCK,publication_composition_route,0,5600,external_site,32,none,1,P315_SOCIAL_DEV_NOTE_COPY_LOCK,2,P251_HECTON8_PUBLIC_PRIMER_ARTICLE;P216_PUBLIC_SITE_ARTICLE_TIER_RULES,,,OK
Docs/Lore/AppliedContent/route_cards/064_route_cards.csv,2,RC350_FIRST_HOUR_PLACEMENT_PRIORITY_LOCK,unity_placement_backlog_route,0,5600,terminal,4,none,1,P316_FIRST_HOUR_PLACEMENT_PRIORITY_LOCK,2,P153_SHALLOW_ANNEX_P63_PUMP_ROOM;P248_P63_PUMP_ROOM_FIRST_REPAIR_TASK,,,OK
Docs/Lore/AppliedContent/route_cards/064_route_cards.csv,3,RC351_MID_DEPTH_ROUTE_PLACEMENT_PRIORITY_LOCK,unity_placement_backlog_route,0,5600,terminal,4,none,1,P317_MID_DEPTH_ROUTE_PLACEMENT_PRIORITY_LOCK,2,P083_BRINE_CANYON_ROUTE_LADDER;P294_BRINE_VANE_CODEX_CARD,,,OK
Docs/Lore/AppliedContent/route_cards/064_route_cards.csv,4,RC352_ECOLOGY_SCAN_PLACEMENT_PRIORITY_LOCK,unity_placement_backlog_route,0,5600,scanner,2,none,1,P318_ECOLOGY_SCAN_PLACEMENT_PRIORITY_LOCK,2,P291_PHOTIC_MAT_CODEX_CARD;P295_SENSOR_TAGGED_FAUNA_CODEX_CARD,,,OK
Docs/Lore/AppliedContent/route_cards/064_route_cards.csv,5,RC353_FINAL_DESCENT_PLACEMENT_PRIORITY_LOCK,unity_placement_backlog_route,0,5600,terminal,4,truth,1,P319_FINAL_DESCENT_PLACEMENT_PRIORITY_LOCK,3,P296_ABYSSAL_MACHINE_FIELD_WARNING;P297_ATLAS_BASIN_PRESSURE_GATE;P298_FACTORY_TEMPLE_ENTRY_FRAGMENT,,,OK
Docs/Lore/AppliedContent/route_cards/064_route_cards.csv,6,RC354_TERMINAL_BACKLOG_TRIAGE_LOCK,unity_placement_backlog_route,0,5600,terminal,4,none,1,P320_TERMINAL_BACKLOG_TRIAGE_LOCK,2,P290_QUARANTINE_RELAY_FRAGMENT;P308_TERMINAL_SLOT_PROOF_CARD,,,OK
Docs/Lore/AppliedContent/route_cards/RS001_RS003_route_cards.csv,2,RC001_SURVIVE_DROP,arrival,0,120,terminal,4,none,2,P001_CRASH_SHELF;P002_BLACK_KEEL_CONTACT,0,,,,OK
Docs/Lore/AppliedContent/route_cards/RS001_RS003_route_cards.csv,3,RC002_PERSONAL_HOOK,arrival_shallows,20,250,in_game_wiki,16,none,1,P003_BARNARD_MARK,1,P001_CRASH_SHELF,,,OK
Docs/Lore/AppliedContent/route_cards/RS001_RS003_route_cards.csv,4,RC003_VALUE_TRAP,shallow_mid,150,1100,field_note,64,material,3,P004_BLUE_DEBT;P006_DEAD_CLAIM_CACHE;P015_BLACK_KEEL_LEDGER,1,P001_CRASH_SHELF,,,OK
Docs/Lore/AppliedContent/route_cards/RS001_RS003_route_cards.csv,5,RC004_REPAIR_SCAR,mid_depth,250,1000,scanner,2,truth,1,P005_REPAIR_SCAR,1,P004_BLUE_DEBT,,,OK
Docs/Lore/AppliedContent/route_cards/RS001_RS003_route_cards.csv,6,RC005_PRESSURE_DESCENT,descent_route,700,1800,scanner,2,none,1,P007_BRINE_STAIR,1,P004_BLUE_DEBT,,,OK
Docs/Lore/AppliedContent/route_cards/RS001_RS003_route_cards.csv,7,RC006_EVACUATION_CONTRADICTION,deep_colony,1200,2600,terminal,4,truth,1,P008_EVACUATION_HOLD,2,P003_BARNARD_MARK;P007_BRINE_STAIR,,,OK
Docs/Lore/AppliedContent/route_cards/RS001_RS003_route_cards.csv,8,RC007_HUMAN_SPACE_CONTEXT,system_context,0,2200,in_game_wiki,16,partial_exit,4,P011_DOMAIN_MARKS_2190;P012_RELAY_SPINE;P013_NEARLIGHT_SHIP_CLASSES;P014_AEGIR_ROUTE_WINDOW,1,P002_BLACK_KEEL_CONTACT,,,OK
Docs/Lore/AppliedContent/route_cards/RS001_RS003_route_cards.csv,9,RC008_BOTTOM_FACTORY,abyssal_final,3500,5200,scanner,2,truth,1,P009_BOTTOM_FACTORY,2,P005_REPAIR_SCAR;P007_BRINE_STAIR,,,OK
Docs/Lore/AppliedContent/route_cards/RS001_RS003_route_cards.csv,10,RC009_PAYLOAD_FALSE_EXIT,ending_pressure,4000,5200,terminal,4,material_or_partial,3,P010_PAYLOAD_WINDOW;P014_AEGIR_ROUTE_WINDOW;P015_BLACK_KEEL_LEDGER,2,P008_EVACUATION_HOLD;P009_BOTTOM_FACTORY,,,OK
Docs/Lore/AppliedContent/route_cards/RS004_route_cards.csv,2,RC010_SYSTEM_LIGHT,arrival_sky,0,120,scanner,2,none,1,P016_AEGIR_HOST_STAR,0,,,,OK
Docs/Lore/AppliedContent/route_cards/RS004_route_cards.csv,3,RC011_MOON_LADDER,orbit_pressure,0,300,terminal,4,partial_exit,1,P017_AEGIR_MOON_LADDER,1,P016_AEGIR_HOST_STAR,,,OK
Docs/Lore/AppliedContent/route_cards/RS004_route_cards.csv,4,RC012_PHYSICAL_DESCENT,descent_mastery,80,4500,in_game_wiki,16,truth,1,P018_HECTON8_DROWNED_GEOLOGY,1,P017_AEGIR_MOON_LADDER,,,OK
Docs/Lore/AppliedContent/route_cards/RS004_route_cards.csv,5,RC013_PRESSURE_ECONOMY,resource_pressure,150,5000,field_note,64,material_or_partial,1,P019_HECTON8_RESOURCE_STACK,2,P004_BLUE_DEBT;P018_HECTON8_DROWNED_GEOLOGY,,,OK
Docs/Lore/AppliedContent/route_cards/RS004_route_cards.csv,6,RC014_LIFE_BEFORE_REPAIR,ecology_truth,0,5000,in_game_wiki,16,truth,1,P020_HECTON8_ECOLOGY_REGISTRY,2,P005_REPAIR_SCAR;P019_HECTON8_RESOURCE_STACK,,,OK
Docs/Lore/AppliedContent/route_cards/RS005_route_cards.csv,2,RC015_CARRIER_CUSTODY,orbit_pressure,0,5200,terminal,4,partial_exit,1,P021_BLACK_KEEL_CUSTODY,2,P002_BLACK_KEEL_CONTACT;P015_BLACK_KEEL_LEDGER,,,OK
Docs/Lore/AppliedContent/route_cards/RS005_route_cards.csv,3,RC016_CAPSULE_PRISON,arrival_engineering,0,160,scanner,2,none,1,P022_DROP_CAPSULE_DAMAGE,2,P001_CRASH_SHELF;P021_BLACK_KEEL_CUSTODY,,,OK
Docs/Lore/AppliedContent/route_cards/RS005_route_cards.csv,4,RC017_DEEP_REACH_PRESSURE,corporate_reentry,600,3200,terminal,4,truth,1,P023_DEEP_REACH_RETURN_CLAIM,2,P008_EVACUATION_HOLD;P015_BLACK_KEEL_LEDGER,,,OK
Docs/Lore/AppliedContent/route_cards/RS005_route_cards.csv,5,RC018_MATERIAL_EXIT,false_exit,1500,5200,terminal,4,material_or_partial,1,P024_FALSE_EXIT_MATERIAL,3,P019_HECTON8_RESOURCE_STACK;P021_BLACK_KEEL_CUSTODY;P022_DROP_CAPSULE_DAMAGE,,,OK
Docs/Lore/AppliedContent/route_cards/RS005_route_cards.csv,6,RC019_PERSONAL_ESCALATION,identity_shift,20,2600,in_game_wiki,16,truth,1,P025_PROFESSIONAL_MOTIVE,1,P003_BARNARD_MARK,,,OK
Docs/Lore/AppliedContent/route_cards/RS006_route_cards.csv,2,RC020_SIX_DOMAIN_CONTEXT,humanity_context,0,5200,in_game_wiki,16,truth,1,P026_SIX_DOMAIN_LEDGER,1,P011_DOMAIN_MARKS_2190,,,OK
Docs/Lore/AppliedContent/route_cards/RS006_route_cards.csv,3,RC021_BARNARD_ORIGIN_HOOK,identity_shift,20,2600,scanner,2,truth,1,P027_BARNARD_YARDS_ORIGIN,2,P003_BARNARD_MARK;P025_PROFESSIONAL_MOTIVE,,,OK
Docs/Lore/AppliedContent/route_cards/RS006_route_cards.csv,4,RC022_NO_FTL_RESCUE_MATH,route_physics,0,5200,terminal,4,partial_exit,1,P028_NO_FTL_TRANSIT_MATH,2,P012_RELAY_SPINE;P014_AEGIR_ROUTE_WINDOW,,,OK
Docs/Lore/AppliedContent/route_cards/RS006_route_cards.csv,5,RC023_SEED_SHIP_DOCTRINE,deep_reach_doctrine,600,5200,terminal,4,truth,1,P029_SEED_SHIP_DOCTRINE,3,P005_REPAIR_SCAR;P009_BOTTOM_FACTORY;P023_DEEP_REACH_RETURN_CLAIM,,,OK
Docs/Lore/AppliedContent/route_cards/RS006_route_cards.csv,6,RC024_RELAY_DEBT_LEASH,carrier_pressure,0,5200,terminal,4,material_or_partial,1,P030_RELAY_CUSTODY_DEBT_CHAIN,2,P021_BLACK_KEEL_CUSTODY;P024_FALSE_EXIT_MATERIAL,,,OK
Docs/Lore/AppliedContent/route_cards/RS007_route_cards.csv,2,RC025_PHOTIC_BASELINE,shallow_contrast,0,250,scanner,2,none,1,P031_PHOTIC_SHELF_LIFE,2,P001_CRASH_SHELF;P020_HECTON8_ECOLOGY_REGISTRY,,,OK
Docs/Lore/AppliedContent/route_cards/RS007_route_cards.csv,3,RC026_PRESSURE_LADDER,depth_access_chain,0,5200,terminal,4,partial_exit,1,P032_PRESSURE_LADDER_DEPTH_BANDS,2,P018_HECTON8_DROWNED_GEOLOGY;P022_DROP_CAPSULE_DAMAGE,,,OK
Docs/Lore/AppliedContent/route_cards/RS007_route_cards.csv,4,RC027_CABLE_REEF_WARNING,mid_depth_merge,250,1800,scanner,2,truth,1,P033_CABLE_REEF_SYMBIOSIS,2,P005_REPAIR_SCAR;P020_HECTON8_ECOLOGY_REGISTRY,,,OK
Docs/Lore/AppliedContent/route_cards/RS007_route_cards.csv,5,RC028_REPAIR_FAUNA_ESCALATION,deep_biomechanical_horror,1600,4600,scanner,2,truth,1,P034_ABYSSAL_REPAIR_FAUNA,2,P005_REPAIR_SCAR;P029_SEED_SHIP_DOCTRINE,,,OK
Docs/Lore/AppliedContent/route_cards/RS007_route_cards.csv,6,RC029_FACTORY_TEMPLE_GATE,bottom_threshold,4600,5200,terminal,4,material_or_partial,1,P035_FACTORY_TEMPLE_THRESHOLD,2,P009_BOTTOM_FACTORY;P029_SEED_SHIP_DOCTRINE,,,OK
Docs/Lore/AppliedContent/route_cards/RS008_route_cards.csv,2,RC030_RETURN_VECTOR_WINDOW,escape_geometry,0,5200,terminal,4,partial_exit,1,P036_RETURN_VECTOR_WINDOW,2,P002_BLACK_KEEL_CONTACT;P022_DROP_CAPSULE_DAMAGE,,,OK
Docs/Lore/AppliedContent/route_cards/RS008_route_cards.csv,3,RC031_COWARD_EXIT_CHAIN,partial_escape,0,1200,terminal,4,partial_exit,1,P037_COWARD_EXIT_CHAIN,2,P036_RETURN_VECTOR_WINDOW;P022_DROP_CAPSULE_DAMAGE,,,OK
Docs/Lore/AppliedContent/route_cards/RS008_route_cards.csv,4,RC032_MATERIAL_PAYOUT_LEDGER,false_success,250,3200,terminal,4,material,1,P038_MATERIAL_PAYOUT_LEDGER,2,P004_BLUE_DEBT;P024_FALSE_EXIT_MATERIAL,,,OK
