triage_id,route_priority,owner_lane,asset_family,owner_scope,asset_path,reference_file_count,reference_token_count,first_reference_paths,evidence_trigger,required_next_owner,do_not_do,status,evidence_class,evidence_boundary
GUID_TRIAGE_0001,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,FIRST_PARTY_PROJECT,Assets/_Project/Art/Materials/Mat_HectonSky.mat,21,25,Assets/_Project/Prefabs/Sky_System.prefab|Assets/_Project/Scenes/00_BOOTSTRAP.unity|Assets/_Project/Scenes/02_HECTON_WORLD.unity|Assets/_Recovery/0 (1).unity|Assets/_Recovery/0 (10).unity|Assets/_Recovery/0 (11).unity,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|BOOT_OR_MENU_SCENE_REACHABLE|MATERIAL_READBACK_REVIEW,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
GUID_TRIAGE_0002,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,FIRST_PARTY_PROJECT,Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_kelp_patch_dense.mat,17,117,Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense/GEN_family_kelp_patch_dense__bladder__s80-135.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense/GEN_family_kelp_patch_dense__brush.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense/GEN_family_kelp_patch_dense__drape.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense/GEN_family_kelp_patch_dense__frilltuft__s75-125.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense/GEN_family_kelp_patch_dense__nest__s65-105.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_kelp_patch_dense/GEN_family_kelp_patch_dense__paddlespray__s70-120.prefab,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|MATERIAL_READBACK_REVIEW|SOURCE_DEMO_PROXY_OR_PLACEHOLDER_PATH,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
GUID_TRIAGE_0003,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,FIRST_PARTY_PROJECT,Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_branching.mat,11,36,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__bouquet.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__branch.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__crest.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__fan.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__mass.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_branching/GEN_family_coral_branching__thicket.prefab,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|MATERIAL_READBACK_REVIEW|SOURCE_DEMO_PROXY_OR_PLACEHOLDER_PATH,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
GUID_TRIAGE_0004,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,FIRST_PARTY_PROJECT,Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_massive.mat,10,28,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive/GEN_family_coral_massive__boulder.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive/GEN_family_coral_massive__buttress.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive/GEN_family_coral_massive__dome.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive/GEN_family_coral_massive__head.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive/GEN_family_coral_massive__lobed.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_massive/GEN_family_coral_massive__porous.prefab,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|MATERIAL_READBACK_REVIEW|SOURCE_DEMO_PROXY_OR_PLACEHOLDER_PATH,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
GUID_TRIAGE_0005,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,FIRST_PARTY_PROJECT,Assets/_Project/Art/Materials/WorldProceduralProxy/MAT_family_coral_plate.mat,10,27,Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate/GEN_family_coral_plate__bastion.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate/GEN_family_coral_plate__canopy.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate/GEN_family_coral_plate__ledge.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate/GEN_family_coral_plate__shelf.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate/GEN_family_coral_plate__stack.prefab|Assets/_Project/Prefabs/Nature/Flora/Baked/family_coral_plate/GEN_family_coral_plate__terrace.prefab,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|MATERIAL_READBACK_REVIEW|SOURCE_DEMO_PROXY_OR_PLACEHOLDER_PATH,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
GUID_TRIAGE_0006,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,FIRST_PARTY_PROJECT,Assets/_Project/Art/Materials/Celestial/MAT_AegirGasGiant_Impostor_1428.mat,4,4,Assets/_Project/Prefabs/GasGiant_Aegir.prefab|Assets/_Project/Scenes/02_HECTON_WORLD.unity|Assets/_Project/_PROLOGUE_CONTENT/Prefabs/GasGiant_Aegir.prefab|Assets/_Recovery/0 (13).unity,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|MATERIAL_READBACK_REVIEW,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
GUID_TRIAGE_0007,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,THIRD_PARTY_CREST,Assets/Crest/Crest/Materials/Ocean.mat,4,7,Assets/Crest/Crest/Materials/Ocean_UnderwaterCurtain.mat|Assets/_Project/Prefabs/Ocean_Crest.prefab|Assets/_Project/Scenes/02_HECTON_WORLD.unity|Assets/_Recovery/0 (13).unity,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|MATERIAL_READBACK_REVIEW|THIRD_PARTY_CREST,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
GUID_TRIAGE_0008,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,FIRST_PARTY_PROJECT,Assets/_Project/Art/Materials/MAT_FakeRadarBlipInstanced.mat,3,3,Assets/_Project/Prefabs/Player.prefab|Assets/_Project/Scenes/02_HECTON_WORLD.unity|Assets/_Recovery/0 (13).unity,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|MATERIAL_READBACK_REVIEW,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
GUID_TRIAGE_0009,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,FIRST_PARTY_PROJECT,Assets/_Project/Art/Materials/Sky/MAT_AegirSky_Master.mat,3,4,Assets/_Project/Scenes/01_ORBIT.unity|Assets/_Project/Scenes/02_HECTON_WORLD.unity|Assets/_Recovery/0 (13).unity,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|MATERIAL_READBACK_REVIEW,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
GUID_TRIAGE_0010,P0_ACTIVE_ROUTE_REVIEW,active_world_material_readback_owner,material,FIRST_PARTY_PROJECT,Assets/_Project/Art/Materials/VFX/Mat_LeakPlume.mat,3,5,Assets/_Project/Prefabs/PFB_Submarine_Core.prefab|Assets/_Project/Scenes/02_HECTON_WORLD.unity|Assets/_Recovery/0 (13).unity,ACTIVE_WORLD_SCENE_REACHABLE|SCENE_REACHABLE|MATERIAL_READBACK_REVIEW,ASSET_OWNER_06_OR_24_UNITY_MATERIAL_READBACK_AND_REPAIR,NO_ASSETS_MUTATION_FROM_STATIC_TRIAGE|NO_RAW_YAML_PATCH|NO_RUNTIME_ACCEPTANCE_CLAIM|NO_CREST_WRAPPER_OR_MATERIAL_CLONE,PENDING_VERIFICATION,STATIC_SOURCE,DERIVED_FROM_GUID_MATRIX_NO_IMPORT_RUNTIME_VISUAL_OR_AUDIO_PROOF
