source,atlasSlice,lifetimeSeconds,radiusMeters,projectionDepthMeters
scorch,0,9.5,0.42,0.18
blood,1,10.0,0.48,0.18
acid,2,8.0,0.52,0.16
hull_dent,3,12.0,0.55,0.20
glass_crack,4,60.0,0.32,0.10
burn,5,12.0,0.50,0.20
salt_crust,6,18.0,0.65,0.32
glass_smudge,7,24.0,0.40,0.08
barnacle_colony,8,16.0,0.70,0.22
brine_flora_smear,9,11.0,0.50,0.16
sponge_pore_stain,10,9.0,0.45,0.15
spore_pod_smear,11,10.0,0.42,0.12
egg_sac_membrane,12,14.0,0.48,0.12
carcass_trace,13,12.0,0.52,0.17
resource_nodule_trace,14,9.5,0.36,0.12
data_core_circuit_trace,15,10.0,0.34,0.10
