"family_id","asset_category","target_material_family","allowed_shader_route","required_albedo","required_normal","required_packed_map","packed_channel_contract","required_optional_masks","forbidden_donor_sources","allowed_output_folder","prefab_binding_allowed","proof_required","status"
"Tool_BeaconDeployer","tool","Tool body casing/rubber/metal/lens/emissive labels/wear","Hecton_ToolDecayLit only; ToolScreenDiegetic blocked until screen contract","Project-owned beacon deployer albedo for pressure casing rubber antenna cartridge lens labels; no baked light","Project-owned normal for bevels grip ribs antenna spool lens scratches","TX_Tool_BeaconDeployer_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","emission diagnostics; label decal; grime salt wear detail","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; RuntimeFlatColor; RuntimeCheckerboardUnlit; ErrorCube; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; no-cube/prefab relink future dry-run; held/world screenshots before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_Builder","tool","Tool body casing/rubber/projector fork/glass/emissive labels/heat wear","Hecton_ToolDecayLit only; ToolScreenDiegetic blocked until screen contract","Project-owned builder albedo for casing paint rubber projector glass warning marks","Project-owned normal for vents grip ribs projector fork bevels glass scratches","TX_Tool_Builder_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","projector emission mask; heat discoloration; labels; dirt detail","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; construction hologram as body source; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; no prefab mutation; builder held/world screenshots before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_EnvAnalyzer","tool","Tool body casing/rubber/sensor head/glass/emissive labels/sample residue","Hecton_ToolDecayLit only; ToolScreenDiegetic blocked until screen contract","Project-owned analyzer albedo for rugged casing sensor lenses sample port labels","Project-owned normal for lens rings grip ribs scratches sample staining","TX_Tool_EnvAnalyzer_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","diagnostic emission; glass grime; residue mask; label detail","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; flat colors; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; no prefab mutation; analyzer screenshots before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_Flashlight","tool","Tool body casing/rubber/bezel/lens/emitter labels/salt heat wear","Hecton_ToolDecayLit only; FlashlightConeSilt is VFX support not body material","Project-owned flashlight albedo for wet metal rubber strap pressure lens labels","Project-owned normal for lens scratches grip ribs bezel fins body bevels","TX_Tool_Flashlight_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","lens emission mask; battery labels; salt scratches; heat grime","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; beam material as body source; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; dark-route material screenshot and render proof later","MISSING_SOURCE_REQUIRED"
"Tool_HarpoonLauncher","tool","Tool body casing/rubber/barrel/spool/sight/emissive labels/cable wear","Hecton_ToolDecayLit only; TetherLineStrip is tether support not body material","Project-owned harpoon albedo for dark metal hazard paint rubber stock cable","Project-owned normal for barrel scratches cable ribs grip ribs spool rails","TX_Tool_HarpoonLauncher_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","status emission; hazard decals; cable wear; salt grime","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; tether shader as body source; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; harpoon anchor screenshots before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_Knife","tool","Tool blade/grip/guard/optional indicator labels/edge residue","Hecton_ToolDecayLit only","Project-owned knife albedo for brushed blade grip wrap maker stamps residue","Project-owned normal for edge nicks serrations wrap ribs guard bevels","TX_Tool_Knife_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","optional powered-edge emission; residue; label stamp; wet edge detail","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; flora knife-name collision; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; blade held/world screenshots before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_LaserCutter","tool","Tool body casing/rubber/nozzle/fins/glass/emissive warnings/heat wear","Hecton_ToolDecayLit only; LaserCutRadianceDecal and plasma beam are VFX support","Project-owned cutter albedo for heat-stained casing ceramic nozzle rubber warnings","Project-owned normal for fins nozzle scratches grip ribs safety glass","TX_Tool_LaserCutter_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","emitter/status emission; heat mask; slag dirt; warning decals","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; cutter VFX material as body source; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; cutter use screenshot and render proof later","MISSING_SOURCE_REQUIRED"
"Tool_Propulsion","tool","Tool body casing/rubber/intake/nozzle/status labels/salt wear","Hecton_ToolDecayLit only; propulsion VFX support excluded","Project-owned propulsion albedo for wet dark metal grips intake warning paint","Project-owned normal for grilles fins ducted nozzle grip ribs scratches","TX_Tool_Propulsion_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","status/thrust emission mask; labels; nozzle scuff; salt grime","package Lit.mat; Mat_Tool_*_Placeholder; Unity default; VFX support material as body source; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; package Lit replacement future dry-run; screenshots before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_Repair","tool","Tool body casing/rubber/welder nozzle/gauge/emissive labels/slag heat wear","Hecton_ToolDecayLit only; ToolScreenDiegetic blocked until screen contract","Project-owned repair tool albedo for heat-stained casing rubber gauge labels","Project-owned normal for nozzle scratches grip ribs gauge bevel cable feed","TX_Tool_Repair_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","gauge/indicator emission; heat mask; slag dirt; label decals","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; flat colors; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; repair target screenshot before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_SalvageSampler","tool","Tool body casing/rubber/clamp jaws/sample tube/readout labels/bio residue","Hecton_ToolDecayLit only; ToolScreenDiegetic blocked until screen contract","Project-owned sampler albedo for stainless polymer tube residue cartridge labels","Project-owned normal for jaws tube scratches grip ribs cartridge slot","TX_Tool_SalvageSampler_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","readout emission; glass grime; bio residue; cartridge labels","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; sample contact screenshots before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_Scanner","tool","Tool body casing/rubber/scanner frame/lens/display/emissive labels/fingerprints","Hecton_ToolDecayLit only; ToolScreenDiegetic blocked until screen contract; scanner marker shader is support only","Project-owned scanner albedo for dark polymer labels lens display frame","Project-owned normal for lens scratches grip ribs antenna grille display glass","TX_Tool_Scanner_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","display/status emission; fingerprints; service labels; glass grime","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; scanner marker material as body material; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; scan-use screenshots before acceptance","MISSING_SOURCE_REQUIRED"
"Tool_StunPistol","tool","Tool body casing/rubber/electrodes/capacitor rails/status labels/soot wear","Hecton_ToolDecayLit only; ToolScreenDiegetic blocked until screen contract","Project-owned stun pistol albedo for dark metal polymer ceramic hazard paint","Project-owned normal for electrodes rails ceramic scratches grip ribs muzzle","TX_Tool_StunPistol_PackedMaskV1","PackedMaskV1: R=Metallic; G=AO/Occlusion; B=Smoothness; A=EmissionMask","charge/status emission; hazard labels; soot residue; wet wear","Mat_Tool_*_Placeholder; package Lit.mat; Unity default; flat colors; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","source manifest; import report; channel preview; muzzle/electrode screenshots before acceptance","MISSING_SOURCE_REQUIRED"
"CopperOre","resource_mineral","Copper ore pickup host rock and copper/oxide seam","Hecton_MraoAtlasLit after mineral manifest or pickup-specific shader with exact contract","Project-owned copper ore albedo: basalt host plus copper/green oxide seam; no terrain recolor only","Project-owned fracture/chip/seam normal; not terrain normal pasted alone","TX_Resource_CopperOre_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/mineral mask if shader owner approves","detail rock grain; wetness/mineral glint; seam mask","flat Mat_Resource_Copper; direct terrain/basalt donor as final; generic rock recolor; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","Data_Copper alias proof; source maps; import report; mineral channel preview; compact pickup screenshot later","CANDIDATE_HOST_ONLY_MISSING_SEAM_SOURCE"
"FiberKelp","resource_organic","Harvested kelp fiber bundle with wet fronds veins cut edges","Hecton_ProceduralBio after pickup-source manifest or pickup-specific organic shader","Project-owned harvested kelp pickup albedo derived under ProductFace ownership; not direct flora atlas relink","Project-owned vein/rib/fold normal for pickup bundle","TX_Resource_FiberKelp_ORM","ORM: R=Occlusion; G=Roughness; B=Metallic; A=EmissionMask","alpha-clip/thickness/wetness mask; fiber detail; fold AO","flat Mat_Resource_Fiber; direct kelp/flora donor as final; alpha-blend field spam; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","organic derivative manifest; import report; channel preview; compact overdraw/readability proof later","CANDIDATE_TEXTURES_ONLY_MISSING_PICKUP_SOURCE"
"HydrocarbonResin","resource_organic_oily","Oily amber resin pickup with grit lobes and wetness","Hecton_MraoAtlasLit or pickup-specific resin shader after translucency manifest","Project-owned resin albedo with amber body and embedded grit","Project-owned lobe sag/torn pod/grit normal","TX_Resource_HydrocarbonResin_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/translucency mask if shader owner approves","thickness/translucency; wetness; grit detail; lobe AO","flat Mat_Resource_Resin; transparent flat planes; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","source maps; shader/translucency contract; import report; channel preview; screenshots later","MISSING_SOURCE_REQUIRED"
"MembraneTissue","resource_organic","Wet torn membrane tissue pickup with veins folds cut edges","Hecton_ProceduralBio after pickup-source manifest or pickup-specific organic shader","Project-owned membrane albedo with wet tissue and darker cut edges","Project-owned vein/fold/thick edge normal","TX_Resource_MembraneTissue_ORM","ORM: R=Occlusion; G=Roughness; B=Metallic; A=EmissionMask","wetness/translucency/thickness mask; vein detail; fold AO; optional biolume only if designed","flat Mat_Resource_Membrane; direct flora/coral donor as final; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","organic derivative manifest; import report; alpha/translucency proof later","MISSING_SOURCE_REQUIRED"
"SilicaShards","resource_mineral","Milky silica/glass shard pickup with fracture planes and glint","Hecton_MraoAtlasLit after mineral manifest or pickup-specific shader with exact contract","Project-owned silica albedo with milky glass/mineral and broken edges","Project-owned sharp fracture/chip normal","TX_Resource_SilicaShards_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared glint/translucency mask if shader owner approves","micro crack detail; edge glint/translucency; wet contact","flat Mat_Resource_Silica; generic glass color; terrain donor as final; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","source maps; import report; shard channel preview; compact screenshot later","MISSING_TEXTURE_SOURCE_REQUIRED"
"SilverOre","resource_mineral","Silver ore pickup host rock and narrow silver vein","Hecton_MraoAtlasLit after mineral manifest or pickup-specific shader with exact contract","Project-owned silver ore albedo distinct from copper; dark host plus silver vein","Project-owned fracture/chip/raised seam normal","TX_Resource_SilverOre_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/mineral mask if shader owner approves","detail rock grain; wetness/mineral glint; seam mask","flat Mat_Resource_Silver; copper recolor; direct terrain donor as final; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","source maps; import report; distinction from CopperOre screenshot later","CANDIDATE_HOST_ONLY_MISSING_SEAM_SOURCE"
"SulfurClumps","resource_mineral","Sulfur nodule/crystal pickup with vent soot and porosity","Hecton_MraoAtlasLit after mineral manifest or pickup-specific shader with exact contract","Project-owned sulfur albedo with yellow nodules and dark vent residue","Project-owned porous nodule/crystal facet normal","TX_Resource_SulfurClumps_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared residue/reactive mask if shader owner approves","porous detail; soot/residue; brittle chip mask","flat Mat_Resource_Sulfur; toy-yellow flat color; terrain donor as final; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","source maps; import report; vent-adjacent screenshot later","MISSING_TEXTURE_SOURCE_REQUIRED"
"TitaniumScrap","resource_manufactured_metal","Bent titanium scrap pickup with paint salt oil cut edges","Hecton_MraoAtlasLit recommended after scrap manifest or ToolDecayLit only if owner chooses PackedMaskV1","Project-owned titanium scrap albedo with dull metal paint remnants labels salt oil","Project-owned bent plate torn edge bolt hole scratch normal","TX_Resource_TitaniumScrap_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared paint/wear/oil mask if shader owner approves","paint/wear/oil mask; label decal; micro scratch detail","flat Mat_Resource_Scrap; unresolved GUID; generic metal color; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","Data_TitaniumScrap proof; source maps; import report; screenshot later","MISSING_TEXTURE_SOURCE_REQUIRED_MATERIAL_PLACEHOLDER_EXISTS"
"Item_Titanium","resource_legacy_uncertain","Legacy titanium route must inherit TitaniumScrap or quarantine","Same as TitaniumScrap only if retained; otherwise no material route","No independent albedo; inherit TitaniumScrap source only if retained","No independent normal; inherit TitaniumScrap source only if retained","No independent packed map; inherit TitaniumScrap source only if retained","Same as TitaniumScrap; no independent channel truth","same optional masks as TitaniumScrap if retained","unresolved material GUID 31321ba15b8f8eb4c954353edc038b1d; separate titanium identity; environment donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","production-reference scan; canonical relink or quarantine proof; no visual claim until retained","QUARANTINE_OR_CANONICAL_RELINK_REQUIRED"
"TRANSPORT_CargoSled_HULL","transport_hull","CargoSled pressure/load-frame hull and rails","Hecton_MraoAtlasLit after transport hull manifest or dedicated transport shader","Project-owned sled hull albedo for pressure metal paint wear rail grime","Project-owned hull bevel/scratch/dent normal","TX_Transport_CargoSled_HULL_MRAO","MRAO: R=Metallic; G=Roughness; B=AO; A=EmissionMask or declared wetness/wear mask if shader owner approves","wetness; wear; hazard decal; grime mask","RuntimeVisualProof swatches as final; default GUID; package Lit.mat; ocean/Crest/terrain donors; ai_texture_prefab_bindings","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","transport source manifest; import report; no primitive visual relink dry-run later","MISSING_SOURCE_REQUIRED"
