"Name","Source","Destination","Length","LastWriteTime"
"2026-05-11_AGENTS_SKILLS_VISUAL_FAKE_AUDIT.md","C:\hades\Hecton8\Docs\Reports\2026-05-11_AGENTS_SKILLS_VISUAL_FAKE_AUDIT.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-11_AGENTS_SKILLS_VISUAL_FAKE_AUDIT.md","8070","2026-05-19T00:25:16.5468399+04:00"
"2026-05-11_DOCUMENTATION_CURRENT_DATA_CONTINUATION.md","C:\hades\Hecton8\Docs\Reports\2026-05-11_DOCUMENTATION_CURRENT_DATA_CONTINUATION.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-11_DOCUMENTATION_CURRENT_DATA_CONTINUATION.md","5827","2026-05-19T00:25:16.5479561+04:00"
"2026-05-11_LOCALIZATION_READINESS_AUDIT.md","C:\hades\Hecton8\Docs\Reports\2026-05-11_LOCALIZATION_READINESS_AUDIT.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-11_LOCALIZATION_READINESS_AUDIT.md","7927","2026-05-19T00:25:16.5479561+04:00"
"2026-05-11_PLATFORM_BLOCKER_REGISTER.md","C:\hades\Hecton8\Docs\Reports\2026-05-11_PLATFORM_BLOCKER_REGISTER.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-11_PLATFORM_BLOCKER_REGISTER.md","23592","2026-05-19T23:37:29.9674518+04:00"
"2026-05-11_PLATFORM_COMPATIBILITY_EDITOR_AUDIT.md","C:\hades\Hecton8\Docs\Reports\2026-05-11_PLATFORM_COMPATIBILITY_EDITOR_AUDIT.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-11_PLATFORM_COMPATIBILITY_EDITOR_AUDIT.md","4077","2026-05-19T23:37:29.8809191+04:00"
"2026-05-11_PLATFORM_READINESS_AUDIT.md","C:\hades\Hecton8\Docs\Reports\2026-05-11_PLATFORM_READINESS_AUDIT.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-11_PLATFORM_READINESS_AUDIT.md","33562","2026-05-19T23:37:29.9857783+04:00"
"2026-05-11_PLATFORM_VERIFICATION_MATRIX.md","C:\hades\Hecton8\Docs\Reports\2026-05-11_PLATFORM_VERIFICATION_MATRIX.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-11_PLATFORM_VERIFICATION_MATRIX.md","16361","2026-05-19T00:25:16.5499551+04:00"
"2026-05-11_STEAM_DECK_POSIX_MMF_PURGE_CONTINUATION.md","C:\hades\Hecton8\Docs\Reports\2026-05-11_STEAM_DECK_POSIX_MMF_PURGE_CONTINUATION.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-11_STEAM_DECK_POSIX_MMF_PURGE_CONTINUATION.md","6112","2026-05-19T00:25:16.5509750+04:00"
"2026-05-11_STEAM_DECK_POSIX_PREFLIGHT.md","C:\hades\Hecton8\Docs\Reports\2026-05-11_STEAM_DECK_POSIX_PREFLIGHT.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-11_STEAM_DECK_POSIX_PREFLIGHT.md","60037","2026-05-19T00:25:16.5663305+04:00"
"2026-05-13_BROKEN_PREFABS_STATIC_SNAPSHOT.md","C:\hades\Hecton8\Docs\Reports\2026-05-13_BROKEN_PREFABS_STATIC_SNAPSHOT.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-13_BROKEN_PREFABS_STATIC_SNAPSHOT.md","1166","2026-05-19T00:25:16.5674141+04:00"
"2026-05-13_DOC_AUDIT_XRAY.md","C:\hades\Hecton8\Docs\Reports\2026-05-13_DOC_AUDIT_XRAY.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-13_DOC_AUDIT_XRAY.md","74392","2026-05-19T23:37:30.0675018+04:00"
"2026-05-14_ENCYCLOPEDIA_SPELLCHECK.md","C:\hades\Hecton8\Docs\Reports\2026-05-14_ENCYCLOPEDIA_SPELLCHECK.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-14_ENCYCLOPEDIA_SPELLCHECK.md","9270","2026-05-19T00:25:16.5696085+04:00"
"2026-05-15_DOCUMENTATION_HONEST_ANALYSIS.md","C:\hades\Hecton8\Docs\Reports\2026-05-15_DOCUMENTATION_HONEST_ANALYSIS.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-15_DOCUMENTATION_HONEST_ANALYSIS.md","11524","2026-05-19T00:25:16.5701433+04:00"
"2026-05-19_GLOBAL_AUTHORITY_AND_PLATFORM_PORTABILITY_AUDIT.md","C:\hades\Hecton8\Docs\Reports\2026-05-19_GLOBAL_AUTHORITY_AND_PLATFORM_PORTABILITY_AUDIT.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-19_GLOBAL_AUTHORITY_AND_PLATFORM_PORTABILITY_AUDIT.md","46518","2026-05-19T23:56:48.9170571+04:00"
"2026-05-19_HFI_AUDIT_H_PHI_AND_PROJECT_RISK.md","C:\hades\Hecton8\Docs\Reports\2026-05-19_HFI_AUDIT_H_PHI_AND_PROJECT_RISK.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-19_HFI_AUDIT_H_PHI_AND_PROJECT_RISK.md","18756","2026-05-19T23:37:30.0726744+04:00"
"2026-05-20_GLOBAL_AUTHORITY_AND_PLATFORM_PORTABILITY_AUDIT.md","C:\hades\Hecton8\Docs\Reports\2026-05-20_GLOBAL_AUTHORITY_AND_PLATFORM_PORTABILITY_AUDIT.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-20_GLOBAL_AUTHORITY_AND_PLATFORM_PORTABILITY_AUDIT.md","34695","2026-05-20T14:51:09.0260889+04:00"
"2026-05-20_HARDWARE_PORTABILITY_ARM64_X86_GPU_AUDIT.md","C:\hades\Hecton8\Docs\Reports\2026-05-20_HARDWARE_PORTABILITY_ARM64_X86_GPU_AUDIT.md","C:\hades\Hecton8\Docs\DEPRECATED\Reports_2026-05-21_REVALIDATION_QUARANTINE\2026-05-20_HARDWARE_PORTABILITY_ARM64_X86_GPU_AUDIT.md","12316","2026-05-20T15:15:42.6829940+04:00"
