material_family,map_role,source_or_output,intended_resolution_compact,intended_resolution_middle,intended_resolution_high,intended_resolution_ultra,color_space_intent,future_unity_texture_type,compression_intent,mips,streaming_intent,channel_contract,status,notes
WetBasaltShoreline,Albedo,source,1024,2048,2048,4096,sRGB,Default,BC7 high quality Standalone or platform equivalent,Enabled,Enabled after texture streaming policy lock,RGB=base color only,STATIC_INTENT,"No baked light, no cast shadow, no perspective, no text/logo/UI. Bright photic readability required."
WetBasaltShoreline,NormalOrHeight,source/intermediate,1024,2048,2048,4096,Linear,Normal Map after derivation,BC5 normal where supported,Enabled,Enabled after texture streaming policy lock,RG=normal XY after import; Z reconstructed by shader/import path,STATIC_INTENT,"Unity owner must confirm normal orientation before import. No albedo stains as fake relief."
WetBasaltShoreline,MRAO_Wetness,packed output,1024,2048,2048,4096,Linear,Default data texture,BC7 RGBA mask,Enabled,Enabled after texture streaming policy lock,"R=Metallic 0; G=Roughness; B=AO; A=Wetness/family mask unless target shader rejects alpha wetness",CANDIDATE_UNTIL_SHADER_LOCK,"If shader requires smoothness, invert G offline and rename contract. Do not guess from filename."
WetBasaltShoreline,DetailAlbedo,shared detail,512,1024,1024,2048,sRGB,Default,BC7 or BC1 if quality acceptable,Enabled,Enabled,RGB=secondary micro color only,STATIC_INTENT,"Shared map only. No per-instance material clones."
WetBasaltShoreline,DetailNormal,shared detail,512,1024,1024,2048,Linear,Normal Map,BC5 normal where supported,Enabled,Enabled,RG=detail normal XY,STATIC_INTENT,"Used for close wet rock microdetail after source passes static QA."
WetBasaltShoreline,WaterlineWetnessMask,source/packed mask,512,1024,2048,2048,Linear,Default data texture,BC7 RGBA mask,Enabled,Enabled after route proof,"R=wetness strength; G=drying falloff; B=salt/sediment/mineral breakup; A=specular boost or confidence reserved",CANDIDATE_UNTIL_SHADER_LOCK,"Presentation mask only. Does not own water or terrain truth."
DryBasaltTransition,Albedo,source,1024,2048,2048,4096,sRGB,Default,BC7 high quality Standalone or platform equivalent,Enabled,Enabled,RGB=base color only,STATIC_INTENT,"Sunlit dry basalt and mineral stain. Reject one-note gray or dark/noir cover."
DryBasaltTransition,NormalOrHeight,source/intermediate,1024,2048,2048,4096,Linear,Normal Map after derivation,BC5 normal where supported,Enabled,Enabled,RG=normal XY after import,STATIC_INTENT,"Dry chips and eroded planes must carry relief."
DryBasaltTransition,MRAO,packed output,1024,2048,2048,4096,Linear,Default data texture,BC7 RGBA mask,Enabled,Enabled,"R=Metallic 0; G=Roughness; B=AO; A=Family/blend mask or unused black",CANDIDATE_UNTIL_SHADER_LOCK,"If target shader uses smoothness, invert G offline and document."
TriplanarCliffRock,Albedo,source,1024,2048,2048,4096,sRGB,Default,BC7 high quality Standalone or platform equivalent,Enabled,Enabled,RGB=base color only,STATIC_INTENT,"Projection scale target 4 m macro with 0.5 m detail overlay. No baked lighting."
TriplanarCliffRock,NormalOrHeight,source/intermediate,1024,2048,2048,4096,Linear,Normal Map after derivation,BC5 normal where supported,Enabled,Enabled,RG=normal XY after import,STATIC_INTENT,"Must support normal blending and stable object/world projection across LODs."
TriplanarCliffRock,MRAO_Blend,packed output,1024,2048,2048,4096,Linear,Default data texture,BC7 RGBA mask,Enabled,Enabled,"R=Metallic 0; G=Roughness; B=AO; A=Material blend/family mask",CANDIDATE_UNTIL_SHADER_LOCK,"No terrain or triplanar import until shader channel order is locked."
FoamSaltContactMask,RGBAContactMask,source/packed mask,512,1024,2048,2048,Linear,Default data texture,BC7 RGBA mask,Enabled,Enabled after route proof,"R=long foam/contact strength; G=cross-flow wet edge breakup; B=foam lace/bubbles/sediment interruption; A=confidence/caustic receiver reserved",STATIC_INTENT,"Presentation fake. Not water truth. Reject opaque white ribbons and scenic wave photos."
WetSheenLeakWaterlineMask,WetnessMask,source/packed mask,512,1024,2048,2048,Linear,Default data texture,BC7 RGBA mask,Enabled,Enabled after route proof,"R=wetness strength; G=drying falloff; B=salt/sediment/mineral breakup; A=specular boost/confidence reserved",CANDIDATE_UNTIL_SHADER_LOCK,"Rebuilds wet response with authored masks. Reject generic glossy overlay."
HLODCoastComposite,CompositeAlbedo,derived future output,512,1024,2048,2048,sRGB,Default,BC7 or BC1 if visual proof accepts,Enabled,Enabled,RGB=baked from accepted close materials only,FUTURE_AFTER_CLOSE_PROOF,"No new generic coast atlas. Not inspectable close. No collider."

